skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_sv_antal_m_betyg_tcv1,skolverket_sv_andel_sankt_tcv1,skolverket_sv_andel_lika_tcv1,skolverket_sv_andel_hojt_tcv1,skolverket_ma_antal_m_betyg_tcv1,skolverket_ma_andel_sankt_tcv1,skolverket_ma_andel_lika_tcv1,skolverket_ma_andel_hojt_tcv1,skolverket_en_antal_m_betyg_tcv1,skolverket_en_andel_sankt_tcv1,skolverket_en_andel_lika_tcv1,skolverket_en_andel_hojt_tcv1,skolverket_sva_antal_m_betyg_tcv1,skolverket_sva_andel_sankt_tcv1,skolverket_sva_andel_lika_tcv1,skolverket_sva_andel_hojt_tcv1,year
Guldkroksskolan 7-9,81342093,Hjo,1497,Kommunal,Hjo,2120001728,83,"10,8","51,8","37,3",.,.,.,.,87,"18,4","74,7","6,9",.,.,.,.,2018
Petreskolan 7-9,25716177,Hofors,2104,Kommunal,Hofors,2120002296,57,.,"54,4","45,6",.,.,.,.,64,"18,8","75,0","6,3",.,.,.,.,2018
Annerstaskolan,79012683,Huddinge,0126,Kommunal,Huddinge,2120000068,.,.,.,.,.,.,.,.,45,.,"84,4","15,6",.,.,.,.,2018
Balingsnässkolan,13654969,Huddinge,0126,Kommunal,Huddinge,2120000068,54,"5,6","83,3","11,1",.,.,.,.,.,.,.,.,.,.,.,.,2018
Edboskolan,98477278,Huddinge,0126,Kommunal,Huddinge,2120000068,58,"10,3","77,6","12,1",.,.,.,.,62,"4,8","90,3","4,8",.,.,.,.,2018
Internationella Engelska Skolan Huddinge,97942210,Huddinge,0126,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,107,"10,3","54,2","35,5",.,.,.,.,142,"4,2","90,1","5,6",30,"6,7","26,7","66,7",2018
Kungsklippeskolan,89510449,Huddinge,0126,Kommunal,Huddinge,2120000068,53,"5,7","79,2","15,1",.,.,.,.,54,"13,0","85,2","1,9",.,.,.,.,2018
Kvarnbergsskolan,54516737,Huddinge,0126,Kommunal,Huddinge,2120000068,.,.,.,.,.,.,.,.,198,"12,6","79,3","8,1",.,.,.,.,2018
Källbrinksskolan,41213404,Huddinge,0126,Kommunal,Huddinge,2120000068,108,"12,0","61,1","26,9",.,.,.,.,110,"30,0","66,4","3,6",.,.,.,.,2018
Södertörns friskola,22019000,Huddinge,0126,Enskild,Södertörns Friskola Ekonomisk Förening,7696004238,96,"12,5","79,2","8,3",.,.,.,.,95,"22,1","76,8","1,1",.,.,.,.,2018
Trångsundsskolan,42601396,Huddinge,0126,Kommunal,Huddinge,2120000068,62,"9,7","75,8","14,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Vistaskolan,50783450,Huddinge,0126,Kommunal,Huddinge,2120000068,52,"7,7","63,5","28,8",.,.,.,.,70,"14,3","60,0","25,7",25,"12,0","52,0","36,0",2018
Vårbyskolan,64949601,Huddinge,0126,Kommunal,Huddinge,2120000068,.,.,.,.,.,.,.,.,37,"16,2","73,0","10,8",31,"6,5","51,6","41,9",2018
Östra grundskolan,39229061,Huddinge,0126,Kommunal,Huddinge,2120000068,83,"7,2","67,5","25,3",.,.,.,.,99,"3,0","84,8","12,1",.,.,.,.,2018
Ede skola,83627088,Hudiksvall,2184,Kommunal,Hudiksvall,2120002379,56,"10,7","73,2","16,1",.,.,.,.,57,"15,8","75,4","8,8",.,.,.,.,2018
Hudikskolan 7-9,77537602,Hudiksvall,2184,Enskild,Hudik Friskoleutbildning AB,5566174438,58,.,"41,4","58,6",.,.,.,.,58,"10,3","63,8","25,9",.,.,.,.,2018
Iggesunds skola,80631297,Hudiksvall,2184,Kommunal,Hudiksvall,2120002379,45,.,"62,2","37,8",.,.,.,.,.,.,.,.,.,.,.,.,2018
Läroverket,23786565,Hudiksvall,2184,Kommunal,Hudiksvall,2120002379,129,"7,0","51,9","41,1",.,.,.,.,.,.,.,.,.,.,.,.,2018
Östra skolan,50190330,Hudiksvall,2184,Kommunal,Hudiksvall,2120002379,94,"8,5","66,0","25,5",.,.,.,.,107,"4,7","86,0","9,3",.,.,.,.,2018
Albäcksskolan 2,84230115,Hultsfred,0860,Kommunal,Hultsfred,2120000712,93,"6,5","51,6","41,9",.,.,.,.,126,"16,7","70,6","12,7",34,"5,9","64,7","29,4",2018
Prolympia Virserum,12289594,Hultsfred,0860,Enskild,Nya Centralskolan i Virserum AB,5568088743,23,"4,3","52,2","43,5",.,.,.,.,23,.,"78,3","21,7",.,.,.,.,2018
Örnaskolan 3,80477825,Hylte,1315,Kommunal,Hylte,2120001207,84,"6,0","51,2","42,9",.,.,.,.,121,"6,6","68,6","24,8",32,.,"43,8","56,3",2018
Futurum,61956762,Håbo,0305,Kommunal,Håbo,2120000241,75,"12,0","54,7","33,3",.,.,.,.,84,"8,3","58,3","33,3",.,.,.,.,2018
Gransäterskolan,90826660,Håbo,0305,Kommunal,Håbo,2120000241,48,"12,5","62,5","25,0",.,.,.,.,47,"10,6","70,2","19,1",.,.,.,.,2018
Läraskolan,28306495,Håbo,0305,Enskild,Läraskolan i Bålsta AB,5567275663,21,.,"85,7","14,3",.,.,.,.,21,"9,5","66,7","23,8",.,.,.,.,2018
Potentia Education,15081255,Håbo,0305,Enskild,Potentia education AB,5567521553,28,"25,0","42,9","32,1",.,.,.,.,27,"11,1","66,7","22,2",.,.,.,.,2018
Västerängsskolan,29299366,Håbo,0305,Kommunal,Håbo,2120000241,.,.,.,.,.,.,.,.,50,"16,0","76,0","8,0",.,.,.,.,2018
Klockarhagsskolan åk 7-9,72295739,Hällefors,1863,Kommunal,Hällefors,2120001942,47,"8,5","40,4","51,1",.,.,.,.,67,"14,9","80,6","4,5",.,.,.,.,2018
Funäsdalens skola,72295998,Härjedalen,2361,Kommunal,Härjedalen,2120002510,23,"4,3","73,9","21,7",.,.,.,.,25,"20,0","80,0",.,.,.,.,.,2018
Sonfjällsskolan,85325551,Härjedalen,2361,Kommunal,Härjedalen,2120002510,26,"26,9","61,5","11,5",.,.,.,.,26,"3,8","80,8","15,4",.,.,.,.,2018
Södra Skolan,79022806,Härjedalen,2361,Kommunal,Härjedalen,2120002510,42,"4,8","54,8","40,5",.,.,.,.,42,"7,1","61,9","31,0",.,.,.,.,2018
Hedda Wisingskolan,16490220,Härnösand,2280,Kommunal,Härnösand,2120002403,109,"14,7","65,1","20,2",.,.,.,.,121,"11,6","71,9","16,5",.,.,.,.,2018
Båtsmansskolan,37772170,Härryda,1401,Kommunal,Härryda,2120001264,57,"12,3","52,6","35,1",.,.,.,.,61,"16,4","63,9","19,7",.,.,.,.,2018
Djupedalskolan,91978548,Härryda,1401,Kommunal,Härryda,2120001264,61,"21,3","42,6","36,1",.,.,.,.,59,"22,0","71,2","6,8",.,.,.,.,2018
Ekdalaskolan,17730768,Härryda,1401,Kommunal,Härryda,2120001264,69,"5,8","62,3","31,9",.,.,.,.,80,"6,3","77,5","16,3",.,.,.,.,2018
"Fridaskolan, Härryda",27274628,Härryda,1401,Enskild,Fridaskolorna AB,5564515988,67,"10,4","62,7","26,9",.,.,.,.,69,"7,2","75,4","17,4",.,.,.,.,2018
Landvetterskolan 1,98934110,Härryda,1401,Kommunal,Härryda,2120001264,58,"12,1","63,8","24,1",.,.,.,.,58,"5,2","89,7","5,2",.,.,.,.,2018
Rävlandaskolan,34127854,Härryda,1401,Kommunal,Härryda,2120001264,44,"15,9","43,2","40,9",.,.,.,.,43,"25,6","69,8","4,7",.,.,.,.,2018
Önnerödsskolan,28698437,Härryda,1401,Kommunal,Härryda,2120001264,76,"14,5","73,7","11,8",.,.,.,.,73,"4,1","82,2","13,7",.,.,.,.,2018
Bjärnums skola F-9,65212509,Hässleholm,1293,Kommunal,Hässleholm,2120000985,41,"19,5","65,9","14,6",.,.,.,.,55,"7,3","61,8","30,9",.,.,.,.,2018
Furutorpskolan 7-9,78602001,Hässleholm,1293,Kommunal,Hässleholm,2120000985,58,"13,8","63,8","22,4",.,.,.,.,54,"25,9","66,7","7,4",.,.,.,.,2018
Hästveda skola F-9,56398338,Hässleholm,1293,Kommunal,Hässleholm,2120000985,33,"6,1","57,6","36,4",.,.,.,.,36,.,"75,0","25,0",.,.,.,.,2018
Internationella Engelska Skolan Hässleholm,79716826,Hässleholm,1293,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,57,"7,0","59,6","33,3",.,.,.,.,62,"19,4","64,5","16,1",.,.,.,.,2018
Läredaskolan 7-9,29689372,Hässleholm,1293,Kommunal,Hässleholm,2120000985,15,"6,7","46,7","46,7",.,.,.,.,.,.,.,.,29,"3,4","51,7","44,8",2018
T4-skolan Montessori F-9,28804882,Hässleholm,1293,Kommunal,Hässleholm,2120000985,24,.,"87,5","12,5",.,.,.,.,25,"20,0","80,0",.,.,.,.,.,2018
Thoren Framtid i Hässleholm,79864142,Hässleholm,1293,Enskild,Thoren Framtid AB,5567497051,18,"5,6","66,7","27,8",.,.,.,.,22,"4,5","59,1","36,4",.,.,.,.,2018
Tyringe skola F-9,98058756,Hässleholm,1293,Kommunal,Hässleholm,2120000985,49,"14,3","73,5","12,2",.,.,.,.,55,"27,3","72,7",.,.,.,.,.,2018
Vannarödsskolan 6-9,93845278,Hässleholm,1293,Kommunal,Hässleholm,2120000985,40,"22,5","60,0","17,5",.,.,.,.,42,"57,1","42,9",.,.,.,.,.,2018
Västerskolan 7-9,91571086,Hässleholm,1293,Kommunal,Hässleholm,2120000985,87,"14,9","60,9","24,1",.,.,.,.,.,.,.,.,.,.,.,.,2018
Bruksskolan 7-9,58312480,Höganäs,1284,Kommunal,Höganäs,2120001165,35,"17,1","62,9","20,0",.,.,.,.,36,"25,0","69,4","5,6",.,.,.,.,2018
Jonstorpsskolan 7-9,66888504,Höganäs,1284,Kommunal,Höganäs,2120001165,59,"15,3","71,2","13,6",.,.,.,.,58,"15,5","79,3","5,2",.,.,.,.,2018
Lerbergsskolan 7-9,11721378,Höganäs,1284,Kommunal,Höganäs,2120001165,54,"13,0","61,1","25,9",.,.,.,.,53,"20,8","67,9","11,3",.,.,.,.,2018
Nyhamnsskolan 7-9,18031893,Höganäs,1284,Kommunal,Höganäs,2120001165,30,"13,3","63,3","23,3",.,.,.,.,30,"6,7","63,3","30,0",.,.,.,.,2018
Tonlyckeskolan 7-9,36274763,Höganäs,1284,Kommunal,Höganäs,2120001165,22,"9,1","45,5","45,5",.,.,.,.,35,"8,6","57,1","34,3",.,.,.,.,2018
Vikenskolan 7-9,18383147,Höganäs,1284,Kommunal,Höganäs,2120001165,51,"7,8","58,8","33,3",.,.,.,.,53,"5,7","86,8","7,5",.,.,.,.,2018
Fröviskolan 7-9,78308250,Högsby,0821,Kommunal,Högsby,2120000688,43,"2,3","39,5","58,1",.,.,.,.,54,"5,6","79,6","14,8",.,.,.,.,2018
Frostaskolan 7-9,38299211,Hörby,1266,Kommunal,Hörby,2120001108,73,"19,2","47,9","32,9",.,.,.,.,77,"6,5","57,1","36,4",.,.,.,.,2018
Georgshillsskolan 4-9,90834434,Hörby,1266,Kommunal,Hörby,2120001108,54,"16,7","46,3","37,0",.,.,.,.,58,.,"81,0","19,0",.,.,.,.,2018
Ludvigsborgs friskola,52665905,Hörby,1266,Enskild,"Ludvigsborgs Fristående Skola, Ek. Förening",7164396918,20,.,"90,0","10,0",.,.,.,.,19,.,"100,0",.,.,.,.,.,2018
Emiliaskolan Höörs waldorfsk.,63846783,Höör,1267,Enskild,Föreningen Emiliaskolan,8420007984,18,"11,1","77,8","11,1",.,.,.,.,18,"16,7","72,2","11,1",.,.,.,.,2018
Ringsjöskolan,82942801,Höör,1267,Kommunal,Höör,2120001116,76,"9,2","42,1","48,7",.,.,.,.,.,.,.,.,.,.,.,.,2018
Sätoftaskolan,35670754,Höör,1267,Kommunal,Höör,2120001116,53,"13,2","49,1","37,7",.,.,.,.,50,"4,0","82,0","14,0",.,.,.,.,2018
Östra skolan,86851817,Jokkmokk,2510,Kommunal,Jokkmokk,2120002676,35,"22,9","65,7","11,4",.,.,.,.,36,"2,8","83,3","13,9",.,.,.,.,2018
Björkebyskolan,40847752,Järfälla,0123,Kommunal,Järfälla,2120000043,40,"5,0","47,5","47,5",.,.,.,.,.,.,.,.,.,.,.,.,2018
Fjällenskolan,15080815,Järfälla,0123,Kommunal,Järfälla,2120000043,92,"14,1","60,9","25,0",.,.,.,.,99,"7,1","68,7","24,2",.,.,.,.,2018
Internationella Engelska Skolan  Järfälla,79093755,Järfälla,0123,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,115,"9,6","53,9","36,5",.,.,.,.,121,"4,1","81,8","14,0",.,.,.,.,2018
Källtorpskolan,17287315,Järfälla,0123,Kommunal,Järfälla,2120000043,26,"11,5","57,7","30,8",.,.,.,.,95,"18,9","77,9","3,2",.,.,.,.,2018
Tallbohovskolan,97777849,Järfälla,0123,Kommunal,Järfälla,2120000043,16,"12,5","81,3","6,3",.,.,.,.,36,"13,9","77,8","8,3",24,"4,2","45,8","50,0",2018
Viksjöskolan,98925408,Järfälla,0123,Kommunal,Järfälla,2120000043,162,"7,4","48,8","43,8",.,.,.,.,153,"10,5","64,1","25,5",.,.,.,.,2018
Vittra Jakobsberg,66634449,Järfälla,0123,Enskild,Vittraskolorna AB,5564586716,.,.,.,.,.,.,.,.,42,.,"69,0","31,0",.,.,.,.,2018
Alfred Dalinskolan,85416841,Jönköping,0680,Kommunal,Jönköping,2120000530,89,"7,9","62,9","29,2",.,.,.,.,118,"14,4","69,5","16,1",34,"8,8","64,7","26,5",2018
Attarpsskolan 7-9,40546319,Jönköping,0680,Kommunal,Jönköping,2120000530,123,"7,3","57,7","35,0",.,.,.,.,126,"17,5","68,3","14,3",.,.,.,.,2018
Flahultsskolan,28849109,Jönköping,0680,Kommunal,Jönköping,2120000530,112,"17,0","55,4","27,7",.,.,.,.,117,"14,5","45,3","40,2",.,.,.,.,2018
Internationella Engelska Skolan Jönköping,86499334,Jönköping,0680,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,90,"8,9","70,0","21,1",.,.,.,.,111,"7,2","91,9","0,9",22,"27,3","54,5","18,2",2018
Junedalsskolan,20696736,Jönköping,0680,Kommunal,Jönköping,2120000530,.,.,.,.,.,.,.,.,248,"12,9","65,3","21,8",.,.,.,.,2018
Kunskapsskolan Jönköping,86562542,Jönköping,0680,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,67,"1,5","88,1","10,4",.,.,.,.,81,.,"92,6","7,4",19,"5,3","89,5","5,3",2018
Ljungarumsskolan 7-9,84917564,Jönköping,0680,Kommunal,Jönköping,2120000530,103,"17,5","53,4","29,1",.,.,.,.,100,"10,0","75,0","15,0",.,.,.,.,2018
"Prolympia, Jönköping",95673344,Jönköping,0680,Enskild,Prolympia AB,5567026454,76,"3,9","71,1","25,0",.,.,.,.,74,"6,8","60,8","32,4",.,.,.,.,2018
Ribbaskolan,83919671,Jönköping,0680,Kommunal,Jönköping,2120000530,103,"1,9","59,2","38,8",.,.,.,.,105,"2,9","85,7","11,4",.,.,.,.,2018
Rosenlundsskolan 7-9,96558008,Jönköping,0680,Kommunal,Jönköping,2120000530,91,"15,4","53,8","30,8",.,.,.,.,112,"19,6","59,8","20,5",21,"9,5","71,4","19,0",2018
Sanda idrottshögstadium,98088982,Jönköping,0680,Kommunal,Jönköping,2120000530,69,"8,7","79,7","11,6",.,.,.,.,71,"33,8","60,6","5,6",.,.,.,.,2018
Stadsgårdsskolan,12759583,Jönköping,0680,Kommunal,Jönköping,2120000530,45,"13,3","55,6","31,1",.,.,.,.,86,"3,5","80,2","16,3",41,"17,1","70,7","12,2",2018
Strandskolan,23250615,Jönköping,0680,Enskild,Jönköpings Kristna Skolförening,8260017648,22,"50,0","40,9","9,1",.,.,.,.,23,"4,3","69,6","26,1",.,.,.,.,2018
Manhemsskolan,10617819,Kalix,2514,Kommunal,Kalix,2120002692,126,"4,8","46,8","48,4",.,.,.,.,130,"6,2","83,1","10,8",.,.,.,.,2018
Barkestorpsskolan,58215076,Kalmar,0880,Kommunal,Kalmar,2120000746,37,"8,1","78,4","13,5",.,.,.,.,56,"16,1","75,0","8,9",17,.,"76,5","23,5",2018
Falkenbergsskolan,99856371,Kalmar,0880,Kommunal,Kalmar,2120000746,77,"16,9","59,7","23,4",.,.,.,.,74,"16,2","81,1","2,7",.,.,.,.,2018
Funkaboskolan,21736926,Kalmar,0880,Kommunal,Kalmar,2120000746,80,"8,8","82,5","8,8",.,.,.,.,90,"5,6","88,9","5,6",.,.,.,.,2018
Kalmarsundsskolan,24092221,Kalmar,0880,Kommunal,Kalmar,2120000746,36,"8,3","41,7","50,0",.,.,.,.,67,"23,9","61,2","14,9",30,"10,0","60,0","30,0",2018
Lindsdalsskolorna,51848797,Kalmar,0880,Kommunal,Kalmar,2120000746,89,"10,1","52,8","37,1",.,.,.,.,92,"19,6","70,7","9,8",.,.,.,.,2018
Södermöreskolan,79012102,Kalmar,0880,Kommunal,Kalmar,2120000746,76,"9,2","71,1","19,7",.,.,.,.,74,"20,3","74,3","5,4",.,.,.,.,2018
Södra skolan,13936858,Kalmar,0880,Enskild,Södra skolan i Kalmar AB,5566966031,72,"8,3","51,4","40,3",.,.,.,.,72,"13,9","80,6","5,6",.,.,.,.,2018
Vasaskolan,18784702,Kalmar,0880,Kommunal,Kalmar,2120000746,45,"2,2","62,2","35,6",.,.,.,.,50,"12,0","80,0","8,0",.,.,.,.,2018
Västra Skolan Kalmar,94235119,Kalmar,0880,Enskild,CIS Kalmar AB,5565896213,36,.,"86,1","13,9",.,.,.,.,39,"5,1","84,6","10,3",.,.,.,.,2018
Carl Johanskolan,34231336,Karlsborg,1446,Kommunal,Karlsborg,2120001629,59,"5,1","69,5","25,4",.,.,.,.,66,"10,6","77,3","12,1",.,.,.,.,2018
Norrevångskolan,89878714,Karlshamn,1082,Kommunal,Karlshamn,2120000845,45,"2,2","51,1","46,7",.,.,.,.,46,"2,2","69,6","28,3",.,.,.,.,2018
Stenbackaskolan,16767324,Karlshamn,1082,Kommunal,Karlshamn,2120000845,90,"5,6","46,7","47,8",.,.,.,.,90,"27,8","53,3","18,9",.,.,.,.,2018
Thoren Framtid i Karlshamn,16249641,Karlshamn,1082,Enskild,Thoren Framtid AB,5567497051,.,.,.,.,.,.,.,.,32,"18,8","65,6","15,6",.,.,.,.,2018
Österslättsskolan,43859477,Karlshamn,1082,Kommunal,Karlshamn,2120000845,79,"11,4","51,9","36,7",.,.,.,.,98,"7,1","88,8","4,1",21,"4,8","57,1","38,1",2018
Bregårdsskolan åk 7-9,71762216,Karlskoga,1883,Kommunal,Karlskoga,2120001991,99,"4,0","66,7","29,3",.,.,.,.,105,"21,0","68,6","10,5",.,.,.,.,2018
Skrantaskolan,65654358,Karlskoga,1883,Kommunal,Karlskoga,2120001991,91,"13,2","60,4","26,4",.,.,.,.,113,"8,0","87,6","4,4",23,"13,0","78,3","8,7",2018
Österledskolan,34767418,Karlskoga,1883,Kommunal,Karlskoga,2120001991,79,"8,9","64,6","26,6",.,.,.,.,83,"3,6","81,9","14,5",.,.,.,.,2018
Friskolan Svettpärlan,93964634,Karlskrona,1080,Enskild,Friskolan Svettpärlan AB,5565570446,26,"3,8","69,2","26,9",.,.,.,.,26,"3,8","76,9","19,2",.,.,.,.,2018
Galären Rosenholm,10662754,Karlskrona,1080,Enskild,AcadeMedia fria grundskolor AB,5569320699,44,"2,3","86,4","11,4",.,.,.,.,42,"16,7","73,8","9,5",.,.,.,.,2018
Galären Trossö,64959079,Karlskrona,1080,Enskild,AcadeMedia fria grundskolor AB,5569320699,39,"7,7","84,6","7,7",.,.,.,.,38,"26,3","68,4","5,3",.,.,.,.,2018
Jändelskolan 7-9,20104552,Karlskrona,1080,Kommunal,Karlskrona,2120000829,99,"3,0","77,8","19,2",.,.,.,.,98,"5,1","89,8","5,1",.,.,.,.,2018
Karlskrona Montessorifriskola,67509465,Karlskrona,1080,Enskild,Karlskrona Montessorifriskola AB,5565030599,19,"15,8","57,9","26,3",.,.,.,.,20,"15,0","85,0",.,.,.,.,.,2018
Lyckeby kunskapscentrum F-9,55709634,Karlskrona,1080,Kommunal,Karlskrona,2120000829,80,"5,0","82,5","12,5",.,.,.,.,92,"7,6","85,9","6,5",.,.,.,.,2018
Musikugglan,93919365,Karlskrona,1080,Enskild,Tant Grön AB,5564127099,50,"12,0","68,0","20,0",.,.,.,.,50,"2,0","96,0","2,0",.,.,.,.,2018
Nättraby kunskapscentrum 7-9,26209081,Karlskrona,1080,Kommunal,Karlskrona,2120000829,.,.,.,.,.,.,.,.,77,"13,0","83,1","3,9",.,.,.,.,2018
Piggelinen,99469094,Karlskrona,1080,Enskild,Friskolan PANEA AB,5567260954,23,"4,3","82,6","13,0",.,.,.,.,23,"17,4","69,6","13,0",.,.,.,.,2018
Rosenholmskolan Sport College 7-9,89523926,Karlskrona,1080,Kommunal,Karlskrona,2120000829,48,"2,1","58,3","39,6",.,.,.,.,50,"8,0","68,0","24,0",.,.,.,.,2018
Rödebyskolan F-9,32421136,Karlskrona,1080,Kommunal,Karlskrona,2120000829,86,"17,4","60,5","22,1",.,.,.,.,87,"17,2","79,3","3,4",.,.,.,.,2018
Sunnadalskolan F-9,21608206,Karlskrona,1080,Kommunal,Karlskrona,2120000829,.,.,.,.,.,.,.,.,22,"22,7","77,3",.,26,"3,8","80,8","15,4",2018
Wämöskolan 7-9,63323984,Karlskrona,1080,Kommunal,Karlskrona,2120000829,60,"8,3","66,7","25,0",.,.,.,.,80,"8,8","82,5","8,8",18,"5,6","83,3","11,1",2018
Frödingskolan,22049068,Karlstad,1780,Kommunal,Karlstad,2120001850,15,"6,7","86,7","6,7",.,.,.,.,33,"18,2","78,8","3,0",17,"23,5","58,8","17,6",2018
Hultsbergsskolan 7-9,99406709,Karlstad,1780,Kommunal,Karlstad,2120001850,46,"2,2","56,5","41,3",.,.,.,.,44,"9,1","84,1","6,8",.,.,.,.,2018
Ilandaskolan,27418903,Karlstad,1780,Kommunal,Karlstad,2120001850,110,"5,5","68,2","26,4",.,.,.,.,.,.,.,.,.,.,.,.,2018
Internationella Engelska Skolan Karlstad,93730568,Karlstad,1780,Enskild,Internationella Engelska Skolan i Sverige AB,5564624368,104,"10,6","26,9","62,5",.,.,.,.,109,"7,3","72,5","20,2",.,.,.,.,2018
Mariebergsskolan,81424988,Karlstad,1780,Kommunal,Karlstad,2120001850,68,"7,4","45,6","47,1",.,.,.,.,74,"23,0","71,6","5,4",.,.,.,.,2018
Norrstrandsskolan Terra Ignis,83999935,Karlstad,1780,Kommunal,Karlstad,2120001850,61,"14,8","50,8","34,4",.,.,.,.,66,"25,8","71,2","3,0",.,.,.,.,2018
Norrstrandsskolan Ventus Aqua,57635312,Karlstad,1780,Kommunal,Karlstad,2120001850,73,"11,0","65,8","23,3",.,.,.,.,73,"21,9","76,7","1,4",.,.,.,.,2018
Nyeds skola,41081474,Karlstad,1780,Kommunal,Karlstad,2120001850,33,"6,1","72,7","21,2",.,.,.,.,33,.,"87,9","12,1",.,.,.,.,2018
Rudsskolan,23345056,Karlstad,1780,Kommunal,Karlstad,2120001850,121,"8,3","57,9","33,9",.,.,.,.,135,"16,3","70,4","13,3",17,.,"58,8","41,2",2018
Vålbergsskolan 4-9,80659104,Karlstad,1780,Kommunal,Karlstad,2120001850,40,.,"57,5","42,5",.,.,.,.,39,"2,6","89,7","7,7",.,.,.,.,2018
Järvenskolan Södra,99117726,Katrineholm,0483,Kommunal,Katrineholm,2120000340,141,"36,2","47,5","16,3",.,.,.,.,156,"22,4","71,2","6,4",32,"3,1","50,0","46,9",2018
Järvenskolan Tallås,99013754,Katrineholm,0483,Kommunal,Katrineholm,2120000340,132,"9,1","66,7","24,2",.,.,.,.,.,.,.,.,15,.,"86,7","13,3",2018
Kunskapsskolan Katrineholm,16603772,Katrineholm,0483,Enskild,Kunskapsskolan i Sverige Aktiebolag,5565661815,63,"4,8","71,4","23,8",.,.,.,.,70,"2,9","84,3","12,9",.,.,.,.,2018
Sannerudsskolan 8-9,83291761,Kil,1715,Kommunal,Kil,2120001751,80,"10,0","67,5","22,5",.,.,.,.,82,"13,4","69,5","17,1",.,.,.,.,2018
Värgårdsskolan 7-9,75296593,Kinda,0513,Kommunal,Kinda,2120000399,87,"11,5","65,5","23,0",.,.,.,.,97,"20,6","66,0","13,4",.,.,.,.,2018
Friluftsskolan Vargen,73281949,Kiruna,2584,Enskild,Vargen i Kiruna AB,5568215999,22,"36,4","50,0","13,6",.,.,.,.,22,"13,6","81,8","4,5",.,.,.,.,2018
Högalidskolan 7-9,80693905,Kiruna,2584,Kommunal,Kiruna,2120002783,93,"15,1","64,5","20,4",.,.,.,.,90,"18,9","65,6","15,6",.,.,.,.,2018
Nya Raketskolan 6-9,43351950,Kiruna,2584,Kommunal,Kiruna,2120002783,60,"5,0","36,7","58,3",.,.,.,.,61,"6,6","77,0","16,4",.,.,.,.,2018
Triangelskolan,14938538,Kiruna,2584,Kommunal,Kiruna,2120002783,19,"5,3","68,4","26,3",.,.,.,.,19,.,"52,6","47,4",.,.,.,.,2018
Vittangi skola,76314428,Kiruna,2584,Kommunal,Kiruna,2120002783,.,.,.,.,.,.,.,.,18,"5,6","55,6","38,9",.,.,.,.,2018
Klippans friskola,39391255,Klippan,1276,Enskild,Klippans friskola Ekonomisk förening,7696315089,21,"23,8","42,9","33,3",.,.,.,.,20,"5,0","65,0","30,0",.,.,.,.,2018
Ljungbyhedsskolan,75091646,Klippan,1276,Kommunal,Klippan,2120000928,25,.,"40,0","60,0",.,.,.,.,26,"3,8","76,9","19,2",.,.,.,.,2018
Snyggatorpsskolan 1,10822811,Klippan,1276,Kommunal,Klippan,2120000928,79,"20,3","39,2","40,5",.,.,.,.,90,"17,8","54,4","27,8",.,.,.,.,2018
Alsike skola,49742321,Knivsta,0330,Kommunal,Knivsta,2120003013,64,"9,4","65,6","25,0",.,.,.,.,63,"17,5","71,4","11,1",.,.,.,.,2018
Margarethaskolan,51867275,Knivsta,0330,Enskild,Knivsta Friskola Ekonomisk Förening,7696042618,18,"11,1","61,1","27,8",.,.,.,.,17,.,"94,1","5,9",.,.,.,.,2018
Thunmanskolan,92364234,Knivsta,0330,Kommunal,Knivsta,2120003013,108,"14,8","60,2","25,0",.,.,.,.,106,"47,2","50,0","2,8",.,.,.,.,2018
Gudmundråskolan,11159060,Kramfors,2282,Kommunal,Kramfors,2120002429,60,"20,0","56,7","23,3",.,.,.,.,63,"4,8","84,1","11,1",.,.,.,.,2018
Högakustenskolan,75515918,Kramfors,2282,Kommunal,Kramfors,2120002429,47,"2,1","78,7","19,1",.,.,.,.,45,"17,8","60,0","22,2",.,.,.,.,2018
Ytterlännässkolan,30403490,Kramfors,2282,Kommunal,Kramfors,2120002429,39,"12,8","71,8","15,4",.,.,.,.,40,"10,0","72,5","17,5",.,.,.,.,2018
Antonskolan Blekedamm,14555807,Kristianstad,1290,Enskild,Anton Utbildning AB,5566024906,19,"5,3","78,9","15,8",.,.,.,.,21,"47,6","47,6","4,8",.,.,.,.,2018
Antonskolan Österäng,57538739,Kristianstad,1290,Enskild,Anton Utbildning AB,5566024906,.,.,.,.,.,.,.,.,22,"40,9","50,0","9,1",.,.,.,.,2018
Degebergaskolan MH,58419840,Kristianstad,1290,Kommunal,Kristianstad,2120000951,35,"2,9","80,0","17,1",.,.,.,.,38,"18,4","81,6",.,.,.,.,.,2018
Fjälkinge skola MH,13867770,Kristianstad,1290,Kommunal,Kristianstad,2120000951,40,"10,0","57,5","32,5",.,.,.,.,42,"2,4","69,0","28,6",.,.,.,.,2018
