skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_sv_tcv25,skolverket_andel_sv_tcv25,skolverket_and_uppn_alla_amnen_sv_tcv25,skolverket_and_behorig_sv_tcv25,skolverket_gmv_sv_tcv25,skolverket_antal_f_sv_tcv25,skolverket_andel_f_sv_tcv25,skolverket_and_uppn_alla_amnen_f_sv_tcv25,skolverket_and_behorig_f_sv_tcv25,skolverket_gmv_f_sv_tcv25,skolverket_antal_f_utl_tcv25,skolverket_andel_f_utl_tcv25,skolverket_and_uppn_alla_amnen_f_utl_tcv25,skolverket_and_behorig_f_utl_tcv25,skolverket_gmv_f_utl_tcv25,year
Kalmar,Lindsdalsskolan,Kommunal,Kalmar,51848797,86,"91,5","88,4",~100,"209,2",..,..,..,..,..,..,..,..,..,..,2013
Kalmar,Södermöreskolan,Kommunal,Kalmar,79012102,67,"95,7","86,6","92,5","203,2",..,..,.,.,.,..,..,..,..,..,2013
Kalmar,Vasa skolområde,Kommunal,Kalmar,51627420,43,"69,4","90,7",~100,"229,4",..,..,"90,9","100,0","201,6",..,..,..,..,..,2013
Kalmar,Östra Funkaboskolan,Kommunal,Kalmar,12852899,70,"76,1","85,7","90,0","213,9",12,"13,0","83,3",~100,"227,9",10,"10,9",..,..,"164,3",2013
Karlsborg,Carl Johanskolan,Kommunal,Karlsborg,34231336,58,"95,1","91,4",~100,"212,9",..,..,..,..,..,..,..,..,..,..,2013
Karlshamn,Norrevångskolan,Kommunal,Karlshamn,89878714,54,"91,5","59,3","87,0","197,9",..,..,..,..,..,..,..,..,..,..,2013
Karlshamn,Stenbackaskolan,Kommunal,Karlshamn,16767324,78,"89,7","70,5","89,7","214,9",..,..,..,..,..,..,..,..,..,..,2013
Karlshamn,Österslättsskolan A,Kommunal,Karlshamn,72744832,80,"87,0","71,3","86,3","210,9",..,..,..,..,..,..,..,..,..,..,2013
Karlshamn,Österslättsskolan B,Kommunal,Karlshamn,56399024,41,"71,9","78,0","87,8","196,3",..,..,..,..,..,..,..,..,..,"151,9",2013
Karlskoga,Karlbergsskolan åk 7-9,Kommunal,Karlskoga,71762216,90,"82,6","77,8","87,8","210,4",..,..,..,..,..,..,..,..,..,"163,6",2013
Karlskoga,Skranta skola,Kommunal,Karlskoga,65654358,95,"78,5","85,3","92,6","216,9",14,"11,6","85,7",~100,"227,9",12,"9,9",..,..,"146,0",2013
Karlskoga,Österledskolan,Kommunal,Karlskoga,34767418,85,"85,0","65,9","76,5","197,4",..,..,..,..,..,..,..,..,..,..,2013
Karlskrona,Jändelskolan 6-9,Kommunal,Karlskrona,20104552,69,"95,8","76,8","91,3","199,1",..,..,..,..,..,..,..,..,..,..,2013
Karlskrona,Nättrabyskolan 6-9,Kommunal,Karlskrona,26209081,41,"97,6","80,5",~100,"207,3",..,..,..,..,..,..,..,.,.,.,2013
Karlskrona,Rosenholmskolan Sport College,Kommunal,Karlskrona,89523926,42,"95,5","100,0","100,0","233,3",..,..,.,.,.,..,..,..,..,..,2013
Karlskrona,Rödebyskolan 6-9,Kommunal,Karlskrona,32421136,73,"93,6","61,6","78,1","186,5",..,..,.,.,..,..,..,..,..,..,2013
Karlskrona,Sunnadalskolan 7-9,Kommunal,Karlskrona,68263602,..,..,..,..,..,..,..,..,..,..,28,"73,7","53,6","60,7","177,7",2013
Karlskrona,Vedebyskolan,Kommunal,Karlskrona,55709634,75,"90,4","66,7","84,0","196,7",..,..,..,..,..,..,..,..,..,..,2013
Karlskrona,"Wämöskolan, Wämö",Kommunal,Karlskrona,63323984,53,"73,6","79,2","88,7","214,2",..,..,..,..,..,..,..,..,..,"155,9",2013
Karlstad,Frödingskolan 7-9,Kommunal,Karlstad,29058107,32,"58,2","81,3",~100,"213,5",..,..,..,..,..,..,..,..,"66,7","186,8",2013
Karlstad,Hultsbergsskolan 6-9,Kommunal,Karlstad,99406709,65,"84,4","86,2",~100,"206,7",..,..,..,..,..,..,..,..,..,..,2013
Karlstad,Ilandaskolan,Kommunal,Karlstad,27418903,106,"93,8","94,3",~100,"227,4",..,..,..,..,..,..,..,..,..,..,2013
Karlstad,Mariebergsskolan,Kommunal,Karlstad,81424988,83,"89,2","72,3","94,0","204,1",..,..,..,..,..,..,..,..,..,..,2013
Karlstad,Norrstrandsskolan Alfa,Kommunal,Karlstad,83999935,55,"90,2","94,5",~100,"212,4",..,..,..,..,..,..,..,..,..,..,2013
Karlstad,Norrstrandsskolan Beta/Ga,Kommunal,Karlstad,57635312,107,"93,0","82,2","95,3","214,8",..,..,..,..,..,..,..,..,..,..,2013
Karlstad,Nyeds skola 4-9,Kommunal,Karlstad,32255602,38,"92,7","81,6","86,8","225,8",..,..,.,.,.,..,..,..,..,..,2013
Karlstad,Rudsskolan Atl/Dan,Kommunal,Karlstad,85833115,69,"85,2","85,5","92,8","218,7",..,..,..,..,..,..,..,..,..,..,2013
Karlstad,Rudsskolan Bal/Oce,Kommunal,Karlstad,91487596,49,"84,5","87,8",~100,"217,7",..,..,..,..,..,..,..,..,..,..,2013
Karlstad,Vålbergsskolan 4-9,Kommunal,Karlstad,80659104,50,"98,0","74,0","84,0","205,5",..,..,.,.,.,..,..,..,..,..,2013
Katrineholm,Nyhemsskolan 7-9,Kommunal,Katrineholm,19216121,66,"67,3","56,1","63,6","176,5",14,"14,3",..,..,"186,4",18,"18,4",..,..,"120,0",2013
Katrineholm,Södra skolan,Kommunal,Katrineholm,43723580,100,"82,6","70,0","82,0","200,4",11,"9,1",..,..,"198,6",10,"8,3",..,..,..,2013
Katrineholm,Tallåsskolan,Kommunal,Katrineholm,14164796,77,"73,3","81,8","90,9","219,0",..,..,..,..,..,..,..,..,..,"120,4",2013
Kil,Sannerudsskolan 7-9,Kommunal,Kil,17665080,122,"93,8","73,8","87,7","207,3",..,..,..,..,..,..,..,..,..,..,2013
Kinda,Värgårdsskolan,Kommunal,Kinda,75296593,91,"93,8","87,9","94,5","210,9",..,..,..,..,..,..,..,..,..,..,2013
Kiruna,Abisko skolan,Kommunal,Kiruna,76026322,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Kiruna,Högalidskolan 7-9,Kommunal,Kiruna,80693905,83,"88,3","69,9","85,5","218,7",..,..,..,..,..,..,..,..,..,..,2013
Kiruna,Karesuando skola,Kommunal,Kiruna,79467784,12,"92,3","91,7","100,0","218,8",..,..,.,.,.,..,..,..,..,..,2013
Kiruna,Raketskolan 6-9,Kommunal,Kiruna,43351950,83,"96,5","65,1","79,5","189,9",..,..,.,.,.,..,..,..,..,..,2013
Kiruna,Svappavaara skola,Kommunal,Kiruna,21462543,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Kiruna,Triangelskolan,Kommunal,Kiruna,14938538,20,"87,0","65,0","65,0","198,1",..,..,.,.,.,..,..,..,..,..,2013
Klippan,Ljungbyhedsskolan 1,Kommunal,Klippan,75091646,57,"90,5","80,7","89,5","212,0",..,..,.,.,.,..,..,..,..,..,2013
Klippan,Snyggatorpsskolan 1,Kommunal,Klippan,10822811,60,"92,3","71,7","85,0","213,4",..,..,..,..,..,..,..,..,..,..,2013
Klippan,Snyggatorpsskolan 2,Kommunal,Klippan,71644999,54,"80,6","74,1","83,3","200,8",..,..,..,..,..,..,..,..,"100,0","209,0",2013
Knivsta,Alsike skola,Kommunal,Knivsta,49742321,25,"92,6","80,0",~100,"218,8",..,..,..,..,..,..,..,.,.,.,2013
Knivsta,Thunmanskolan,Kommunal,Knivsta,92364234,96,"90,6","91,7","94,8","230,1",..,..,..,..,..,..,..,..,..,..,2013
Kramfors,Gudmundråskolan,Kommunal,Kramfors,11159060,73,"79,3","72,6","91,8","195,9",..,..,..,..,..,..,..,..,..,"148,5",2013
Kramfors,Högakustenskolan,Kommunal,Kramfors,75515918,40,"88,9","87,5",~100,"228,4",..,..,..,..,..,..,..,..,..,..,2013
Kramfors,Ytterlännässkolan,Kommunal,Kramfors,30403490,25,"83,3","88,0",~100,"209,6",..,..,.,..,..,..,..,..,..,..,2013
Kristianstad,Degebergaskolan 3-9,Kommunal,Kristianstad,54930405,34,"91,9","82,4",~100,"197,6",..,..,.,.,.,..,..,..,..,..,2013
Kristianstad,Fjälkinge skola,Kommunal,Kristianstad,12725451,35,"97,2","80,0","85,7","223,2",..,..,..,..,..,..,..,.,.,.,2013
Kristianstad,Fröknegårdskolan LM,Kommunal,Kristianstad,51988106,47,"38,2","80,9",~100,"231,2",29,"23,6","62,1",~100,"205,9",47,"38,2","36,2","46,8","158,8",2013
Kristianstad,Norretullskolan,Kommunal,Kristianstad,59782586,67,"69,1","77,6","88,1","196,0",..,..,..,..,..,..,..,..,"47,8","141,4",2013
Kristianstad,Nosabyskolan,Kommunal,Kristianstad,69725960,55,"55,0","81,8",~100,"226,5",23,"23,0","65,2",~100,"216,7",22,"22,0",..,"72,7","176,9",2013
Kristianstad,Rönnowskolan LM,Kommunal,Kristianstad,51801312,53,"100,0","92,5",~100,"224,5",.,.,.,.,.,.,.,.,.,.,2013
Kristianstad,Slättängsskolan LM,Kommunal,Kristianstad,50316106,42,"50,6","73,8",~100,"197,1",18,"21,7","55,6",~100,"185,6",23,"27,7",..,"43,5","148,0",2013
Kristianstad,Spängerskolan,Kommunal,Kristianstad,64694970,25,"92,6","64,0","80,0","179,3",..,..,.,.,.,..,..,.,..,..,2013
Kristianstad,Sånnaskolan LM,Kommunal,Kristianstad,41261089,62,"93,9","93,5",~100,"216,3",..,..,.,.,.,..,..,..,..,..,2013
Kristianstad,Tollarps skola L,Kommunal,Kristianstad,75994251,38,"86,4","78,9",~100,"214,2",..,..,..,..,..,..,..,..,..,..,2013
Kristianstad,Väskolan L,Kommunal,Kristianstad,70339689,48,"88,9","87,5",~100,"216,3",..,..,..,..,..,..,..,..,..,..,2013
Kristianstad,Öllsjöskolan LM,Kommunal,Kristianstad,88024354,25,"80,6","84,0",~100,"217,9",..,..,..,..,..,..,..,..,..,..,2013
Kristianstad,Önnestads skola LM,Kommunal,Kristianstad,55252770,50,"86,2","80,0","90,0","224,0",..,..,..,..,..,..,..,..,..,..,2013
Kristinehamn,Djurgårdsskolan 7-9,Kommunal,Kristinehamn,41433169,63,"94,0","77,8","82,5","216,7",..,..,..,..,..,..,..,..,..,..,2013
Kristinehamn,Stenstalidskolan 7-9,Kommunal,Kristinehamn,14885908,70,"90,9","82,9","87,1","208,5",..,..,..,..,..,..,..,..,..,..,2013
Kristinehamn,Södermalmsskolan 7-9,Kommunal,Kristinehamn,16272625,74,"78,7","74,3","81,1","207,3",..,..,..,..,..,..,..,"66,7","66,7","155,2",2013
Krokom,Cederbergskolan,Kommunal,Krokom,64778601,20,"95,2","95,0",~100,"212,3",..,..,.,.,.,..,..,.,.,..,2013
Krokom,Nyhedens skola,Kommunal,Krokom,40025257,75,"87,2","81,3","90,7","209,2",.,.,.,.,.,11,"12,8",..,..,"176,1",2013
Krokom,Ås skola,Kommunal,Krokom,25036442,29,"100,0","96,6",~100,"228,6",.,.,.,.,.,.,.,.,.,.,2013
Krokom,Änge skola,Kommunal,Krokom,25036714,30,"93,8","70,0",~100,"205,7",..,..,.,.,.,..,..,..,..,..,2013
Kumla,Kumlaby skola 6-9,Kommunal,Kumla,75692870,69,"84,1","73,9","91,3","207,6",..,..,..,..,..,..,..,..,..,"119,0",2013
Kumla,Skogstorpsskolan 6-9,Kommunal,Kumla,44243725,97,"92,4","86,6","88,7","220,5",..,..,..,..,..,..,..,..,..,..,2013
Kumla,Vialundskolan,Kommunal,Kumla,99992013,51,"71,8","52,9","68,6","183,5",..,..,..,..,..,..,..,..,~100,"215,8",2013
Kungsbacka,Frillesåsskolan 6-9,Kommunal,Kungsbacka,10927868,43,"97,7","90,7",~100,"220,8",..,..,.,.,.,..,..,.,.,..,2013
Kungsbacka,Fullriggaren Malevik 4-9,Kommunal,Kungsbacka,33170625,36,"92,3","97,2","100,0","246,7",..,..,..,..,..,..,..,..,..,..,2013
Kungsbacka,Hedeskolan 4-9,Kommunal,Kungsbacka,11231816,38,"92,7","94,7",~100,"229,1",..,..,..,..,..,..,..,..,..,..,2013
Kungsbacka,Hålabäcksskolan,Kommunal,Kungsbacka,99688470,66,"91,7","80,3","87,9","211,3",..,..,..,..,..,..,..,.,.,..,2013
Kungsbacka,Kapareskolan A-D,Kommunal,Kungsbacka,28803215,63,"94,0","84,1",~100,"216,3",..,..,.,.,.,..,..,..,..,..,2013
Kungsbacka,Kapareskolan E-H,Kommunal,Kungsbacka,84111198,40,"93,0","82,5","85,0","198,6",..,..,..,..,..,..,..,..,..,..,2013
Kungsbacka,Kullaviksskolan Nidingen,Kommunal,Kungsbacka,75835202,76,"96,2","89,5",~100,"240,1",..,..,..,..,..,..,..,..,..,..,2013
Kungsbacka,Kullenskolan,Kommunal,Kungsbacka,77574230,..,..,.,..,..,..,..,.,.,.,.,.,.,.,.,2013
Kungsbacka,Presseskolan 7-9,Kommunal,Kungsbacka,28271314,36,"90,0","88,9",~100,"225,1",..,..,.,.,.,..,..,..,..,..,2013
Kungsbacka,Smedingeskolan B,Kommunal,Kungsbacka,29293076,78,"94,0","85,9","91,0","207,1",..,..,..,..,..,..,..,..,..,..,2013
Kungsbacka,Särö skola 4-9,Kommunal,Kungsbacka,72090315,45,"93,8","93,3",~100,"233,9",..,..,..,..,..,..,..,..,..,..,2013
Kungsbacka,Toråsskolan 4-9,Kommunal,Kungsbacka,14101582,46,"93,9","87,0",~100,"199,9",..,..,.,.,.,..,..,..,..,..,2013
Kungsbacka,Varlaskolan norra,Kommunal,Kungsbacka,37101902,47,"97,9","83,0",~100,"221,8",..,..,.,.,.,..,..,..,..,..,2013
Kungsbacka,Varlaskolan södra,Kommunal,Kungsbacka,70143574,92,"95,8","87,0","100,0","229,2",..,..,.,.,.,..,..,..,..,..,2013
Kungsbacka,Åsa Gårds skola 4-9,Kommunal,Kungsbacka,16824824,23,"95,8","82,6",~100,"211,8",..,..,.,.,.,..,..,.,.,..,2013
Kungsbacka,Åsaskolan 4-9,Kommunal,Kungsbacka,18035112,42,"91,3","83,3","88,1","213,8",..,..,..,..,..,..,..,..,..,..,2013
Kungsbacka,Älvsåkersskolan 4-9,Kommunal,Kungsbacka,74587667,42,"93,3","81,0",~100,"220,9",..,..,..,..,..,..,..,..,..,..,2013
Kungsör,Kung Karls skola,Kommunal,Kungsör,46834580,69,"88,5","79,7","85,5","205,6",..,..,..,..,..,..,..,..,..,..,2013
Kungälv,Munkegärdeskolan,Kommunal,Kungälv,51596946,97,"91,5","84,5","89,7","219,9",..,..,..,..,..,..,..,..,..,..,2013
Kungälv,Thorildskolan,Kommunal,Kungälv,73505986,102,"84,3","70,6","94,1","208,3",..,..,..,~100,"194,8",..,..,..,..,..,2013
Kungälv,"Ytterbyskolan 1,2",Kommunal,Kungälv,94523247,87,"98,9","83,9",~100,"227,8",..,..,.,.,.,..,..,..,..,..,2013
Kungälv,"Ytterbyskolan 3,4",Kommunal,Kungälv,63621283,59,"95,2","91,5",~100,"216,8",..,..,.,..,..,..,..,..,..,..,2013
Kävlinge,Korsbackaskolan,Kommunal,Kävlinge,46107605,96,"88,9","82,3","90,6","203,9",..,..,..,..,..,..,..,..,"100,0","194,8",2013
Kävlinge,Tolvåkerskolan,Kommunal,Kävlinge,13578112,74,"92,5","87,8","93,2","230,7",..,..,..,..,..,..,..,..,..,..,2013
Köping,Karlbergsskolan,Kommunal,Köping,31319179,85,"83,3","71,8","89,4","209,3",..,..,..,..,..,..,..,..,..,"158,8",2013
Köping,Malmaskolan 3-9,Kommunal,Köping,49665496,54,"96,4","88,9",~100,"215,4",..,..,.,..,..,..,..,..,..,..,2013
Köping,Scheeleskolan,Kommunal,Köping,24379201,66,"68,0","66,7","83,3","196,0",11,"11,3",..,..,"151,4",20,"20,6",..,..,"135,5",2013
Laholm,Lagaholmsskolan,Kommunal,Laholm,50150550,104,"88,9","75,0","86,5","216,2",..,..,..,..,..,..,..,..,..,..,2013
Laholm,Veingeskolan 7-9,Kommunal,Laholm,95134514,68,"86,1","85,3","89,7","217,0",..,..,..,..,..,..,..,..,..,..,2013
Laholm,Våxtorpsskolan 7-9,Kommunal,Laholm,35795213,54,"87,1","83,3",~100,"206,2",..,..,..,..,..,..,..,..,..,..,2013
Landskrona,Asmundtorps skola 7-9,Kommunal,Landskrona,70803452,21,"84,0","76,2",~100,"216,5",..,..,..,..,..,..,..,..,..,..,2013
Landskrona,Estet College,Kommunal,Landskrona,63055510,..,..,.,.,..,..,..,.,..,..,..,..,..,..,..,2013
Landskrona,Glumslövs skola,Kommunal,Landskrona,30917121,29,"90,6","96,6",~100,"237,6",..,..,..,..,..,..,..,.,.,.,2013
Landskrona,Junior College,Kommunal,Landskrona,97823288,..,..,..,..,..,16,"55,2",..,"62,5","164,7",..,..,..,..,..,2013
Landskrona,Sandåkerskolan 1,Kommunal,Landskrona,65652546,45,"83,3","86,7",~100,"233,7",..,..,..,..,..,..,..,..,..,..,2013
Landskrona,Seminarieskolan 7-9,Kommunal,Landskrona,22078228,..,..,..,..,..,..,..,"65,0","65,0","208,0",23,"47,9","43,5","47,8","184,5",2013
Landskrona,Västervångskolan 7-9,Kommunal,Landskrona,29541747,66,"61,7","80,3","92,4","212,3",26,"24,3","61,5",~100,"220,7",15,"14,0",..,~100,"204,0",2013
Laxå,Centralskolan,Kommunal,Laxå,24748604,55,"79,7","80,0","89,1","195,5",..,..,..,..,..,..,..,..,..,..,2013
Lekeberg,Lekebergsskolan 7-9,Kommunal,Lekeberg,97648883,54,"98,2","72,2","85,2","206,8",..,..,.,.,.,..,..,..,..,..,2013
Leksand,Insjöns skola,Kommunal,Leksand,62927602,30,"100,0","66,7",~100,"197,2",.,.,.,.,.,.,.,.,.,.,2013
Leksand,Sammilsdalskolan 7-9,Kommunal,Leksand,99792496,99,"92,5","91,9",~100,"221,4",..,..,..,..,..,..,..,..,..,..,2013
Leksand,Åkerö skola 7-9,Kommunal,Leksand,28235575,37,"92,5","83,8","83,8","207,6",..,..,.,.,..,..,..,..,..,..,2013
Lerum,Alléskolan,Kommunal,Lerum,17313432,114,"92,7","81,6","94,7","222,3",..,..,..,..,..,..,..,..,..,..,2013
Lerum,Ljungviksskolan,Kommunal,Lerum,41823753,33,"78,6","97,0","100,0","213,5",..,..,..,..,..,..,..,..,..,..,2013
Lerum,Rydsbergsskolan,Kommunal,Lerum,50281921,53,"88,3","88,7",~100,"228,9",..,..,..,..,..,..,..,..,..,..,2013
Lerum,Röselidsskolan,Kommunal,Lerum,63428977,33,"91,7","87,9","100,0","209,7",..,..,..,..,..,..,..,..,..,..,2013
Lerum,Stenkulan,Kommunal,Lerum,98561879,49,"89,1","79,6",~100,"203,1",..,..,..,..,..,..,..,..,..,..,2013
Lerum,Torpskolan,Kommunal,Lerum,76968645,112,"91,8","85,7","95,5","218,4",..,..,..,..,..,..,..,..,..,..,2013
Lessebo,Bikupan,Kommunal,Lessebo,74218950,59,"77,6","64,4","83,1","175,4",..,..,..,..,..,..,..,..,..,"131,6",2013
Lidingö,Bodals skola,Kommunal,Lidingö,98780182,25,"69,4","96,0","100,0","250,2",..,..,..,..,..,..,..,..,..,..,2013
Lidingö,Dalskolan,Kommunal,Lidingö,76738650,..,..,..,..,..,.,.,.,.,.,..,..,.,..,..,2013
Lidingö,Högsätra internationella kl 2,Kommunal,Lidingö,11253933,..,..,.,.,.,.,.,.,.,.,..,..,.,.,.,2013
Lidingö,Högsätra skola 2,Kommunal,Lidingö,49631077,45,"76,3","95,6","100,0","249,6",.,.,.,.,.,14,"23,7",..,~100,"183,0",2013
Lidingö,Källängens skola,Kommunal,Lidingö,69329486,107,"96,4","98,1","100,0","254,8",..,..,..,..,..,..,..,..,..,..,2013
Lidingö,Käppala skola 2,Kommunal,Lidingö,20137688,59,"89,4","96,6","100,0","238,6",..,..,..,..,..,..,..,..,..,..,2013
Lidingö,Kärnskolan,Kommunal,Lidingö,13696709,..,..,.,..,..,..,..,.,..,..,..,..,.,..,..,2013
Lidingö,Torsviks skola 3,Kommunal,Lidingö,45104329,105,"90,5","93,3",~100,"250,6",..,..,..,..,..,..,..,..,..,..,2013
Lidköping,Dalängskolan,Kommunal,Lidköping,37707717,136,"92,5","86,0","91,2","217,7",..,..,..,..,..,..,..,..,..,..,2013
Lidköping,Fredriksdalskolan,Kommunal,Lidköping,25486432,95,"81,9","73,7","90,5","214,7",..,..,..,..,..,..,..,"66,7",~100,"194,5",2013
Lidköping,Rudenschöldskolan,Kommunal,Lidköping,52152242,136,"95,1","83,1","89,0","219,9",..,..,..,..,..,..,..,..,..,..,2013
Lilla Edet,Fuxernaskolan 7-9,Kommunal,Lilla Edet,22512947,49,"87,5","65,3","89,8","176,6",..,..,..,..,..,..,..,..,..,..,2013
Lilla Edet,Tingbergsskolan 7-9,Kommunal,Lilla Edet,48148032,61,"93,8","75,4","86,9","199,4",..,..,..,..,..,..,..,..,..,..,2013
Lindesberg,Fröviskolan 7-9,Kommunal,Lindesberg,81993942,60,"88,2","61,7","85,0","192,7",..,..,..,..,..,..,..,..,..,..,2013
Lindesberg,Stadsskogsskolan 1,Kommunal,Lindesberg,11576148,60,"87,0","86,7","91,7","211,6",..,..,.,.,.,..,..,..,..,..,2013
Lindesberg,Stadsskogsskolan 2,Kommunal,Lindesberg,29424201,63,"80,8","65,1","77,8","190,3",..,..,..,..,..,..,..,..,..,"143,3",2013
Lindesberg,Storåskolan,Kommunal,Lindesberg,88486410,35,"92,1","74,3","82,9","192,2",..,..,.,.,.,..,..,..,..,..,2013
Linköping,Berzeliusskolan grundskola,Kommunal,Linköping,62868366,125,"69,4","83,2","89,6","222,6",30,"16,7","96,7","100,0","230,8",25,"13,9","80,0",~100,"214,2",2013
Linköping,Ekholmsskolan,Kommunal,Linköping,96360048,79,"84,9","87,3","91,1","221,3",..,..,..,..,..,..,..,..,..,..,2013
Linköping,Folkungaskolan grundskola,Kommunal,Linköping,65857121,87,"92,6","97,7",~100,"262,0",..,..,..,..,..,..,..,..,..,..,2013
Linköping,Internationella skolan Atlas,Kommunal,Linköping,84408578,42,"77,8","97,6",~100,"256,0",..,..,..,..,..,..,..,..,..,..,2013
Linköping,Kungsbergsskolan,Kommunal,Linköping,69901106,104,"92,0","74,0","86,5","198,0",..,..,..,..,..,..,..,..,..,..,2013
Linköping,Kärna skola,Kommunal,Linköping,36579596,69,"97,2","75,4","89,9","207,9",..,..,..,..,..,..,..,..,..,..,2013
Linköping,Linghemsskolan,Kommunal,Linköping,93274980,75,"98,7","82,7",~100,"209,3",..,..,.,..,..,..,..,.,.,.,2013
Linköping,Ljungsbro skola,Kommunal,Linköping,53361064,71,"98,6","83,1","93,0","209,2",..,..,..,..,..,..,..,.,.,.,2013
Linköping,Nya Rydsskolan,Kommunal,Linköping,94781421,..,..,..,"100,0","230,4",..,..,..,..,..,23,"56,1",..,"52,2","157,4",2013
Linköping,Skäggetorpskolan,Kommunal,Linköping,46577157,15,"14,3",..,"66,7","172,0",25,"23,8","60,0",~100,"190,9",65,"61,9","44,6","66,2","170,6",2013
Linköping,Slussenskolan,Kommunal,Linköping,77844194,..,..,.,..,..,..,..,.,.,.,.,.,.,.,.,2013
Linköping,Stångåskolan,Kommunal,Linköping,25519969,..,..,.,..,..,.,.,.,.,.,..,..,.,.,..,2013
Linköping,Tinnerbäcksskolan,Kommunal,Linköping,24877681,..,..,..,..,..,..,..,.,.,..,..,..,.,..,..,2013
Linköping,Tokarpsskolan,Kommunal,Linköping,76714455,46,"97,9","87,0",~100,"220,1",..,..,.,.,.,..,..,..,..,..,2013
Linköping,Tornhagsskolan,Kommunal,Linköping,49971344,38,"48,7","73,7",~100,"217,5",23,"29,5","69,6",~100,"206,2",17,"21,8","70,6",~100,"211,5",2013
Linköping,Ånestadsskolan,Kommunal,Linköping,76049947,38,"46,9","78,9",~100,"231,4",..,..,..,..,..,..,..,..,"34,3","140,1",2013
Ljungby,Astradskolan 2,Kommunal,Ljungby,90628474,92,"81,4","75,0","94,6","217,7",..,..,..,..,..,..,..,..,~100,"171,8",2013
Ljungby,Kungshögsskolan 2,Kommunal,Ljungby,87262274,37,"82,2","83,8",~100,"230,7",..,..,.,..,..,..,..,..,..,..,2013
Ljungby,Kungshögsskolan 3,Kommunal,Ljungby,96958960,57,"86,4","75,4","86,0","203,6",..,..,..,..,..,..,..,..,..,..,2013
Ljungby,Åbyskolan 2,Kommunal,Ljungby,75853223,32,"82,1","84,4",~100,"209,1",..,..,..,..,..,..,..,..,..,..,2013
Ljusdal,Färila skola,Kommunal,Ljusdal,36425969,29,"87,9","93,1",~100,"216,8",..,..,.,.,.,..,..,..,..,..,2013
Ljusdal,Los skola,Kommunal,Ljusdal,87366152,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Ljusdal,Ramsjö skola,Kommunal,Ljusdal,27980866,..,..,..,..,..,..,..,.,.,.,.,.,.,.,.,2013
Ljusdal,Stenhamreskolan 7-9,Kommunal,Ljusdal,48142004,37,"68,5","70,3","83,8","207,6",.,.,.,.,.,17,"31,5",..,..,"128,0",2013
Ljusdal,Öjeskolan,Kommunal,Ljusdal,47378558,34,"97,1","79,4",~100,"219,0",..,..,.,.,.,..,..,.,.,..,2013
Ljusnarsberg,Kyrkbacksskolan,Kommunal,Ljusnarsberg,82038420,42,"84,0","59,5","83,3","177,4",..,..,..,..,..,..,..,..,..,..,2013
Lomma,Bjärehovskolan,Kommunal,Lomma,41254600,71,"89,9","98,6",~100,"250,4",..,..,..,..,..,..,..,..,..,..,2013
Lomma,Pilängskolan,Kommunal,Lomma,15610637,94,"88,7","91,5",~100,"236,0",..,..,..,..,..,..,..,..,..,..,2013
Lomma,Rutsborgskolan,Kommunal,Lomma,19570704,55,"96,5","94,5",~100,"250,2",..,..,.,.,.,..,..,..,..,..,2013
Ludvika,Kyrkskolan 7-9,Kommunal,Ludvika,28230949,86,"84,3","80,2","87,2","203,9",..,..,..,..,..,..,..,..,..,"157,3",2013
Ludvika,Lorensbergaskolan 7-9,Kommunal,Ludvika,47736072,104,"87,4","76,9","89,4","201,1",..,..,..,..,..,..,..,..,..,"121,5",2013
Ludvika,Parkskolan,Kommunal,Ludvika,61260328,28,"90,3","78,6",~100,"188,8",..,..,.,.,.,..,..,..,..,..,2013
Luleå,Bergskolan,Kommunal,Luleå,72942852,90,"97,8","91,1","100,0","226,0",..,..,..,..,..,..,..,.,.,..,2013
Luleå,Björkskataskolan,Kommunal,Luleå,89477984,84,"87,5","77,4","89,3","196,1",..,..,..,..,..,..,..,..,..,"132,8",2013
Luleå,Hertsöskolan 7-9,Kommunal,Luleå,15579589,66,"83,5","66,7","84,8","198,9",..,..,..,..,..,..,..,..,..,..,2013
Luleå,Kråkbergsskolan,Kommunal,Luleå,46323920,50,"96,2","94,0","100,0","243,2",..,..,..,..,..,..,..,.,.,.,2013
Luleå,Montessori 7-9,Kommunal,Luleå,35085794,21,"80,8","90,5",~100,"232,1",..,..,..,..,..,..,..,..,..,..,2013
Luleå,Residensskolan 7-9,Kommunal,Luleå,73462793,21,"80,8","76,2",~100,"226,4",..,..,..,..,..,..,..,..,..,..,2013
Luleå,Råneskolan 7-9,Kommunal,Luleå,22462490,40,"95,2","77,5",~100,"203,3",..,..,.,.,.,..,..,..,..,..,2013
Luleå,Stadsöskolan 7-9,Kommunal,Luleå,95536453,79,"94,0","94,9",~100,"231,2",..,..,..,..,..,..,..,..,..,..,2013
Luleå,Tunaskolan 7-9,Kommunal,Luleå,43539193,46,"83,6","78,3","87,0","211,8",..,..,..,..,..,..,..,..,..,..,2013
Luleå,Örnässkolan 7-9,Kommunal,Luleå,20104143,52,"83,9","92,3",~100,"205,2",..,..,..,..,..,..,..,..,..,..,2013
