skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,year
Göteborg,Nygårdsskolan 4-9,Kommunal,Göteborg,65651613,39,"79,5","87,2","256,5",2018
Göteborg,Nytorpsskolan 4-9,Kommunal,Göteborg,16396010,68,"42,6","57,4","178,7",2018
Göteborg,Påvelundsskolan 7-9 A,Kommunal,Göteborg,33511119,69,"84,1",~100,"255,8",2018
Göteborg,Påvelundsskolan 7-9 B,Kommunal,Göteborg,43441529,113,"90,3","94,7","252,9",2018
Göteborg,Ryaskolan 4-9,Kommunal,Göteborg,28890717,41,"48,8","68,3","187,4",2018
Göteborg,Sandeklevsskolan 2,Kommunal,Göteborg,91683255,42,"52,4","66,7","182,1",2018
Göteborg,Sannaskolan 2,Kommunal,Göteborg,42792002,106,"55,7","70,8","208,1",2018
Göteborg,Santosskolan,Kommunal,Göteborg,76261770,158,"66,5","81,0","221,2",2018
Göteborg,Sjumilaskolan 7-9,Kommunal,Göteborg,70791331,32,"43,8","56,3","191,6",2018
Göteborg,Skälltorpsskolan 7-9,Kommunal,Göteborg,21231498,104,"52,9","69,2","193,9",2018
Göteborg,Styrsöskolan,Kommunal,Göteborg,81179515,51,"78,4",~100,"217,4",2018
Göteborg,Svartedalsskolan B,Kommunal,Göteborg,98179004,64,"46,9","56,3","182,2",2018
Göteborg,Svenska Balettskolan i Göteborg,Kommunal,Göteborg,24937512,..,..,..,..,2018
Göteborg,Toleredsskolan 7-9,Kommunal,Göteborg,27774991,105,"61,9","70,5","196,5",2018
Göteborg,Torpaskolan,Kommunal,Göteborg,11465652,49,"65,3","77,6","218,3",2018
Göteborg,Torslandaskolan 6-9 spår B,Kommunal,Göteborg,88371868,178,"93,8","95,5","242,1",2018
Göteborg,Trulsegårdsskolan B,Kommunal,Göteborg,26152423,128,"91,4","94,5","253,8",2018
Göteborg,Utmarksskolan,Kommunal,Göteborg,39000072,75,"30,7","42,7","160,7",2018
Göteborg,Vättleskolan 4-9,Kommunal,Göteborg,27760036,61,"27,9","42,6","142,9",2018
Göteborg,Önneredsskolan 7-9,Kommunal,Göteborg,26855170,105,"81,0","89,5","245,8",2018
Göteborg,ISGR/International section,Enskild,Göteborgsregionens Internationella Skola AB,30191226,63,.,.,.,2018
Göteborg,ISGR/Swedish-English,Enskild,Göteborgsregionens Internationella Skola AB,80498460,59,"83,1","88,1","268,4",2018
Göteborg,Internationella Engelska Skolan Johanneberg,Enskild,Internationella Engelska Skolan i Sverige AB,41921747,181,"73,5","91,2","236,5",2018
Göteborg,JENSEN grundskola Göteborg,Enskild,Jensen Education College AB,62764006,59,"81,4",~100,"250,9",2018
Göteborg,Drakbergsskolan,Enskild,Kannebäcks Friskoleförening,60526603,25,"68,0","72,0","223,2",2018
Göteborg,Kunskapsskolan Krokslätt,Enskild,Kunskapsskolan i Sverige Aktiebolag,83045482,66,"80,3","86,4","224,9",2018
Göteborg,Magelungens Grundskola Karlaskolan Göteborg,Enskild,Magelungen Utveckling AB,97205555,13,.,..,"77,9",2018
Göteborg,Franska skolan Göteborg 6-9,Enskild,Medborgarskolan Region Väst,51565567,22,"90,9",~100,"268,6",2018
Göteborg,Fenestra Centrum,Enskild,Pysslingen Förskolor och Skolor AB,87139814,73,"71,2","86,3","247,3",2018
Göteborg,Fenestra Nya Hovås,Enskild,Pysslingen Förskolor och Skolor AB,21497343,114,"96,5",~100,"270,3",2018
Göteborg,Fenestra S:t Jörgen,Enskild,Pysslingen Förskolor och Skolor AB,27265374,62,"75,8","91,9","241,3",2018
Göteborg,Montessoriskolan Skäret,Enskild,Skäret Skolkooperativ Ek.För.,25894254,33,"90,9",~100,"253,6",2018
Göteborg,Montessoriskolan Casa,Enskild,Stiftelsen Casa Dei Bambini,76938537,29,"100,0","100,0","289,1",2018
Göteborg,The English School Gothenburg,Enskild,Stiftelsen English School In Gothenburg,66890810,29,"93,1",~100,"281,2",2018
Göteborg,Brandströmska skolan Nylöse,Enskild,Stiftelsen För Kristen Skolverksamhet,11295861,36,"58,3","66,7","197,8",2018
Göteborg,Vasaskolan,Enskild,Stiftelsen För Kristna Skolor,56168083,45,"86,7",~100,"245,0",2018
Göteborg,Kristinaskolan,Enskild,Stiftelsen För Kristna Skolor i Angeredområdet,46512685,18,..,"66,7","187,6",2018
Göteborg,Göteborgs Högre Samskola gr.,Enskild,Stiftelsen Göteborgs Högre Samskola,52538248,149,"96,0","100,0","276,9",2018
Göteborg,Katolska skolan av Notre Dame,Enskild,Stiftelsen Katolska Skolan Av Notre Dame,45045293,44,"38,6","68,2","197,6",2018
Göteborg,Montessoriskolan Centrum,Enskild,Stiftelsen Montessoriskolan Centrum,73995321,28,"89,3","100,0","260,1",2018
Göteborg,Rudolf Steinerskolan Göteborg,Enskild,Stiftelsen Rudolf Steinerskolan,42817980,21,"90,5",~100,"258,9",2018
Göteborg,Victoriaskolan,Enskild,Tyska Skolan Göteborg Ek. För.,80678068,47,"78,7","89,4","255,2",2018
Göteborg,Vetenskapsskolan,Enskild,Vetenskapsskolan i Göteborg AB,71259819,23,"100,0","100,0","268,8",2018
Göteborg,Centrina Kviberg,Enskild,Vindseglet AB,17517182,75,"96,0",~100,"253,3",2018
Göteborg,Centrina Lindholmen,Enskild,Vindseglet AB,79866556,72,"94,4",~100,"274,6",2018
Göteborg,Vittra Kronhusparken,Enskild,Vittraskolorna AB,67543412,41,"82,9","85,4","239,9",2018
Göteborg,Martinaskolan,Enskild,"Waldorfföreningen, Martinaskolan, ekonomisk förening",47927698,12,"83,3",~100,"222,5",2018
Götene,Liljestensskolan 2,Kommunal,Götene,16790280,145,"84,8","88,3","220,7",2018
Habo,Hagabodaskolan,Kommunal,Habo,38553494,135,"68,1","80,7","214,2",2018
Hagfors,Kyrkhedens skola 4-9,Kommunal,Hagfors,86113785,46,"89,1","89,1","238,7",2018
Hagfors,Älvstranden bildn.centrum 7-9,Kommunal,Hagfors,18315553,68,"82,4","88,2","226,1",2018
Hallsberg,Folkasboskolan,Kommunal,Hallsberg,99707554,44,"79,5","84,1","238,1",2018
Hallsberg,Transtenskolan,Kommunal,Hallsberg,63503591,124,"61,3","80,6","191,3",2018
Hallstahammar,Parkskolan,Kommunal,Hallstahammar,91030682,127,"58,3","75,6","198,2",2018
Hallstahammar,Tunboskolan,Kommunal,Hallstahammar,32758035,36,"80,6",~100,"244,4",2018
Halmstad,Brunnsåkersskolan 3,Kommunal,Halmstad,61539121,82,"64,6","72,0","217,6",2018
Halmstad,Furulundsskolan 1,Kommunal,Halmstad,84189577,83,"68,7","83,1","222,2",2018
Halmstad,Fyllingeskolan 1,Kommunal,Halmstad,65388353,40,"62,5","80,0","210,5",2018
Halmstad,Getingeskolan 2,Kommunal,Halmstad,28451136,77,"77,9","80,5","230,4",2018
Halmstad,Gullbrandstorpsskolan 1,Kommunal,Halmstad,74772092,50,"94,0",~100,"255,8",2018
Halmstad,Stenstorpsskolan 1,Kommunal,Halmstad,52347444,39,"74,4","76,9","235,0",2018
Halmstad,Söndrumskolan 1,Kommunal,Halmstad,18751410,69,"91,3",~100,"248,4",2018
Halmstad,Söndrumskolan 2,Kommunal,Halmstad,67995611,75,"89,3",~100,"252,6",2018
Halmstad,Trönningeskolan 1,Kommunal,Halmstad,86573921,70,"78,6","87,1","229,2",2018
Halmstad,Vallåsskolan 3,Kommunal,Halmstad,45539695,43,"69,8",~100,"213,0",2018
Halmstad,Vallåsskolan 4,Kommunal,Halmstad,31012040,22,"68,2",~100,"223,3",2018
Halmstad,Östergårdsskolan 1,Kommunal,Halmstad,74243509,56,"57,1","67,9","212,4",2018
Halmstad,Östergårdsskolan 3,Kommunal,Halmstad,63902508,85,"52,9","60,0","198,9",2018
Halmstad,Österledskolan 1,Kommunal,Halmstad,92337813,56,"75,0","83,9","220,7",2018
Halmstad,Österledskolan 2,Kommunal,Halmstad,14732915,57,"77,2","84,2","210,0",2018
Halmstad,Eketånga Montessoriskola,Enskild,Ideella Föreningen Eketånga Montessoriskola,28459364,24,"95,8",~100,"276,4",2018
Halmstad,Engelska Skolan i Halmstad,Enskild,Internationella Engelska Skolan i Sverige AB,78323330,89,"85,4","93,3","267,9",2018
Halmstad,Vittra Halmstad,Enskild,Vittraskolorna AB,61582926,12,..,..,"243,4",2018
Halmstad,Wallbergsskolan,Enskild,Wallbergsskolans Ideella Förening,42422737,21,"90,5",~100,"246,1",2018
Hammarö,Hammarlundens skola 7-9,Kommunal,Hammarö,95243847,98,"96,9",~100,"263,7",2018
Hammarö,Mörmoskolan 7-9,Kommunal,Hammarö,47480841,79,"84,8","86,1","229,6",2018
Haninge,Deltaskolan,Enskild,Deltaskolan AB,73926940,56,"75,0",~100,"230,4",2018
Haninge,Funkis skola,Enskild,Funktionsanalys i Skolan Stockholm AB,14845171,..,.,..,..,2018
Haninge,Brandbergsskolan,Kommunal,Haninge,73184968,67,"58,2","80,6","216,8",2018
Haninge,Dalarö skola,Kommunal,Haninge,47640376,29,"75,9","79,3","242,3",2018
Haninge,HagaLyckebyskolan,Kommunal,Haninge,81680693,131,"93,9","96,2","240,4",2018
Haninge,Ribbyskolan,Kommunal,Haninge,59497255,190,"71,6","82,6","217,7",2018
Haninge,Söderbymalmsskolan,Kommunal,Haninge,10035236,141,"49,6","73,0","188,4",2018
Haninge,Tungelsta skola,Kommunal,Haninge,38975788,93,"68,8","90,3","203,9",2018
Haninge,Utö skola,Kommunal,Haninge,47140640,..,..,..,..,2018
Haninge,Vendelsömalmsskolan,Kommunal,Haninge,72266104,87,"69,0","75,9","208,6",2018
Haninge,Rudanskolan,Enskild,Pysslingen Förskolor och Skolor AB,17957898,93,"76,3","87,1","240,8",2018
Haparanda,Gränsskolan,Kommunal,Haparanda,29991096,62,"56,5","69,4","175,3",2018
Haparanda,Marielundsskolan,Kommunal,Haparanda,13768276,18,"77,8",~100,"215,7",2018
Haparanda,Språkskolan,Kommunal,Haparanda,98675845,30,"90,0",~100,"266,4",2018
Heby,Heby skola 7-9,Kommunal,Heby,36374693,72,"73,6","87,5","222,0",2018
Heby,Östervåla skola 7-9,Kommunal,Heby,88091927,69,"52,2","79,7","196,1",2018
Hedemora,Dormsjöskolan/grundskola,Enskild,AB Dormsjöskolan,36022766,..,.,..,..,2018
Hedemora,Vasaskolan 7-9,Kommunal,Hedemora,35494110,141,"66,7","78,0","200,5",2018
Hedemora,Olympica,Enskild,Olympica AB,87686617,39,"74,4",~100,"224,6",2018
Hedemora,Annaskolan,Enskild,Stiftelsen Annaskolan,95227669,10,..,"100,0","248,5",2018
Helsingborg,Dalhemsskolan,Kommunal,Helsingborg,86764194,40,"35,0","47,5","161,0",2018
Helsingborg,Elinebergsskolan,Kommunal,Helsingborg,41811292,187,"79,1","87,7","226,0",2018
Helsingborg,Gantofta skola,Kommunal,Helsingborg,28424574,34,"79,4","85,3","233,8",2018
Helsingborg,Gläntanskolan,Kommunal,Helsingborg,67721487,31,"71,0","80,6","215,6",2018
Helsingborg,Holstagårdsskolan,Kommunal,Helsingborg,28754789,52,"96,2",~100,"273,3",2018
Helsingborg,Högastensskolan,Kommunal,Helsingborg,13175575,100,"72,0","86,0","233,9",2018
Helsingborg,International school of Hbg/Gr,Kommunal,Helsingborg,47717980,41,.,.,.,2018
Helsingborg,Laröds skola,Kommunal,Helsingborg,87251726,38,"86,8",~100,"273,1",2018
Helsingborg,Maria Parkskolan,Kommunal,Helsingborg,42164778,93,"86,0","88,2","250,9",2018
Helsingborg,Musikgrundskolan Synkopen,Kommunal,Helsingborg,55200547,24,"79,2",~100,"245,2",2018
Helsingborg,Påarps skola,Kommunal,Helsingborg,66351593,82,"74,4","86,6","222,8",2018
Helsingborg,Rydebäckskolan,Kommunal,Helsingborg,40385157,74,"85,1","90,5","264,7",2018
Helsingborg,Slottsvångsskolan,Kommunal,Helsingborg,63957271,27,..,"37,0","167,3",2018
Helsingborg,Svensgårdsskolan,Kommunal,Helsingborg,89693828,36,"69,4","75,0","211,8",2018
Helsingborg,Tågaborgsskolan,Kommunal,Helsingborg,87948789,87,"71,3","85,1","220,0",2018
Helsingborg,Välkomsten,Kommunal,Helsingborg,68973554,..,.,.,.,2018
Helsingborg,Västra Berga skola,Kommunal,Helsingborg,28060171,25,"68,0","80,0","226,3",2018
Helsingborg,Wieselgrensskolan,Kommunal,Helsingborg,51014228,79,"44,3","58,2","188,9",2018
Helsingborg,Ättekullaskolan,Kommunal,Helsingborg,64728140,28,"50,0","75,0","205,9",2018
Helsingborg,Corpore Byskola,Enskild,Impius Utvecklings AB,19676761,..,..,..,..,2018
Helsingborg,Kubikskolan,Enskild,Kubikskolan Aktiebolag,82943624,84,"72,6","79,8","241,6",2018
Helsingborg,Kunskapsskolan Helsingborg,Enskild,Kunskapsskolan i Sverige Aktiebolag,48798589,120,"98,3","100,0","275,9",2018
Helsingborg,Magelungens grundskola Helsingborg,Enskild,Magelungen Utveckling AB,90553565,..,..,..,..,2018
Helsingborg,PeterSvenskolan 1,Enskild,Pysslingen Förskolor och Skolor AB,16688128,50,"78,0","90,0","220,5",2018
Helsingborg,PeterSvenskolan 2,Enskild,Pysslingen Förskolor och Skolor AB,49050798,81,"92,6",~100,"257,1",2018
Helsingborg,Västra Allé,Enskild,Pysslingen Förskolor och Skolor AB,57590681,41,"87,8",~100,"260,9",2018
Helsingborg,Sally Bauerskolans Högstadium,Enskild,Sally Bauer Skolans Högstadium,53515359,41,"92,7",~100,"251,7",2018
Helsingborg,Pauliskolan,Enskild,Stiftelsen Pauliskolan,50194424,12,..,..,"161,9",2018
Helsingborg,Vittra Adolfsberg,Enskild,Vittraskolorna AB,71069736,22,"86,4",~100,"219,3",2018
Helsingborg,Vittra Landborgen,Enskild,Vittraskolorna AB,90080902,17,"76,5",~100,"217,5",2018
Herrljunga,Altorpskolan,Kommunal,Herrljunga,24142437,120,"73,3","78,3","221,0",2018
Hjo,Guldkroksskolan 7-9,Kommunal,Hjo,81342093,104,"73,1","81,7","220,3",2018
Hofors,Petreskolan 7-9,Kommunal,Hofors,25716177,68,"79,4","83,8","214,5",2018
Huddinge,Annerstaskolan,Kommunal,Huddinge,79012683,61,"49,2","82,0","195,0",2018
Huddinge,Balingsnässkolan,Kommunal,Huddinge,13654969,57,"91,2",~100,"247,5",2018
Huddinge,Edboskolan,Kommunal,Huddinge,98477278,68,"86,8","91,2","247,6",2018
Huddinge,Kungsklippeskolan,Kommunal,Huddinge,89510449,56,"89,3",~100,"259,5",2018
Huddinge,Kvarnbergsskolan,Kommunal,Huddinge,54516737,213,"85,9","91,5","231,4",2018
Huddinge,Källbrinksskolan,Kommunal,Huddinge,41213404,125,"88,0","92,8","241,9",2018
Huddinge,Segeltorpsskolan,Kommunal,Huddinge,15483394,108,"82,4","89,8","239,7",2018
Huddinge,Trångsundsskolan,Kommunal,Huddinge,42601396,72,"84,7","87,5","237,6",2018
Huddinge,Vistaskolan,Kommunal,Huddinge,50783450,87,"83,9","89,7","233,9",2018
Huddinge,Vårbyskolan,Kommunal,Huddinge,64949601,49,"53,1","57,1","193,9",2018
Huddinge,Östra grundskolan,Kommunal,Huddinge,39229061,116,"73,3","79,3","230,1",2018
Huddinge,Internationella Engelska Skolan Huddinge,Enskild,Internationella Engelska Skolan i Sverige AB,97942210,150,"92,0",~100,"276,6",2018
Huddinge,Södertörns friskola,Enskild,Södertörns Friskola Ekonomisk Förening,22019000,99,"87,9",~100,"268,2",2018
Hudiksvall,Hudikskolan 7-9,Enskild,Hudik Friskoleutbildning AB,77537602,68,"79,4","83,8","218,4",2018
Hudiksvall,Ede skola,Kommunal,Hudiksvall,83627088,64,"78,1","87,5","220,9",2018
Hudiksvall,Iggesunds skola,Kommunal,Hudiksvall,80631297,60,"71,7","78,3","215,5",2018
Hudiksvall,Läroverket,Kommunal,Hudiksvall,23786565,148,"79,7","84,5","231,1",2018
Hudiksvall,Östra skolan,Kommunal,Hudiksvall,50190330,118,"73,7","78,0","217,7",2018
Hudiksvall,Monitorskolan,Enskild,MTH utbildning AB,85080928,13,..,~100,"206,7",2018
Hudiksvall,Delsbo waldorfskola,Enskild,Skolföreningen Delsbo Waldorfskola,22518275,..,..,..,..,2018
Hultsfred,Albäcksskolan 2,Kommunal,Hultsfred,84230115,153,"58,8","66,0","196,8",2018
Hultsfred,Prolympia Virserum,Enskild,Nya Centralskolan i Virserum AB,12289594,25,"88,0",~100,"226,6",2018
Hylte,Örnaskolan 3,Kommunal,Hylte,80477825,156,"59,0","71,2","196,3",2018
Hylte,Labora Grundskola,Enskild,Laboraskolan AB,48694604,10,"100,0","100,0","265,0",2018
Håbo,Futurum,Kommunal,Håbo,61956762,89,"83,1","92,1","237,2",2018
Håbo,Gransäterskolan,Kommunal,Håbo,90826660,50,"82,0",~100,"231,2",2018
Håbo,Gröna dalen,Kommunal,Håbo,49674763,36,"58,3","77,8","203,4",2018
Håbo,Västerängsskolan,Kommunal,Håbo,29299366,54,"72,2","83,3","219,1",2018
Håbo,Läraskolan,Enskild,Läraskolan i Bålsta AB,28306495,22,"90,9",~100,"249,9",2018
Håbo,Potentia Education,Enskild,Potentia education AB,15081255,28,"100,0","100,0","267,9",2018
Hällefors,Klockarhagsskolan åk 7-9,Kommunal,Hällefors,72295739,71,"63,4","76,1","215,0",2018
Härjedalen,Funäsdalens skola,Kommunal,Härjedalen,72295998,25,"92,0","100,0","249,0",2018
Härjedalen,Sonfjällsskolan,Kommunal,Härjedalen,85325551,29,"86,2",~100,"217,3",2018
Härjedalen,Södra Skolan,Kommunal,Härjedalen,79022806,56,"76,8","83,9","223,7",2018
Härnösand,Hedda Wisingskolan,Kommunal,Härnösand,16490220,145,"67,6","80,7","214,6",2018
Härnösand,Wendela Hellmanskolan,Kommunal,Härnösand,97940004,162,"71,0","85,2","214,0",2018
Härnösand,Kastellskolan,Enskild,Kastellskolan,69454219,10,..,"100,0","237,0",2018
Härryda,"Fridaskolan, Härryda",Enskild,Fridaskolorna AB,27274628,69,"95,7",~100,"265,1",2018
Härryda,Båtsmansskolan,Kommunal,Härryda,37772170,61,"95,1","100,0","271,3",2018
Härryda,Djupedalskolan,Kommunal,Härryda,91978548,63,"90,5",~100,"248,8",2018
Härryda,Ekdalaskolan,Kommunal,Härryda,17730768,81,"84,0","90,1","245,9",2018
Härryda,Landvetterskolan 1,Kommunal,Härryda,98934110,63,"76,2","88,9","224,4",2018
Härryda,Rävlandaskolan,Kommunal,Härryda,34127854,50,"62,0","80,0","205,0",2018
Härryda,Önnerödsskolan,Kommunal,Härryda,28698437,80,"92,5",~100,"247,2",2018
Hässleholm,Bjärnums skola F-9,Kommunal,Hässleholm,65212509,63,"61,9","69,8","196,0",2018
Hässleholm,Furutorpskolan 7-9,Kommunal,Hässleholm,78602001,70,"54,3","72,9","199,1",2018
Hässleholm,Hästveda skola F-9,Kommunal,Hässleholm,56398338,38,"84,2",~100,"229,5",2018
Hässleholm,Linnéskolan F-9,Kommunal,Hässleholm,84432632,84,"57,1","65,5","190,1",2018
Hässleholm,Läredaskolan 7-9,Kommunal,Hässleholm,29689372,64,"51,6","57,8","166,4",2018
Hässleholm,Silviaskolan F-9,Kommunal,Hässleholm,65408331,..,..,..,..,2018
Hässleholm,T4-skolan Montessori F-9,Kommunal,Hässleholm,28804882,27,"88,9",~100,"248,2",2018
Hässleholm,Tyringe skola F-9,Kommunal,Hässleholm,98058756,70,"58,6","65,7","210,5",2018
Hässleholm,Vannarödsskolan 6-9,Kommunal,Hässleholm,93845278,52,"69,2","80,8","209,6",2018
Hässleholm,Västerskolan 7-9,Kommunal,Hässleholm,91571086,105,"71,4","81,9","211,6",2018
Hässleholm,Internationella Engelska Skolan Hässleholm,Enskild,Internationella Engelska Skolan i Sverige AB,79716826,64,"84,4","84,4","278,9",2018
Hässleholm,Thoren Framtid i Hässleholm,Enskild,Thoren Framtid AB,79864142,24,"83,3",~100,"241,3",2018
Höganäs,Brunnbyskolan,Enskild,Brunnby Skola M-I Handelsbolag,95113658,11,"100,0","100,0","269,5",2018
Höganäs,Bruksskolan 7-9,Kommunal,Höganäs,58312480,36,"75,0",~100,"219,4",2018
Höganäs,Jonstorpsskolan 7-9,Kommunal,Höganäs,66888504,64,"81,3","85,9","224,9",2018
Höganäs,Lerbergsskolan 7-9,Kommunal,Höganäs,11721378,54,"94,4",~100,"265,2",2018
Höganäs,Nyhamnsskolan 7-9,Kommunal,Höganäs,18031893,33,"87,9",~100,"250,8",2018
Höganäs,Tonlyckeskolan 7-9,Kommunal,Höganäs,36274763,35,"65,7",~100,"222,8",2018
Höganäs,Vikenskolan 7-9,Kommunal,Höganäs,18383147,53,"94,3",~100,"256,3",2018
Höganäs,Montessoriskolan Tellus,Enskild,Montessoriskolan i Höganäs AB,69182531,..,..,..,..,2018
Högsby,Fröviskolan 7-9,Kommunal,Högsby,78308250,60,"63,3","70,0","203,9",2018
Hörby,Frostaskolan 7-9,Kommunal,Hörby,38299211,93,"62,4","77,4","194,7",2018
Hörby,Georgshillsskolan 4-9,Kommunal,Hörby,90834434,61,"70,5","90,2","225,3",2018
Hörby,Ludvigsborgs friskola,Enskild,"Ludvigsborgs Fristående Skola, Ek. Förening",52665905,20,"95,0",~100,"239,1",2018
Hörby,Pilevallens skola,Enskild,Pilevallens Vård och Behandling AB,93569920,..,..,..,..,2018
Höör,Emiliaskolan Höörs waldorfsk.,Enskild,Föreningen Emiliaskolan,63846783,20,"75,0",~100,"233,8",2018
Höör,Ringsjöskolan,Kommunal,Höör,82942801,95,"73,7","80,0","228,4",2018
Höör,Sätoftaskolan,Kommunal,Höör,35670754,54,"72,2","81,5","223,1",2018
Höör,Segrande Liv Grundskola,Enskild,Segrande Liv  Grundskola,95024923,..,.,.,..,2018
Jokkmokk,Östra skolan,Kommunal,Jokkmokk,86851817,36,"75,0",~100,"229,6",2018
Jokkmokk,Vuollerims Friskola,Enskild,Vuollerims Friskola AB,33468088,..,..,..,..,2018
Järfälla,Internationella Engelska Skolan  Järfälla,Enskild,Internationella Engelska Skolan i Sverige AB,79093755,124,"96,8",~100,"275,2",2018
Järfälla,Björkebyskolan,Kommunal,Järfälla,40847752,149,"74,5","83,9","230,8",2018
Järfälla,Fjällenskolan,Kommunal,Järfälla,15080815,118,"78,8","92,4","231,3",2018
Järfälla,Kvarnskolan,Kommunal,Järfälla,77763178,90,"70,0","78,9","218,1",2018
Järfälla,Källtorpskolan,Kommunal,Järfälla,17287315,105,"69,5","81,9","225,8",2018
Järfälla,Tallbohovskolan,Kommunal,Järfälla,97777849,54,"27,8","44,4","180,6",2018
Järfälla,Viksjöskolan,Kommunal,Järfälla,98925408,182,"79,7","90,1","248,2",2018
Järfälla,Vittra Jakobsberg,Enskild,Vittraskolorna AB,66634449,46,"82,6",~100,"262,9",2018
Jönköping,Internationella Engelska Skolan Jönköping,Enskild,Internationella Engelska Skolan i Sverige AB,86499334,117,"88,9","94,9","258,5",2018
Jönköping,Magnus Ladulåsskolan,Enskild,J-Son Pedagogikcentrum AB,17890412,14,.,..,..,2018
Jönköping,Alfred Dalinskolan,Kommunal,Jönköping,85416841,134,"73,9","79,1","222,3",2018
Jönköping,Attarpsskolan 7-9,Kommunal,Jönköping,40546319,126,"90,5","94,4","232,4",2018
Jönköping,Flahultsskolan,Kommunal,Jönköping,28849109,124,"79,0","90,3","221,7",2018
Jönköping,Junedalsskolan,Kommunal,Jönköping,20696736,266,"83,5","87,6","243,8",2018
Jönköping,Ljungarumsskolan 7-9,Kommunal,Jönköping,84917564,111,"75,7","85,6","223,3",2018
Jönköping,Ribbaskolan,Kommunal,Jönköping,83919671,113,"81,4","89,4","231,6",2018
Jönköping,Rosenlundsskolan 7-9,Kommunal,Jönköping,96558008,129,"78,3","86,8","222,8",2018
Jönköping,Sanda idrottshögstadium,Kommunal,Jönköping,98088982,79,"77,2","82,3","222,4",2018
Jönköping,Stadsgårdsskolan,Kommunal,Jönköping,12759583,96,"75,0","80,2","222,6",2018
Jönköping,Strandskolan,Enskild,Jönköpings Kristna Skolförening,23250615,25,"60,0","64,0","206,0",2018
Jönköping,Kunskapsskolan Jönköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,86562542,87,"82,8",~100,"236,4",2018
Jönköping,Magelungens grundskola Jönköping,Enskild,Magelungen Utveckling AB,79427132,..,.,.,..,2018
Jönköping,Hyddans skola gr,Enskild,Nytida Bergshyddan AB,80627954,..,.,.,..,2018
Jönköping,"Prolympia, Jönköping",Enskild,Prolympia AB,95673344,77,"94,8",~100,"245,5",2018
Jönköping,Vittra Samset,Enskild,Vittraskolorna AB,49572930,14,"85,7","100,0","229,3",2018
Kalix,Manhemsskolan,Kommunal,Kalix,10617819,143,"79,7","85,3","217,4",2018
Kalix,Norrskenet Kalix,Enskild,Norrskenets Friskola Kalix AB,20525218,12,..,..,"212,3",2018
Kalmar,Västra Skolan Kalmar,Enskild,CIS Kalmar AB,94235119,39,"89,7",~100,"246,0",2018
Kalmar,Barkestorpsskolan,Kommunal,Kalmar,58215076,61,"78,7","82,0","226,3",2018
Kalmar,Falkenbergsskolan,Kommunal,Kalmar,99856371,80,"96,3",~100,"250,9",2018
Kalmar,Funkaboskolan,Kommunal,Kalmar,21736926,94,"87,2","92,6","247,5",2018
Kalmar,Kalmarsundsskolan,Kommunal,Kalmar,24092221,81,"60,5","75,3","214,9",2018
Kalmar,Lindsdalsskolorna,Kommunal,Kalmar,51848797,96,"92,7","93,8","240,5",2018
Kalmar,Södermöreskolan,Kommunal,Kalmar,79012102,80,"73,8","85,0","211,3",2018
Kalmar,Vasaskolan,Kommunal,Kalmar,18784702,55,"83,6","87,3","240,1",2018
Kalmar,Solhagaskolan,Enskild,Nytida Solängen AB,87544967,..,.,..,..,2018
Kalmar,Kalmar waldorfskola,Enskild,Stiftelsen Kalmar Waldorfskola,16517618,..,..,..,..,2018
Kalmar,Södra skolan,Enskild,Södra skolan i Kalmar AB,13936858,75,"92,0","93,3","245,0",2018
Kalmar,Thoren Framtid i Kalmar,Enskild,Thoren Framtid AB,30881651,..,..,..,..,2018
Karlsborg,Carl Johanskolan,Kommunal,Karlsborg,34231336,69,"81,2",~100,"220,4",2018
Karlshamn,Waldorfskolan i Karlshamn,Enskild,Daggkåpan Ekonomisk Förening,22909101,..,..,..,..,2018
Karlshamn,Norrevångskolan,Kommunal,Karlshamn,89878714,57,"66,7","71,9","210,8",2018
Karlshamn,Stenbackaskolan,Kommunal,Karlshamn,16767324,105,"63,8","74,3","211,0",2018
Karlshamn,Österslättsskolan,Kommunal,Karlshamn,43859477,118,"62,7","69,5","197,4",2018
Karlshamn,Thoren Framtid i Karlshamn,Enskild,Thoren Framtid AB,16249641,33,"78,8",~100,"226,7",2018
Karlskoga,Bregårdsskolan åk 7-9,Kommunal,Karlskoga,71762216,119,"75,6","77,3","215,1",2018
Karlskoga,Skrantaskolan,Kommunal,Karlskoga,65654358,133,"64,7","72,2","200,2",2018
Karlskoga,Österledskolan,Kommunal,Karlskoga,34767418,97,"61,9","74,2","207,9",2018
Karlskrona,Galären Rosenholm,Enskild,AcadeMedia fria grundskolor AB,10662754,47,"76,6","80,9","216,9",2018
Karlskrona,Galären Trossö,Enskild,AcadeMedia fria grundskolor AB,64959079,46,"65,2","84,8","194,5",2018
Karlskrona,Piggelinen,Enskild,Friskolan PANEA AB,99469094,27,"77,8","77,8","212,9",2018
Karlskrona,Friskolan Svettpärlan,Enskild,Friskolan Svettpärlan AB,93964634,27,"100,0","100,0","250,6",2018
Karlskrona,Jändelskolan 7-9,Kommunal,Karlskrona,20104552,106,"68,9","74,5","209,9",2018
