skolverket_lageskommun_tcv136,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_tot_elever_tcv136,skolverket_ar1_tcv136,skolverket_ar2_tcv136,skolverket_ar3_tcv136,skolverket_andel_kvi_tcv136,skolverket_andel_utl_tcv136,skolverket_andel_forald_eftergymn_utb_tcv136,year
Varberg,Munkagårdsgymnasiet,38544187,Landsting,Hallands Läns Landsting,289,108,99,82,49,4,37,2018
Halmstad,Kattegattgymnasiet 1,20100577,Kommunal,Halmstad,262,99,87,76,47,21,61,2018
Halmstad,Kattegattgymnasiet 2,81993306,Kommunal,Halmstad,355,118,117,120,12,21,63,2018
Halmstad,Kattegattgymnasiet 3,19051089,Kommunal,Halmstad,375,210,80,85,41,57,60,2018
Halmstad,Kattegattgymnasiet 4,29097621,Kommunal,Halmstad,272,112,87,73,7,16,34,2018
Halmstad,Kattegattgymnasiet 5,61195886,Kommunal,Halmstad,107,41,35,31,11,20,34,2018
Halmstad,Sannarpsgymnasiet 2,50198492,Kommunal,Halmstad,339,115,100,124,65,32,53,2018
Halmstad,Sannarpsgymnasiet 3,48438396,Kommunal,Halmstad,278,125,79,74,59,32,52,2018
Halmstad,Sannarpsgymnasiet 4,98052678,Kommunal,Halmstad,318,112,90,116,59,38,61,2018
Halmstad,Sannarpsgymnasiet 5,95993832,Kommunal,Halmstad,99,97,2,.,41,93,27,2018
Halmstad,Sturegymnasiet 1,20099064,Kommunal,Halmstad,268,107,93,68,69,19,59,2018
Halmstad,Sturegymnasiet 2,44341171,Kommunal,Halmstad,189,157,13,19,43,71,15,2018
Halmstad,Sturegymnasiet 3,77130356,Kommunal,Halmstad,101,38,36,27,36,32,31,2018
Halmstad,Sturegymnasiet 4,32671805,Kommunal,Halmstad,176,81,48,47,68,22,41,2018
Haninge,Fredrika Bremergymnasiet,16313848,Kommunal,Haninge,2 006,823,604,579,34,36,38,2018
Haninge,Riksäpplet,79606767,Kommunal,Haninge,446,149,173,124,38,60,23,2018
Haparanda,Tornedalsskolan,11294673,Kommunal,Haparanda,301,88,102,111,47,44,32,2018
Heby,CLL/Gymnasieutbildningen,86212202,Kommunal,Heby,23,23,.,.,..,100,.,2018
Hedemora,Martin Koch-gymnasiet,86327236,Kommunal,Hedemora,373,213,90,70,43,41,30,2018
Borlänge,Helixgymnasiet Borlänge,42022406,Enskild,Helixutbildningar AB,253,90,90,73,30,35,48,2018
Helsingborg,Filbornaskolan,54172830,Kommunal,Helsingborg,589,257,149,183,37,32,50,2018
Helsingborg,Helsingborgs Lärlingsgymnasium,77352223,Kommunal,Helsingborg,207,116,71,20,48,44,29,2018
Helsingborg,International school of Hbg/Gy,61826221,Kommunal,Helsingborg,130,48,41,41,58,75,67,2018
Helsingborg,Nicolaiskolan,44392995,Kommunal,Helsingborg,549,230,197,122,68,41,41,2018
Helsingborg,Olympiaskolan,53462953,Kommunal,Helsingborg,611,231,181,199,52,60,44,2018
Helsingborg,Rönnowska skolan,80327946,Kommunal,Helsingborg,837,372,241,224,18,47,26,2018
Helsingborg,Tycho Braheskolan,78875918,Kommunal,Helsingborg,553,229,173,151,43,41,59,2018
Helsingborg,Helsingborgs Sportgymnasium,75458014,Enskild,Helsingborgs Sportgymnasium AB,101,35,36,30,30,32,36,2018
Stockholm,Hermods Distansgymnasium,70811222,Enskild,Hermods Aktiebolag,21,4,7,10,..,..,71,2018
Helsingborg,Drottning Blankas Gymnasieskola Helsingborg S:a Kyrkogatan,28398531,Enskild,Hermods Design & Construction College AB,255,82,92,81,57,44,36,2018
Malmö,Drottning Blankas Gymnasieskola Malmö Slussen,77609073,Enskild,Hermods Design & Construction College AB,131,56,44,31,63,56,27,2018
Stockholm,Designgymnasiet Kungsholmen,27023528,Enskild,Hermods Design & Construction College AB,291,122,85,84,49,39,46,2018
Göteborg,Hermods Gymnasium Göteborg,75141151,Enskild,Hermods Gymnasium AB,310,128,110,72,63,46,55,2018
Malmö,KLARA Teoretiska Gymnasium Malmö,23548714,Enskild,Hermods Gymnasium AB,235,79,64,92,57,64,45,2018
Stockholm,KLARA Teoretiska Gymnasium Stockholm Östra,17911161,Enskild,Hermods Gymnasium AB,346,108,137,101,57,77,38,2018
Herrljunga,Kunskapskällan,86385479,Kommunal,Herrljunga,243,97,84,62,22,28,36,2018
Hjo,Individuella programmet,53494028,Kommunal,Hjo,21,20,.,1,..,..,..,2018
Hofors,"Björkhagsskolan, gymnasium",40991561,Kommunal,Hofors,34,11,7,16,41,85,..,2018
Örnsköldsvik,Höga kustens teoretiska gymnasium,65833454,Enskild,Honesta Gymnasieskolor AB,134,40,56,38,67,24,63,2018
Skellefteå,Guldstadsgymnasiet i Skellefteå,90990441,Enskild,Honesta Skolutveckling AB,141,51,51,39,45,33,32,2018
Östersund,"Storsjögymnasiet, Östersund",80785976,Enskild,Honesta Skolutveckling AB,318,135,94,89,41,15,51,2018
Huddinge,Huddingegymnasiet,49862313,Kommunal,Huddinge,566,258,162,146,41,68,39,2018
Huddinge,Sjödalsgymnasiet,42859669,Kommunal,Huddinge,993,328,339,326,41,50,43,2018
Huddinge,Sågbäcksgymnasiet,70923626,Kommunal,Huddinge,629,311,172,146,37,66,23,2018
Huddinge,Östra gymnasiet,99592025,Kommunal,Huddinge,830,338,254,238,47,32,64,2018
Hudiksvall,Bromangymnasiet 1,34247736,Kommunal,Hudiksvall,398,170,106,122,67,19,51,2018
Hudiksvall,Bromangymnasiet 2,47550455,Kommunal,Hudiksvall,601,224,201,176,36,21,46,2018
Hudiksvall,Bromangymnasiet 3,30329172,Kommunal,Hudiksvall,173,86,45,42,13,14,44,2018
Hudiksvall,Bromangymnasiet 4,82423815,Kommunal,Hudiksvall,174,174,.,.,29,72,10,2018
Hudiksvall,Hudikgymnasiet,76877530,Enskild,Hudiksvalls Gymnasieskola AB,129,34,42,53,53,16,50,2018
Hultsfred,Hultsfreds gymnasium 1,47046103,Kommunal,Hultsfred,197,76,64,57,33,36,30,2018
Hultsfred,Hultsfreds gymnasium 2,56664512,Kommunal,Hultsfred,175,73,56,46,35,81,13,2018
Hultsfred,Hultsfreds gymnasium 3,38167912,Kommunal,Hultsfred,132,55,39,38,55,33,38,2018
Helsingborg,Helsingborgs Ridgymnasium,83085136,Enskild,Humeq Education AB,142,42,45,55,96,..,40,2018
Kalmar,Naturbruksgymnasiet Kalmar 1,88624631,Enskild,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,91,46,21,24,63,..,36,2018
Kalmar,Naturbruksgymnasiet Kalmar 2,35390185,Enskild,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,15,5,5,5,..,..,..,2018
Västervik,Gamlebygymnasiet,14677676,Enskild,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,137,61,37,39,58,..,27,2018
Växjö,Ingelstadgymnasiet,24501884,Enskild,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,232,81,76,75,73,..,44,2018
Kristianstad,Önnestadsgymnasiet,61547652,Enskild,Hushållningssällskapets Kompetensutveckling i Syd AB (HUSKAB),168,61,57,50,60,..,36,2018
Staffanstorp,Hvilan Utbildning,34222422,Enskild,Hvilan Utbildning AB,99,67,19,13,49,49,35,2018
Hylte,IM Gymnasieenhet,83501757,Kommunal,Hylte,91,28,32,31,35,95,13,2018
Håbo,Fridegårdsgymnasiet,58125096,Kommunal,Håbo,460,214,139,107,49,24,48,2018
Håbo,Fridegårdsgymnasiet- AST-programmen,82914148,Kommunal,Håbo,73,37,21,15,32,15,56,2018
Hällefors,Pihlskolan gymnasium,20620556,Kommunal,Hällefors,143,77,45,21,31,68,16,2018
Bollnäs,Hälsingegymnasiet,91748148,Enskild,Hälsingegymnasiet AB,307,119,107,81,41,26,58,2018
Bollnäs,Torsbergsgymnasiet RO3,42218661,Kommunal,Hälsinglands Utbildningsförbund,194,68,55,71,60,32,46,2018
Bollnäs,Torsbergsgymnasiet RO4,73171934,Kommunal,Hälsinglands Utbildningsförbund,167,113,31,23,49,64,21,2018
Bollnäs,Torsbergsgymnasiet RO5,83474173,Kommunal,Hälsinglands Utbildningsförbund,210,82,64,64,41,17,31,2018
Nordanstig,Gymnasieutbildn. i Nordanstig RO9,16374064,Kommunal,Hälsinglands Utbildningsförbund,25,10,14,1,40,72,..,2018
Söderhamn,Staffangymnasiet RO6,45593337,Kommunal,Hälsinglands Utbildningsförbund,332,116,98,118,48,20,60,2018
Söderhamn,Staffangymnasiet RO7,90312942,Kommunal,Hälsinglands Utbildningsförbund,294,107,102,85,23,14,28,2018
Söderhamn,Staffangymnasiet RO8,18768922,Kommunal,Hälsinglands Utbildningsförbund,93,61,23,9,51,80,13,2018
Härjedalen,Härjedalens gymnasium,17173461,Kommunal,Härjedalen,231,67,90,74,41,37,31,2018
Härnösand,Härnösands gymnasium 1,55535552,Kommunal,Härnösand,256,216,21,19,42,71,27,2018
Härnösand,Härnösands gymnasium 2,19560192,Kommunal,Härnösand,260,96,83,81,41,18,37,2018
Härnösand,Härnösands gymnasium 3,30468157,Kommunal,Härnösand,369,123,114,132,49,18,70,2018
Härryda,Hulebäcksgymnasiet 1,98053087,Kommunal,Härryda,262,97,79,86,37,14,50,2018
Härryda,Hulebäcksgymnasiet 2,92533079,Kommunal,Härryda,215,77,55,83,75,12,72,2018
Härryda,Hulebäcksgymnasiet 3,61528940,Kommunal,Härryda,332,122,92,118,50,17,88,2018
Härryda,Hulebäcksgymnasiet 4,23681822,Kommunal,Härryda,346,172,88,86,47,25,60,2018
Härryda,Hulebäcksgymnasiet 5,66861851,Kommunal,Härryda,364,123,109,132,62,12,70,2018
Härryda,Hulebäcksgymnasiet 6,72206824,Kommunal,Härryda,181,62,57,62,22,6,90,2018
Hässleholm,Hässleholms Tekniska Skola,92858957,Kommunal,Hässleholm,920,330,293,297,54,26,59,2018
Hässleholm,IM Jacobsskolan,23372675,Kommunal,Hässleholm,112,58,33,21,46,99,11,2018
Hässleholm,Jacobsskolan,46660042,Kommunal,Hässleholm,480,193,156,131,31,29,34,2018
Hässleholm,Norrängsskolan,33678402,Kommunal,Hässleholm,37,8,7,22,..,..,30,2018
Höganäs,Kullagymnasiet 1,44113417,Kommunal,Höganäs,250,131,62,57,16,38,46,2018
Höganäs,Kullagymnasiet 2,43627097,Kommunal,Höganäs,238,85,75,78,51,18,67,2018
Högsby,Högsby utbildningscenter,67783774,Kommunal,Högsby,122,91,16,15,43,80,11,2018
Hörby,"Hörby Lärcenter, Gymnasieutb.",95324620,Kommunal,Hörby,41,18,13,10,29,83,24,2018
Hörby,Hörby Yrkesgymnasium,38917647,Enskild,Hörby Yrkesgymnasium AB,46,12,15,19,..,24,..,2018
Höör,Gymnasieutbildningen i Höör,45101776,Kommunal,Höör,37,21,11,5,27,51,..,2018
Göteborg,Västsvenska Gymnasiet,34831349,Enskild,Idrottens Skola i Göteborg AB,194,106,88,.,20,91,20,2018
Göteborg,Gymnasieakademin,12994441,Enskild,IEAB International Education AB,315,89,101,125,63,73,41,2018
Helsingborg,Impius gymnasium,65136104,Enskild,Impius Utvecklings AB,123,49,34,40,31,11,55,2018
Örnsköldsvik,Hampnäs gymnasium,18072172,Enskild,Impius Vård och Utbildning AB,56,20,15,21,34,..,46,2018
Ludvika,ABB Industrigymnasium Ludvika,97535124,Enskild,Industritekniska Gymnasiet Bergslagen AB,99,35,32,32,42,12,73,2018
Västerås,ABB Industrigymnasium Västerås,66028861,Enskild,Industritekniska Gymnasiet Bergslagen AB,330,126,95,109,43,21,83,2018
Solna,"Ingridskolan, gymnasiet",28967085,Enskild,Ingridskolan AB,46,24,15,7,46,..,76,2018
Stockholm,Internationella Engelska Gymnasiet Södermalm,77632411,Enskild,Internationella Engelska Skolan i Sverige AB,726,256,226,244,67,47,78,2018
Göteborg,NTI Gymnasiet Johanneberg,79094701,Enskild,IT Gymnasiet Sverige AB,477,159,156,162,20,15,78,2018
Helsingborg,NTI Gymnasiet Helsingborg,79033948,Enskild,IT Gymnasiet Sverige AB,390,138,145,107,15,35,46,2018
Huddinge,NTI Gymnasiet Södertörn,99838438,Enskild,IT Gymnasiet Sverige AB,273,88,87,98,9,47,54,2018
Karlstad,NTI Gymnasiet Karlstad,41867682,Enskild,IT Gymnasiet Sverige AB,124,41,42,41,..,23,46,2018
Kristianstad,NTI Gymnasiet Kristianstad,53691739,Enskild,IT Gymnasiet Sverige AB,154,53,48,53,..,53,39,2018
Skövde,NTI Gymnasiet Skövde,26671095,Enskild,IT Gymnasiet Sverige AB,207,81,70,56,17,25,47,2018
Stockholm,NTI Gymnasiet Gärdet,92204274,Enskild,IT Gymnasiet Sverige AB,123,66,57,.,9,37,62,2018
Sundbyberg,NTI Gymnasiet Sundbyberg,17276047,Enskild,IT Gymnasiet Sverige AB,196,71,65,60,10,47,48,2018
Uppsala,NTI Gymnasiet Uppsala,52048443,Enskild,IT Gymnasiet Sverige AB,398,146,135,117,13,19,62,2018
Västerås,NTI Gymnasiet Västerås,43154449,Enskild,IT Gymnasiet Sverige AB,178,70,61,47,16,25,50,2018
Örebro,NTI Gymnasiet Örebro,29225010,Enskild,IT Gymnasiet Sverige AB,165,56,54,55,6,24,49,2018
Göteborg,JENSEN Gymnasium Göteborg,38684438,Enskild,Jensen Education College AB,444,176,124,144,53,55,52,2018
Helsingborg,JENSEN Gymnasium Helsingborg,56330385,Enskild,Jensen Education College AB,202,71,51,80,63,78,44,2018
Jönköping,JENSEN Gymnasium Jönköping,18881773,Enskild,Jensen Education College AB,64,23,24,17,56,52,45,2018
Linköping,JENSEN Gymnasium Linköping,38460895,Enskild,Jensen Education College AB,58,22,20,16,78,53,33,2018
Lund,JENSEN Gymnasium Lund,26324896,Enskild,Jensen Education College AB,232,83,73,76,48,27,58,2018
Malmö,JENSEN Gymnasium Malmö,48593439,Enskild,Jensen Education College AB,214,82,67,65,54,74,47,2018
Stockholm,JENSEN Gymnasium Internationella,59898194,Enskild,Jensen Education College AB,244,79,88,77,62,53,52,2018
Stockholm,JENSEN Gymnasium Norra,38195284,Enskild,Jensen Education College AB,504,189,170,145,60,33,57,2018
Stockholm,JENSEN Gymnasium Södra,97510495,Enskild,Jensen Education College AB,595,221,209,165,59,41,49,2018
Uppsala,JENSEN Gymnasium Uppsala,61674097,Enskild,Jensen Education College AB,363,141,130,92,61,38,54,2018
Västerås,JENSEN Gymnasium Västerås,49170638,Enskild,Jensen Education College AB,116,52,40,24,60,66,46,2018
Örebro,JENSEN Gymnasium Örebro,92192566,Enskild,Jensen Education College AB,196,87,68,41,67,43,51,2018
Solna,Johan Movingers Gymnasium,69747871,Enskild,Johan Movingers Gymnasium,80,34,18,28,54,74,49,2018
Bräcke,"Jämtlands Gymn, Bräcke 4A",26864271,Kommunal,Jämtlands Gymnasieförbund,82,29,31,22,..,..,33,2018
Bräcke,"Jämtlands Gymn, Bräcke 4B",64411379,Kommunal,Jämtlands Gymnasieförbund,53,16,23,14,23,85,..,2018
Krokom,"Jämtlands Gymn, Torsta",64725297,Kommunal,Jämtlands Gymnasieförbund,108,41,32,35,34,..,53,2018
Krokom,"Jämtlands Gymn, Wången",43362941,Kommunal,Jämtlands Gymnasieförbund,72,20,26,26,88,19,43,2018
Ragunda,"Jämtlands Gymn, Bispgården",17184072,Kommunal,Jämtlands Gymnasieförbund,54,16,13,25,..,52,..,2018
Åre,"Jämtlands Gymn, Åre",15149235,Kommunal,Jämtlands Gymnasieförbund,181,69,52,60,43,20,63,2018
Åre,"Jämtlands Gymn, Åre 2",48336642,Kommunal,Jämtlands Gymnasieförbund,159,59,78,22,28,52,22,2018
Östersund,"Jämtlands Gymn, Fyrvalla 3A",32239920,Kommunal,Jämtlands Gymnasieförbund,295,109,99,87,21,10,36,2018
Östersund,"Jämtlands Gymn, Fyrvalla 3B",98781765,Kommunal,Jämtlands Gymnasieförbund,148,55,45,48,17,..,44,2018
Östersund,"Jämtlands Gymn, Fyrvalla 3C",33467604,Kommunal,Jämtlands Gymnasieförbund,105,44,40,21,..,15,36,2018
Östersund,"Jämtlands Gymn, Wargentin 1A",38880984,Kommunal,Jämtlands Gymnasieförbund,299,106,95,98,57,23,67,2018
Östersund,"Jämtlands Gymn, Wargentin 1B",28872974,Kommunal,Jämtlands Gymnasieförbund,287,87,96,104,33,19,60,2018
Östersund,"Jämtlands Gymn, Wargentin 1D",36869352,Kommunal,Jämtlands Gymnasieförbund,161,41,54,66,34,100,..,2018
Östersund,"Jämtlands Gymn, Wargentin 1E",69812576,Kommunal,Jämtlands Gymnasieförbund,346,178,91,77,53,10,62,2018
Östersund,"Jämtlands Gymn, Wargentin 2A",18686599,Kommunal,Jämtlands Gymnasieförbund,191,65,68,58,38,..,71,2018
Östersund,"Jämtlands Gymn, Wargentin 2B",93779220,Kommunal,Jämtlands Gymnasieförbund,417,144,130,143,68,14,62,2018
Östersund,"Jämtlands Gymn, Wargentin 2C",77797484,Kommunal,Jämtlands Gymnasieförbund,212,71,76,65,66,6,71,2018
Östersund,"Jämtlands Gymn, Wargentin 2D",53279140,Kommunal,Jämtlands Gymnasieförbund,219,94,56,69,74,21,35,2018
Järfälla,Järfälla gymnasium,82084961,Kommunal,Järfälla,1 055,503,260,292,30,61,38,2018
Järfälla,Järfälla Vägledningsc. IMIND,23849498,Kommunal,Järfälla,22,22,.,.,50,..,..,2018
Jönköping,Bäckadalsgymn RO 1,46162400,Kommunal,Jönköping,277,99,92,86,4,24,51,2018
Jönköping,Bäckadalsgymn RO 2,39565412,Kommunal,Jönköping,202,57,55,90,19,78,9,2018
Jönköping,Bäckadalsgymn RO 3,98369689,Kommunal,Jönköping,240,82,84,74,18,12,28,2018
Jönköping,Bäckadalsgymn RO 4,56529916,Kommunal,Jönköping,244,98,78,68,23,9,32,2018
Jönköping,Bäckadalsgymn RO 5,40810950,Kommunal,Jönköping,137,86,27,24,60,20,42,2018
Jönköping,Erik Dahlbergsgymnasiet Ro 1,67279263,Kommunal,Jönköping,374,127,126,121,21,21,75,2018
Jönköping,Erik Dahlbergsgymnasiet RO 2,40037982,Kommunal,Jönköping,225,129,52,44,64,60,23,2018
Jönköping,Erik Dahlbergsgymnasiet RO 3,51210136,Kommunal,Jönköping,369,125,122,122,56,32,80,2018
Jönköping,Erik Dahlbergsgymnasiet RO 4,73829818,Kommunal,Jönköping,271,92,88,91,41,17,63,2018
Jönköping,Erik Dahlbergsgymnasiet RO 5,60881275,Kommunal,Jönköping,222,95,63,64,68,22,63,2018
Jönköping,Grennaskolan GY,54395430,Kommunal,Jönköping,8,.,.,8,..,..,..,2018
Jönköping,Mottagningsskola gymn,54946505,Kommunal,Jönköping,21,21,.,.,..,100,.,2018
Jönköping,Per Brahegymnasiet RO 1,78295411,Kommunal,Jönköping,464,231,127,106,57,35,53,2018
Jönköping,Per Brahegymnasiet RO 2,80686587,Kommunal,Jönköping,421,174,143,104,66,35,64,2018
Jönköping,Per Brahegymnasiet RO 3,72232853,Kommunal,Jönköping,282,99,95,88,81,11,72,2018
Jönköping,Sandagymnasiet RO 1 Ny fr lå 17/18,64205087,Kommunal,Jönköping,404,128,123,153,45,18,64,2018
Jönköping,Sandagymnasiet RO 2 Ny fr lå 17/18,50500028,Kommunal,Jönköping,270,96,84,90,63,25,55,2018
Jönköping,Sandagymnasiet RO 4 Ny fr lå 17/18,94570025,Kommunal,Jönköping,134,27,52,55,42,21,43,2018
Jönköping,Sandagymnasiet RO 5,91984508,Kommunal,Jönköping,328,134,117,77,50,33,54,2018
Jönköping,Kungsgymnasiet,50908408,Enskild,Jönköpings Kristna Skolförening,60,20,26,14,50,33,48,2018
Gislaved,Stora Segerstad Naturbrukscentrum,88163512,Landsting,Jönköpings Läns Landsting,172,57,64,51,33,..,35,2018
Jönköping,Tenhults naturbruksgymnasium,78659008,Landsting,Jönköpings Läns Landsting,194,75,57,62,79,7,44,2018
Kalix,Furuhed 3,73008905,Kommunal,Kalix,37,24,10,3,43,..,35,2018
Kalix,Furuhedsskolan 1,40667807,Kommunal,Kalix,252,105,85,62,46,30,37,2018
Kalix,Furuhedsskolan 2,18091973,Kommunal,Kalix,326,100,110,116,41,10,52,2018
Borgholm,Ölands Gymnasium 1,91487291,Kommunal,Kalmarsunds Gymnasieförbund,19,2,17,.,..,100,..,2018
Kalmar,"Jenny Nyströmsskolan 1 HT, IM",62439199,Kommunal,Kalmarsunds Gymnasieförbund,148,103,22,23,48,65,28,2018
Kalmar,"Jenny Nyströmsskolan 2 ES, RL",66132676,Kommunal,Kalmarsunds Gymnasieförbund,311,121,91,99,74,14,51,2018
Kalmar,"Jenny Nyströmsskolan 3 NA, GYSÄR",57942242,Kommunal,Kalmarsunds Gymnasieförbund,94,30,29,35,54,44,62,2018
Kalmar,"Jenny Nyströmsskolan 4 BF, VO",80762863,Kommunal,Kalmarsunds Gymnasieförbund,249,95,89,65,68,35,31,2018
Kalmar,"Lars Kaggskolan 1 NA, HV",77688926,Kommunal,Kalmarsunds Gymnasieförbund,377,127,138,112,69,18,71,2018
Kalmar,"Lars Kaggskolan 2 TE, VF",14508922,Kommunal,Kalmarsunds Gymnasieförbund,379,139,136,104,24,16,68,2018
Kalmar,Lars Kaggskolan 3 IM,89409574,Kommunal,Kalmarsunds Gymnasieförbund,190,190,.,.,33,83,14,2018
Kalmar,"Lars Kaggskolan 4 BA, EE, FT",69629086,Kommunal,Kalmarsunds Gymnasieförbund,380,145,114,121,6,10,40,2018
Kalmar,"Stagneliusskolan 1 SA, SA-A, HA-A, IMIND-A",21008461,Kommunal,Kalmarsunds Gymnasieförbund,248,81,82,85,57,16,60,2018
Kalmar,"Stagneliusskolan 2 EK, HA",54606928,Kommunal,Kalmarsunds Gymnasieförbund,492,180,174,138,54,21,57,2018
Kalmar,"Stagneliusskolan 3, SA",53893730,Kommunal,Kalmarsunds Gymnasieförbund,382,151,121,110,59,14,64,2018
Karlsborg,Vuxenutbildningen i Karlsborg och Karlsborgs gymnasieskola,55870331,Kommunal,Karlsborg,25,23,1,1,..,100,.,2018
Karlshamn,Vägga gymnasieskola 1b,21673083,Kommunal,Karlshamn,141,43,50,48,27,79,9,2018
Karlshamn,Vägga gymnasieskola 2,64574972,Kommunal,Karlshamn,277,96,107,74,69,21,49,2018
Karlshamn,Vägga gymnasieskola 3,19741742,Kommunal,Karlshamn,270,104,78,88,41,19,46,2018
Karlshamn,Vägga gymnasieskola 4,29032715,Kommunal,Karlshamn,303,95,115,93,33,24,62,2018
Degerfors,Möckelngymnasiet Degerfors,10924758,Kommunal,Karlskoga,308,100,143,65,35,44,28,2018
Karlskoga,Möckelngymnasiet Ro 2,48931433,Kommunal,Karlskoga,302,107,97,98,63,20,53,2018
Karlskoga,Möckelngymnasiet Ro 3,97270136,Kommunal,Karlskoga,307,235,39,33,45,48,21,2018
Karlskoga,Möckelngymnasiet Ro 4,19909435,Kommunal,Karlskoga,237,82,79,76,10,14,48,2018
Karlskoga,Karlskoga Idrottsgymnasium,45830583,Enskild,Karlskoga Idrottsgymnasium AB,57,25,26,6,58,..,61,2018
Karlskrona,af Chapmangymnasiet,30530571,Kommunal,Karlskrona,768,292,234,242,59,14,63,2018
Karlskrona,Ehrensvärdska gymnasiet,96024712,Kommunal,Karlskrona,624,238,208,178,50,23,69,2018
Karlskrona,Fischerströmska gymnasiet,36845597,Kommunal,Karlskrona,266,202,48,16,32,77,15,2018
Karlskrona,Törnströmska gymnasiet,85800840,Kommunal,Karlskrona,475,189,124,162,23,10,52,2018
Karlstad,Nobelgymnasiet,39583059,Kommunal,Karlstad,1 042,384,334,324,32,29,31,2018
Karlstad,Sundstagymnasiet,96684210,Kommunal,Karlstad,925,327,305,293,73,16,71,2018
Karlstad,Tingvallagymnasiet,11673760,Kommunal,Karlstad,728,296,223,209,59,26,47,2018
Karlstad,Älvkullegymnasiet,46574937,Kommunal,Karlstad,983,325,346,312,39,27,75,2018
Katrineholm,Duveholmsgymnasiet 1,23836342,Kommunal,Katrineholm,500,170,187,143,57,54,35,2018
Katrineholm,Duveholmsgymnasiet 3,10193789,Kommunal,Katrineholm,28,11,13,4,43,..,..,2018
Katrineholm,Katrineholms Tekniska College 1,63791419,Kommunal,Katrineholm,304,112,102,90,53,42,42,2018
Katrineholm,Katrineholms Tekniska College 2,39805497,Kommunal,Katrineholm,223,84,81,58,13,21,43,2018
Katrineholm,Lindengymnasiet,38400227,Kommunal,Katrineholm,369,141,113,115,46,19,48,2018
Göteborg,Kitas Frisörgymnasium,65752105,Enskild,Kimuo frisörutbildning AB,36,14,10,12,97,..,31,2018
Kinda,KInda lärcentrum,94660328,Kommunal,Kinda,13,2,11,.,..,100,.,2018
Göteborg,Kitas Ekonomi,73147554,Enskild,Kitas utbildning AB,259,92,66,101,58,8,68,2018
Göteborg,Kitas Gymnasium,69983740,Enskild,Kitas utbildning AB,334,102,138,94,69,17,73,2018
Göteborg,Kitas Natur,66491596,Enskild,Kitas utbildning AB,287,98,87,102,50,18,83,2018
Karlstad,KLARA Teoretiska Gymnasium Karlstad,79516949,Enskild,Klaragymnasium AB,392,138,131,123,57,23,65,2018
Linköping,KLARA Teoretiska Gymnasium Linköping,43313366,Enskild,Klaragymnasium AB,458,163,149,146,63,25,55,2018
Stockholm,Internationella Hotell- och Restaurangskolan,56653353,Enskild,Klaragymnasium AB,169,60,55,54,38,28,51,2018
Stockholm,KLARA Teoretiska Gymnasium Stockholm Norra,89461767,Enskild,Klaragymnasium AB,256,90,85,81,61,46,55,2018
Stockholm,KLARA Teoretiska Gymnasium Stockholm Södra,94717858,Enskild,Klaragymnasium AB,414,128,151,135,42,19,71,2018
Danderyd,Marina läroverket i Danderyd,82814120,Enskild,Klart Skepp Marinteknik AB,498,173,161,164,42,6,78,2018
Klippan,"Flygteknikcenter, Ljungbyhed",43649848,Kommunal,Klippan,67,24,23,20,..,22,69,2018
Klippan,Tegelbruksskolan,84247499,Kommunal,Klippan,336,132,107,97,14,19,26,2018
Klippan,Åbyskolan 1,27041885,Kommunal,Klippan,150,56,45,49,65,36,24,2018
Klippan,Åbyskolan 2,39149668,Kommunal,Klippan,270,105,80,85,53,28,50,2018
Klippan,Åbyskolan 3,13509408,Kommunal,Klippan,158,57,58,43,35,82,8,2018
Knivsta,Sjögrenska gymnasiet,97064126,Kommunal,Knivsta,83,40,28,15,40,88,..,2018
Olofström,Klaragymnasiet med internat,15763669,Kommunal,Kommunsamverkan Cura Individutveckling,50,11,13,26,24,..,48,2018
Kramfors,Räddningsgymnasiet Sandö,38233622,Kommunal,Kramfors,66,18,18,30,61,17,67,2018
Kramfors,Ådalsskolan 2,48722826,Kommunal,Kramfors,635,315,176,144,45,33,34,2018
Kristianstad,Christian 4:s Gymnasium ES,73063662,Kommunal,Kristianstad,171,53,54,64,71,17,64,2018
Kristianstad,"Christian 4:s Gymnasium HA, HT",20734425,Kommunal,Kristianstad,22,22,.,.,73,..,..,2018
Kristianstad,Christian 4:s Gymnasium IM,71073360,Kommunal,Kristianstad,54,52,.,2,35,20,39,2018
Kristianstad,"Milnergymnasiet BF, HV, VO",97596286,Kommunal,Kristianstad,296,111,99,86,76,28,40,2018
Kristianstad,Söderportgymnasiet EK,59849681,Kommunal,Kristianstad,96,93,3,.,58,18,70,2018
Kristianstad,"Söderportgymnasiet HA, IB, NA",98239050,Kommunal,Kristianstad,195,61,62,72,57,63,52,2018
Kristianstad,"Söderportgymnasiet HU, SA",73944169,Kommunal,Kristianstad,464,93,204,167,56,23,65,2018
Kristianstad,Söderportgymnasiet IM,13520728,Kommunal,Kristianstad,125,125,.,.,27,95,13,2018
Kristianstad,Söderportgymnasiet RG,94455820,Kommunal,Kristianstad,14,2,3,9,..,..,..,2018
Kristianstad,"Wendesgymnasiet BA, HV",58368956,Kommunal,Kristianstad,178,58,61,59,..,10,38,2018
