skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,skolverket_helttj_andel_tillsv_tcv17,year
Hulebäcksgymnasiet 4,23681822,Härryda,1401,2120001264,Härryda,Kommunal,"23,8","1,0","22,8","72,7","97,1",.,"15,8","1,0","360,0","93,6",2017
Hulebäcksgymnasiet 5,66861851,Härryda,1401,2120001264,Härryda,Kommunal,"26,7","1,0","25,7","60,7","100,0",.,"15,3","0,5","816,7","96,5",2017
Hulebäcksgymnasiet 6,72206824,Härryda,1401,2120001264,Härryda,Kommunal,"11,9","0,4","11,5","44,4","91,3",.,"15,4","0,2","804,5","100,0",2017
Hässleholms Tekniska Skola,92858957,Hässleholm,1293,2120000985,Hässleholm,Kommunal,"86,4","4,0","82,4","57,1","90,1","3,4","11,4","2,0","470,0","88,5",2017
Jacobsskolan,46660042,Hässleholm,1293,2120000985,Hässleholm,Kommunal,"61,3","1,0","60,3","44,2","77,9","2,9","7,6","1,0","459,0","83,8",2017
Norrängsskolan,33678402,Hässleholm,1293,2120000985,Hässleholm,Kommunal,"9,7","0,4","9,3","56,0","79,3","7,0","4,3","0,7","54,1","86,2",2017
Ungdomscentrum,23372675,Hässleholm,1293,2120000985,Hässleholm,Kommunal,"18,7","1,0","17,7","72,0","87,8","5,6","8,1","2,0","72,0","78,4",2017
Kullagymnasiet,86296935,Höganäs,1284,2120001165,Höganäs,Kommunal,"39,8","1,8","38,0","46,9","89,0",.,"13,6","1,9","279,5","87,6",2017
Högsby utbildningscenter,67783774,Högsby,0821,2120000688,Högsby,Kommunal,"16,1","0,4","15,7","61,6","59,0","6,4","7,2","0,5","226,0","52,9",2017
"Hörby Lärcenter, Gymnasieutb.",95324620,Hörby,1266,2120001108,Hörby,Kommunal,"8,1","0,4","7,7","70,0","70,2","16,9","7,4","0,9","61,3","77,3",2017
Hörby Yrkesgymnasium,38917647,Hörby,1266,5568212939,Hörby Yrkesgymnasium AB,Enskild,"7,0","0,8","6,2","35,5","16,1",.,"8,7",.,.,"68,5",2017
Gymnasieutbildningen i Höör,45101776,Höör,1267,2120001116,Höör,Kommunal,"7,4","0,5","6,9","93,4","67,2",.,"10,9","0,3","250,0","89,8",2017
Karolinaskolan,21363125,Höör,1267,7420002045,"Föreningen Fogdaröd omsorg, vård & utbildning utan personligt ansvar",Enskild,"8,0","1,0","7,0","58,6","84,3",.,"3,6",.,.,"85,7",2017
Bokenskolan,39555838,Jokkmokk,2510,2220000760,Jokkmokk,Kommunal,"26,1","0,9","25,2","57,6","56,3","6,4","6,4","1,0","161,0","59,9",2017
Didaktus Jakobsberg,85214294,Järfälla,0123,5564732856,Didaktus Skolor AB,Enskild,"25,0","1,0","24,0","56,4","65,5","4,2","14,7","0,6","586,7","96,3",2017
Järfälla gymnasium,82084961,Järfälla,0123,2120000043,Järfälla,Kommunal,"92,0",.,"92,0","43,0","88,3","1,1","12,6","2,5","462,4","83,9",2017
Järfälla Vägledningsc. IMIND,23849498,Järfälla,0123,2120000043,Järfälla,Kommunal,"2,0","1,0","1,0","100,0","100,0","100,0","22,0","5,0","4,4","100,0",2017
Bäckadalsgymn RO 1,46162400,Jönköping,0680,2120000530,Jönköping,Kommunal,"31,7","1,0","30,7","14,3","70,7","3,3","9,7","0,7","424,3","79,8",2017
Bäckadalsgymn RO 2,39565412,Jönköping,0680,2120000530,Jönköping,Kommunal,"24,1","1,0","23,1","68,0","91,3","8,7","9,0","1,3","165,6","91,3",2017
Bäckadalsgymn RO 3,98369689,Jönköping,0680,2120000530,Jönköping,Kommunal,"30,6","1,0","29,6","19,1","49,0",.,"7,2","0,4","532,5","91,6",2017
Bäckadalsgymn RO 4,56529916,Jönköping,0680,2120000530,Jönköping,Kommunal,"21,3","1,0","20,3","40,4","62,6","4,9","12,1","0,4","700,0","77,3",2017
Bäckadalsgymn RO 5,40810950,Jönköping,0680,2120000530,Jönköping,Kommunal,"10,0","0,3","9,6","63,7","100,0","7,3","8,7","0,3","280,0","89,6",2017
Erik Dahlbergsgymnasiet Ro 1,67279263,Jönköping,0680,2120000530,Jönköping,Kommunal,"23,9","1,0","22,9","38,0","85,8","2,2","18,3","1,0","419,0","85,8",2017
Erik Dahlbergsgymnasiet RO 2,40037982,Jönköping,0680,2120000530,Jönköping,Kommunal,"26,7","1,0","25,7","81,5","93,1",.,"13,1","1,0","337,0","89,6",2017
Erik Dahlbergsgymnasiet RO 3,51210136,Jönköping,0680,2120000530,Jönköping,Kommunal,"29,8","1,0","28,8","53,8","93,1","6,9","13,1","0,4","940,0","84,4",2017
Erik Dahlbergsgymnasiet RO 4,73829818,Jönköping,0680,2120000530,Jönköping,Kommunal,"31,6","1,0","30,6","36,9","90,5","3,3","10,7","1,0","327,0","90,5",2017
Grennaskolan GY,54395430,Jönköping,0680,2120000530,Jönköping,Kommunal,"6,6","1,0","5,6","10,7","100,0","17,9","3,2",.,.,"89,3",2017
JENSEN Gymnasium Jönköping,18881773,Jönköping,0680,5566358759,Jensen Education College AB,Enskild,"6,6","1,0","5,6","50,0","67,9",.,"10,5",.,.,"67,9",2017
Kungsgymnasiet,50908408,Jönköping,0680,8260017648,Jönköpings Kristna Skolförening,Enskild,"4,8","0,5","4,4","38,7","82,0",.,"12,8","0,1","1 120,0","72,9",2017
LBS Ljud & Bildskolan Jönköping,18594470,Jönköping,0680,5564851649,Ljud & Bildskolan Lbs AB,Enskild,"15,7","1,0","14,7","27,2","77,6",.,"17,6","0,3","863,3","66,0",2017
Magelungens Gymnasium Jönköping,69271071,Jönköping,0680,5564891447,Magelungen Utveckling AB,Enskild,"9,2","1,0","8,2","73,2","97,6","15,9","4,9","0,2","200,0","89,0",2017
Mottagningsskola gymn,54946505,Jönköping,0680,2120000530,Jönköping,Kommunal,"0,5","0,5",.,.,.,.,.,.,.,.,2017
Per Brahegymnasiet RO 1,78295411,Jönköping,0680,2120000530,Jönköping,Kommunal,"29,8","1,0","28,8","65,0","92,3","5,2","11,4","0,5","656,0","92,3",2017
Per Brahegymnasiet RO 2,80686587,Jönköping,0680,2120000530,Jönköping,Kommunal,"21,7","1,0","20,7","41,6","91,7","4,8","16,7","0,5","692,0","84,6",2017
Per Brahegymnasiet RO 3,72232853,Jönköping,0680,2120000530,Jönköping,Kommunal,"27,1","1,0","26,1","56,6","93,8",.,"13,7","1,0","357,0","96,4",2017
Plusgymnasiet i Jönköping,12279302,Jönköping,0680,5565789129,Plusgymnasiet AB,Enskild,"18,5","2,0","16,5","72,4","57,6",.,"17,8","0,8","367,5","75,8",2017
Praktiska Jönköping,17849518,Jönköping,0680,5562575786,Praktiska Sverige AB,Enskild,"9,5","1,0","8,5","32,9","37,6",.,"10,4",.,.,"47,1",2017
Sandagymnasiet RO 1 Ny fr lå 17/18,64205087,Jönköping,0680,2120000530,Jönköping,Kommunal,"28,6","1,0","27,6","51,2","86,3","0,1","15,1","0,7","641,5","86,8",2017
Sandagymnasiet RO 2 Ny fr lå 17/18,50500028,Jönköping,0680,2120000530,Jönköping,Kommunal,"17,0","0,6","16,4","43,5","83,6","0,2","14,9","0,4","610,0","85,3",2017
Sandagymnasiet RO 4 Ny fr lå 17/18,94570025,Jönköping,0680,2120000530,Jönköping,Kommunal,"10,1","0,5","9,7","42,9","80,1","7,7","13,8","0,3","536,0","79,8",2017
Sandagymnasiet RO 5,91984508,Jönköping,0680,2120000530,Jönköping,Kommunal,"28,0","1,0","27,0","43,6","86,9","4,3","11,6","0,7","448,6","83,9",2017
Vettergymnasiet Jönköping,12448823,Jönköping,0680,5567507420,Wetterbygdens Gymnasium AB,Enskild,"6,9","0,5","6,4","46,9","46,9",.,"10,0","0,1","640,0","79,7",2017
Furuhedsskolan 1,40667807,Kalix,2514,2120002692,Kalix,Kommunal,"31,8","1,0","30,8","56,4","81,1","1,6","9,0","1,2","227,0","83,3",2017
Furuhedsskolan 2,18091973,Kalix,2514,2120002692,Kalix,Kommunal,"47,1","1,0","46,1","39,5","65,5","3,3","7,3","1,0","329,4","84,4",2017
Calmare Internationella Skola,88466776,Kalmar,0880,5565896213,CIS Kalmar AB,Enskild,"15,7","1,0","14,7","54,1","78,0",.,"13,3","0,2","980,0","81,9",2017
Dag Hammarskjöld Gymnasiet*,36539945,Kalmar,0880,8324012288,Stiftelsen Kalmar Waldorfskola,Enskild,"2,2","0,1","2,1","73,2",.,.,"4,7",.,.,"100,0",2017
Fria Läroverken i Kalmar,40634612,Kalmar,0880,5569306979,Gymnasieskolor i Syd AB,Enskild,"15,1","1,0","14,1","25,3","82,2","1,4","13,5","0,2","950,0","87,9",2017
"Jenny Nyströmsskolan 1 HT, IM",62439199,Kalmar,0880,8324016453,Kalmar,Kommunal,"14,5",.,"14,5","65,4","79,2","9,0","14,3","1,0","206,0","93,1",2017
"Jenny Nyströmsskolan 2 ES, RL",66132676,Kalmar,0880,8324016453,Kalmar,Kommunal,"32,0",.,"32,0","42,3","80,5",.,"9,2","0,6","491,7","80,5",2017
"Jenny Nyströmsskolan 4 BF, VO",80762863,Kalmar,0880,8324016453,Kalmar,Kommunal,"23,0","1,0","22,0","68,8","97,7","9,1","11,0","1,0","255,8","91,4",2017
"Lars Kaggskolan 1 NA, HV",77688926,Kalmar,0880,8324016453,Kalmar,Kommunal,"29,1","1,0","28,1","77,4","79,2",.,"13,0",.,.,"84,2",2017
"Lars Kaggskolan 2 TE, VF",14508922,Kalmar,0880,8324016453,Kalmar,Kommunal,"24,1","1,0","23,1","28,2","93,3","12,1","15,1","3,0","116,0","100,0",2017
Lars Kaggskolan 3 IM,89409574,Kalmar,0880,8324016453,Kalmar,Kommunal,"26,8","1,0","25,8","79,7","80,6","3,1","10,0","1,0","257,0","69,0",2017
"Lars Kaggskolan 4 BA, EE, FT",69629086,Kalmar,0880,8324016453,Kalmar,Kommunal,"34,9","1,0","33,9","13,7","66,0",.,"11,0",.,.,"83,8",2017
Naturbruksgymnasiet Kalmar 1,88624631,Kalmar,0880,2620000071,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,Enskild,"10,7","0,7","10,0","64,8","82,9","7,5","7,8","0,2","390,0","93,0",2017
Naturbruksgymnasiet Kalmar 2,35390185,Kalmar,0880,2620000071,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,Enskild,"4,2","0,2","4,0",.,"75,0",.,"4,8",.,.,"75,0",2017
Plusgymnasiet Kalmar,37358234,Kalmar,0880,5565789129,Plusgymnasiet AB,Enskild,"7,3","1,0","6,3","79,4","66,7",.,"11,7","0,4","200,0","82,5",2017
Praktiska Kalmar,31657916,Kalmar,0880,5562575786,Praktiska Sverige AB,Enskild,"10,9","1,0","9,9","31,0","51,3","5,1","12,8",.,.,"100,0",2017
"Stagneliusskolan 1 SA, SA-A, HA-A, IMIND-A",21008461,Kalmar,0880,8324016453,Kalmar,Kommunal,"24,7","1,0","23,7","67,0","97,1",.,"9,9",.,.,"98,7",2017
"Stagneliusskolan 2 EK, HA",54606928,Kalmar,0880,8324016453,Kalmar,Kommunal,"23,1","1,0","22,1","49,3","89,8","13,6","19,9","2,0","219,5","88,7",2017
"Stagneliusskolan 3, SA",53893730,Kalmar,0880,8324016453,Kalmar,Kommunal,"24,7","1,0","23,7","35,7","85,2",.,"14,8",.,.,"89,4",2017
SYAB Transportgymnasium,46241804,Kalmar,0880,5567290035,SYAB Transportgymnasium AB,Enskild,"10,3","1,0","9,3","20,4","69,9",.,"9,8","0,1","910,0","98,9",2017
Vuxenutbildningen i Karlsborg och Karlsborgs gymnasieskola,55870331,Karlsborg,1446,2120001629,Karlsborg,Kommunal,"5,2","0,4","4,8","61,7","30,2","4,1","6,4","0,3","103,3","30,2",2017
Fria Läroverken i Karlshamn,42573391,Karlshamn,1082,5569306979,Gymnasieskolor i Syd AB,Enskild,"10,5","0,5","10,0","44,4","61,4",.,"10,5","0,1","1 050,0","66,4",2017
Vägga gymnasieskola 1b,21673083,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"14,8","0,5","14,3","54,7","65,8",.,"12,7","0,8","226,3","75,5",2017
Vägga gymnasieskola 2,64574972,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"28,9","1,0","27,9","67,3","86,2","3,9","9,4","1,0","276,8","95,8",2017
Vägga gymnasieskola 3,19741742,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"26,4","1,0","25,4","47,8","71,4","4,9","9,8","0,8","312,5","86,1",2017
Vägga gymnasieskola 4,29032715,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"31,5","1,0","30,5","35,6","75,9","3,9","10,1","1,0","309,0","80,0",2017
Karlskoga Idrottsgymnasium,45830583,Karlskoga,1883,5567823611,Karlskoga Idrottsgymnasium AB,Enskild,"5,4","0,6","4,8","77,9","81,1",.,"10,3",.,.,"79,0",2017
Möckelngymnasiet Ro 2,48931433,Karlskoga,1883,2120001991,Karlskoga,Kommunal,"26,7","1,0","25,7","57,9","94,9","3,9","12,6",.,.,"96,0",2017
Möckelngymnasiet Ro 3,97270136,Karlskoga,1883,2120001991,Karlskoga,Kommunal,"40,8","1,0","39,8","57,8","93,7","2,5","9,0","1,0","358,0","93,7",2017
Möckelngymnasiet Ro 4,19909435,Karlskoga,1883,2120001991,Karlskoga,Kommunal,"24,2","1,0","23,2","38,7","77,9","4,3","10,1","1,0","233,0","86,8",2017
af Chapmangymnasiet,30530571,Karlskrona,1080,2120000829,Karlskrona,Kommunal,"53,2","2,0","51,2","72,1","85,7","4,9","14,0","1,6","447,5","90,7",2017
Aspero Idrottsgymn. Karlskrona,78839208,Karlskrona,1080,5566363973,Aspero Friskolor AB,Enskild,"12,3","1,0","11,3","46,7","66,5",.,"16,5","0,1","1 860,0","88,4",2017
Ehrensvärdska gymnasiet,96024712,Karlskrona,1080,2120000829,Karlskrona,Kommunal,"50,4","2,0","48,4","56,6","85,9","3,7","12,0",.,.,"93,8",2017
Fischerströmska gymnasiet,36845597,Karlskrona,1080,2120000829,Karlskrona,Kommunal,"35,7","2,0","33,7","74,6","82,5","12,5","7,7","1,0","260,0","92,5",2017
"Mikael Elias Gymnasium, Karlskrona",30458073,Karlskrona,1080,5565583282,Mikael Elias Gymnasium AB,Enskild,"4,9","0,7","4,2","41,7","52,4",.,"4,3",.,.,"14,3",2017
Praktiska Karlskrona,40829056,Karlskrona,1080,5562575786,Praktiska Sverige AB,Enskild,"10,9","1,0","9,9","52,3","37,1",.,"14,1",.,.,"40,6",2017
Törnströmska gymnasiet,85800840,Karlskrona,1080,2120000829,Karlskrona,Kommunal,"47,3","1,0","46,3","35,9","79,0","2,2","10,0",.,.,"92,7",2017
AlmaAkademin,68920727,Karlstad,1780,8572006313,Folkuniversitetet Stiftelsen Kursver Ksamheten Vid Göteborgs Universitet,Enskild,"14,2","1,0","13,2","60,8","87,8",.,"9,0","0,2","595,0","91,6",2017
Fria Läroverken Karlstad,27115998,Karlstad,1780,5569172041,Fria Läroverken i Sverige AB,Enskild,"33,9","1,0","32,9","33,2","77,0","5,3","16,6",.,.,"73,9",2017
IT-Gymnasiet Karlstad,41867682,Karlstad,1780,5565970471,IT Gymnasiet Sverige AB,Enskild,"10,2","1,0","9,2","27,9","73,2",.,"13,0","0,1","1 190,0","77,6",2017
Klara Gymnasium Karlstad,79516949,Karlstad,1780,5566303938,Klaragymnasium AB,Enskild,"23,4","1,7","21,7","45,2","86,2","3,9","16,1","0,2","2 326,7","95,4",2017
Lillerudsgymnasiet,65662401,Karlstad,1780,5566243548,Lillerudsgymnasiet AB,Enskild,"21,5","1,0","20,5","66,7","80,2","3,9","10,8","0,5","440,0","92,9",2017
Nobelgymnasiet,39583059,Karlstad,1780,2120001850,Karlstad,Kommunal,"95,9","1,0","94,9","52,3","87,0","4,2","11,7","2,0","555,0","89,6",2017
Praktiska Karlstad,38645259,Karlstad,1780,5562575786,Praktiska Sverige AB,Enskild,"19,3","1,0","18,3","54,6","80,9","5,5","10,2","0,2","935,0","86,9",2017
Sundstagymnasiet,96684210,Karlstad,1780,2120001850,Karlstad,Kommunal,"68,1","0,9","67,2","40,1","95,5","2,2","12,2","2,3","357,4","97,8",2017
Thoren Business School Karlstad,87207941,Karlstad,1780,5566139290,Thorengruppen AB,Enskild,"17,1","1,0","16,1","67,1","83,2",.,"19,0","0,2","1 530,0","83,2",2017
Tingvallagymnasiet,11673760,Karlstad,1780,2120001850,Karlstad,Kommunal,"47,6","0,6","47,0","65,5","91,7","7,5","14,9","1,5","465,3","100,0",2017
Älvkullegymnasiet,46574937,Karlstad,1780,2120001850,Karlstad,Kommunal,"67,1","1,0","66,1","46,6","88,4","1,5","16,1","2,2","483,6","93,5",2017
Duveholmsgymnasiet 1,23836342,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"39,1","0,7","38,4","62,5","83,8",.,"13,4","1,5","355,9","100,0",2017
Duveholmsgymnasiet 2,36680378,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"3,4","0,1","3,3","68,0","63,8",.,"2,7","0,1","90,0","100,0",2017
Katrineholms Tekniska College 1,63791419,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"25,4","1,0","24,4","57,4","79,8",.,"12,8","0,8","390,0","100,0",2017
Katrineholms Tekniska College 2,39805497,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"22,6","1,0","21,6","35,1","88,9",.,"11,0","0,6","395,0","100,0",2017
Lindengymnasiet,38400227,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"29,4","1,0","28,4","42,7","72,4",.,"12,8","1,0","362,0","98,3",2017
KInda lärcentrum,94660328,Kinda,0513,2120000399,Kinda,Kommunal,"3,3","0,3","3,0","72,0","84,5",.,"8,9","0,5","54,0","87,8",2017
Hjalmar Lundbohmsskolan enhet 1,81619482,Kiruna,2584,2220000760,Kiruna,Kommunal,"36,4","1,0","35,4","65,3","85,9","2,8","8,3",.,.,"83,1",2017
Hjalmar Lundbohmsskolan enhet 2,83829189,Kiruna,2584,2220000760,Kiruna,Kommunal,"22,9","1,0","21,9","29,1","49,7","4,6","7,2",.,.,"49,7",2017
Hjalmar Lundbohmsskolan enhet 3,46145886,Kiruna,2584,2220000760,Kiruna,Kommunal,"22,8","1,0","21,8","40,2","80,5","4,6","9,9",.,.,"80,5",2017
Hjalmar Lundbohmsskolan enhet 4,12395564,Kiruna,2584,2220000760,Kiruna,Kommunal,"8,5","0,9","7,5","76,4","86,7","13,3","16,7","4,0","31,5","86,7",2017
Rymdgymnasiet,90006712,Kiruna,2584,5565528022,Malmens Friskola AB,Enskild,"6,8","1,0","5,8","50,6","47,7",.,"14,6",.,.,"37,3",2017
"Flygteknikcenter, Ljungbyhed",43649848,Klippan,1276,2120000928,Klippan,Kommunal,"9,6","1,0","8,6","13,5","32,2","1,2","7,5","0,1","1 280,0","100,0",2017
Segragymnasiet Klippan,75344502,Klippan,1276,5569162562,Sveriges Naturbruksgymnasium AB,Enskild,"10,4","1,0","9,4","81,9","56,4",.,"11,6","0,1","1 090,0","100,0",2017
Tegelbruksskolan,84247499,Klippan,1276,2120000928,Klippan,Kommunal,"34,2","1,0","33,2","24,0","49,1",.,"9,5","0,9","343,5","52,4",2017
Åbyskolan 1,27041885,Klippan,1276,2120000928,Klippan,Kommunal,"17,1","1,2","15,9","46,6","83,6","3,8","9,5","0,4","428,6","81,1",2017
Åbyskolan 2,39149668,Klippan,1276,2120000928,Klippan,Kommunal,"19,2","0,8","18,4","50,1","98,9","1,9","13,5","0,6","413,3","99,6",2017
Åbyskolan 3,13509408,Klippan,1276,2120000928,Klippan,Kommunal,"15,0","1,0","14,0","74,3","93,6","7,1","12,8","1,0","179,0","90,0",2017
Sjögrenska gymnasiet,97064126,Knivsta,0330,2120003013,Knivsta,Kommunal,"12,0","0,5","11,6","49,8","84,4","8,7","6,6",.,.,"84,4",2017
Nordviksskolan,32580162,Kramfors,2282,2120002429,Kramfors,Kommunal,"5,5",.,"5,5","80,7","29,4",.,"11,6",.,.,"77,1",2017
Räddningsgymnasiet Sandö,38233622,Kramfors,2282,2120002429,Kramfors,Kommunal,"9,6","1,0","8,6","58,5","97,7",.,"8,5",.,.,"95,3",2017
Ådalsskolan 1,48156011,Kramfors,2282,2120002429,Kramfors,Kommunal,"13,6","1,0","12,6","63,3","80,2",.,"12,0","2,7","55,9","80,2",2017
Ådalsskolan 2,48722826,Kramfors,2282,2120002429,Kramfors,Kommunal,"51,4","1,0","50,4","35,6","85,1",.,"9,1",.,.,"86,7",2017
Christian 4:s Gymnasium ES,73063662,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"19,0","0,8","18,2","48,3","95,2","6,6","10,8",.,.,"99,9",2017
"Christian 4:s Gymnasium HU, SA",40766349,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"1,4",.,"1,4","32,9","100,0","10,5","26,6",.,.,"100,0",2017
Framtidsgymnasiet Kristianstad,71571158,Kristianstad,1290,5565755500,Framtidsgymnasiet i Sverige AB,Enskild,"21,5","1,0","20,5","19,5","29,3",.,"14,0","0,2","1 435,0","56,1",2017
IT-Gymnasiet Kristianstad,53691739,Kristianstad,1290,5565970471,IT Gymnasiet Sverige AB,Enskild,"7,1","1,0","6,1",.,"45,9",.,"25,7",.,.,"82,0",2017
LBS Ljud & Bildskolan Kristianstad,43251309,Kristianstad,1290,5564851649,Ljud & Bildskolan Lbs AB,Enskild,"8,6","1,0","7,6","30,3","55,9",.,"14,3","0,2","545,0","77,0",2017
"Milnergymnasiet BF, HV, VO",97596286,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"22,9","0,5","22,4","72,7","83,7",.,"13,2","0,8","368,8","90,8",2017
Plusgymnasiet Kristianstad,67554405,Kristianstad,1290,5565789129,Plusgymnasiet AB,Enskild,"32,9","1,0","31,9","65,8","89,0","2,5","17,3","0,5","1 104,0","87,4",2017
Praktiska Kristianstad,86473502,Kristianstad,1290,5562575786,Praktiska Sverige AB,Enskild,"11,5","1,0","10,5","62,9","37,6",.,"10,8",.,.,"35,7",2017
"Söderportgymnasiet EK, HU, SA",73944169,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"31,8","1,0","30,8","58,1","88,9","2,1","16,6","0,6","851,7","99,3",2017
"Söderportgymnasiet HA, IB, NA",98239050,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"19,5","1,0","18,5","52,8","83,4",.,"12,0","0,4","552,5","92,7",2017
"Söderportgymnasiet IM, ISPEC",13520728,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"24,8","1,0","23,8","68,2","90,0","14,7","9,0","1,0","215,0","99,5",2017
"Söderportgymnasiet IM, RG",94455820,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"6,6","1,0","5,6","74,6","100,0","35,7","3,0","1,0","17,0","97,0",2017
"Wendesgymnasiet BA, HV",58368956,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"19,4","1,0","18,4","14,3","56,6","5,2","9,5","0,5","391,1","83,7",2017
"Wendesgymnasiet FT, VF",73567152,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"22,1","1,0","21,1","26,9","70,6","9,7","8,4","0,5","391,1","75,3",2017
Önnestadsgymnasiet,61547652,Kristianstad,1290,5567502777,Hushållningssällskapets Kompetensutveckling i Syd AB (HUSKAB),Enskild,"17,9","1,0","16,9","38,0","76,0","5,9","10,2","0,2","860,0","57,9",2017
"Österänggymnasiet EE, IN, RL",60209222,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"21,2","1,0","20,2","32,2","79,5","1,2","10,7","0,4","597,2","94,0",2017
"Österänggymnasiet HT, SA",62104139,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"15,6","1,0","14,6","68,6","93,3","3,3","15,5","0,4","627,8","91,4",2017
Österänggymnasiet IM,21702982,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"18,0","1,0","17,0","81,1","95,7","5,9","11,2","0,5","380,0","99,6",2017
"Österänggymnasiet NA, TE",87034307,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"29,9","1,0","28,9","47,7","96,0","1,8","14,7","0,8","544,9","98,6",2017
Brogårdsgymnasiet,78872213,Kristinehamn,1781,2120001868,Kristinehamn,Kommunal,"43,1","1,0","42,1","51,6","87,6",.,"9,8","1,1","375,5","92,1",2017
Presterudsgymnasiet,84286698,Kristinehamn,1781,2120001868,Kristinehamn,Kommunal,"24,8","0,8","24,0","40,4","58,3","3,3","8,5","0,9","226,7","64,6",2017
Dille Gård Naturbruksgymnasium,62490359,Krokom,2309,5564173853,Dille Gård AB,Enskild,"11,2","0,9","10,3","64,9","39,0",.,"6,5","0,2","446,7","79,5",2017
"Jämtlands Gymn, Torsta",64725297,Krokom,2309,2220001636,Krokom,Kommunal,"2,7","0,3","2,4","41,2","100,0",.,"40,7","0,4","282,9","96,7",2017
"Jämtlands Gymn, Wången",43362941,Krokom,2309,2220001636,Krokom,Kommunal,"3,4","0,3","3,2","47,0","100,0",.,"25,1","0,2","533,3","100,0",2017
John Norlandergymnasiet,23350817,Kumla,1881,2120001975,Kumla,Kommunal,"19,6","0,7","18,9","54,2","62,4",.,"9,4","1,0","177,0","52,4",2017
Aranäsgymnasiet Enhet 1,76860623,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"17,0","0,5","16,5","77,8","90,0","1,8","14,5","0,3","956,0","94,7",2017
Aranäsgymnasiet Enhet 2,58191646,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"21,2","1,0","20,2","48,7","91,5",.,"16,9","0,6","620,0","96,1",2017
Aranäsgymnasiet Enhet 3,80405898,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"19,5","0,6","18,9","67,4","90,1",.,"18,0","0,4","968,6","95,9",2017
Aranäsgymnasiet Enhet 4,56021320,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"22,3","1,0","21,3","72,4","85,0","3,8","10,6","0,6","357,1","92,1",2017
Aranäsgymnasiet Enhet 5,41358402,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"10,5","0,5","10,0","20,2","54,8","2,0","9,0","0,1","642,9","96,4",2017
Beda Hallbergs gymnasium,63179610,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"8,4","0,5","7,9","89,8","100,0","6,3","10,5","0,1","592,9","100,0",2017
Drottning Blankas Gymn. Kungsbacka,64569393,Kungsbacka,1384,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"11,1","0,6","10,5","66,1","70,3",.,"13,4",.,.,"74,5",2017
Elof Lindälvs gymn Enhet 1,87262566,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"18,8","1,0","17,8","49,9","73,4","5,6","15,8","0,5","626,7","100,0",2017
Elof Lindälvs gymn Enhet 2,64160122,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"26,1","1,0","25,1","54,6","91,1","4,0","16,6","0,8","521,3","93,4",2017
Elof Lindälvs gymn Enhet 3,48217580,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"27,6","1,0","26,6","62,3","96,5",.,"16,8","0,3","1 493,3","99,8",2017
Elof Lindälvs gymn Enhet 4,41844601,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"18,0","1,0","17,0","73,8","85,3","2,9","13,4","0,4","651,4","93,7",2017
