skolverket_kommunnamn,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_helttj_larare_tcv105,skolverket_helttj_larare_leg_tcv105,skolverket_and_helttj_larare_leg_tcv105,skolverket_helttj_forstelarare_tcv105,skolverket_ant_larare_tcv105,skolverket_ant_larare_pedex_tcv105,skolverket_and_larare_pedex_tcv105,skolverket_ant_behoriga_tcv105,skolverket_and_behoriga_tcv105,skolverket_ant_forstelarare_tcv105,year
Göteborg,Kunskapsgymnasiet Göteborg,12052268,Enskild,Kunskapsskolan i Sverige Aktiebolag,"21,3","16,8","78,8","3,0",24,23,"95,8",22,"91,7",3,2018
Göteborg,L M Engströms gymnasium,71597051,Enskild,Peter Isaac Béens Utbildningsstiftelse,"26,1","24,2","92,7","5,8",37,31,"83,8",33,"89,2",6,2018
Göteborg,LBS Ljud & Bildskolan Göteborg,53231578,Enskild,Ljud & Bildskolan Lbs AB,"13,9","9,1","65,6","3,2",20,14,"70,0",14,"70,0",4,2018
Göteborg,Lindholmens tekn gymnasium 1,11274830,Kommunal,Göteborg,"6,7","6,2","92,6","2,9",12,11,"91,7",11,"91,7",3,2018
Göteborg,Lindholmens tekn gymnasium 2,51321260,Kommunal,Göteborg,"5,9","5,4","92,6","2,9",10,10,"100,0",10,"100,0",3,2018
Göteborg,Lindholmens tekn gymnasium 3,96279444,Kommunal,Göteborg,"14,0","12,3","88,3","3,8",23,19,"82,6",18,"78,3",4,2018
Göteborg,Motorbranschens Tekniska gymn.,61880907,Kommunal,Göteborg,"5,3","5,3","100,0","2,0",6,6,"100,0",6,"100,0",2,2018
Göteborg,NTI Gymnasiet Johanneberg,79094701,Enskild,IT Gymnasiet Sverige AB,"16,7","15,1","90,6","2,4",26,23,"88,5",23,"88,5",3,2018
Göteborg,NTI Gymnasiet Kronhus,35006050,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"14,7","12,3","83,5","3,4",18,14,"77,8",17,"94,4",4,2018
Göteborg,NTI Mediegymnasiet,97382366,Enskild,Nordens Teknikerinstitut Aktiebolag (Nti),"14,7","12,1","82,3","4,0",20,17,"85,0",17,"85,0",4,2018
Göteborg,Peabskolan Göteborg,88886610,Enskild,Peabskolan AB,"3,5","3,3","94,3","1,0",4,4,"100,0",4,"100,0",1,2018
Göteborg,Plusgymnasiet Göteborg,10638939,Enskild,Plusgymnasiet AB,"7,2","6,6","91,9","3,0",12,10,"83,3",9,"75,0",3,2018
Göteborg,Polhemsgymnasiet 1,21505555,Kommunal,Göteborg,"20,3","19,3","95,1",.,22,20,"90,9",21,"95,5",.,2018
Göteborg,Polhemsgymnasiet 2,34336190,Kommunal,Göteborg,"13,8","13,8","100,0",.,17,17,"100,0",17,"100,0",.,2018
Göteborg,Polhemsgymnasiet 3,21052710,Kommunal,Göteborg,"16,2","15,9","98,1","1,8",18,17,"94,4",18,"100,0",2,2018
Göteborg,Praktiska Göteborg,88556189,Enskild,Praktiska Sverige AB,"5,3","3,0","56,2","1,0",7,6,"85,7",4,"57,1",1,2018
Göteborg,Realgymnasiet Göteborg,35236491,Enskild,Lärande i Sverige AB,"7,7","5,7","74,5","2,8",9,8,"88,9",8,"88,9",3,2018
Göteborg,Rytmus Göteborg,69739484,Enskild,Rytmus AB,"7,3","5,8","79,7","2,6",12,12,"100,0",10,"83,3",3,2018
Göteborg,Schillerska gymnasiet 1,92887917,Kommunal,Göteborg,"16,3","15,7","96,1","3,0",21,20,"95,2",20,"95,2",3,2018
Göteborg,Schillerska gymnasiet 2,88834120,Kommunal,Göteborg,"12,8","12,3","96,1","1,0",18,17,"94,4",17,"94,4",1,2018
Göteborg,Schillerska gymnasiet 4,70066748,Kommunal,Göteborg,"14,3","14,3","100,0","3,0",26,26,"100,0",26,"100,0",3,2018
Göteborg,Sigrid Rudebecks gymnasium,19207279,Enskild,Aktiebolaget Sigrid Rudebecks Skola,"27,2","26,2","96,3","5,0",29,26,"89,7",28,"96,6",5,2018
Göteborg,Sjölins Gymnasium Göteborg,53640774,Enskild,Sjölins Gymnasium AB,"20,4","15,4","75,7","4,0",26,22,"84,6",21,"80,8",4,2018
Göteborg,SKF Tekniska Gymnasium,58502307,Enskild,Skf Sverige Aktiebolag,"5,1","4,4","87,0","0,9",8,7,"87,5",7,"87,5",1,2018
Göteborg,Thoren Innovation School Göteborg,97177328,Enskild,Thoren Innovation School AB,"9,8","5,4","54,6","2,0",12,7,"58,3",6,"50,0",2,2018
Göteborg,Västsvenska Gymnasiet,34831349,Enskild,Idrottens Skola i Göteborg AB,"6,2","3,2","52,1",.,8,6,"75,0",5,"62,5",.,2018
Göteborg,Yrkesgymnasiet Göteborg,63511898,Enskild,Thorengruppen AB,"9,5","6,8","71,6",.,11,9,"81,8",9,"81,8",.,2018
Hagfors,Älvstrandsgymnasiet,72127035,Kommunal,Hagfors,"19,3","14,3","74,2","4,3",32,22,"68,8",22,"68,8",5,2018
Hallstahammar,Ridsportsgymnasiet,50696507,Enskild,Ridskolan Strömsholm RS AB,"3,3","2,2","67,4","0,5",5,5,"100,0",4,"80,0",1,2018
Halmstad,Aspero Idrottsgymn. Halmstad,92507006,Enskild,Aspero Friskolor AB,"12,1","8,8","73,0","2,9",18,14,"77,8",14,"77,8",3,2018
Halmstad,Drottning Blankas Gymnasieskola Halmstad,44653962,Enskild,Drottning Blankas Gymnasieskola AB,"8,4","4,3","51,4","2,0",15,8,"53,3",8,"53,3",2,2018
Halmstad,Kattegattgymnasiet 1,20100577,Kommunal,Halmstad,"11,5","11,2","97,2","2,0",14,14,"100,0",14,"100,0",2,2018
Halmstad,Kattegattgymnasiet 2,81993306,Kommunal,Halmstad,"14,6","14,3","97,9","1,8",18,16,"88,9",18,"100,0",2,2018
Halmstad,Kattegattgymnasiet 3,19051089,Kommunal,Halmstad,"15,3","14,0","91,6","5,0",17,17,"100,0",16,"94,1",5,2018
Halmstad,Kattegattgymnasiet 4,29097621,Kommunal,Halmstad,"10,5","8,5","80,9","1,0",11,10,"90,9",9,"81,8",1,2018
Halmstad,Kattegattgymnasiet 5,61195886,Kommunal,Halmstad,"2,0","2,0","100,0","0,6",2,2,"100,0",2,"100,0",1,2018
Halmstad,LBS Ljud & Bildskolan Halmstad,47264019,Enskild,Ljud & Bildskolan Lbs AB,"6,8","4,5","66,4","3,0",10,7,"70,0",6,"60,0",3,2018
Halmstad,Praktiska Halmstad,87764775,Enskild,Praktiska Sverige AB,"7,0","4,8","68,6","1,0",8,5,"62,5",5,"62,5",1,2018
Halmstad,Sannarpsgymnasiet 2,50198492,Kommunal,Halmstad,"17,3","15,7","90,6","1,8",47,45,"95,7",45,"95,7",3,2018
Halmstad,Sannarpsgymnasiet 3,48438396,Kommunal,Halmstad,"11,8","11,0","92,9","1,2",44,42,"95,5",41,"93,2",2,2018
Halmstad,Sannarpsgymnasiet 4,98052678,Kommunal,Halmstad,"19,4","19,1","98,4","2,4",45,44,"97,8",44,"97,8",6,2018
Halmstad,Sturegymnasiet 1,20099064,Kommunal,Halmstad,"20,6","19,0","92,5","3,8",27,25,"92,6",25,"92,6",4,2018
Halmstad,Sturegymnasiet 2,44341171,Kommunal,Halmstad,"2,8","2,8","100,0","1,0",3,3,"100,0",3,"100,0",1,2018
Halmstad,Sturegymnasiet 3,77130356,Kommunal,Halmstad,"2,8","2,8","100,0","1,0",4,4,"100,0",4,"100,0",1,2018
Halmstad,Sturegymnasiet 4,32671805,Kommunal,Halmstad,"5,4","4,9","92,0","1,0",6,6,"100,0",6,"100,0",1,2018
Haninge,Berga naturbruksgymnasium,38448056,Landsting,Stockholms Läns Landsting,"7,5","3,5","47,0",.,12,9,"75,0",8,"66,7",.,2018
Haninge,Fredrika Bremergymnasiet,16313848,Kommunal,Haninge,"68,5","62,2","90,9","21,9",96,85,"88,5",89,"92,7",23,2018
Haninge,Riksäpplet,79606767,Kommunal,Haninge,"5,9","5,2","88,2","2,7",14,11,"78,6",11,"78,6",4,2018
Haparanda,Tornedalsskolan,11294673,Kommunal,Haparanda,"11,7","8,6","73,4","4,3",19,17,"89,5",15,"78,9",5,2018
Heby,CLL/Gymnasieutbildningen,86212202,Kommunal,Heby,"1,1","0,0","0,0",.,3,3,"100,0",0,"0,0",.,2018
Hedemora,Martin Koch-gymnasiet,86327236,Kommunal,Hedemora,"15,4","12,0","78,0","2,4",26,21,"80,8",18,"69,2",3,2018
Helsingborg,Campeon Frigymnasium,41745951,Enskild,Campeon Frigymnasium AB,"7,2","6,2","85,8","3,0",11,9,"81,8",9,"81,8",3,2018
Helsingborg,Cultura Gymnasium,83137205,Enskild,Cultura Utbildning AB,"9,0","6,1","67,6","1,7",12,10,"83,3",10,"83,3",2,2018
Helsingborg,Drottning Blankas Gymnasieskola Helsingborg Prästgatan,66335258,Enskild,Drottning Blankas Gymnasieskola AB,"8,5","6,1","72,5","2,0",12,10,"83,3",10,"83,3",2,2018
Helsingborg,Drottning Blankas Gymnasieskola Helsingborg S:a Kyrkogatan,28398531,Enskild,Hermods Design & Construction College AB,"7,5","5,4","71,4","3,0",12,7,"58,3",8,"66,7",3,2018
Helsingborg,Filbornaskolan,54172830,Kommunal,Helsingborg,"20,7","18,0","87,1","5,6",29,28,"96,6",27,"93,1",6,2018
Helsingborg,G.O. Kompetens Transportgymnasium,86310217,Enskild,G.O. Kompetens Transportgymnasium AB,"3,3","1,8","54,8",.,5,3,"60,0",3,"60,0",.,2018
Helsingborg,Helsingborgs Lärlingsgymnasium,77352223,Kommunal,Helsingborg,"5,6","4,3","76,7","0,9",11,11,"100,0",9,"81,8",2,2018
Helsingborg,Helsingborgs Ridgymnasium,83085136,Enskild,Humeq Education AB,"6,1","4,2","68,3","1,0",10,7,"70,0",5,"50,0",1,2018
Helsingborg,Helsingborgs Sportgymnasium,75458014,Enskild,Helsingborgs Sportgymnasium AB,"4,2","3,4","80,2",.,10,6,"60,0",7,"70,0",.,2018
Helsingborg,Impius gymnasium,65136104,Enskild,Impius Utvecklings AB,"13,1","9,1","69,7",.,18,12,"66,7",10,"55,6",.,2018
Helsingborg,International school of Hbg/Gy,61826221,Kommunal,Helsingborg,"15,1","2,9","18,9","0,6",24,8,"33,3",4,"16,7",1,2018
Helsingborg,JENSEN Gymnasium Helsingborg,56330385,Enskild,Jensen Education College AB,"10,8","8,1","75,2","2,0",13,7,"53,8",9,"69,2",2,2018
Helsingborg,Johannes Hedberggymnasiet,20228162,Enskild,Folkuniversitetet Stiftelsen Kurs- Verksamheten Vid Lunds Universitet,"21,0","14,8","70,7","3,5",25,22,"88,0",20,"80,0",4,2018
Helsingborg,LBS Ljud & Bildskolan Helsingborg,68240485,Enskild,Ljud & Bildskolan Lbs AB,"9,3","7,4","80,0","4,3",11,10,"90,9",10,"90,9",5,2018
Helsingborg,Mega Musik gymnasium,95046058,Enskild,Mega Musik Gymnasieskola AB,"12,1","8,0","66,0","1,0",17,11,"64,7",12,"70,6",1,2018
Helsingborg,Nicolaiskolan,44392995,Kommunal,Helsingborg,"18,8","16,4","87,4","3,7",25,20,"80,0",22,"88,0",5,2018
Helsingborg,NTI Gymnasiet Helsingborg,79033948,Enskild,IT Gymnasiet Sverige AB,"16,0","12,5","78,1","2,9",19,15,"78,9",14,"73,7",3,2018
Helsingborg,Olympiaskolan,53462953,Kommunal,Helsingborg,"28,9","27,8","96,2","4,0",41,40,"97,6",39,"95,1",6,2018
Helsingborg,Praktiska Helsingborg,69241230,Enskild,Praktiska Sverige AB,"5,3","3,9","73,6","1,0",7,6,"85,7",6,"85,7",1,2018
Helsingborg,ProCivitas Privata Gymnasium Helsingborg,60730660,Enskild,ProCivitas Privata Gymnasium AB,"18,9","17,5","92,6",.,21,18,"85,7",20,"95,2",.,2018
Helsingborg,Realgymnasiet Helsingborg,85544331,Enskild,Lärande i Sverige AB,"3,3","3,0","91,0","1,0",6,5,"83,3",5,"83,3",1,2018
Helsingborg,Rönnowska skolan,80327946,Kommunal,Helsingborg,"22,0","17,7","80,4","8,2",27,25,"92,6",24,"88,9",11,2018
Helsingborg,Thoren Business School Helsingborg,82592568,Enskild,Thorengruppen AB,"15,6","9,8","63,1","4,0",18,11,"61,1",11,"61,1",4,2018
Helsingborg,Thoren Innovation School Helsingborg,30359269,Enskild,Thoren Innovation School AB,"3,0","1,8","58,4","0,6",8,4,"50,0",5,"62,5",1,2018
Helsingborg,Tycho Braheskolan,78875918,Kommunal,Helsingborg,"29,7","24,6","82,8","3,0",38,33,"86,8",31,"81,6",3,2018
Helsingborg,Victum Gymnasium,78023197,Enskild,Victum Gymnasium Aktiebolag,"7,4","4,4","59,9","2,0",9,6,"66,7",6,"66,7",2,2018
Herrljunga,Kunskapskällan,86385479,Kommunal,Herrljunga,"11,1","10,2","91,2","1,0",15,14,"93,3",14,"93,3",1,2018
Hjo,Individuella programmet,53494028,Kommunal,Hjo,"3,0","1,8","59,8",.,7,7,"100,0",5,"71,4",.,2018
Huddinge,Huddingegymnasiet,49862313,Kommunal,Huddinge,"27,2","23,0","84,6","1,3",37,31,"83,8",33,"89,2",2,2018
Huddinge,NTI Gymnasiet Södertörn,99838438,Enskild,IT Gymnasiet Sverige AB,"10,9","7,7","70,0","2,8",17,12,"70,6",12,"70,6",3,2018
Huddinge,Sjödalsgymnasiet,42859669,Kommunal,Huddinge,"50,0","43,0","85,9","5,0",58,53,"91,4",51,"87,9",5,2018
Huddinge,Sågbäcksgymnasiet,70923626,Kommunal,Huddinge,"19,5","14,9","76,6","5,0",24,20,"83,3",18,"75,0",5,2018
Huddinge,Yrkesgymnasiet Huddinge,92905347,Enskild,Thorengruppen AB,"4,3","2,0","46,3",.,5,3,"60,0",3,"60,0",.,2018
Huddinge,Östra gymnasiet,99592025,Kommunal,Huddinge,"40,1","34,5","86,0","5,9",53,47,"88,7",45,"84,9",7,2018
Hudiksvall,Bromangymnasiet 1,34247736,Kommunal,Hudiksvall,"18,2","17,2","94,5","2,3",27,26,"96,3",24,"88,9",4,2018
Hudiksvall,Bromangymnasiet 2,47550455,Kommunal,Hudiksvall,"21,1","19,7","93,3","5,3",28,27,"96,4",26,"92,9",8,2018
Hudiksvall,Bromangymnasiet 3,30329172,Kommunal,Hudiksvall,"5,5","3,6","64,1","0,9",17,11,"64,7",12,"70,6",4,2018
Hudiksvall,Bromangymnasiet 4,82423815,Kommunal,Hudiksvall,"0,6","0,6","100,0","0,6",1,1,"100,0",1,"100,0",1,2018
Hudiksvall,Hudikgymnasiet,76877530,Enskild,Hudiksvalls Gymnasieskola AB,"6,0","3,4","55,9",.,9,6,"66,7",5,"55,6",.,2018
Hultsfred,Hultsfreds gymnasium 1,47046103,Kommunal,Hultsfred,"11,1","7,9","71,0","1,4",28,18,"64,3",19,"67,9",4,2018
Hultsfred,Hultsfreds gymnasium 2,56664512,Kommunal,Hultsfred,"1,0","0,4","34,3","0,2",10,6,"60,0",6,"60,0",2,2018
Hultsfred,Hultsfreds gymnasium 3,38167912,Kommunal,Hultsfred,"6,2","4,6","73,7","1,7",25,18,"72,0",18,"72,0",3,2018
Hylte,IM Gymnasieenhet,83501757,Kommunal,Hylte,"4,8","2,2","46,2",.,12,7,"58,3",5,"41,7",.,2018
Hylte,Labora Gymnasium,43826783,Enskild,Laboraskolan AB,"1,0","0,4","35,4",.,4,3,"75,0",2,"50,0",.,2018
Håbo,Fridegårdsgymnasiet,58125096,Kommunal,Håbo,"23,9","20,2","84,5","5,1",33,28,"84,8",28,"84,8",6,2018
Håbo,Fridegårdsgymnasiet- AST-programmen,82914148,Kommunal,Håbo,"9,8","8,6","88,3","0,6",16,14,"87,5",15,"93,8",1,2018
Hällefors,Pihlskolan gymnasium,20620556,Kommunal,Hällefors,"9,2","5,3","57,6","1,7",15,11,"73,3",8,"53,3",2,2018
Hälsinglands utbildningsförbund,Staffangymnasiet RO6,45593337,Kommunal,Hälsinglands utbildningsförbund,"22,4","18,1","81,1","0,6",35,31,"88,6",30,"85,7",1,2018
Hälsinglands utbildningsförbund,Staffangymnasiet RO7,90312942,Kommunal,Hälsinglands utbildningsförbund,"7,0","5,2","74,5","1,5",20,18,"90,0",17,"85,0",3,2018
Hälsinglands utbildningsförbund,Torsbergsgymnasiet RO3,42218661,Kommunal,Hälsinglands utbildningsförbund,"15,6","9,4","59,9","3,0",31,24,"77,4",20,"64,5",5,2018
Hälsinglands utbildningsförbund,Torsbergsgymnasiet RO4,73171934,Kommunal,Hälsinglands utbildningsförbund,"4,5","1,7","38,7",.,18,14,"77,8",8,"44,4",.,2018
Hälsinglands utbildningsförbund,Torsbergsgymnasiet RO5,83474173,Kommunal,Hälsinglands utbildningsförbund,"6,2","3,1","49,8","1,1",24,20,"83,3",13,"54,2",2,2018
Härjedalen,Härjedalens gymnasium,17173461,Kommunal,Härjedalen,"16,9","7,4","44,0","2,0",23,18,"78,3",12,"52,2",2,2018
Härnösand,Härnösands gymnasium 1,55535552,Kommunal,Härnösand,"6,1","5,1","83,3",.,18,15,"83,3",13,"72,2",.,2018
Härnösand,Härnösands gymnasium 2,19560192,Kommunal,Härnösand,"9,9","6,1","61,2","1,0",27,21,"77,8",18,"66,7",1,2018
Härnösand,Härnösands gymnasium 3,30468157,Kommunal,Härnösand,"21,2","15,1","71,5","3,5",34,27,"79,4",22,"64,7",4,2018
Härryda,Hulebäcksgymnasiet 1,98053087,Kommunal,Härryda,"5,7","5,5","96,8","2,0",7,7,"100,0",6,"85,7",2,2018
Härryda,Hulebäcksgymnasiet 2,92533079,Kommunal,Härryda,"17,7","16,7","94,6","1,9",27,26,"96,3",24,"88,9",2,2018
Härryda,Hulebäcksgymnasiet 3,61528940,Kommunal,Härryda,"19,4","19,3","99,4","4,7",21,20,"95,2",21,"100,0",5,2018
Härryda,Hulebäcksgymnasiet 4,23681822,Kommunal,Härryda,"13,9","13,8","98,9","2,5",20,20,"100,0",20,"100,0",3,2018
Härryda,Hulebäcksgymnasiet 5,66861851,Kommunal,Härryda,"21,0","19,8","94,3","3,7",26,26,"100,0",26,"100,0",4,2018
Härryda,Hulebäcksgymnasiet 6,72206824,Kommunal,Härryda,"9,3","8,0","85,8",.,12,12,"100,0",11,"91,7",.,2018
Hässleholm,Hässleholms Tekniska Skola,92858957,Kommunal,Hässleholm,"53,7","48,6","90,6","7,6",72,64,"88,9",63,"87,5",8,2018
Hässleholm,Jacobsskolan,46660042,Kommunal,Hässleholm,"20,5","15,7","76,7","5,4",28,25,"89,3",20,"71,4",6,2018
Höganäs,Kullagymnasiet 1,44113417,Kommunal,Höganäs,"27,3","22,9","83,8","5,8",35,31,"88,6",29,"82,9",6,2018
Högsby,Högsby utbildningscenter,67783774,Kommunal,Högsby,"3,5","2,1","61,2",.,10,8,"80,0",6,"60,0",.,2018
Hörby,Hörby Yrkesgymnasium,38917647,Enskild,Hörby Yrkesgymnasium AB,"2,1","0,0","0,0","1,0",3,1,"33,3",0,"0,0",1,2018
Höör,Karolinaskolan,21363125,Enskild,"Föreningen Fogdaröd omsorg, vård & utbildning utan personligt ansvar","2,5","1,6","65,6",.,3,3,"100,0",3,"100,0",.,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Bispgården",17184072,Kommunal,Jämtlands gymnasieförbund,"1,7","0,5","29,4",.,3,3,"100,0",2,"66,7",.,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Bräcke 4A",26864271,Kommunal,Jämtlands gymnasieförbund,"3,5","1,2","35,0",.,5,3,"60,0",3,"60,0",.,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Bräcke 4B",64411379,Kommunal,Jämtlands gymnasieförbund,"3,4","1,0","28,8",.,5,4,"80,0",2,"40,0",.,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Fyrvalla 3A",32239920,Kommunal,Jämtlands gymnasieförbund,"7,2","6,2","86,0","3,0",9,9,"100,0",8,"88,9",3,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Fyrvalla 3B",98781765,Kommunal,Jämtlands gymnasieförbund,"4,5","4,0","88,9","1,0",6,6,"100,0",5,"83,3",1,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Fyrvalla 3C",33467604,Kommunal,Jämtlands gymnasieförbund,"2,0","1,6","80,0","1,0",2,2,"100,0",2,"100,0",1,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Torsta",64725297,Kommunal,Jämtlands gymnasieförbund,"2,9","2,2","78,8","0,9",6,6,"100,0",6,"100,0",1,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wargentin 1A",38880984,Kommunal,Jämtlands gymnasieförbund,"16,2","16,0","98,9","4,0",18,18,"100,0",18,"100,0",4,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wargentin 1B",28872974,Kommunal,Jämtlands gymnasieförbund,"14,4","13,3","92,1","3,6",18,17,"94,4",17,"94,4",4,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wargentin 1D",36869352,Kommunal,Jämtlands gymnasieförbund,"3,0","0,7","22,4",.,6,5,"83,3",3,"50,0",.,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wargentin 1E",69812576,Kommunal,Jämtlands gymnasieförbund,"10,1","8,8","86,7","3,0",14,13,"92,9",12,"85,7",3,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wargentin 2A",18686599,Kommunal,Jämtlands gymnasieförbund,"22,5","11,0","48,9","3,9",25,13,"52,0",13,"52,0",4,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wargentin 2B",93779220,Kommunal,Jämtlands gymnasieförbund,"19,8","19,4","97,9","4,7",27,27,"100,0",26,"96,3",5,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wargentin 2C",77797484,Kommunal,Jämtlands gymnasieförbund,"18,0","15,8","88,0","2,0",28,22,"78,6",22,"78,6",2,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wargentin 2D",53279140,Kommunal,Jämtlands gymnasieförbund,"5,8","5,0","86,2",.,6,5,"83,3",5,"83,3",.,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Wången",43362941,Kommunal,Jämtlands gymnasieförbund,"3,1","1,4","43,7","0,1",4,4,"100,0",3,"75,0",1,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Åre",15149235,Kommunal,Jämtlands gymnasieförbund,"27,5","12,3","44,6","2,0",32,17,"53,1",15,"46,9",2,2018
Jämtlands gymnasieförbund,"Jämtlands Gymn, Åre 2",48336642,Kommunal,Jämtlands gymnasieförbund,"8,0","4,2","51,8","0,8",9,9,"100,0",6,"66,7",1,2018
Järfälla,Didaktus Jakobsberg,85214294,Enskild,Didaktus Skolor AB,"15,3","10,4","68,0","3,0",17,12,"70,6",12,"70,6",3,2018
Järfälla,Järfälla gymnasium,82084961,Kommunal,Järfälla,"42,7","39,6","92,9","11,3",57,56,"98,2",54,"94,7",12,2018
Jönköping,Bäckadalsgymn RO 1,46162400,Kommunal,Jönköping,"9,9","8,7","87,8","3,0",11,11,"100,0",10,"90,9",3,2018
Jönköping,Bäckadalsgymn RO 3,98369689,Kommunal,Jönköping,"7,7","6,5","84,4","4,7",8,8,"100,0",7,"87,5",5,2018
Jönköping,Bäckadalsgymn RO 4,56529916,Kommunal,Jönköping,"6,6","4,2","64,1","1,0",7,5,"71,4",5,"71,4",1,2018
Jönköping,Bäckadalsgymn RO 5,40810950,Kommunal,Jönköping,"3,4","3,4","100,0",.,7,7,"100,0",7,"100,0",.,2018
Jönköping,Drottning Blankas Gymnasieskola Jönköping,12279302,Enskild,Plusgymnasiet AB,"6,9","4,0","58,4","3,0",9,6,"66,7",5,"55,6",3,2018
Jönköping,Erik Dahlbergsgymnasiet Ro 1,67279263,Kommunal,Jönköping,"18,0","17,3","96,2","3,0",20,20,"100,0",20,"100,0",3,2018
Jönköping,Erik Dahlbergsgymnasiet RO 2,40037982,Kommunal,Jönköping,"8,9","4,9","54,9",.,11,11,"100,0",10,"90,9",.,2018
Jönköping,Erik Dahlbergsgymnasiet RO 3,51210136,Kommunal,Jönköping,"22,4","21,0","93,6","3,0",24,22,"91,7",24,"100,0",3,2018
Jönköping,Erik Dahlbergsgymnasiet RO 4,73829818,Kommunal,Jönköping,"11,2","10,3","92,1","4,0",13,13,"100,0",13,"100,0",4,2018
Jönköping,Erik Dahlbergsgymnasiet RO 5,60881275,Kommunal,Jönköping,"11,1","10,4","94,0",.,14,14,"100,0",13,"92,9",.,2018
Jönköping,Grennaskolan GY,54395430,Kommunal,Jönköping,"2,1","1,7","83,1",.,7,7,"100,0",6,"85,7",.,2018
Jönköping,JENSEN Gymnasium Jönköping,18881773,Enskild,Jensen Education College AB,"3,5","2,3","66,2",.,8,6,"75,0",5,"62,5",.,2018
Jönköping,Kungsgymnasiet,50908408,Enskild,Jönköpings Kristna Skolförening,"4,7","3,1","65,4","0,9",12,10,"83,3",8,"66,7",1,2018
Jönköping,LBS Ljud & Bildskolan Jönköping,18594470,Enskild,Ljud & Bildskolan Lbs AB,"10,0","8,7","86,8","2,8",13,10,"76,9",11,"84,6",3,2018
Jönköping,Magelungens Gymnasium Jönköping,69271071,Enskild,Magelungen Utveckling AB,"7,0","4,6","65,7","0,8",9,9,"100,0",7,"77,8",1,2018
Jönköping,Mottagningsskola gymn,54946505,Kommunal,Jönköping,"2,8","1,0","35,7",.,3,3,"100,0",1,"33,3",.,2018
Jönköping,Per Brahegymnasiet RO 1,78295411,Kommunal,Jönköping,"19,1","17,8","92,7","3,0",23,22,"95,7",22,"95,7",3,2018
Jönköping,Per Brahegymnasiet RO 2,80686587,Kommunal,Jönköping,"18,7","18,3","97,9","1,9",24,24,"100,0",23,"95,8",2,2018
Jönköping,Per Brahegymnasiet RO 3,72232853,Kommunal,Jönköping,"17,1","15,9","93,0","3,4",25,22,"88,0",22,"88,0",4,2018
Jönköping,Praktiska Jönköping,17849518,Enskild,Praktiska Sverige AB,"3,0","0,7","22,0","1,0",4,3,"75,0",2,"50,0",1,2018
Jönköping,Sandagymnasiet RO 1 Ny fr lå 17/18,64205087,Kommunal,Jönköping,"19,6","15,3","78,0","2,9",71,52,"73,2",39,"54,9",6,2018
Jönköping,Sandagymnasiet RO 2 Ny fr lå 17/18,50500028,Kommunal,Jönköping,"14,9","10,9","72,7","2,3",68,50,"73,5",37,"54,4",7,2018
Jönköping,Sandagymnasiet RO 4 Ny fr lå 17/18,94570025,Kommunal,Jönköping,"5,1","2,7","52,7","0,1",46,30,"65,2",20,"43,5",3,2018
Jönköping,Sandagymnasiet RO 5,91984508,Kommunal,Jönköping,"16,5","11,6","70,4","1,0",71,52,"73,2",39,"54,9",4,2018
Jönköping,Tenhults naturbruksgymnasium,78659008,Landsting,Jönköpings Läns Landsting,"7,5","5,2","69,5","0,8",9,8,"88,9",7,"77,8",1,2018
Jönköping,Vettergymnasiet Jönköping,12448823,Enskild,Wetterbygdens Gymnasium AB,"3,3","1,9","56,1",.,5,3,"60,0",3,"60,0",.,2018
Kalix,Furuhed 3,73008905,Kommunal,Kalix,"7,1","7,1","99,3","1,4",30,28,"93,3",29,"96,7",2,2018
Kalix,Furuhedsskolan 1,40667807,Kommunal,Kalix,"10,3","9,0","87,6",.,27,23,"85,2",24,"88,9",.,2018
Kalix,Furuhedsskolan 2,18091973,Kommunal,Kalix,"10,6","8,7","82,3","2,0",30,24,"80,0",27,"90,0",2,2018
Kalmar,Calmare Internationella Skola,88466776,Enskild,CIS Kalmar AB,"11,9","8,9","74,8",.,17,13,"76,5",11,"64,7",.,2018
Kalmar,Fria Läroverken i Kalmar,40634612,Enskild,Gymnasieskolor i Syd AB,"7,7","5,6","72,9","3,0",13,9,"69,2",9,"69,2",3,2018
