skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_tcv139,skolverket_andel_natt_malen_alla_amnen_tcv139,skolverket_and_beh_yrk_tcv139,skolverket_gnm_meritvarde_tcv139,skolverket_andel_natt_malen_alla_exklok_tcv139,skolverket_and_beh_yrk_exklok_tcv139,skolverket_gnm_meritvarde_exklok_tcv139,year
Håbo,Futurum,Kommunal,Håbo,61956762,96,"81,3","91,7","226,0","83,9","94,6","228,2",2016
Håbo,Gransäterskolan,Kommunal,Håbo,90826660,48,"56,3","77,1","183,1","62,8","86,0","199,7",2016
Håbo,Gröna dalen,Kommunal,Håbo,49674763,..,.,..,..,.,..,..,2016
Håbo,Västerängsskolan,Kommunal,Håbo,29299366,61,"63,9","83,6","221,7","68,4","89,5","221,7",2016
Håbo,Läraskolan,Enskild,Läraskolan i Bålsta AB,28306495,20,"90,0",~100,"256,3","90,0",~100,"256,3",2016
Håbo,Potentia Education,Enskild,Potentia education AB,15081255,27,"88,9","100,0","255,0","88,9","100,0","255,0",2016
Hällefors,Klockarhagsskolan,Kommunal,Hällefors,38657898,77,"53,2","70,1","187,2","60,0","80,0","198,7",2016
Härjedalen,Funäsdalens skola,Kommunal,Härjedalen,72295998,25,"96,0",~100,"247,2","96,0",~100,"247,2",2016
Härjedalen,Sonfjällsskolan,Kommunal,Härjedalen,85325551,24,"83,3",~100,"229,5","83,3",~100,"229,5",2016
Härjedalen,Södra Skolan,Kommunal,Härjedalen,79022806,65,"55,4","63,1","193,4","67,9","77,4","213,1",2016
Härnösand,Gerestaskolan åk 7-9,Kommunal,Härnösand,71734314,58,"72,4","81,0","213,1","76,4","85,5","222,3",2016
Härnösand,Kiörningskolan,Kommunal,Härnösand,13510547,70,"64,3","71,4","193,6","71,4","79,4","210,7",2016
Härnösand,Landgrenskolan,Kommunal,Härnösand,19405413,94,"68,1","77,7","203,8","74,4","84,9","219,1",2016
Härnösand,Murbergsskolan,Kommunal,Härnösand,93068004,60,"65,0","81,7","214,1","69,6","87,5","217,7",2016
Härnösand,Kastellskolan,Enskild,Kastellskolan,69454219,..,..,..,..,..,..,..,2016
Härryda,"Fridaskolan, Härryda",Enskild,Fridaskolorna AB,27274628,74,"97,3",~100,"277,5","97,3",~100,"277,5",2016
Härryda,Båtsmansskolan,Kommunal,Härryda,37772170,60,"98,3","100,0","264,9","98,3","100,0","264,9",2016
Härryda,Djupedalskolan,Kommunal,Härryda,91978548,44,"79,5","88,6","235,8","79,5","88,6","235,8",2016
Härryda,Ekdalaskolan,Kommunal,Härryda,17730768,67,"85,1","89,6","239,6","85,1","89,6","239,6",2016
Härryda,Landvetterskolan 1,Kommunal,Härryda,98934110,81,"90,1",~100,"234,4","90,1",~100,"234,4",2016
Härryda,Rävlandaskolan,Kommunal,Härryda,34127854,35,"68,6","68,6","207,5","72,7","72,7","217,7",2016
Härryda,Önnerödsskolan,Kommunal,Härryda,28698437,75,"89,3","92,0","233,8","89,3","92,0","233,8",2016
Hässleholm,Bjärnums skola 7-9,Kommunal,Hässleholm,83878055,81,"70,4","72,8","197,4","80,3","83,1","211,8",2016
Hässleholm,Furutorpskolan 7-9,Kommunal,Hässleholm,78602001,74,"74,3","85,1","206,8","74,3","85,1","206,8",2016
Hässleholm,Hästveda skola 4-9,Kommunal,Hässleholm,50909158,38,"60,5","71,1","215,4","63,9","75,0","219,9",2016
Hässleholm,Linnéskolan 7-9,Kommunal,Hässleholm,84432632,44,"70,5","79,5","220,8","75,6","85,4","231,9",2016
Hässleholm,Läredaskolan 7-9,Kommunal,Hässleholm,29689372,88,"78,4","84,1","227,6","83,1","89,2","234,6",2016
Hässleholm,Silviaskolan 1-9,Kommunal,Hässleholm,65408331,..,..,..,..,..,..,..,2016
Hässleholm,T4-skolan F-9,Kommunal,Hässleholm,76278008,39,"66,7","71,8","200,1","66,7","71,8","200,1",2016
Hässleholm,T4-skolan Montessori 1-9,Kommunal,Hässleholm,28804882,20,"85,0",~100,"255,8","85,0",~100,"255,8",2016
Hässleholm,Tyringe skola 7-9,Kommunal,Hässleholm,98064311,78,"69,2","83,3","213,2","71,1","85,5","218,4",2016
Hässleholm,Vannarödsskolan 6-9,Kommunal,Hässleholm,93845278,53,"50,9","60,4","165,3","64,3","76,2","203,0",2016
Hässleholm,Västerskolan 7-9,Kommunal,Hässleholm,91571086,85,"70,6","76,5","201,5","74,1","80,2","208,3",2016
Hässleholm,Thoren Framtid i Hässleholm,Enskild,Thoren Framtid AB,79864142,..,..,..,..,..,..,..,2016
Höganäs,Brunnbyskolan,Enskild,Brunnby Skola M-I Handelsbolag,95113658,14,"92,9",~100,"243,4","92,9",~100,"243,4",2016
Höganäs,Bruksskolan 7-9,Kommunal,Höganäs,58312480,42,"85,7",~100,"221,6","85,7",~100,"221,6",2016
Höganäs,Jonstorpsskolan 7-9,Kommunal,Höganäs,66888504,35,"94,3","100,0","238,4","94,3","100,0","238,4",2016
Höganäs,Lerbergsskolan 4-9,Kommunal,Höganäs,24920036,32,"87,5",~100,"242,1","87,5",~100,"242,1",2016
Höganäs,Nyhamnsskolan 4-9,Kommunal,Höganäs,94812843,47,"95,7",~100,"260,0","95,7",~100,"260,0",2016
Höganäs,Tonlyckeskolan 7-9,Kommunal,Höganäs,36274763,30,"83,3",~100,"239,3","83,3",~100,"239,3",2016
Höganäs,Vikenskolan 7-9,Kommunal,Höganäs,18383147,70,"92,9",~100,"252,9","92,9",~100,"252,9",2016
Höganäs,Montessoriskolan Tellus,Enskild,Montessoriskolan i Höganäs AB,69182531,..,..,..,..,..,..,..,2016
Högsby,Fröviskolan,Kommunal,Högsby,26879428,71,"60,6","73,2","192,3","68,3","81,0","200,9",2016
Hörby,Frostaskolan 7-9,Kommunal,Hörby,38299211,103,"65,0","80,6","212,7","65,0","80,6","212,7",2016
Hörby,Georgshillsskolan 6-9,Kommunal,Hörby,90834434,55,"58,2","78,2","214,9","58,2","78,2","214,9",2016
Hörby,Ludvigsborgs friskola,Enskild,"Ludvigsborgs Fristående Skola, Ek. Förening",52665905,21,"95,2",~100,"257,7","95,2",~100,"257,7",2016
Höör,Emiliaskolan Höörs waldorfsk.,Enskild,Föreningen Emiliaskolan,63846783,21,"85,7",~100,"224,3","85,7",~100,"224,3",2016
Höör,Ringsjöskolan,Kommunal,Höör,82942801,85,"71,8","83,5","212,1","76,3","88,8","224,0",2016
Höör,Sätoftaskolan,Kommunal,Höör,35670754,61,"88,5",~100,"233,2","88,5",~100,"233,2",2016
Höör,Segrande Liv Grundskola,Enskild,Segrande Liv  Grundskola,95024923,..,..,..,..,..,..,..,2016
Jokkmokk,Östra skolan,Kommunal,Jokkmokk,86851817,36,"75,0","80,6","216,9","75,0","80,6","216,9",2016
Jokkmokk,Vuollerims Friskola,Enskild,Vuollerims Friskola AB,33468088,12,"91,7",~100,"245,4","91,7",~100,"245,4",2016
Järfälla,Engelska Skolan i Järfälla,Enskild,Internationella Engelska Skolan i Sverige AB,79093755,123,"95,1",~100,"265,8","95,1",~100,"265,8",2016
Järfälla,Björkebyskolan,Kommunal,Järfälla,40847752,138,"71,0","77,5","220,2","76,6","82,8","233,9",2016
Järfälla,Fjällenskolan,Kommunal,Järfälla,15080815,121,"81,8","91,7","226,3","86,8",~100,"239,1",2016
Järfälla,Källtorpskolan,Kommunal,Järfälla,17287315,126,"58,7","69,8","200,3","67,3","80,0","221,4",2016
Järfälla,Mälarskolan,Kommunal,Järfälla,77763178,54,"87,0",~100,"243,8","87,0",~100,"243,8",2016
Järfälla,Tallbohovskolan,Kommunal,Järfälla,97777849,66,"24,2","36,4","137,9","33,3","47,9","166,8",2016
Järfälla,Viksjöskolan,Kommunal,Järfälla,98925408,151,"72,2","90,7","239,5","74,7","93,8","244,0",2016
Järfälla,Vittra Jakobsberg,Enskild,Vittraskolorna AB,66634449,43,"90,7",~100,"250,6","90,7",~100,"250,6",2016
Jönköping,Engelska Skolan i Jönköping,Enskild,Internationella Engelska Skolan i Sverige AB,86499334,120,"90,0",~100,"271,1","90,0",~100,"271,1",2016
Jönköping,Magnus Ladulås skola grund,Enskild,J-Son Pedagogikcentrum AB,17890412,12,.,.,..,.,.,..,2016
Jönköping,Alfred Dalinskolan,Kommunal,Jönköping,85416841,175,"58,9","72,0","193,2","66,9","81,8","207,2",2016
Jönköping,Attarpsskolan 6-9,Kommunal,Jönköping,40546319,138,"81,2","84,8","237,1","92,6",~100,"237,1",2016
Jönköping,Flahultsskolan,Kommunal,Jönköping,28849109,115,"82,6","93,0","226,9","82,6","93,0","226,9",2016
Jönköping,Grennaskolan GR,Kommunal,Jönköping,66533280,23,"82,6",~100,"245,1","82,6",~100,"245,1",2016
Jönköping,Junedalsskolan,Kommunal,Jönköping,20696736,234,"79,9","85,9","253,0","85,4","91,8","255,2",2016
Jönköping,Ljungarumsskolan 7-9,Kommunal,Jönköping,84917564,144,"72,9","78,5","215,5","78,4","84,3","226,1",2016
Jönköping,Mottagningsskola,Kommunal,Jönköping,79687966,..,.,.,.,.,.,.,2016
Jönköping,Ribbaskolan,Kommunal,Jönköping,83919671,90,"85,6","88,9","235,1","85,6","88,9","235,1",2016
Jönköping,Rosenlundsskolan 7-9,Kommunal,Jönköping,96558008,120,"72,5","77,5","205,0","77,0","82,3","211,2",2016
Jönköping,Sanda idrottshögstadium,Kommunal,Jönköping,98088982,80,"86,3","91,3","254,0","92,0",~100,"254,0",2016
Jönköping,Stadsgårdsskolan,Kommunal,Jönköping,12759583,79,"59,5","77,2","221,7","70,1","91,0","221,7",2016
Jönköping,Strandskolan,Enskild,Jönköpings Kristna Skolförening,23250615,26,"73,1",~100,"220,5","73,1",~100,"220,5",2016
Jönköping,Kunskapsskolan Jönköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,86562542,59,"91,5",~100,"233,7","91,4",~100,"232,9",2016
Jönköping,Magelungens grundskola Jönköping,Enskild,Magelungen Utveckling AB,79427132,..,.,..,..,.,..,..,2016
Jönköping,"Prolympia, Jönköping",Enskild,Prolympia AB,95673344,58,"91,4",~100,"235,3","91,4",~100,"235,3",2016
Kalix,Manhemsskolan,Kommunal,Kalix,10617819,162,"63,6","74,1","196,2","67,8","78,3","201,3",2016
Kalix,Norrskenet Kalix,Enskild,Pysslingen Förskolor och Skolor AB,20525218,14,..,..,"183,2",..,..,"183,2",2016
Kalmar,Västra Skolan Kalmar,Enskild,CIS Kalmar AB,94235119,28,"89,3",~100,"238,2","89,3",~100,"238,2",2016
Kalmar,Barkestorpsskolan,Kommunal,Kalmar,58215076,56,"71,4","78,6","234,0","74,1","81,5","234,0",2016
Kalmar,Esplanadskolan,Kommunal,Kalmar,47360905,..,.,..,..,.,..,..,2016
Kalmar,Falkenbergsskolan,Kommunal,Kalmar,99856371,79,"86,1","89,9","229,5","93,2",~100,"234,6",2016
Kalmar,Funkaboskolan,Kommunal,Kalmar,21736926,120,"69,2","78,3","201,6","79,0","89,5","226,4",2016
Kalmar,Kalmarsundsskolan,Kommunal,Kalmar,24092221,126,"69,8","77,0","240,5","79,3","87,4","240,5",2016
Kalmar,Lindsdalsskolorna,Kommunal,Kalmar,51848797,79,"84,8","92,4","219,8","87,0",~100,"224,8",2016
Kalmar,Södermöreskolan,Kommunal,Kalmar,79012102,84,"88,1","94,0","224,6","90,2",~100,"229,5",2016
Kalmar,Vasaskolan,Kommunal,Kalmar,18784702,51,"90,2",~100,"238,2","90,2",~100,"238,2",2016
Kalmar,Solhagaskolan,Enskild,Solhagagruppen Solängen AB,87544967,..,.,.,..,.,.,..,2016
Kalmar,Kalmar waldorfskola,Enskild,Stiftelsen Kalmar Waldorfskola,16517618,..,..,..,..,..,..,..,2016
Kalmar,Södra skolan,Enskild,Södra skolan i Kalmar AB,13936858,66,"97,0",~100,"249,5","97,0",~100,"249,5",2016
Kalmar,Thoren Framtid i Kalmar,Enskild,Thoren Framtid AB,30881651,12,..,..,"137,0",..,..,..,2016
Karlsborg,Carl Johanskolan,Kommunal,Karlsborg,34231336,63,"81,0","90,5","209,3","82,3","90,3","209,5",2016
Karlshamn,Waldorfskolan i Karlshamn,Enskild,Daggkåpan Ekonomisk Förening,22909101,..,..,..,..,..,..,..,2016
Karlshamn,Norrevångskolan,Kommunal,Karlshamn,89878714,74,"58,1","70,3","187,1","60,6","73,2","194,4",2016
Karlshamn,Stenbackaskolan,Kommunal,Karlshamn,16767324,72,"68,1","79,2","214,2","77,8","90,5","232,7",2016
Karlshamn,Österslättsskolan A,Kommunal,Karlshamn,72744832,61,"67,2","83,6","214,2","67,2","83,6","214,2",2016
Karlshamn,Österslättsskolan B,Kommunal,Karlshamn,56399024,81,"60,5","71,6","192,1","65,3","76,0","203,7",2016
Karlshamn,Thoren Framtid i Karlshamn,Enskild,Thoren Framtid AB,16249641,42,"71,4","78,6","227,3","71,4","78,6","227,3",2016
Karlskoga,Bregårdsskolan åk 7-9,Kommunal,Karlskoga,71762216,117,"67,5","75,2","203,4","69,3","77,2","206,4",2016
Karlskoga,Skrantaskolan,Kommunal,Karlskoga,65654358,135,"63,0","74,8","208,1","63,6","75,8","210,7",2016
Karlskoga,Österledskolan,Kommunal,Karlskoga,34767418,93,"54,8","69,9","195,4","60,0","76,5","207,9",2016
Karlskrona,Galären Dator o Teknik,Enskild,AcadeMedia fria grundskolor AB,64959079,17,"58,8","100,0","236,0","58,8","100,0","236,0",2016
Karlskrona,"Galären, grundskola",Enskild,AcadeMedia fria grundskolor AB,10662754,20,"75,0",~100,"238,0","75,0",~100,"238,0",2016
Karlskrona,Galären Hälsa och Idrott,Enskild,AcadeMedia fria grundskolor AB,66984600,42,"76,2",~100,"213,9","76,2",~100,"213,9",2016
Karlskrona,Piggelinen,Enskild,Friskolan PANEA AB,99469094,29,"62,1","72,4","193,8","64,3","75,0","193,8",2016
Karlskrona,Friskolan Svettpärlan,Enskild,Friskolan Svettpärlan AB,93964634,26,"100,0","100,0","244,0","100,0","100,0","244,0",2016
Karlskrona,Jändelskolan 7-9,Kommunal,Karlskrona,20104552,88,"86,4","89,8","223,5","86,4","89,8","223,5",2016
Karlskrona,LKC 7-9,Kommunal,Karlskrona,55709634,84,"78,6","83,3","216,2","78,6","83,3","216,2",2016
Karlskrona,Nättrabyskolan 7-9,Kommunal,Karlskrona,26209081,67,"80,6","88,1","212,9","80,6","88,1","212,9",2016
Karlskrona,Rosenholmskolan Sport College 7-9,Kommunal,Karlskrona,89523926,56,"94,6",~100,"241,1","98,1","100,0","245,3",2016
Karlskrona,Rödebyskolan 7-9,Kommunal,Karlskrona,32421136,113,"54,9","64,6","201,0","70,5","83,0","206,5",2016
Karlskrona,Sunnadalskolan 7-9,Kommunal,Karlskrona,68263602,41,..,"31,7","116,8",..,"39,4","130,4",2016
Karlskrona,Wämöskolan 7-9,Kommunal,Karlskrona,63323984,104,"75,0","81,7","219,9","83,0","90,4","234,9",2016
Karlskrona,Karlskrona Montessorifriskola,Enskild,Karlskrona Montessorifriskola AB,67509465,24,"87,5",~100,"244,2","87,5",~100,"244,2",2016
Karlskrona,Ekekullen skola,Enskild,Skolveckohemmet Riggen AB,70122435,..,.,.,.,.,.,.,2016
Karlskrona,Musikugglan,Enskild,Tant Grön AB,93919365,43,"90,7",~100,"240,8","90,7",~100,"240,8",2016
Karlstad,Engelska Skolan i Karlstad,Enskild,Internationella Engelska Skolan i Sverige AB,93730568,95,"98,9",~100,"283,7","98,9",~100,"283,7",2016
Karlstad,Frödingskolan,Kommunal,Karlstad,22049068,56,"33,9","46,4","165,6","39,6","54,2","181,7",2016
Karlstad,Hultsbergsskolan 6-9,Kommunal,Karlstad,99406709,73,"93,2",~100,"239,0","93,2",~100,"239,0",2016
Karlstad,Ilandaskolan,Kommunal,Karlstad,27418903,133,"91,0","93,2","240,8","95,3",~100,"245,6",2016
Karlstad,Kvarnbergsskolan,Kommunal,Karlstad,94659471,..,.,.,..,.,.,..,2016
Karlstad,Mariebergsskolan,Kommunal,Karlstad,81424988,96,"66,7","76,0","212,7","74,4","84,9","217,4",2016
Karlstad,Norrstrandsskolan Terra Ignis,Kommunal,Karlstad,83999935,87,"85,1",~100,"226,0","85,1",~100,"226,0",2016
Karlstad,Norrstrandsskolan Ventus Aqua,Kommunal,Karlstad,57635312,82,"85,4","93,9","234,6","85,4","93,9","234,6",2016
Karlstad,Nyeds skola 7-9,Kommunal,Karlstad,15196482,43,"69,8","76,7","190,2","75,0","82,5","201,8",2016
Karlstad,Rudsskolan 7-9,Kommunal,Karlstad,23345056,162,"80,9","91,4","223,6","81,9","92,5","224,9",2016
Karlstad,Vålbergsskolan 4-9,Kommunal,Karlstad,80659104,49,"57,1","67,3","184,9","57,1","67,3","184,9",2016
Karlstad,Thoren Framtid Karlstad,Enskild,Thorengruppen AB,85092070,..,..,..,..,..,..,..,2016
Katrineholm,Nyhemsskolan 7-9,Kommunal,Katrineholm,19216121,78,"66,7","73,1","200,1","66,7","73,1","200,1",2016
Katrineholm,Södra skolan,Kommunal,Katrineholm,43723580,83,"62,7","72,3","183,4","66,7","76,9","191,7",2016
Katrineholm,Tallåsskolan,Kommunal,Katrineholm,14164796,131,"67,2","77,1","197,8","68,2","78,3","200,7",2016
Katrineholm,Kunskapsskolan Katrineholm,Enskild,Kunskapsskolan i Sverige Aktiebolag,16603772,68,"86,8","92,6","238,6","86,8","92,6","238,6",2016
Katrineholm,Erlaskolan i Katrineholm,Enskild,Lärande i Sverige AB,79048710,21,"66,7","76,2","214,9","66,7","76,2","214,9",2016
Kil,Sannerudsskolan 7-9,Kommunal,Kil,17665080,154,"68,2","75,3","204,5","80,8","89,2","223,6",2016
Kinda,Värgårdsskolan,Kommunal,Kinda,75296593,119,"84,9","91,6","229,3","84,9","91,6","229,3",2016
Kiruna,Högalidskolan 7-9,Kommunal,Kiruna,80693905,85,"76,5","84,7","225,5","76,5","84,7","225,5",2016
Kiruna,Karesuando skola,Kommunal,Kiruna,79467784,15,"93,3",~100,"244,8","93,3",~100,"244,8",2016
Kiruna,Nya Raketskolan 6-9,Kommunal,Kiruna,43351950,69,"75,4","88,4","214,5","76,1","89,6","215,0",2016
Kiruna,Triangelskolan,Kommunal,Kiruna,14938538,26,"88,5",~100,"238,2","88,5",~100,"238,2",2016
Kiruna,Vittangi skola,Kommunal,Kiruna,76314428,10,..,..,"197,8",..,..,..,2016
Kiruna,Friluftsskolan Vargen,Enskild,Vargen i Kiruna AB,73281949,20,"90,0","100,0","277,6","90,0","100,0","277,6",2016
Klippan,Ljungbyhedsskolan,Kommunal,Klippan,75091646,41,"73,2","82,9","205,3","76,9","87,2","209,7",2016
Klippan,Snyggatorpsskolan 2,Kommunal,Klippan,71644999,131,"77,1","90,1","219,4","76,9","90,0","219,5",2016
Klippan,PeterSvenskolan Klippan,Enskild,Pysslingen Förskolor och Skolor AB,39391255,41,"70,7","82,9","214,5","70,7","82,9","214,5",2016
Knivsta,Alsike skola,Kommunal,Knivsta,49742321,63,"98,4",~100,"252,7","98,4",~100,"252,7",2016
Knivsta,Thunmanskolan,Kommunal,Knivsta,92364234,85,"81,2","90,6","228,8","81,2","90,6","228,8",2016
Knivsta,Margarethaskolan,Enskild,Knivsta Friskola Ekonomisk Förening,51867275,19,"84,2",~100,"267,9","84,2",~100,"267,9",2016
Kramfors,Gudmundråskolan,Kommunal,Kramfors,11159060,114,"63,2","71,1","189,2","75,0","84,4","213,4",2016
Kramfors,Högakustenskolan,Kommunal,Kramfors,75515918,54,"70,4","79,6","220,7","70,4","79,6","220,7",2016
Kramfors,Ytterlännässkolan,Kommunal,Kramfors,30403490,63,"63,5","77,8","213,3","72,7","89,1","213,3",2016
Kristianstad,Antonskolan Blekedamm,Enskild,Anton Utbildning AB,14555807,14,"78,6",~100,"208,9","78,6",~100,"208,9",2016
Kristianstad,Antonskolan Österäng,Enskild,Anton Utbildning AB,57538739,19,"52,6","73,7","186,4","52,6","73,7","186,4",2016
Kristianstad,Axonaskolan i Tollarp,Enskild,Axona Dendron AB,81452013,18,"94,4","100,0","256,0","94,4","100,0","256,0",2016
Kristianstad,Degebergaskolan,Kommunal,Kristianstad,54930405,53,"73,6","81,1","200,6","78,0","86,0","208,4",2016
Kristianstad,Fjälkinge skola MH,Kommunal,Kristianstad,13867770,42,"69,0","83,3","212,9","75,7",~100,"228,6",2016
Kristianstad,Fröknegårdskolan H1,Kommunal,Kristianstad,80871896,69,"49,3","66,7","197,5","55,7","75,4","206,9",2016
Kristianstad,Fröknegårdskolan H2,Kommunal,Kristianstad,97438636,75,"45,3","76,0","200,4","45,3","76,0","200,4",2016
Kristianstad,Norretullskolan,Kommunal,Kristianstad,59782586,58,"37,9","60,3","170,1","44,0","70,0","180,7",2016
Kristianstad,Nosabyskolan,Kommunal,Kristianstad,69725960,115,"68,7","82,6","209,8","72,5","86,2","218,3",2016
Kristianstad,Rönnowskolan MH,Kommunal,Kristianstad,13756290,63,"87,3",~100,"253,6","90,2",~100,"253,6",2016
Kristianstad,Slättängsskolan H,Kommunal,Kristianstad,63356940,82,"48,8","63,4","178,2","51,9","67,5","189,0",2016
Kristianstad,Spängerskolan MH,Kommunal,Kristianstad,63749463,23,"78,3",~100,"235,3","77,3",~100,"234,2",2016
Kristianstad,Sånnaskolan H,Kommunal,Kristianstad,85853304,83,"83,1","89,2","217,0","88,5",~100,"228,4",2016
Kristianstad,Tollarps skola MH,Kommunal,Kristianstad,45430802,39,"74,4",~100,"211,0","74,4",~100,"211,0",2016
Kristianstad,Väskolan MH,Kommunal,Kristianstad,75922665,45,"77,8",~100,"221,5","77,8",~100,"221,5",2016
Kristianstad,Öllsjöskolan MH,Kommunal,Kristianstad,46211392,45,"95,6",~100,"249,7","95,6",~100,"249,7",2016
Kristianstad,Önnestads skola MH,Kommunal,Kristianstad,18636287,54,"70,4","77,8","236,2","80,4","87,0","241,4",2016
Kristianstad,Lejonskolan,Enskild,Lejonskolan AB,26843745,13,..,~100,"148,7",..,..,"146,3",2016
Kristianstad,Kristianstads Montessoriskola,Enskild,Pysslingen Förskolor och Skolor AB,72491525,31,"93,5",~100,"251,5","93,5",~100,"251,5",2016
Kristinehamn,Djurgårdsskolan 7-9,Kommunal,Kristinehamn,41433169,105,"62,9","70,5","195,7","74,2","83,1","212,2",2016
Kristinehamn,Stenstalidskolan,Kommunal,Kristinehamn,14885908,79,"74,7","77,2","215,7","80,8","83,6","218,5",2016
Kristinehamn,Södermalmsskolan F-9,Kommunal,Kristinehamn,27777261,70,"70,0","77,1","228,9","74,2","81,8","228,9",2016
Krokom,Cederbergsskolan,Kommunal,Krokom,64778601,17,"64,7","64,7","192,2","64,7","64,7","192,2",2016
Krokom,Nyhedens skola,Kommunal,Krokom,40025257,72,"73,6","75,0","193,7","81,5","83,1","206,7",2016
Krokom,Ås skola 4-9,Kommunal,Krokom,54952732,48,"70,8","70,8","208,0","87,2","87,2","232,7",2016
Krokom,Änge skola,Kommunal,Krokom,25036714,28,"60,7","67,9","213,7","68,0","76,0","222,1",2016
Kumla,Kumlaby skola 6-9,Kommunal,Kumla,75692870,83,"66,3","83,1","201,2","65,9","82,9","201,3",2016
Kumla,Skogstorpsskolan 6-9,Kommunal,Kumla,44243725,129,"72,1","82,2","217,8","74,2","84,7","220,9",2016
Kumla,Vialundskolan,Kommunal,Kumla,99992013,71,"47,9","49,3","179,7","64,2","66,0","209,1",2016
Kungsbacka,KMS Kullaviks Montessoriskola,Enskild,Kullaviks Montesoriskola Ekonomisk Förening,10902849,26,"100,0","100,0","278,3","100,0","100,0","278,3",2016
Kungsbacka,Frillesåsskolan 4-9,Kommunal,Kungsbacka,10927868,49,"91,8",~100,"250,5","93,8",~100,"253,4",2016
Kungsbacka,Fullriggaren Malevik 4-9,Kommunal,Kungsbacka,33170625,43,"97,7","100,0","272,7","97,7","100,0","272,7",2016
Kungsbacka,Hedeskolan 4-9,Kommunal,Kungsbacka,11231816,47,"95,7",~100,"262,2","95,7",~100,"262,2",2016
Kungsbacka,Hålabäcksskolan 6-9,Kommunal,Kungsbacka,99688470,73,"61,6","68,5","203,8","64,3","71,4","208,9",2016
Kungsbacka,Kapareskolan A-D,Kommunal,Kungsbacka,28803215,64,"76,6","85,9","224,4","83,1",~100,"224,4",2016
Kungsbacka,Kapareskolan E-H,Kommunal,Kungsbacka,84111198,47,"87,2",~100,"242,2","89,1",~100,"242,2",2016
Kungsbacka,Kullaviksskolan 7-9,Kommunal,Kungsbacka,75835202,59,"94,9",~100,"271,6","94,9",~100,"271,6",2016
Kungsbacka,Smedingeskolan A,Kommunal,Kungsbacka,68861484,77,"80,5","88,3","220,9","84,9","93,2","226,4",2016
Kungsbacka,Särö skola 4-9,Kommunal,Kungsbacka,72090315,66,"83,3","87,9","232,1","91,7",~100,"251,7",2016
Kungsbacka,Toråsskolan 4-9,Kommunal,Kungsbacka,14101582,60,"90,0",~100,"237,6","90,0",~100,"237,6",2016
Kungsbacka,Varlaskolan norra,Kommunal,Kungsbacka,37101902,73,"90,4","93,2","237,4","93,0",~100,"237,4",2016
Kungsbacka,Varlaskolan södra,Kommunal,Kungsbacka,70143574,105,"79,0","85,7","239,1","85,6","92,8","239,1",2016
Kungsbacka,Åsa Gårdsskola 4-9,Kommunal,Kungsbacka,16824824,29,"79,3","82,8","230,4","85,2",~100,"238,6",2016
Kungsbacka,Åsaskolan 6-9,Kommunal,Kungsbacka,18035112,40,"72,5","85,0","210,6","78,4",~100,"222,4",2016
Kungsbacka,Älvsåkersskolan 4-9,Kommunal,Kungsbacka,74587667,38,"86,8",~100,"238,1","86,8",~100,"238,1",2016
Kungsbacka,Nova Montessoriskola,Enskild,Montenova Montessoriskola Ekonomisk Förening,47832100,29,"96,6","100,0","253,3","96,6","100,0","253,3",2016
Kungsbacka,Onsala Montessoriskola,Enskild,Montessoriskolan i Onsala Ekonomisk Förening,90784555,17,"94,1",~100,"266,5","94,1",~100,"266,5",2016
Kungsbacka,Vittra Forsgläntan,Enskild,Vittraskolorna AB,42568760,34,"94,1",~100,"247,9","94,1",~100,"247,9",2016
Kungsör,Kung Karls skola,Kommunal,Kungsör,46834580,95,"68,4","80,0","203,2","72,2","84,4","211,0",2016
Kungälv,"Fredkullaskolan ,waldorfskola,",Enskild,Föreningen För Waldorfpedagogik i Kungälv,38353942,..,..,..,..,..,..,..,2016
Kungälv,Munkegärdeskolan,Kommunal,Kungälv,51596946,100,"70,0","78,0","209,4","75,3","83,9","211,4",2016
Kungälv,Thorildskolan,Kommunal,Kungälv,73505986,130,"70,8","83,1","213,0","78,0","91,5","231,0",2016
Kungälv,Ytterbyskolan 1,Kommunal,Kungälv,63621283,150,"84,7","94,7","234,1","84,7","94,7","234,1",2016
Kungälv,Friskolan i Kärna,Enskild,Mona Hurtig Skol AB,25790317,33,"97,0","100,0","250,8","97,0","100,0","250,8",2016
Kungälv,Montessoriskolan Älvkullen,Enskild,Stiftelsen Montessori För Alla Barn,49323438,14,"100,0","100,0","268,2","100,0","100,0","268,2",2016
Kungälv,Tobiasskolan,Enskild,Stiftelsen Tobiasgården,31356056,..,.,.,..,.,.,..,2016
Kungälv,Strandskolan,Enskild,"Strandskolan, Montessoriföreningen i Kungälv",21917957,26,"96,2","100,0","260,1","96,2","100,0","260,1",2016
Kävlinge,Björkenässkolan,Enskild,AcadeMedia fria grundskolor AB,19504051,40,"90,0",~100,"241,3","90,0",~100,"241,3",2016
Kävlinge,Barsebäcks Montessoriskola,Enskild,Barsebäcks Montessori Ekonomisk Förening,22957852,17,"100,0","100,0","274,4","100,0","100,0","274,4",2016
Kävlinge,Korsbackaskolan,Kommunal,Kävlinge,46107605,150,"78,0","89,3","225,6","78,0","89,3","225,6",2016
