skolverket_lageskommun_tcv136,skolverket_skolnamn,school_unit,huvudman,skolverket_huvudman_namn,skolverket_tot_elever_tcv136,skolverket_ar1_tcv136,skolverket_ar2_tcv136,skolverket_ar3_tcv136,skolverket_andel_kvi_tcv136,skolverket_andel_utl_tcv136,skolverket_andel_forald_eftergymn_utb_tcv136,year
Halmstad,Plönningegymnasiet,83612128,Landsting,Hallands Läns Landsting,144,16,57,71,53,..,31,2014
Varberg,Munkagårdsgymnasiet,38544187,Landsting,Hallands Läns Landsting,206,75,72,59,62,..,28,2014
Halmstad,Kattegattgymnasiet 1,20100577,Kommunal,Halmstad,337,145,84,108,29,15,51,2014
Halmstad,Kattegattgymnasiet 2,81993306,Kommunal,Halmstad,267,87,92,88,10,12,63,2014
Halmstad,Kattegattgymnasiet 3,19051089,Kommunal,Halmstad,286,92,93,101,53,21,73,2014
Halmstad,Kattegattgymnasiet 4,29097621,Kommunal,Halmstad,213,73,80,60,8,15,30,2014
Halmstad,Klaragymnasiet,60923874,Kommunal,Halmstad,53,35,8,10,40,30,21,2014
Halmstad,Sannarpsgymnasiet 1,35670336,Kommunal,Halmstad,269,95,77,97,74,32,41,2014
Halmstad,Sannarpsgymnasiet 2,50198492,Kommunal,Halmstad,298,88,115,95,55,28,52,2014
Halmstad,Sannarpsgymnasiet 3,48438396,Kommunal,Halmstad,236,104,62,70,57,37,66,2014
Halmstad,Sannarpsgymnasiet 4,98052678,Kommunal,Halmstad,141,129,.,12,28,60,14,2014
Halmstad,Sturegymnasiet 1,20099064,Kommunal,Halmstad,202,68,69,65,67,7,62,2014
Halmstad,Sturegymnasiet 2,44341171,Kommunal,Halmstad,155,45,60,50,68,18,33,2014
Halmstad,Sturegymnasiet 3,77130356,Kommunal,Halmstad,263,93,71,99,68,13,52,2014
Halmstad,Sturegymnasiet 4,32671805,Kommunal,Halmstad,52,24,12,16,77,..,37,2014
Haninge,Fredrika Bremergy Fredrik,77815944,Kommunal,Haninge,532,208,160,164,8,22,22,2014
Haninge,Fredrika Bremergy Riksäpplet,79606767,Kommunal,Haninge,492,202,188,102,40,41,26,2014
Haninge,Fredrika Bremergymnasiet Fredrika,16313848,Kommunal,Haninge,1 479,504,461,514,50,30,45,2014
Stockholm,Hantverksakademins Gymnasium,45385886,Enskild,Hantverksakademin i Sverige AB,103,25,45,33,35,29,30,2014
Haparanda,Tornedalsskolan,11294673,Kommunal,Haparanda,248,92,79,77,40,35,31,2014
Heby,CLL/Gymnasieutbildningen,86212202,Kommunal,Heby,19,19,.,.,..,63,..,2014
Hedemora,Martin Koch-gymnasiet,86327236,Kommunal,Hedemora,352,153,101,98,35,22,29,2014
Borlänge,Helixgymnasiet Borlänge,42022406,Enskild,Helixutbildningar AB,225,95,67,63,22,12,51,2014
Helsingborg,Filbornaskolan,54172830,Kommunal,Helsingborg,613,198,198,217,36,37,42,2014
Helsingborg,International school of Hbg/Gy,61826221,Kommunal,Helsingborg,135,49,44,42,47,61,64,2014
Helsingborg,Nicolaiskolan,44392995,Kommunal,Helsingborg,615,242,182,191,64,38,38,2014
Helsingborg,Olympiaskolan,53462953,Kommunal,Helsingborg,718,255,191,272,52,37,52,2014
Helsingborg,Rönnowska skolan,80327946,Kommunal,Helsingborg,956,360,297,299,28,21,30,2014
Helsingborg,Tycho Braheskolan,78875918,Kommunal,Helsingborg,378,140,126,112,47,37,50,2014
Göteborg,Hermods Gymnasium Göteborg,75141151,Enskild,Hermods AB,296,123,173,.,61,53,50,2014
Helsingborg,Design & Construction College Helsingborg,28398531,Enskild,Hermods AB,389,115,135,139,50,36,33,2014
Malmö,Design & Construction College Malmö,77609073,Enskild,Hermods AB,287,139,73,75,38,57,30,2014
Malmö,Hermods Gymnasium Malmö,23548714,Enskild,Hermods AB,223,123,100,.,63,48,45,2014
Stockholm,Design & Construction College Stockholm,27023528,Enskild,Hermods AB,230,100,83,47,61,35,42,2014
Stockholm,Hermods Distansgymnasium,70811222,Enskild,Hermods AB,2,.,2,.,..,..,..,2014
Stockholm,Hermods Gymnasium Stockholm,17911161,Enskild,Hermods AB,737,292,277,168,59,40,51,2014
Västerås,Design & Construction College Västerås,48898488,Enskild,Hermods AB,124,8,70,46,42,50,31,2014
Herrljunga,Kunskapskällan,86385479,Kommunal,Herrljunga,222,79,69,74,35,13,42,2014
Hjo,Individuella programmet,53494028,Kommunal,Hjo,20,5,15,.,..,..,..,2014
Hofors,"Björkhagsskolan, gymnasium",40991561,Kommunal,Hofors,109,58,28,23,31,21,15,2014
Hofors,"Björkhagsskolan, språkintro",17793225,Kommunal,Hofors,58,39,9,10,..,66,..,2014
Skellefteå,Guldstadsgymnasiet i Skellefteå,90990441,Enskild,Honesta Skolutveckling AB,121,46,33,42,52,12,36,2014
Sundsvall,Stenstansgymnasiet i Sundsvall,11033803,Enskild,Honesta Skolutveckling AB,63,29,7,27,71,..,24,2014
Östersund,"Storsjögymnasiet, Östersund",80785976,Enskild,Honesta Skolutveckling AB,192,57,62,73,48,9,40,2014
Huddinge,Huddingegymnasiet,49862313,Kommunal,Huddinge,537,217,114,206,50,64,37,2014
Huddinge,Sjödalsgymnasiet,42859669,Kommunal,Huddinge,1 001,332,309,360,44,37,49,2014
Huddinge,Sågbäcksgymnasiet,70923626,Kommunal,Huddinge,574,287,151,136,47,55,21,2014
Huddinge,Östra gymnasiet,99592025,Kommunal,Huddinge,768,280,284,204,50,37,54,2014
Hudiksvall,Glada Hudikgymnasiet,76877530,Enskild,Hudik Friskoleutbildning AB,97,28,34,35,63,..,34,2014
Hudiksvall,Bromangymnasiet 1,34247736,Kommunal,Hudiksvall,495,248,129,118,58,19,42,2014
Hudiksvall,Bromangymnasiet 2,47550455,Kommunal,Hudiksvall,577,181,191,205,39,12,47,2014
Hudiksvall,Bromangymnasiet 3,51510925,Kommunal,Hudiksvall,193,69,49,75,27,13,45,2014
Hultsfred,Hultsfreds gymnasium 1,47046103,Kommunal,Hultsfred,133,58,43,32,59,23,42,2014
Hultsfred,Hultsfreds gymnasium 2,56664512,Kommunal,Hultsfred,253,87,78,88,42,25,27,2014
Lund,Humanus Gymnasium Lund,12717584,Enskild,Humanus Utbildning Syd AB,111,22,51,38,49,56,43,2014
Helsingborg,Helsingborgs Ridgymnasium,83085136,Enskild,Humeq Education AB,133,41,30,62,98,11,50,2014
Kalmar,Helgesbogymnasiet,35390185,Enskild,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,24,9,12,3,.,..,46,2014
Kalmar,Ingelstorpsgymnasiet,88624631,Enskild,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,103,35,35,33,63,..,35,2014
Västervik,Gamlebygymnasiet,14677676,Enskild,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,99,29,34,36,70,..,23,2014
Växjö,Ingelstadgymnasiet,24501884,Enskild,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,176,67,53,56,71,..,36,2014
Kristianstad,Önnestadsgymnasiet,61547652,Enskild,Hushållningssällskapet Kompetensutveckling i Syd AB,126,42,43,41,68,..,34,2014
Staffanstorp,Hvilan Utbildning,34222422,Enskild,Hvilan Utbildning AB,69,19,20,30,57,..,43,2014
Hylte,IM Gymnasieenhet,83501757,Kommunal,Hylte,32,12,18,2,41,59,..,2014
Hylte,Traineegymnasiet,15938431,Kommunal,Hylte,51,20,11,20,43,25,..,2014
Hylte,Vildmarksgymnasiet,64270497,Kommunal,Hylte,31,9,12,10,..,..,39,2014
Håbo,Fridegårdsgymnasiet,58125096,Kommunal,Håbo,309,126,86,97,41,12,50,2014
Håbo,Fridegårdsgymnasiet- kämpeenheten,82914148,Kommunal,Håbo,128,81,20,27,28,13,34,2014
Hällefors,Pihlskolan gymnasium,20620556,Kommunal,Hällefors,134,39,48,47,37,37,28,2014
Bollnäs,Hälsingegymnasiet,91748148,Enskild,Hälsingegymnasiet AB,277,87,81,109,42,10,53,2014
Härjedalen,Härjedalens gymnasium,17173461,Kommunal,Härjedalen,178,48,72,58,43,28,28,2014
Härnösand,Härnösands gymnasium 1,55535552,Kommunal,Härnösand,401,150,159,92,54,25,49,2014
Härnösand,Härnösands gymnasium2,19560192,Kommunal,Härnösand,375,107,134,134,40,11,58,2014
Härryda,Hulebäcksgymnasiet 1,98053087,Kommunal,Härryda,251,97,89,65,32,11,40,2014
Härryda,Hulebäcksgymnasiet 2,92533079,Kommunal,Härryda,237,75,82,80,72,11,69,2014
Härryda,Hulebäcksgymnasiet 3,61528940,Kommunal,Härryda,505,190,166,149,32,14,79,2014
Härryda,Hulebäcksgymnasiet 4,23681822,Kommunal,Härryda,330,150,92,88,48,17,62,2014
Härryda,Hulebäcksgymnasiet 5,66861851,Kommunal,Härryda,389,147,127,115,61,12,72,2014
Hässleholm,Hässleholms Tekniska skola,92858957,Kommunal,Hässleholm,695,239,234,222,46,23,53,2014
Hässleholm,Hässleholms Tekniska skola 3,18050549,Kommunal,Hässleholm,177,62,58,57,70,24,69,2014
Hässleholm,Jacobsskolan,46660042,Kommunal,Hässleholm,511,180,165,166,41,15,32,2014
Hässleholm,Norrängsskolan,33678402,Kommunal,Hässleholm,27,11,4,12,..,..,..,2014
Hässleholm,Ungdomscentrum,23372675,Kommunal,Hässleholm,103,46,37,20,47,64,17,2014
Höganäs,Kullagymnasiet,86296935,Kommunal,Höganäs,431,162,125,144,36,18,52,2014
Högsby,Högsby gymnasieskola,67783774,Kommunal,Högsby,76,44,17,15,53,38,17,2014
Hörby,"Hörby Lärcenter, Gymnasieutb.",95324620,Kommunal,Hörby,25,21,3,1,..,68,..,2014
Hörby,Hörby Yrkesgymnasium,38917647,Enskild,Hörby Yrkesgymnasium AB,79,23,23,33,20,..,13,2014
Höör,Gymnasieutbildningen i Höör,45101776,Kommunal,Höör,28,18,8,2,..,46,..,2014
Arvika,"Estetiska skolan, gymnasiet",23517336,Enskild,Ideella Föreningen Estetiska skolan,59,23,19,17,64,..,63,2014
Göteborg,Handelsak. Yrkesh. o Gymnasium,12994441,Enskild,IEAB International Education AB,132,56,48,28,50,63,42,2014
Helsingborg,Impius gymnasium,65136104,Enskild,Impius Utvecklings AB,86,37,22,27,24,..,45,2014
Örnsköldsvik,Hampnäs gymnasium,18072172,Enskild,Impius Vård och Utbildning AB,27,17,7,3,..,..,48,2014
Ludvika,ABB Industrigymnasium Ludvika,97535124,Enskild,Industritekniska Gymnasiet Bergslagen AB,102,34,32,36,42,10,62,2014
Sala,ABB Industrigymnasium Sala,51981332,Enskild,Industritekniska Gymnasiet Bergslagen AB,75,26,29,20,15,..,53,2014
Västerås,ABB Industrigymnasium Västerås,66028861,Enskild,Industritekniska Gymnasiet Bergslagen AB,282,95,95,92,33,15,82,2014
Solna,"Ingridskolan, gymnasiet",28967085,Enskild,Ingridskolan AB,44,13,5,26,30,..,59,2014
Stockholm,Engelska gymnasiet Södermalm,77632411,Enskild,Internationella Engelska Skolan i Sverige AB,727,253,235,239,67,47,74,2014
Göteborg,IT-Gymnasiet Göteborg,79094701,Enskild,IT Gymnasiet Sverige AB,457,158,156,143,18,21,67,2014
Helsingborg,IT-Gymnasiet Helsingborg,79033948,Enskild,IT Gymnasiet Sverige AB,179,60,54,65,7,18,53,2014
Huddinge,IT-Gymnasiet Södertörn,99838438,Enskild,IT Gymnasiet Sverige AB,315,96,105,114,9,27,55,2014
Karlstad,IT-Gymnasiet Karlstad,41867682,Enskild,IT Gymnasiet Sverige AB,52,24,5,23,..,..,48,2014
Kristianstad,IT-Gymnasiet Kristianstad,53691739,Enskild,IT Gymnasiet Sverige AB,125,59,37,29,..,21,43,2014
Sundbyberg,IT-Gymnasiet Sundbyberg,17276047,Enskild,IT Gymnasiet Sverige AB,229,56,90,83,9,44,42,2014
Uppsala,IT-Gymnasiet Uppsala,52048443,Enskild,IT Gymnasiet Sverige AB,328,107,116,105,16,16,59,2014
Västerås,IT-Gymnasiet Västerås,43154449,Enskild,IT Gymnasiet Sverige AB,171,60,50,61,13,18,50,2014
Örebro,IT-Gymnasiet Örebro,29225010,Enskild,IT Gymnasiet Sverige AB,169,62,57,50,18,13,50,2014
Österåker,IT-Gymnasiet Åkersberga,21532545,Enskild,IT Gymnasiet Sverige AB,89,27,36,26,25,17,46,2014
Borås,JENSEN Gymnasium Borås,43572319,Enskild,JENSEN education college AB,94,26,22,46,49,51,50,2014
Göteborg,JENSEN Gymnasium Göteborg,38684438,Enskild,JENSEN education college AB,436,145,119,172,56,38,46,2014
Helsingborg,JENSEN Gymnasium Helsingborg,56330385,Enskild,JENSEN education college AB,234,65,74,95,49,50,41,2014
Jönköping,JENSEN Gymnasium Jönköping,18881773,Enskild,JENSEN education college AB,99,41,30,28,60,37,40,2014
Linköping,JENSEN Gymnasium Linköping,38460895,Enskild,JENSEN education college AB,85,25,28,32,55,33,44,2014
Lund,JENSEN Gymnasium Lund,26324896,Enskild,JENSEN education college AB,179,54,70,55,44,35,49,2014
Malmö,JENSEN Gymnasium Malmö,48593439,Enskild,JENSEN education college AB,199,60,74,65,58,45,50,2014
Stockholm,JENSEN Gymnasium Norra,38195284,Enskild,JENSEN education college AB,493,150,132,211,48,22,55,2014
Stockholm,JENSEN Gymnasium Södra,97510495,Enskild,JENSEN education college AB,428,160,128,140,51,43,48,2014
Stockholm,JENSEN Gymnasium Västra,59898194,Enskild,JENSEN education college AB,218,59,82,77,73,40,42,2014
Stockholm,JENSEN Gymnasium Östra,72580944,Enskild,JENSEN education college AB,7,.,.,7,..,..,..,2014
Uppsala,JENSEN Gymnasium Uppsala,61674097,Enskild,JENSEN education college AB,218,90,60,68,68,21,48,2014
Västerås,JENSEN Gymnasium Västerås,49170638,Enskild,JENSEN education college AB,196,69,68,59,70,32,56,2014
Örebro,JENSEN Gymnasium Örebro,92192566,Enskild,JENSEN education college AB,123,43,22,58,72,46,42,2014
Bräcke,"Jämtlands Gymn, Bräcke 5A",26864271,Kommunal,Jämtlands Gymnasieförbund,89,31,25,33,16,..,29,2014
Bräcke,"Jämtlands Gymn, Bräcke 5B",64411379,Kommunal,Jämtlands Gymnasieförbund,35,9,26,.,29,51,..,2014
Krokom,"Jämtlands Gymn, Torsta",64725297,Kommunal,Jämtlands Gymnasieförbund,88,22,29,37,40,..,40,2014
Krokom,"Jämtlands Gymn, Wången",43362941,Kommunal,Jämtlands Gymnasieförbund,53,19,14,20,77,..,30,2014
Ragunda,"Jämtlands Gymn, Bispgården",17184072,Kommunal,Jämtlands Gymnasieförbund,67,41,16,10,19,22,22,2014
Östersund,"Jämtlands Gymn, Fyrvalla 4A",32239920,Kommunal,Jämtlands Gymnasieförbund,141,48,49,44,7,..,37,2014
Östersund,"Jämtlands Gymn, Fyrvalla 4B",98781765,Kommunal,Jämtlands Gymnasieförbund,235,89,75,71,16,9,28,2014
Östersund,"Jämtlands Gymn, Palmcrantz 2C",93208318,Kommunal,Jämtlands Gymnasieförbund,116,28,31,57,61,..,53,2014
Östersund,"Jämtlands Gymn, Palmcrantz 3A",31611451,Kommunal,Jämtlands Gymnasieförbund,128,43,40,45,73,..,32,2014
Östersund,"Jämtlands Gymn, Palmcrantz 3B",75442735,Kommunal,Jämtlands Gymnasieförbund,142,42,43,57,10,..,42,2014
Östersund,"Jämtlands Gymn, Palmcrantz 3D",74661027,Kommunal,Jämtlands Gymnasieförbund,117,117,.,.,42,72,..,2014
Östersund,"Jämtlands Gymn, Wargentin 1A",38880984,Kommunal,Jämtlands Gymnasieförbund,355,120,125,110,58,9,76,2014
Östersund,"Jämtlands Gymn, Wargentin 1B",28872974,Kommunal,Jämtlands Gymnasieförbund,226,80,63,83,13,6,67,2014
Östersund,"Jämtlands Gymn, Wargentin 1C",87112995,Kommunal,Jämtlands Gymnasieförbund,170,59,63,48,81,11,31,2014
Östersund,"Jämtlands Gymn, Wargentin 2A",18686599,Kommunal,Jämtlands Gymnasieförbund,337,104,111,122,73,8,66,2014
Östersund,"Jämtlands Gymn, Wargentin 2B",93779220,Kommunal,Jämtlands Gymnasieförbund,113,69,22,22,44,17,31,2014
Östersund,"Jämtlands Gymn, Wargentin 2C",77797484,Kommunal,Jämtlands Gymnasieförbund,81,26,30,25,73,..,53,2014
Östersund,"Jämtlands Gymn, Wargentin 2D",53279140,Kommunal,Jämtlands Gymnasieförbund,198,58,52,88,37,6,67,2014
Järfälla,Järfälla Vägledningsc. IMIND,23849498,Kommunal,Järfälla,20,19,1,.,60,60,..,2014
Järfälla,Mälargymnasiet,16254424,Kommunal,Järfälla,608,248,171,189,58,49,35,2014
Järfälla,"NT-gymnasiet, Järfälla",17743836,Kommunal,Järfälla,351,101,130,120,36,49,64,2014
Järfälla,YTC Yrkestekn centrum Järfälla,89018033,Kommunal,Järfälla,351,117,101,133,7,25,30,2014
Jönköping,Bäckadalsgymnasiet RO 1,10317430,Kommunal,Jönköping,493,153,123,217,22,14,42,2014
Jönköping,Bäckadalsgymnasiet Ro 2,62147240,Kommunal,Jönköping,237,155,31,51,48,32,17,2014
Jönköping,Bäckadalsgymnasiet RO 3,99948872,Kommunal,Jönköping,417,149,116,152,9,10,27,2014
Jönköping,Erik Dahlbergsgymnasiet Ro 1,67279263,Kommunal,Jönköping,354,159,95,100,25,23,66,2014
Jönköping,Erik Dahlbergsgymnasiet RO 2,40037982,Kommunal,Jönköping,306,95,123,88,75,24,46,2014
Jönköping,Erik Dahlbergsgymnasiet RO 3,51210136,Kommunal,Jönköping,369,128,118,123,57,29,76,2014
Jönköping,Erik Dahlbergsgymnasiet RO 4,73829818,Kommunal,Jönköping,277,91,87,99,45,17,49,2014
Jönköping,Per Brahegymnasiet RO 1,78295411,Kommunal,Jönköping,469,216,102,151,65,23,58,2014
Jönköping,Per Brahegymnasiet RO 2,80686587,Kommunal,Jönköping,335,102,109,124,65,29,65,2014
Jönköping,Per Brahegymnasiet RO 3,72232853,Kommunal,Jönköping,390,123,124,143,77,11,60,2014
Jönköping,Sandagymnasiet RO 1,62177293,Kommunal,Jönköping,448,164,164,120,42,18,55,2014
Jönköping,Sandagymnasiet RO 2,20323435,Kommunal,Jönköping,436,124,123,189,57,22,46,2014
Jönköping,Sandagymnasiet RO 3,83188694,Kommunal,Jönköping,10,6,1,3,..,..,..,2014
Jönköping,Sandagymnasiet RO 4,46137123,Kommunal,Jönköping,102,33,34,35,51,20,76,2014
Jönköping,Kungsgymnasiet,50908408,Enskild,Jönköpings Kristna Skolförening,35,9,16,10,46,..,69,2014
Gislaved,St Segerstad o Värnamo nbgymn,88163512,Landsting,Jönköpings Läns Landsting,144,48,47,49,34,..,29,2014
Jönköping,Tenhults naturbruksgymnasium,78659008,Landsting,Jönköpings Läns Landsting,162,64,49,49,79,7,28,2014
Kalix,Furuhedsskolan 1,40667807,Kommunal,Kalix,257,101,84,72,46,13,40,2014
Kalix,Furuhedsskolan 2,18091973,Kommunal,Kalix,269,88,97,84,41,10,47,2014
Borgholm,Ölands gymnasium 1,91487291,Kommunal,Kalmarsunds Gymnasieförbund,39,12,16,11,44,..,28,2014
Kalmar,Jenny Nyströmsskolan 1 ES,75870780,Kommunal,Kalmarsunds Gymnasieförbund,244,61,99,84,79,13,58,2014
Kalmar,"Jenny Nyströmsskolan 2 HT, RL",12886223,Kommunal,Kalmarsunds Gymnasieförbund,182,60,60,62,75,16,29,2014
Kalmar,Jenny Nyströmsskolan 3 IM,99360748,Kommunal,Kalmarsunds Gymnasieförbund,71,71,.,.,32,85,..,2014
Kalmar,"Jenny Nyströmsskolan 4 BF, HV, VO",80762863,Kommunal,Kalmarsunds Gymnasieförbund,217,88,63,66,76,23,35,2014
Kalmar,Jenny Nyströmsskolan 6 NA,56271955,Kommunal,Kalmarsunds Gymnasieförbund,93,33,25,35,56,29,65,2014
Kalmar,Lars Kaggskolan 1 NA,77688926,Kommunal,Kalmarsunds Gymnasieförbund,210,81,73,56,53,18,75,2014
Kalmar,"Lars Kaggskolan 2 EE, TE, VF",14508922,Kommunal,Kalmarsunds Gymnasieförbund,484,182,156,146,14,11,59,2014
Kalmar,Lars Kaggskolan 3 IM,89409574,Kommunal,Kalmarsunds Gymnasieförbund,131,130,1,.,33,50,11,2014
Kalmar,"Lars Kaggskolan 4 BA, FT, HV",69629086,Kommunal,Kalmarsunds Gymnasieförbund,210,81,64,65,23,14,33,2014
Kalmar,"Stagneliusskolan 1 SASAM, SAMED, IMIND",21008461,Kommunal,Kalmarsunds Gymnasieförbund,219,81,52,86,58,12,55,2014
Kalmar,"Stagneliusskolan 2 EK, HA",54606928,Kommunal,Kalmarsunds Gymnasieförbund,293,109,83,101,60,16,53,2014
Kalmar,Stagneliusskolan 3 SABET,53893730,Kommunal,Kalmarsunds Gymnasieförbund,422,166,144,112,55,14,52,2014
Torsås,Stage4you 1,98714145,Kommunal,Kalmarsunds Gymnasieförbund,99,31,31,37,57,11,48,2014
Karlshamn,Vägga gymnasieskola 1,21673083,Kommunal,Karlshamn,231,69,78,84,77,26,36,2014
Karlshamn,Vägga gymnasieskola 2,64574972,Kommunal,Karlshamn,231,78,70,83,28,9,38,2014
Karlshamn,Vägga gymnasieskola 3,19741742,Kommunal,Karlshamn,242,82,80,80,44,12,48,2014
Karlshamn,Vägga gymnasieskola 4,29032715,Kommunal,Karlshamn,151,54,47,50,44,12,53,2014
Karlshamn,Vägga gymnasieskola 5,63983100,Kommunal,Karlshamn,145,53,39,53,56,20,65,2014
Karlskoga,Möckelngymnasiet Ro 2,48931433,Kommunal,Karlskoga,363,152,111,100,55,19,52,2014
Karlskoga,Möckelngymnasiet Ro 3,97270136,Kommunal,Karlskoga,256,142,53,61,56,37,16,2014
Karlskoga,Möckelngymnasiet Ro 4,19909435,Kommunal,Karlskoga,240,83,72,85,10,10,42,2014
Karlskoga,Karlskoga Idrottsgymnasium,45830583,Enskild,Karlskoga Idrottsgymnasium AB,116,49,30,37,58,9,56,2014
Karlskrona,af Chapmangymnasiet,30530571,Kommunal,Karlskrona,564,242,177,145,65,14,56,2014
Karlskrona,Ehrensvärdska gymnasiet,96024712,Kommunal,Karlskrona,483,183,141,159,53,21,63,2014
Karlskrona,Fischerströmska gymnasiet,36845597,Kommunal,Karlskrona,127,58,53,16,36,59,21,2014
Karlskrona,Törnströmska gymnasiet,85800840,Kommunal,Karlskrona,484,149,175,160,25,7,53,2014
Karlstad,Nobelgymnasiet,39583059,Kommunal,Karlstad,1 165,435,362,368,35,20,32,2014
Karlstad,Sundstagymnasiet,96684210,Kommunal,Karlstad,955,297,311,347,72,11,63,2014
Karlstad,Tingvallagymnasiet,11673760,Kommunal,Karlstad,703,247,242,214,65,16,47,2014
Karlstad,Älvkullegymnasiet,46574937,Kommunal,Karlstad,1 035,392,296,347,43,16,79,2014
Katrineholm,Duveholmsgymnasiet 1,23836342,Kommunal,Katrineholm,250,88,86,76,48,20,50,2014
Katrineholm,Duveholmsgymnasiet 2,36680378,Kommunal,Katrineholm,240,106,84,50,51,45,30,2014
Katrineholm,Ellwynska skolan,30602363,Kommunal,Katrineholm,133,56,33,44,71,41,36,2014
Katrineholm,Katrineholms Tekniska College,14202032,Kommunal,Katrineholm,353,120,112,121,22,28,46,2014
Katrineholm,Lindengymnasiet,38400227,Kommunal,Katrineholm,294,105,97,92,54,17,33,2014
Göteborg,Kitas Frisörgymnasium,65752105,Enskild,Kimuo frisörutbildning AB,37,18,8,11,92,..,35,2014
Kinda,Allhamra Gymnasieskola,94660328,Kommunal,Kinda,44,39,.,5,36,48,.,2014
Göteborg,Kitas Ekonomi,73147554,Enskild,Kitas Utbildning AB,250,65,83,102,62,11,66,2014
Göteborg,Kitas Gymnasium,69983740,Enskild,Kitas Utbildning AB,299,96,116,87,63,16,66,2014
Göteborg,Kitas Natur,66491596,Enskild,Kitas Utbildning AB,235,69,79,87,41,22,83,2014
Karlstad,Klara Gymnasium Karlstad,79516949,Enskild,Klaragymnasiet AB,291,108,103,80,64,13,52,2014
Linköping,"Klara Gymnasium, Linköping",43313366,Enskild,Klaragymnasiet AB,428,144,132,152,71,14,64,2014
Stockholm,Klara Norra Gymnasium Sthlm,89461767,Enskild,Klaragymnasiet AB,211,80,61,70,59,33,51,2014
Stockholm,Klara Södra Gymnasium Sthlm,94717858,Enskild,Klaragymnasiet AB,396,149,140,107,40,18,73,2014
Stockholm,Sthlms Int. Restaurangskola,56653353,Enskild,Klaragymnasiet AB,154,47,57,50,38,14,45,2014
Danderyd,Marina läroverket i Danderyd,82814120,Enskild,Klart Skepp Marinteknik AB,407,143,113,151,49,4,77,2014
Klippan,"Flygteknikcenter, Ljungbyhed",43649848,Kommunal,Klippan,64,24,21,19,..,17,38,2014
Klippan,Introduktionsprogrammet,39149668,Kommunal,Klippan,74,50,14,10,31,36,14,2014
Klippan,Tegelbruksskolan,84247499,Kommunal,Klippan,236,77,84,75,11,..,22,2014
Klippan,Åbyskolan,27041885,Kommunal,Klippan,372,127,125,120,59,19,38,2014
Knivsta,Sjögrenska gymnasiet,97064126,Kommunal,Knivsta,84,53,15,16,52,48,14,2014
Kramfors,Räddningsgymnasiet Sandö,38233622,Kommunal,Kramfors,95,32,33,30,62,..,58,2014
Kramfors,Ådalsskolan 1,48156011,Kommunal,Kramfors,51,44,4,3,41,51,..,2014
Kramfors,Ådalsskolan 2,48722826,Kommunal,Kramfors,416,154,129,133,46,11,40,2014
Kristianstad,Christian 4:s Gymnasium ES,73063662,Kommunal,Kristianstad,255,76,81,98,71,11,59,2014
Kristianstad,"Christian 4:s Gymnasium ESEST, HU, SA",40766349,Kommunal,Kristianstad,243,64,82,97,74,13,57,2014
Kristianstad,"Milnergymnasiet HV, VO",97596286,Kommunal,Kristianstad,205,77,66,62,89,29,34,2014
Kristianstad,"Söderportgymnasiet EK, SA",73944169,Kommunal,Kristianstad,473,161,175,137,59,24,53,2014
Kristianstad,"Söderportgymnasiet HA, IB",98239050,Kommunal,Kristianstad,170,66,52,52,56,32,59,2014
Kristianstad,"Söderportgymnasiet IM, ISPEC",13520728,Kommunal,Kristianstad,17,17,.,.,..,..,..,2014
Kristianstad,"Söderportgymnasiet IM, RG",94455820,Kommunal,Kristianstad,18,5,2,11,..,..,61,2014
Kristianstad,"Wendesgymnasiet BA, BF, HV",58368956,Kommunal,Kristianstad,271,94,78,99,31,8,31,2014
Kristianstad,"Wendesgymnasiet FT, VF",73567152,Kommunal,Kristianstad,167,58,55,54,10,8,28,2014
Kristianstad,"Österänggymnasiet EE, HT, IN, RL",60209222,Kommunal,Kristianstad,283,98,98,87,38,17,38,2014
Kristianstad,Österänggymnasiet IM,21702982,Kommunal,Kristianstad,170,170,.,.,43,84,16,2014
Kristianstad,"Österänggymnasiet NA, SA, TE",87034307,Kommunal,Kristianstad,581,214,191,176,49,32,68,2014
Kristinehamn,Brogårdsgymnasiet,78872213,Kommunal,Kristinehamn,405,144,121,140,49,19,50,2014
Kristinehamn,Presterudsgymnasiet,84286698,Kommunal,Kristinehamn,225,104,75,46,33,24,26,2014
Kumla,John Norlandergymnasiet,23350817,Kommunal,Kumla,86,34,25,27,21,29,22,2014
Kungsbacka,Aranäsgymnasiet Enhet 1,76860623,Kommunal,Kungsbacka,205,67,65,73,64,15,62,2014
Kungsbacka,Aranäsgymnasiet Enhet 2,58191646,Kommunal,Kungsbacka,420,152,120,148,51,4,57,2014
Kungsbacka,Aranäsgymnasiet Enhet 3,80405898,Kommunal,Kungsbacka,253,103,68,82,35,9,67,2014
Kungsbacka,Aranäsgymnasiet Enhet 4,56021320,Kommunal,Kungsbacka,288,98,97,93,66,14,56,2014
Kungsbacka,Beda Hallbergs gymnasium,63179610,Kommunal,Kungsbacka,78,26,39,13,58,..,47,2014
Kungsbacka,Elof Lindälvs gymn Enhet 1,87262566,Kommunal,Kungsbacka,231,129,53,49,14,7,34,2014
