skolverket_skolnamn,school_unit,skolverket_kommunnamn,skolverket_kommun,huvudman,skolverket_huvudman_namn,skolverket_huvudman_kod,skolverket_helttj_larare_o_adm_tcv17,skolverket_helttj_adm_tcv17,skolverket_helttj_larare_tcv17,skolverket_helttj_andel_kvi_tcv17,skolverket_helttj_andel_ped_tcv17,skolverket_helttj_andel_specped_tcv17,skolverket_elever_per_helttj_tcv17,skolverket_helttj_syv_tcv17,skolverket_elever_per_syvhelttj_tcv17,year
Karolinaskolan,21363125,Höör,1267,7420002045,"Föreningen Fogdaröd omsorg, vård & utbildning utan personligt ansvar",Enskild,"4,6","0,6","4,0","35,0","100,0",.,"5,8",.,.,2014
Bokenskolan,39555838,Jokkmokk,2510,2220000760,Jokkmokk,Kommunal,"20,9","0,9","20,0","46,1","71,0","3,6","7,3","1,0","147,0",2014
Didaktus Jakobsberg,85214294,Järfälla,0123,5564732856,Didaktus Skolor AB,Enskild,"18,1","1,0","17,1","70,2","53,6",.,"13,9","0,4","597,5",2014
Järfälla Vägledningsc. IMIND,23849498,Järfälla,0123,2120000043,Järfälla,Kommunal,"1,0",.,"1,0","100,0","100,0",.,"20,0","2,0","10,0",2014
Mälargymnasiet,16254424,Järfälla,0123,2120000043,Järfälla,Kommunal,"63,0","0,9","62,1","53,5","83,5","1,6","9,8","1,7","357,6",2014
"NT-gymnasiet, Järfälla",17743836,Järfälla,0123,2120000043,Järfälla,Kommunal,"27,7","0,9","26,8","41,0","100,0",.,"13,1","1,0","351,0",2014
YTC Yrkestekn centrum Järfälla,89018033,Järfälla,0123,2120000043,Järfälla,Kommunal,"28,6","1,0","27,6","16,7","64,1","5,8","12,7","1,0","351,0",2014
Bäckadalsgymnasiet RO 1,10317430,Jönköping,0680,2120000530,Jönköping,Kommunal,"40,5","1,0","39,5","37,2","75,2","5,1","12,5","1,0","493,0",2014
Bäckadalsgymnasiet Ro 2,62147240,Jönköping,0680,2120000530,Jönköping,Kommunal,"26,9","0,8","26,2","71,3","88,7","3,8","9,1",.,.,2014
Bäckadalsgymnasiet RO 3,99948872,Jönköping,0680,2120000530,Jönköping,Kommunal,"44,8","1,0","43,8","27,9","48,5","2,3","9,5","1,0","417,0",2014
Erik Dahlbergsgymnasiet Ro 1,67279263,Jönköping,0680,2120000530,Jönköping,Kommunal,"21,4","1,0","20,4","34,6","77,9","3,7","17,4",.,.,2014
Erik Dahlbergsgymnasiet RO 2,40037982,Jönköping,0680,2120000530,Jönköping,Kommunal,"20,4","1,0","19,4","81,4","84,5",.,"15,8","1,0","306,0",2014
Erik Dahlbergsgymnasiet RO 3,51210136,Jönköping,0680,2120000530,Jönköping,Kommunal,"24,5","1,0","23,5","62,6","95,7","8,5","15,7","1,0","369,0",2014
Erik Dahlbergsgymnasiet RO 4,73829818,Jönköping,0680,2120000530,Jönköping,Kommunal,"20,3","1,0","19,3","33,9","92,0","5,2","14,4","1,0","277,0",2014
Grennaskolan GY,54395430,Jönköping,0680,5565187324,Grennaskolan Riksinternat AB,Enskild,"17,1","0,5","16,6","35,3","89,5",.,"7,7","0,1","1 280,0",2014
JENSEN Gymnasium Jönköping,18881773,Jönköping,0680,5566358759,JENSEN education college AB,Enskild,"8,0","1,0","7,0","74,1","82,7",.,"14,2","0,1","990,0",2014
Kungsgymnasiet,50908408,Jönköping,0680,8260017648,Jönköpings Kristna Skolförening,Enskild,"4,9","0,5","4,4","51,1","97,7","2,3","8,0","0,1","700,0",2014
LBS Ljud & Bildskolan Jönköping,18594470,Jönköping,0680,5564851649,Ljud & Bildskolan LBS AB,Enskild,"13,1","1,0","12,1","39,7","70,2",.,"16,4","0,3","660,0",2014
Per Brahegymnasiet RO 1,78295411,Jönköping,0680,2120000530,Jönköping,Kommunal,"29,6","1,0","28,6","55,8","93,4","3,5","16,4","1,0","469,0",2014
Per Brahegymnasiet RO 2,80686587,Jönköping,0680,2120000530,Jönköping,Kommunal,"23,9","1,0","22,9","42,6","93,9","8,7","14,6","0,5","670,0",2014
Per Brahegymnasiet RO 3,72232853,Jönköping,0680,2120000530,Jönköping,Kommunal,"31,4","1,0","30,4","58,7","96,4","3,3","12,8","1,0","390,0",2014
Plusgymnasiet i Jönköping,12279302,Jönköping,0680,5565789129,Plusgymnasiet AB,Enskild,"22,1","2,0","20,1","59,2","68,7",.,"14,6","0,2","1 465,0",2014
Praktiska Jönköping,17849518,Jönköping,0680,5562575786,Praktiska Sverige AB,Enskild,"11,7","0,7","11,0","54,5","61,8",.,"10,1","0,5","222,0",2014
Sandagymnasiet RO 1,62177293,Jönköping,0680,2120000530,Jönköping,Kommunal,"23,3","1,0","22,3","49,2","84,7",.,"20,1","1,0","448,0",2014
Sandagymnasiet RO 2,20323435,Jönköping,0680,2120000530,Jönköping,Kommunal,"26,0","1,0","25,0","61,1","92,8",.,"17,4","1,0","436,0",2014
Sandagymnasiet RO 4,46137123,Jönköping,0680,2120000530,Jönköping,Kommunal,"10,5","0,3","10,2","32,4","78,9",.,"10,0",.,.,2014
Furuhedsskolan 1,40667807,Kalix,2514,2120002692,Kalix,Kommunal,"34,6","1,0","33,6","54,0","92,0","6,0","7,7","2,0","128,5",2014
Furuhedsskolan 2,18091973,Kalix,2514,2120002692,Kalix,Kommunal,"26,3","1,0","25,3","47,0","78,9",.,"10,6",.,.,2014
Calmare Internationella Skola,88466776,Kalmar,0880,5565896213,CIS Kalmar AB,Enskild,"12,2",.,"12,2","77,9","83,6",.,"16,6",.,.,2014
Dag Hammarskjöld Gymnasiet,36539945,Kalmar,0880,8324012288,Stiftelsen Kalmar Waldorfskola,Enskild,"3,5","0,1","3,4","67,7","54,6",.,"9,8",.,.,2014
Helgesbogymnasiet,35390185,Kalmar,0880,2620000071,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,Enskild,"4,7","0,7","4,0",.,"100,0",.,"6,0",.,.,2014
Ingelstorpsgymnasiet,88624631,Kalmar,0880,2620000071,Hushållningssällskapet Kalmar-Kronoberg-Blekinge,Enskild,"12,9","0,7","12,2","50,8","75,4",.,"8,4","0,2","515,0",2014
Jenny Nyströmsskolan 1 ES,75870780,Kalmar,0880,8324016453,Kalmar,Kommunal,"21,7","1,0","20,7","48,7","88,4","2,4","11,8","0,4","610,0",2014
"Jenny Nyströmsskolan 2 HT, RL",12886223,Kalmar,0880,8324016453,Kalmar,Kommunal,"24,0","1,0","23,0","68,5","75,4","4,4","7,9","0,7","271,6",2014
Jenny Nyströmsskolan 3 IM,99360748,Kalmar,0880,8324016453,Kalmar,Kommunal,"6,2","0,4","5,8","51,7","100,0","34,5","12,2","0,3","236,7",2014
"Jenny Nyströmsskolan 4 BF, HV, VO",80762863,Kalmar,0880,8324016453,Kalmar,Kommunal,"17,2","1,0","16,2","61,8","93,8",.,"13,4","1,4","155,0",2014
Jenny Nyströmsskolan 6 NA,56271955,Kalmar,0880,8324016453,Kalmar,Kommunal,"7,7","0,4","7,3","37,7","100,0",.,"12,7","0,4","244,7",2014
Lars Kaggskolan 1 NA,77688926,Kalmar,0880,8324016453,Kalmar,Kommunal,"17,8","0,9","17,0","68,4","94,1",.,"12,4",.,.,2014
"Lars Kaggskolan 2 EE, TE, VF",14508922,Kalmar,0880,8324016453,Kalmar,Kommunal,"30,5","1,0","29,5","19,8","78,5",.,"16,4",.,.,2014
Lars Kaggskolan 3 IM,89409574,Kalmar,0880,8324016453,Kalmar,Kommunal,"12,5","0,9","11,7","100,0","91,4",.,"11,2","2,0","65,5",2014
"Lars Kaggskolan 4 BA, FT, HV",69629086,Kalmar,0880,8324016453,Kalmar,Kommunal,"25,3","1,0","24,3","25,4","83,5","6,6","8,7",.,.,2014
Plusgymnasiet Kalmar,37358234,Kalmar,0880,5565789129,Plusgymnasiet AB,Enskild,"9,0","1,0","8,0","67,7","72,4",.,"14,4","0,5","230,0",2014
Praktiska Kalmar,31657916,Kalmar,0880,5562575786,Praktiska Sverige AB,Enskild,"11,0","1,0","10,0","21,6","47,7","10,1","8,2",.,.,2014
"Stagneliusskolan 1 SASAM, SAMED, IMIND",21008461,Kalmar,0880,8324016453,Kalmar,Kommunal,"24,8","1,0","23,8","50,8","90,4",.,"9,2",.,.,2014
"Stagneliusskolan 2 EK, HA",54606928,Kalmar,0880,8324016453,Kalmar,Kommunal,"22,7","1,0","21,7","57,7","88,0","9,2","13,5","2,0","146,5",2014
Stagneliusskolan 3 SABET,53893730,Kalmar,0880,8324016453,Kalmar,Kommunal,"29,1","1,0","28,1","53,7","90,4",.,"15,0",.,.,2014
SYAB Transportgymnasium,46241804,Kalmar,0880,5567290035,SYAB Transportgymnasium,Enskild,"10,6","1,0","9,6","20,8","64,6",.,"9,8","0,1","940,0",2014
Östersjögymnasiet i Kalmar,40634612,Kalmar,0880,5569306979,Gymnasieskolor i Syd AB,Enskild,"19,6","1,0","18,6","49,1","94,1",.,"9,5",.,.,2014
Vägga gymnasieskola 1,21673083,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"19,7","1,0","18,7","64,0","93,3","9,5","12,3","0,9","256,7",2014
Vägga gymnasieskola 2,64574972,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"23,6","1,0","22,6","31,3","70,6","3,4","10,2","0,8","308,0",2014
Vägga gymnasieskola 3,19741742,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"21,7","0,5","21,2","40,3","88,7","3,8","11,4","0,8","302,5",2014
Vägga gymnasieskola 4,29032715,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"14,7","0,5","14,2","66,8","89,3","3,8","10,6","0,5","302,0",2014
Vägga gymnasieskola 5,63983100,Karlshamn,1082,2120000845,Karlshamn,Kommunal,"12,8","0,3","12,5","60,9","80,8","3,8","11,6","0,5","322,2",2014
Östersjögymnasie i Karlshamn,42573391,Karlshamn,1082,5569306979,Gymnasieskolor i Syd AB,Enskild,"9,3","0,4","8,9","70,2","77,5",.,"9,9",.,.,2014
Karlskoga Idrottsgymnasium,45830583,Karlskoga,1883,5567823611,Karlskoga Idrottsgymnasium AB,Enskild,"6,5","0,8","5,7","77,2","84,7",.,"20,4","0,1","1 160,0",2014
Möckelngymnasiet Ro 2,48931433,Karlskoga,1883,2120001991,Karlskoga,Kommunal,"31,6","1,0","30,6","57,0","96,4","6,5","11,8",.,.,2014
Möckelngymnasiet Ro 3,97270136,Karlskoga,1883,2120001991,Karlskoga,Kommunal,"25,9","1,0","24,9","60,9","88,4","4,0","10,3",.,.,2014
Möckelngymnasiet Ro 4,19909435,Karlskoga,1883,2120001991,Karlskoga,Kommunal,"24,1","1,0","23,1","28,0","64,0",.,"10,4","1,9","129,0",2014
af Chapmangymnasiet,30530571,Karlskrona,1080,2120000829,Karlskrona,Kommunal,"46,8","1,0","45,8","69,6","82,3","2,2","12,3","1,0","564,0",2014
Aspero Idrottsgymn. Karlskrona,78839208,Karlskrona,1080,5566363973,Aspero Friskolor AB,Enskild,"10,1","1,0","9,1","25,5","72,3",.,"17,3","0,1","3 140,0",2014
Ehrensvärdska gymnasiet,96024712,Karlskrona,1080,2120000829,Karlskrona,Kommunal,"45,5","1,0","44,5","59,6","87,9","2,2","10,9",.,.,2014
Fischerströmska gymnasiet,36845597,Karlskrona,1080,2120000829,Karlskrona,Kommunal,"26,0","1,0","25,0","55,6","75,6","12,0","5,1","1,0","127,0",2014
"Mikael Elias Gymnasium, Karlskrona",30458073,Karlskrona,1080,5565583282,Mikael Elias Gymnasium AB,Enskild,"12,9",.,"12,9","57,7","70,6",.,"15,2",.,.,2014
Praktiska Karlskrona,40829056,Karlskrona,1080,5562575786,Praktiska Sverige AB,Enskild,"8,2","1,0","7,2","59,7","43,1",.,"9,3",.,.,2014
Törnströmska gymnasiet,85800840,Karlskrona,1080,2120000829,Karlskrona,Kommunal,"51,1",.,"51,1","33,4","80,7","3,9","9,5",.,.,2014
United Continents IB World School,68556155,Karlskrona,1080,5568933559,Vita Briggen Karlskrona AB,Enskild,"3,4","0,6","2,8","78,6","78,6",.,"7,5",.,.,2014
Folkuniversitetets gymnasium i Karlstad,68920727,Karlstad,1780,8572006313,Stiftelsen Kursverksamheten Vid Göteborgs Universitet,Enskild,"14,5","1,0","13,5","63,9","56,6",.,"9,2",.,.,2014
Fria Läroverken Karlstad,27115998,Karlstad,1780,5569172041,Fria Läroverken i Sverige AB,Enskild,"30,8","1,0","29,8","41,5","73,2",.,"14,4","0,2","2 145,0",2014
IT-Gymnasiet Karlstad,41867682,Karlstad,1780,5565970471,IT Gymnasiet Sverige AB,Enskild,"6,7","1,5","5,2","18,2","95,2",.,"10,0",.,.,2014
Klara Gymnasium Karlstad,79516949,Karlstad,1780,5566303938,Klaragymnasiet AB,Enskild,"19,1","1,0","18,1","49,5","97,5",.,"16,1","0,2","1 455,0",2014
Lillerudsgymnasiet,65662401,Karlstad,1780,5566243548,Lillerudsgymnasiet AB,Enskild,"26,7","1,0","25,7","60,8","86,4",.,"8,9","1,0","230,0",2014
Nobelgymnasiet,39583059,Karlstad,1780,2120001850,Karlstad,Kommunal,"103,3","5,0","98,3","54,0","86,2","3,1","11,9","3,0","388,3",2014
Plusgymnasiet Karlstad,93947551,Karlstad,1780,5565789129,Plusgymnasiet AB,Enskild,"10,5","1,0","9,5","68,3","54,5",.,"13,8",.,.,2014
Praktiska Karlstad,38645259,Karlstad,1780,5562575786,Praktiska Sverige AB,Enskild,"14,5","1,0","13,5","55,6","74,1","4,4","12,1",.,.,2014
Sundstagymnasiet,96684210,Karlstad,1780,2120001850,Karlstad,Kommunal,"71,0","2,3","68,7","43,7","84,5","1,5","13,9","1,7","561,8",2014
Thoren Business School Karlstad,87207941,Karlstad,1780,5566139290,ThorenGruppen AB,Enskild,"16,0","1,0","15,0","82,7","93,3",.,"15,2","0,5","456,0",2014
Tingvallagymnasiet,11673760,Karlstad,1780,2120001850,Karlstad,Kommunal,"45,8","1,8","44,0","64,2","100,0","2,3","16,0","1,0","703,0",2014
Älvkullegymnasiet,46574937,Karlstad,1780,2120001850,Karlstad,Kommunal,"62,0","2,0","60,0","47,6","89,4","3,3","17,2","2,0","517,5",2014
Duveholmsgymnasiet 1,23836342,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"17,9","1,0","16,9","53,0","96,5","5,9","14,8","0,5","500,0",2014
Duveholmsgymnasiet 2,36680378,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"27,8","1,0","26,8","49,8","91,7","10,1","9,0","0,5","480,0",2014
Ellwynska skolan,30602363,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"9,8","0,6","9,2","66,7","94,6",.,"14,5","0,2","665,0",2014
Katrineholms Tekniska College,14202032,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"30,5","1,0","29,5","29,5","81,5",.,"12,0","1,0","353,0",2014
Lindengymnasiet,38400227,Katrineholm,0483,2120000340,Katrineholm,Kommunal,"25,3","1,0","24,3","43,2","78,8",.,"12,1","0,8","367,5",2014
Allhamra Gymnasieskola,94660328,Kinda,0513,2120000399,Kinda,Kommunal,"8,6","0,6","8,0","39,9","54,1",.,"5,5","1,0","44,0",2014
Enhet Praktiska,95184549,Kiruna,2584,2220000760,Kiruna,Kommunal,"1,8",.,"1,8","36,9",.,.,"6,3",.,.,2014
Hjalmar Lundbohmsskolan enh. 1,81619482,Kiruna,2584,2220000760,Kiruna,Kommunal,"31,7","1,0","30,7","59,3","97,9","3,3","10,4",.,.,2014
Hjalmar Lundbohmsskolan enh. 2,83829189,Kiruna,2584,2220000760,Kiruna,Kommunal,"17,8",.,"17,8","42,0","72,5","5,6","9,4",.,.,2014
Hjalmar Lundbohmsskolan enh. 3,46145886,Kiruna,2584,2220000760,Kiruna,Kommunal,"19,8","1,0","18,8","36,2","78,7",.,"9,7",.,.,2014
Hjalmar Lundbohmsskolan enh. 4,12395564,Kiruna,2584,2220000760,Kiruna,Kommunal,"11,0","1,0","10,0","85,0","100,0",.,"5,5","3,9","14,2",2014
Rymdgymnasiet,90006712,Kiruna,2584,5565528022,Malmens Friskola AB,Enskild,"5,9","0,5","5,4","35,1","74,4",.,"15,9",.,.,2014
"Flygteknikcenter, Ljungbyhed",43649848,Klippan,1276,2120000928,Klippan,Kommunal,"9,2","1,0","8,2","14,0","30,1",.,"7,8","0,1","1 280,0",2014
Introduktionsprogrammet,39149668,Klippan,1276,2120000928,Klippan,Kommunal,"6,8","0,2","6,6","56,9","72,1",.,"11,2",.,.,2014
Segragymnasiet Klippan,75344502,Klippan,1276,5569162562,Sveriges Naturbruksgymnasium AB,Enskild,"9,0","0,9","8,1","85,1","51,7","3,0","9,4","0,1","1 520,0",2014
Tegelbruksskolan,84247499,Klippan,1276,2120000928,Klippan,Kommunal,"22,7","1,0","21,7","21,4","54,1",.,"10,9",.,.,2014
Åbyskolan,27041885,Klippan,1276,2120000928,Klippan,Kommunal,"29,7","1,2","28,5","57,9","85,3",.,"13,1","0,9","413,3",2014
Sjögrenska gymnasiet,97064126,Knivsta,0330,2120003013,Knivsta,Kommunal,"8,7","0,4","8,3","57,8","81,9","6,0","10,1","0,0","2 100,0",2014
Nordviksskolan,32580162,Kramfors,2282,5568350309,Nordvik Höga Kusten Kompetens AB,Enskild,"11,4","0,9","10,5","86,7","76,2",.,"5,1",.,.,2014
Räddningsgymnasiet Sandö,38233622,Kramfors,2282,2120002429,Kramfors,Kommunal,"8,8","0,5","8,3","48,2","100,0",.,"11,4",.,.,2014
Ådalsskolan 1,48156011,Kramfors,2282,2120002429,Kramfors,Kommunal,"10,5","1,0","9,5","87,6","89,4","10,6","5,4","0,5","102,0",2014
Ådalsskolan 2,48722826,Kramfors,2282,2120002429,Kramfors,Kommunal,"51,1","1,0","50,1","28,6","65,1","1,2","8,3","1,0","416,0",2014
Christian 4:s Gymnasium ES,73063662,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"29,3","1,0","28,2","45,4","93,3","3,5","9,0","0,8","318,8",2014
"Christian 4:s Gymnasium ESEST, HU, SA",40766349,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"19,3","1,0","18,3","45,4","93,7","9,6","13,3","0,5","486,0",2014
Framtidsgymnasiet Kristianstad,71571158,Kristianstad,1290,5565755500,Framtidsgymnasiet i Sverige AB,Enskild,"19,9","1,0","18,9","23,9","29,2","5,3","8,0","0,2","755,0",2014
IT-Gymnasiet Kristianstad,53691739,Kristianstad,1290,5565970471,IT Gymnasiet Sverige AB,Enskild,"6,6","1,0","5,6",.,"45,0",.,"22,5",.,.,2014
LBS Ljud & Bildskolan Kristianstad,43251309,Kristianstad,1290,5564851649,Ljud & Bildskolan LBS AB,Enskild,"14,5","1,0","13,5","42,2","51,5",.,"14,6","0,2","985,0",2014
Lejongymnasiet,52705247,Kristianstad,1290,5566456348,Lejonskolan AB,Enskild,"3,4","0,2","3,2","36,5","30,2","1,6","12,4",.,.,2014
"Milnergymnasiet HV, VO",97596286,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"18,6","1,0","17,6","80,1","65,8","2,8","11,6","0,8","269,7",2014
Plusgymnasiet Kristianstad,67554405,Kristianstad,1290,5565789129,Plusgymnasiet AB,Enskild,"27,8","1,0","26,8","64,0","54,5","6,0","14,7","0,3","1 310,0",2014
Praktiska Kristianstad,86473502,Kristianstad,1290,5562575786,Praktiska Sverige AB,Enskild,"9,2","1,0","8,2","53,7","24,4",.,"10,4",.,.,2014
"Söderportgymnasiet EK, SA",73944169,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"26,6",.,"26,6","60,9","92,9",.,"17,8","0,6","829,8",2014
"Söderportgymnasiet HA, IB",98239050,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"15,5","1,0","14,5","43,1","87,8",.,"11,8","0,6","283,3",2014
"Söderportgymnasiet IM, RG",94455820,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"9,2","1,0","8,2","44,7","95,1","48,9","2,2",.,.,2014
"Wendesgymnasiet BA, BF, HV",58368956,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"28,6","1,0","27,6","26,6","73,9","3,8","9,8","0,5","602,2",2014
"Wendesgymnasiet FT, VF",73567152,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"21,5","1,0","20,5","21,8","67,2","9,5","8,2","0,6","303,6",2014
Önnestadsgymnasiet,61547652,Kristianstad,1290,5567502777,Hushållningssällskapet Kompetensutveckling i Syd AB,Enskild,"14,5","1,0","13,5","65,1","65,1",.,"9,4",.,.,2014
"Österänggymnasiet EE, HT, IN, RL",60209222,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"27,4","1,0","26,4","45,6","85,8",.,"10,7","0,8","377,3",2014
Österänggymnasiet IM,21702982,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"17,1","1,0","16,1","56,8","90,3","9,3","10,5","1,0","170,0",2014
"Österänggymnasiet NA, SA, TE",87034307,Kristianstad,1290,2120000951,Kristianstad,Kommunal,"43,4","1,0","42,4","50,9","95,5",.,"13,7","1,0","581,0",2014
Brogårdsgymnasiet,78872213,Kristinehamn,1781,2120001868,Kristinehamn,Kommunal,"39,1","1,0","38,1","56,8","94,1",.,"10,6","0,6","675,0",2014
Presterudsgymnasiet,84286698,Kristinehamn,1781,2120001868,Kristinehamn,Kommunal,"20,7","0,8","19,9","33,2","57,3","5,0","11,3","0,5","450,0",2014
Dille Gård Naturbruksgymnasium,62490359,Krokom,2309,5564173853,Dille Gård AB,Enskild,"10,3","0,8","9,5","75,1","22,2",.,"6,8","0,1","640,0",2014
"Jämtlands Gymn, Torsta",64725297,Krokom,2309,2220001636,Krokom,Kommunal,"4,3","0,6","3,7","16,4","61,6",.,"24,1","0,5","176,0",2014
"Jämtlands Gymn, Wången",43362941,Krokom,2309,2220001636,Krokom,Kommunal,"2,6","0,3","2,4","42,6","100,0",.,"22,6",.,.,2014
John Norlandergymnasiet,23350817,Kumla,1881,2120001975,Kumla,Kommunal,"16,0","0,5","15,5","30,3","66,8","6,5","5,5","0,8","107,5",2014
Aranäsgymnasiet Enhet 1,76860623,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"16,4","0,5","16,0","77,3","92,5","4,3","12,8",.,.,2014
Aranäsgymnasiet Enhet 2,58191646,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"28,4",.,"28,4","45,4","81,0","1,0","14,8",.,.,2014
Aranäsgymnasiet Enhet 3,80405898,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"19,8",.,"19,8","53,0","94,1","6,5","12,8",.,.,2014
Aranäsgymnasiet Enhet 4,56021320,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"27,6","1,0","26,6","74,7","90,5","3,4","10,8",.,.,2014
Beda Hallbergs gymnasium,63179610,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"8,3","0,9","7,4","94,6","100,0",.,"10,6","0,3","260,0",2014
Drottning Blankas Gymn. Kungsbacka,64569393,Kungsbacka,1384,5565668794,Drottning Blankas Gymnasieskola AB,Enskild,"11,2","1,0","10,2","58,8","44,1",.,"12,4","0,2","630,0",2014
Elof Lindälvs gymn Enhet 1,87262566,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"29,7","1,0","28,7","28,1","76,1","3,5","8,0",.,.,2014
Elof Lindälvs gymn Enhet 2,64160122,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"28,8","1,0","27,8","52,3","88,2","3,6","15,5",.,.,2014
Elof Lindälvs gymn Enhet 3,48217580,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"32,0","1,0","31,0","59,7","91,3","3,2","14,4",.,.,2014
Elof Lindälvs gymn Enhet 4,41844601,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"23,5","1,0","22,5","66,1","81,8","3,5","10,9",.,.,2014
Elof Lindälvs gymn Enhet 5,51620045,Kungsbacka,1384,2120001256,Kungsbacka,Kommunal,"10,7","1,0","9,7","65,4","89,0","10,3","5,5",.,.,2014
LBS Ljud & Bildskolan Kungsbacka,86888278,Kungsbacka,1384,5564851649,Ljud & Bildskolan LBS AB,Enskild,"10,0","0,5","9,5","31,6","55,8","1,1","14,2","0,1","2 700,0",2014
Praktiska Kungsbacka,23457902,Kungsbacka,1384,5562575786,Praktiska Sverige AB,Enskild,"7,8","1,0","6,8","67,4","60,0",.,"11,3",.,.,2014
Sveriges Ridgymnasium Kungsbacka,27597104,Kungsbacka,1384,5566814504,Sveriges Ridgymnasium AB,Enskild,"8,5","1,0","7,5","100,0","45,9",.,"10,9",.,.,2014
Mimers Hus Gymnasium 1,82193704,Kungälv,1482,2120001371,Kungälv,Kommunal,"22,5","1,0","21,5","19,0","88,4",.,"9,1","0,5","390,0",2014
Mimers Hus Gymnasium 2,66368167,Kungälv,1482,2120001371,Kungälv,Kommunal,"11,8","0,8","11,0","42,9","90,0",.,"10,7","0,2","585,0",2014
Mimers Hus Gymnasium 3,55785999,Kungälv,1482,2120001371,Kungälv,Kommunal,"14,6","1,0","13,6","50,0","92,6","7,4","8,8","0,5","238,0",2014
Mimers Hus Gymnasium 4,51624696,Kungälv,1482,2120001371,Kungälv,Kommunal,"38,3","0,8","37,5","59,1","87,7",.,"13,1","1,0","492,0",2014
Mimers Hus Gymnasium 5,78651862,Kungälv,1482,2120001371,Kungälv,Kommunal,"21,1","1,0","20,1","61,7","94,5","5,0","15,3","0,8","385,0",2014
Mimers Hus Gymnasium 6,56228505,Kungälv,1482,2120001371,Kungälv,Kommunal,"21,5","1,0","20,5","47,8","95,1","4,9","14,4",.,.,2014
"Kävlinge Lärcentrum, gymn.",88192227,Kävlinge,1261,2120001058,Kävlinge,Kommunal,"4,1","0,3","3,8","78,7","80,0",.,"8,3","0,3","124,0",2014
Ullvigymnasiet,72022487,Köping,1983,2120002114,Köping,Kommunal,"99,6","1,0","98,6","45,5","66,3","3,0","8,8","4,0","215,8",2014
Osbecksgymnasiet,71517572,Laholm,1381,2120001223,Laholm,Kommunal,"43,6","3,0","40,6","39,0","90,5",.,"10,5","1,6","267,5",2014
Allvar Gullstrandgymnasiet,47108212,Landskrona,1282,2120001140,Landskrona,Kommunal,"28,5","1,0","27,5","38,9","82,0","3,6","12,5","1,0","345,0",2014
Selma Lagerlöfgymnasiet,37132612,Landskrona,1282,2120001140,Landskrona,Kommunal,"31,9","1,0","30,9","62,0","87,9","8,1","9,3","2,0","143,0",2014
Gymnasieutbildning i Lekeberg,24445686,Lekeberg,1814,2120002981,Lekeberg,Kommunal,"1,4","0,1","1,3","68,0","68,0",.,"5,6","0,1","70,0",2014
Leksands gymnasium,44417214,Leksand,2029,2120002163,Leksand,Kommunal,"47,2","1,0","46,2","53,6","88,5","4,3","11,7","2,0","269,5",2014
"Lerums Gymnasium, skolenhet 1",25025681,Lerum,1441,2120001447,Lerum,Kommunal,"18,2","1,0","17,2","66,2","100,0",.,"24,1","0,5","826,0",2014
"Lerums Gymnasium, skolenhet 2",88776535,Lerum,1441,2120001447,Lerum,Kommunal,"25,2","1,0","24,2","46,4","93,2","4,1","13,7","0,5","662,0",2014
"Lerums Gymnasium, skolenhet 3",29351272,Lerum,1441,2120001447,Lerum,Kommunal,"21,9","1,0","20,9","41,5","91,8",.,"9,8","0,5","410,0",2014
"Lerums Gymnasium, skolenhet 4",49488344,Lerum,1441,2120001447,Lerum,Kommunal,"5,2","0,5","4,7","81,2","78,6",.,"16,9",.,.,2014
"Lerums Gymnasium, skolenhet 5",74408578,Lerum,1441,2120001447,Lerum,Kommunal,"26,7","1,0","25,7","37,4","84,4","3,9","10,2","0,5","524,0",2014
Lessebo Gymnasium,75395882,Lessebo,0761,2120000613,Lessebo,Kommunal,"5,2","0,4","4,8","62,3","75,5",.,"11,9","0,2","285,0",2014
