skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_exl_tcv110,skolverket_andel_elever_exl_tcv110,skolverket_and_uppn_alla_amnen_exl_tcv110,skolverket_and_behorig_yrkes_exl_tcv110,skolverket_gmv_exl_tcv110,skolverket_antal_elever_nyinv_tcv110,skolverket_andel_elever_nyinv_tcv110,skolverket_and_uppn_alla_amnen_nyinv_tcv110,skolverket_and_behorig_yrkes_nyinv_tcv110,skolverket_gmv_nyinv_tcv110,year
Gotland,Atheneskolan,Enskild,Pysslingen Förskolor och Skolor AB,52229866,45,"100,0","86,7",~100,"247,4",.,.,.,.,.,2014
Grums,Jättestenskolan,Kommunal,Grums,16891307,..,..,"80,6","86,6","202,0",..,..,..,..,..,2014
Grästorp,Centralskolan 4-9 Norr,Kommunal,Grästorp,24376988,40,"100,0","77,5","87,5","199,8",.,.,.,.,.,2014
Grästorp,Centralskolan Söder 4-9,Kommunal,Grästorp,31381375,..,..,"81,8",~100,"225,8",..,..,.,.,..,2014
Gullspång,Gullstensskolan åk 7-9,Kommunal,Gullspång,89624871,..,..,"72,7","78,2","200,9",..,..,.,.,..,2014
Gällivare,Hakkas Centralskola,Kommunal,Gällivare,73575145,..,..,..,..,..,..,..,.,.,.,2014
Gällivare,Hedskolan LMH,Kommunal,Gällivare,13185131,..,..,"91,1",~100,"220,3",..,..,..,..,..,2014
Gällivare,Myranskolan LMH,Kommunal,Gällivare,82657877,..,..,"81,3",~100,"219,4",..,..,..,..,..,2014
Gällivare,Sjöparksskolan LMH,Kommunal,Gällivare,24426745,34,"100,0","82,4",~100,"209,9",.,.,.,.,.,2014
Gällivare,Tallbackaskolan MH,Kommunal,Gällivare,68699648,30,"100,0","90,0",~100,"237,7",.,.,.,.,.,2014
Gällivare,Malmens friskola,Enskild,Malmens Friskola AB,37140962,21,"100,0","85,7",~100,"238,3",.,.,.,.,.,2014
Gävle,Friskolan Lyftet,Enskild,Friskolan Lyftet AB,11476454,17,"100,0","64,7",~100,"178,4",.,.,.,.,.,2014
Gävle,Trädgårdsskolan GKS,Enskild,Föreningen för Gefle Kristna Skola,87088456,11,"100,0",..,..,"191,8",.,.,.,.,.,2014
Gävle,Bergby Centralskola 1-9,Kommunal,Gävle,55373417,..,..,"64,9","81,1","198,5",..,..,.,..,..,2014
Gävle,Lillhagsskolan,Kommunal,Gävle,51387807,86,"100,0","73,3","90,7","195,3",.,.,.,.,.,2014
Gävle,Milboskolan,Kommunal,Gävle,93378411,58,"100,0","77,6","84,5","207,1",.,.,.,.,.,2014
Gävle,Sofiedalskolan,Kommunal,Gävle,80177526,..,..,"78,5","89,7","203,8",..,..,.,.,..,2014
Gävle,Solängsskolan,Kommunal,Gävle,58984764,..,..,"88,7","95,1","228,3",..,..,.,.,..,2014
Gävle,Stenebergsskolan,Kommunal,Gävle,17248313,..,..,"52,2","80,4","170,0",..,..,..,..,..,2014
Gävle,Stigslunds skola,Kommunal,Gävle,91652716,61,"100,0","95,1",~100,"229,9",.,.,.,.,.,2014
Gävle,Stora Sätraskolan,Kommunal,Gävle,49779956,65,"85,5","53,8","78,5","185,8",11,"14,5",..,..,..,2014
Gävle,Sörbyskolan,Kommunal,Gävle,23223141,61,"72,6","63,9","77,0","185,3",23,"27,4",..,..,"106,5",2014
Gävle,Engelska Skolan i Gävle,Enskild,Internationella Engelska Skolan i Sverige AB,53952728,..,..,"80,2","97,5","241,7",..,..,.,..,..,2014
Gävle,MBC skolan Gävle,Enskild,Magelungen Utveckling AB,64745639,..,..,.,..,..,..,..,.,.,.,2014
Gävle,"Prolympia, Gävle",Enskild,ULNO AB,57578095,100,"100,0","89,0","95,0","210,4",.,.,.,.,.,2014
Göteborg,Assaredsskolan,Enskild,Assareds Skolkooperativ Ek. För.,25852980,24,"100,0","70,8",~100,"233,8",.,.,.,.,.,2014
Göteborg,Freinetskolan Bild & Form,Enskild,Bildoch Form i Gbg AB     556666-6102,31872640,25,"100,0","92,0",~100,"249,2",.,.,.,.,.,2014
Göteborg,Böskolans friskola,Enskild,Böskolans Friskola Ek.För.,83071620,44,"100,0","97,7",~100,"245,3",.,.,.,.,.,2014
Göteborg,Centrina Kviberg,Enskild,Centrina Utbildning AB,17517182,36,"100,0","61,1","80,6","198,6",.,.,.,.,.,2014
Göteborg,Centrina Lindholmen,Enskild,Centrina Utbildning AB,79866556,69,"100,0","89,9",~100,"244,8",.,.,.,.,.,2014
Göteborg,Ebba Petterssons Grundskola,Enskild,Ebba Petterssons Privatskolas Stiftelse,88247874,98,"100,0","99,0",~100,"244,6",.,.,.,.,.,2014
Göteborg,Römosseskolan,Enskild,Föreningen Islamiska Skolan i Göteborg,72408586,28,"100,0","64,3",~100,"238,8",.,.,.,.,.,2014
Göteborg,Sverigefinska skolan i Gbg,Enskild,Föreningen Sverigefinska Skolan i Göteborg Ek. För.,56289245,..,..,..,..,..,..,..,.,.,.,2014
Göteborg,Prolympia Göteborg,Enskild,Gothenburg Association AB,54367867,20,"100,0","80,0",~100,"197,0",.,.,.,.,.,2014
Göteborg,Änglagårdskolan,Enskild,Gothenburg Association AB,87427999,43,"100,0","74,4","88,4","221,7",.,.,.,.,.,2014
Göteborg,Bergsjöskolan 7-9,Kommunal,Göteborg,35416997,..,..,"36,2","58,0","167,6",..,..,..,..,..,2014
Göteborg,Bergums skola 4-9,Kommunal,Göteborg,98771543,..,..,"70,9",~100,"216,9",..,..,.,..,..,2014
Göteborg,Brunnsboskolan 6-9,Kommunal,Göteborg,47880725,..,..,"73,1","83,6","220,3",..,..,.,.,..,2014
Göteborg,Bräckeskolan,Kommunal,Göteborg,85329103,..,..,"50,0",~100,"204,0",..,..,..,..,..,2014
Göteborg,Ekåsa skola och internat,Kommunal,Göteborg,93540606,..,..,..,..,..,..,..,.,.,.,2014
Göteborg,Fiskebäcksskolan 6-9,Kommunal,Göteborg,99641533,55,"100,0","87,3",~100,"230,5",.,.,.,.,.,2014
Göteborg,Fjällskolan,Kommunal,Göteborg,53332364,..,..,"69,6","92,8","215,2",..,..,..,..,..,2014
Göteborg,Flatåsskolan 3,Kommunal,Göteborg,98780126,..,..,..,..,..,..,..,.,.,.,2014
Göteborg,Frölundaskolan 7-9,Kommunal,Göteborg,97820269,64,"84,2","62,5","76,6","182,1",12,"15,8",..,..,"133,6",2014
Göteborg,Gamlestadsskolan H,Kommunal,Göteborg,90710178,..,..,"71,6","91,0","215,2",..,..,.,..,..,2014
Göteborg,Gathenhielmsskolan,Kommunal,Göteborg,22061272,..,..,..,..,..,..,..,.,.,.,2014
Göteborg,Glöstorpsskolan 7-9,Kommunal,Göteborg,85656343,..,..,"72,1","83,8","197,4",..,..,.,.,..,2014
Göteborg,Guldhedsskolan 7-9,Kommunal,Göteborg,98423378,..,..,"70,4","85,9","210,5",..,..,.,.,..,2014
Göteborg,Gårdstensskolan 4-9,Kommunal,Göteborg,55886598,45,"81,8","53,3","66,7","202,3",10,"18,2",..,..,..,2014
Göteborg,Herrgårdsskolan,Kommunal,Göteborg,54775782,28,"100,0","85,7",~100,"211,1",.,.,.,.,.,2014
Göteborg,Hjällboskolan 6-9,Kommunal,Göteborg,63925456,..,..,"25,0","47,8","165,5",..,..,..,..,..,2014
Göteborg,Hovåsskolan 7-9,Kommunal,Göteborg,32603156,..,..,"81,1","93,7","227,1",..,..,.,.,..,2014
Göteborg,Johannebergsskolan 3-9,Kommunal,Göteborg,69180213,12,"100,0","83,3","100,0","235,2",.,.,.,.,.,2014
Göteborg,Jättestensskolan 4-9,Kommunal,Göteborg,89438692,45,"100,0","66,7","80,0","212,2",.,.,.,.,.,2014
Göteborg,Kannebäcksskolan döva och hörsel,Kommunal,Göteborg,61201931,..,..,..,..,..,..,..,.,.,..,2014
Göteborg,Klarebergsskolan 7-9,Kommunal,Göteborg,20429308,..,..,"78,3","92,8","212,9",..,..,.,.,..,2014
Göteborg,Kärralundsskolan 7-9,Kommunal,Göteborg,77176658,73,"100,0","89,0",~100,"251,7",.,.,.,.,.,2014
Göteborg,Kärraskolan 4-9,Kommunal,Göteborg,85930744,59,"100,0","74,6","91,5","223,8",.,.,.,.,.,2014
Göteborg,Lindåsskolan 4-9,Kommunal,Göteborg,61845870,66,"100,0","93,9",~100,"244,7",.,.,.,.,.,2014
Göteborg,Lövgärdesskolan 4-9,Kommunal,Göteborg,31928894,54,"81,8","48,1","77,8","180,8",12,"18,2",.,..,"78,4",2014
Göteborg,Nordhemsskolan,Kommunal,Göteborg,19560147,..,..,"77,7","91,1","224,5",..,..,.,..,..,2014
Göteborg,Nordlyckeskolan,Kommunal,Göteborg,93002896,136,"100,0","95,6",~100,"243,8",.,.,.,.,.,2014
Göteborg,Nya Lundenskolan,Kommunal,Göteborg,77193656,..,..,"73,7","85,5","221,9",..,..,.,.,..,2014
Göteborg,Nya Påvelundsskolan 1,Kommunal,Göteborg,33511119,89,"100,0","94,4",~100,"242,2",.,.,.,.,.,2014
Göteborg,Nya Påvelundsskolan 2,Kommunal,Göteborg,43441529,90,"100,0","94,4",~100,"236,7",.,.,.,.,.,2014
Göteborg,Nygårdsskolan 4-9,Kommunal,Göteborg,65651613,68,"100,0","95,6",~100,"245,5",.,.,.,.,.,2014
Göteborg,Nytorpsskolan 4-9,Kommunal,Göteborg,16396010,48,"75,0","54,2","62,5","181,1",16,"25,0",..,..,"160,2",2014
Göteborg,Park-Kålltorpsskolan 7-9,Kommunal,Göteborg,89792955,..,..,"89,2",~100,"239,5",..,..,.,.,..,2014
Göteborg,Rambergsskolan 7-9,Kommunal,Göteborg,42348410,..,..,"40,0","62,9","198,8",..,..,.,.,..,2014
Göteborg,Resursskolan Linden,Kommunal,Göteborg,52459484,..,..,.,..,..,..,..,.,.,.,2014
Göteborg,Ryaskolan F-9,Kommunal,Göteborg,28890717,30,"58,8","40,0","56,7","166,7",21,"41,2",..,..,"107,8",2014
Göteborg,Sandeklevsskolan 7-9,Kommunal,Göteborg,91683255,47,"78,3","36,2","57,4","164,8",13,"21,7",..,..,"150,6",2014
Göteborg,Sannaskolan,Kommunal,Göteborg,71588377,..,..,"74,4","89,0","201,9",..,..,..,..,..,2014
Göteborg,Sjumilaskolan F-9,Kommunal,Göteborg,25261308,44,"68,8","52,3","68,2","191,4",20,"31,3",..,..,"80,8",2014
Göteborg,Skälltorpssk. Sv. Balettskolan,Kommunal,Göteborg,24937512,11,"100,0",..,~100,"220,4",.,.,.,.,.,2014
Göteborg,Skälltorpsskolan,Kommunal,Göteborg,21231498,..,..,"82,4","95,0","222,4",..,..,.,.,.,2014
Göteborg,Styrsöskolan,Kommunal,Göteborg,81179515,33,"100,0","93,9","100,0","232,5",.,.,.,.,.,2014
Göteborg,Svartedalsskolan F-9,Kommunal,Göteborg,12974290,..,..,.,.,..,..,..,.,.,.,2014
Göteborg,Toleredsskolan 7-9,Kommunal,Göteborg,27774991,..,..,"59,5","73,8","187,7",..,..,..,..,..,2014
Göteborg,Torpaskolan 7-9,Kommunal,Göteborg,50118397,..,..,"70,3",~100,"198,2",..,..,.,.,..,2014
Göteborg,Torslandaskolan 6-9,Kommunal,Göteborg,54282652,..,..,"90,6",~100,"223,8",..,..,..,..,..,2014
Göteborg,Trulsegårdsskolan 6-9,Kommunal,Göteborg,84103533,..,..,"89,6",~100,"227,3",..,..,.,.,..,2014
Göteborg,Tynneredsskolan,Kommunal,Göteborg,12026626,..,..,"69,4","79,2","213,6",..,..,.,.,..,2014
Göteborg,Utmarksskolan,Kommunal,Göteborg,39000072,57,"79,2","61,4","66,7","192,2",15,"20,8",.,.,"34,2",2014
Göteborg,Vättleskolan 4-9,Kommunal,Göteborg,27760036,49,"83,1","30,6","49,0","141,7",10,"16,9",.,.,..,2014
Göteborg,Ånässkolan 4-6,Kommunal,Göteborg,18504905,..,..,..,..,..,..,..,.,.,.,2014
Göteborg,Önneredsskolan 2,Kommunal,Göteborg,26855170,104,"100,0","80,8","94,2","221,1",.,.,.,.,.,2014
Göteborg,ISGR/International section,Enskild,Göteborgsregionens Internationella Skola AB,30191226,30,"56,6",.,.,.,23,"43,4",.,.,.,2014
Göteborg,ISGR/Swedish-English,Enskild,Göteborgsregionens Internationella Skola AB,80498460,53,"100,0","100,0","100,0","253,4",.,.,.,.,.,2014
Göteborg,Int Engelska Skolan i Göteborg,Enskild,Internationella Engelska Skolan i Sverige AB,45124936,..,..,"74,9","95,4","233,1",..,..,..,..,..,2014
Göteborg,Drakbergsskolan,Enskild,Kannebäcks Friskoleförening,60526603,23,"100,0","87,0",~100,"230,2",.,.,.,.,.,2014
Göteborg,Kunskapsskolan Krokslätt,Enskild,Kunskapsskolan i Sverige AB,83045482,69,"100,0","89,9","92,8","229,2",.,.,.,.,.,2014
Göteborg,Magelungen Karlaskolan,Enskild,Magelungen Utveckling AB,97205555,..,..,.,.,..,..,..,.,.,.,2014
Göteborg,Franska skolan Göteborg,Enskild,Medborgarskolan Region Väst,55860193,25,"100,0","100,0","100,0","253,5",.,.,.,.,.,2014
Göteborg,Snitz Grundskola Göteborg,Enskild,PPS Power Planning System AB,74467930,..,..,.,..,..,..,..,.,.,.,2014
Göteborg,Fenestra Centrum,Enskild,Pysslingen Förskolor och Skolor AB,87139814,66,"100,0","66,7","86,4","218,3",.,.,.,.,.,2014
Göteborg,Fenestra S:t Jörgen,Enskild,Pysslingen Förskolor och Skolor AB,27265374,68,"100,0","89,7",~100,"228,3",.,.,.,.,.,2014
Göteborg,Montessoriskolan Skäret,Enskild,Skäret Skolkooperativ Ek.För.,25894254,27,"100,0","100,0","100,0","240,7",.,.,.,.,.,2014
Göteborg,Montessoriskolan Casa,Enskild,Stiftelsen Casa Dei Bambini,76938537,30,"100,0","96,7",~100,"256,3",.,.,.,.,.,2014
Göteborg,The English School Gothenburg,Enskild,Stiftelsen English School In Gothenburg,66890810,28,"100,0","82,1",~100,"256,0",.,.,.,.,.,2014
Göteborg,Brandströmska skolan Nylöse,Enskild,Stiftelsen För Kristen Skolverksamhet,11295861,..,..,"64,5","74,2","209,6",..,..,.,.,..,2014
Göteborg,Kristinaskolan,Enskild,Stiftelsen För Kristna Skolor i Angeredområdet,46512685,..,..,"76,5",~100,"208,7",..,..,.,.,..,2014
Göteborg,Vasaskolan,Enskild,Stiftelsen För Kristna Skolor i Göteborg,56168083,43,"100,0","88,4","100,0","237,6",.,.,.,.,.,2014
Göteborg,Göteborgs Högre Samskola gr.,Enskild,Stiftelsen Göteborgs Högre Samskola,52538248,174,"100,0","93,1",~100,"259,1",.,.,.,.,.,2014
Göteborg,Katolska skolan av Notre Dame,Enskild,Stiftelsen Katolska Skolan Av Notre Dame,45045293,..,..,"61,0","85,4","204,0",..,..,..,..,..,2014
Göteborg,Montessoriskolan Centrum,Enskild,Stiftelsen Montessoriskolan Centrum,73995321,28,"100,0","82,1",~100,"236,2",.,.,.,.,.,2014
Göteborg,Rudolf Steinerskolan Göteborg,Enskild,Stiftelsen Rudolf Steinerskolan,42817980,14,"100,0","92,9","100,0","252,7",.,.,.,.,.,2014
Göteborg,Victoriaskolan,Enskild,Tyska Skolan Göteborg Ek. För.,80678068,33,"100,0","84,8",~100,"222,7",.,.,.,.,.,2014
Göteborg,Vetenskapsskolan,Enskild,Vetenskapsskolan i Göteborg AB,71259819,10,"100,0","100,0","100,0","262,3",.,.,.,.,.,2014
Göteborg,Vittra Kronhusparken,Enskild,Vittraskolorna AB,67543412,54,"100,0","85,2","90,7","229,8",.,.,.,.,.,2014
Göteborg,Martinaskolan,Enskild,"Waldorfföreningen, Martinaskolan, Ek. För.",47927698,14,"100,0",..,~100,"190,2",.,.,.,.,.,2014
Göteborg,Waldorfskolan Grenkvist,Enskild,Waldorfskolan Grenkvist Ek. För.,36158006,12,"100,0",..,..,"176,6",.,.,.,.,.,2014
Götene,Fornängsskolan,Kommunal,Götene,34900938,..,..,"78,5","83,1","193,6",..,..,.,.,.,2014
Götene,Västerbyskolan,Kommunal,Götene,78301783,..,..,"90,2",~100,"220,3",..,..,.,.,..,2014
Habo,Hagabodaskolan 6-9,Kommunal,Habo,38553494,..,..,"86,0","93,0","218,9",..,..,.,.,..,2014
Hagfors,Kyrkhedens skola 4-9,Kommunal,Hagfors,64460662,..,..,"80,9",~100,"196,8",..,..,..,..,..,2014
Hagfors,Älvstranden bildn.centrum 7-9,Kommunal,Hagfors,18315553,..,..,"73,1","85,1","196,3",..,..,..,..,..,2014
Hallsberg,Folkasboskolan,Kommunal,Hallsberg,99707554,56,"100,0","76,8","82,1","198,5",.,.,.,.,.,2014
Hallsberg,Transtenskolan,Kommunal,Hallsberg,63503591,..,..,"70,4","85,2","206,0",..,..,..,..,..,2014
Hallstahammar,Lindboskolan,Kommunal,Hallstahammar,88403889,..,..,"83,9","87,3","220,6",..,..,.,.,..,2014
Hallstahammar,Tunboskolan,Kommunal,Hallstahammar,32758035,35,"100,0","74,3",~100,"210,7",.,.,.,.,.,2014
Halmstad,Brunnsåkersskolan 2,Kommunal,Halmstad,87737594,..,..,"94,0",~100,"215,6",..,..,.,.,..,2014
Halmstad,Centrumskolan,Kommunal,Halmstad,82520235,..,..,.,..,..,..,..,.,.,.,2014
Halmstad,Furulundsskolan 1,Kommunal,Halmstad,84189577,..,..,"93,9",~100,"225,7",..,..,..,..,..,2014
Halmstad,Fyllingeskolan 1,Kommunal,Halmstad,65388353,42,"100,0","83,3",~100,"220,5",.,.,.,.,.,2014
Halmstad,Förberedelseklass 1,Kommunal,Halmstad,32197343,..,..,.,.,.,..,..,.,.,..,2014
Halmstad,Getingeskolan 1,Kommunal,Halmstad,99829869,72,"100,0","91,7",~100,"222,7",.,.,.,.,.,2014
Halmstad,Gullbrandstorpsskolan 1,Kommunal,Halmstad,74772092,45,"100,0","95,6",~100,"233,3",.,.,.,.,.,2014
Halmstad,Stenstorpsskolan 1,Kommunal,Halmstad,52347444,50,"100,0","94,0",~100,"225,1",.,.,.,.,.,2014
Halmstad,Söndrumskolan 1,Kommunal,Halmstad,18751410,..,..,"85,7",~100,"213,2",..,..,.,.,..,2014
Halmstad,Söndrumskolan 2,Kommunal,Halmstad,67995611,..,..,"92,3",~100,"227,0",..,..,.,.,..,2014
Halmstad,Trönningeskolan 1,Kommunal,Halmstad,86573921,65,"100,0","81,5",~100,"214,8",.,.,.,.,.,2014
Halmstad,Vallåsskolan 1,Kommunal,Halmstad,19274764,71,"100,0","94,4",~100,"217,5",.,.,.,.,.,2014
Halmstad,Östergårdsskolan 1,Kommunal,Halmstad,74243509,66,"100,0","71,2","81,8","194,1",.,.,.,.,.,2014
Halmstad,Östergårdsskolan 2,Kommunal,Halmstad,24668709,..,..,"81,4",~100,"216,3",..,..,..,..,..,2014
Halmstad,Östergårdsskolan 4,Kommunal,Halmstad,90716191,27,"100,0","85,2",~100,"225,1",.,.,.,.,.,2014
Halmstad,Österledskolan 1,Kommunal,Halmstad,92337813,61,"100,0","82,0","90,2","210,2",.,.,.,.,.,2014
Halmstad,Österledskolan 2,Kommunal,Halmstad,14732915,..,..,"70,0",~100,"189,5",..,..,..,..,..,2014
Halmstad,Eketånga Montessoriskola,Enskild,Ideella Föreningen Eketånga Montessoriskola,28459364,26,"100,0","96,2",~100,"254,2",.,.,.,.,.,2014
Halmstad,Vittra Halmstad,Enskild,Vittraskolorna AB,61582926,31,"100,0","87,1",~100,"218,0",.,.,.,.,.,2014
Halmstad,Wallbergsskolan,Enskild,Wallbergsskolans Ideella Förening,42422737,21,"100,0","90,5",~100,"225,4",.,.,.,.,.,2014
Hammarö,Hammarlundens skola 7-9,Kommunal,Hammarö,95243847,93,"100,0","100,0","100,0","254,2",.,.,.,.,.,2014
Hammarö,Mörmoskolan 7-9,Kommunal,Hammarö,47480841,..,..,"84,8","90,9","218,7",..,..,.,.,.,2014
Haninge,Brandbergsskolan,Kommunal,Haninge,73184968,..,..,"67,2","78,1","207,7",..,..,..,..,..,2014
Haninge,Dalarö skola,Kommunal,Haninge,74610376,17,"100,0","94,1","100,0","237,5",.,.,.,.,.,2014
Haninge,HagaLyckebyskolan,Kommunal,Haninge,81680693,63,"100,0","87,3","90,5","224,1",.,.,.,.,.,2014
Haninge,Ribbyskolan,Kommunal,Haninge,59497255,123,"91,1","79,7","89,4","216,0",12,"8,9",..,..,"147,3",2014
Haninge,Söderbymalmsskolan,Kommunal,Haninge,10035236,..,..,"65,5","75,4","192,4",..,..,.,..,..,2014
Haninge,Tungelsta skola,Kommunal,Haninge,38975788,..,..,"74,0","83,6","204,1",..,..,.,.,..,2014
Haninge,Utö skola,Kommunal,Haninge,86577795,..,..,..,..,..,..,..,.,.,.,2014
Haninge,Vendelsömalmsskolan,Kommunal,Haninge,72266104,..,..,"75,9","90,4","202,7",..,..,..,..,..,2014
Haninge,Deltaskolan,Enskild,Mia Lundberg,73926940,13,"100,0",..,"100,0","218,1",.,.,.,.,.,2014
Haninge,Rudanskolan,Enskild,Pysslingen Förskolor och Skolor AB,17957898,101,"100,0","77,2","92,1","216,8",.,.,.,.,.,2014
Haparanda,Gränsskolan,Kommunal,Haparanda,29991096,..,..,"53,8","73,1","192,8",..,..,..,..,..,2014
Haparanda,Marielundsskolan,Kommunal,Haparanda,13768276,30,"100,0","66,7","70,0","176,4",.,.,.,.,.,2014
Haparanda,Språkskolan,Kommunal,Haparanda,98675845,27,"100,0","92,6",~100,"251,6",.,.,.,.,.,2014
Heby,Heby skola 7-9,Kommunal,Heby,36374693,..,..,"82,4","89,7","207,0",..,..,.,.,..,2014
Heby,Östervåla skola 7-9,Kommunal,Heby,88091927,59,"100,0","76,3","91,5","210,0",.,.,.,.,.,2014
Hedemora,Vasaskolan 9,Kommunal,Hedemora,78633454,..,..,"88,3","91,7","218,8",..,..,..,..,..,2014
Hedemora,Olympica,Enskild,Olympica AB,87686617,..,..,"78,9",~100,"185,7",..,..,..,..,..,2014
Hedemora,Annaskolan,Enskild,Stiftelsen Annaskolan,95227669,..,..,..,..,..,..,..,.,.,.,2014
Helsingborg,Dalhemsskolan,Kommunal,Helsingborg,86764194,..,..,"71,4",~100,"223,7",..,..,.,.,..,2014
Helsingborg,Elinebergsskolan,Kommunal,Helsingborg,41811292,..,..,"82,4","92,0","218,2",..,..,.,..,..,2014
Helsingborg,Gantofta skola,Kommunal,Helsingborg,28424574,25,"100,0","68,0",~100,"213,3",.,.,.,.,.,2014
Helsingborg,Gläntanskolan,Kommunal,Helsingborg,67721487,..,..,..,~100,"193,0",..,..,.,.,..,2014
Helsingborg,Holstagårdsskolan,Kommunal,Helsingborg,28754789,35,"100,0","91,4",~100,"246,2",.,.,.,.,.,2014
Helsingborg,Högastensskolan,Kommunal,Helsingborg,13175575,50,"100,0","80,0","80,0","205,3",.,.,.,.,.,2014
Helsingborg,International school of Hbg/Gr,Kommunal,Helsingborg,47717980,..,..,"75,0",~100,"262,4",..,..,..,..,..,2014
Helsingborg,Laröds skola,Kommunal,Helsingborg,87251726,31,"100,0","96,8",~100,"261,5",.,.,.,.,.,2014
Helsingborg,Maria Parkskolan,Kommunal,Helsingborg,42164778,..,..,"83,1","86,2","224,0",..,..,..,..,..,2014
Helsingborg,Musikgrundskolan Synkopen,Kommunal,Helsingborg,55200547,17,"100,0","88,2",~100,"239,6",.,.,.,.,.,2014
Helsingborg,Påarps skola,Kommunal,Helsingborg,66351593,58,"100,0","65,5","77,6","198,1",.,.,.,.,.,2014
Helsingborg,Rydebäcks skola,Kommunal,Helsingborg,40385157,39,"100,0","84,6","100,0","237,6",.,.,.,.,.,2014
Helsingborg,Slottsvångsskolan,Kommunal,Helsingborg,63957271,..,..,"65,4","73,1","172,4",..,..,.,.,..,2014
Helsingborg,Svensgårdsskolan,Kommunal,Helsingborg,89693828,20,"100,0","75,0",~100,"228,4",.,.,.,.,.,2014
Helsingborg,Tågaborgsskolan,Kommunal,Helsingborg,87948789,..,..,"73,3","84,0","209,1",..,..,..,..,..,2014
Helsingborg,Västra Berga skola,Kommunal,Helsingborg,28060171,..,..,"62,5","79,2","195,7",..,..,..,..,..,2014
Helsingborg,Västra Ramlösa skola,Kommunal,Helsingborg,49010566,42,"100,0","88,1",~100,"232,3",.,.,.,.,.,2014
Helsingborg,Wieselgrensskolan,Kommunal,Helsingborg,51014228,..,..,"73,8","85,0","221,8",..,..,.,.,..,2014
Helsingborg,Ättekullaskolan,Kommunal,Helsingborg,64728140,30,"100,0","76,7","83,3","220,1",.,.,.,.,.,2014
Helsingborg,Corpore Byskola,Enskild,Impius Utvecklings AB,19676761,..,..,..,..,..,..,..,.,.,.,2014
Helsingborg,Kubikskolan,Enskild,Kubikskolan AB,82943624,..,..,"77,5","87,5","223,4",..,..,..,..,..,2014
Helsingborg,Kunskapsskolan Helsingborg,Enskild,Kunskapsskolan i Sverige AB,48798589,..,..,"90,7","93,0","237,1",..,..,.,..,..,2014
Helsingborg,"PeterSvenskolan, Helsingborg 1",Enskild,Pysslingen Förskolor och Skolor AB,16688128,92,"100,0","79,3","84,8","201,0",.,.,.,.,.,2014
Helsingborg,PeterSvenskolan Helsingborg 2,Enskild,Pysslingen Förskolor och Skolor AB,49050798,111,"100,0","95,5",~100,"233,9",.,.,.,.,.,2014
Helsingborg,Västra Alléskolan,Enskild,Pysslingen Förskolor och Skolor AB,57590681,..,..,..,..,..,..,..,.,.,.,2014
Helsingborg,Sally Bauerskolans Högstadium,Enskild,Sally Bauer Skolans Högstadium,53515359,42,"100,0","95,2","100,0","234,3",.,.,.,.,.,2014
Helsingborg,Pauliskolan,Enskild,Stiftelsen Pauliskolan,50194424,..,..,..,..,..,..,..,.,.,.,2014
Helsingborg,Vittra Adolfsberg,Enskild,Vittraskolorna AB,71069736,..,..,"82,4",~100,"217,1",..,..,..,..,..,2014
Helsingborg,Vittra Landborgen,Enskild,Vittraskolorna AB,90080902,56,"100,0","67,9","85,7","222,4",.,.,.,.,.,2014
Herrljunga,Altorpskolan,Kommunal,Herrljunga,24142437,90,"100,0","76,7","88,9","210,9",.,.,.,.,.,2014
Hjo,Guldkroksskolan 7-9,Kommunal,Hjo,81342093,..,..,"87,1","91,8","213,6",..,..,.,..,..,2014
Hofors,Petreskolan,Kommunal,Hofors,25716177,..,..,"69,5","76,8","196,9",..,..,..,..,..,2014
Huddinge,Annerstaskolan,Kommunal,Huddinge,79012683,..,..,"79,1","85,7","218,2",..,..,..,..,..,2014
Huddinge,Balingsnässkolan,Kommunal,Huddinge,13654969,..,..,"93,6","100,0","229,3",..,..,.,.,..,2014
Huddinge,Edboskolan,Kommunal,Huddinge,98477278,86,"100,0","93,0",~100,"233,9",.,.,.,.,.,2014
Huddinge,Kungsklippeskolan,Kommunal,Huddinge,89510449,43,"100,0","79,1","83,7","222,5",.,.,.,.,.,2014
Huddinge,Kvarnbergsskolan,Kommunal,Huddinge,54516737,..,..,"90,8","94,6","226,3",..,..,.,.,..,2014
Huddinge,Källbrinksskolan,Kommunal,Huddinge,41213404,121,"100,0","96,7",~100,"229,9",.,.,.,.,.,2014
Huddinge,Rosenhillskolan,Kommunal,Huddinge,16654786,..,..,.,.,..,..,..,.,.,.,2014
Huddinge,Segeltorpsskolan,Kommunal,Huddinge,15483394,..,..,"89,7",~100,"224,0",..,..,..,..,..,2014
Huddinge,Tomtbergaskolan,Kommunal,Huddinge,28313791,42,"100,0","66,7","81,0","207,0",.,.,.,.,.,2014
Huddinge,Trångsundsskolan,Kommunal,Huddinge,42601396,70,"100,0","80,0","91,4","212,6",.,.,.,.,.,2014
Huddinge,Vistaskolan,Kommunal,Huddinge,50783450,46,"100,0","93,5",~100,"238,9",.,.,.,.,.,2014
Huddinge,Vårbyskolan,Kommunal,Huddinge,64949601,..,..,..,"65,0","191,5",..,..,.,..,..,2014
