skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_elever_samtl_tcv110,skolverket_and_uppn_alla_amnen_samtl_tcv110,skolverket_and_behorig_yrkes_samtl_tcv110,skolverket_gmv_samtl_tcv110,skolverket_antal_elever_min4ar_tcv110,skolverket_andel_elever_min4ar_tcv110,skolverket_and_uppn_alla_amnen_min4ar_tcv110,skolverket_and_behorig_yrkes_min4ar_tcv110,skolverket_gmv_min4ar_tcv110,year
Hylte,Örnaskolan 2,Kommunal,Hylte,74001260,52,"65,4","78,8","204,8",..,..,"77,3","88,6","223,7",2015
Hylte,Örnaskolan 3,Kommunal,Hylte,80477825,46,"56,5","80,4","193,5",..,..,"71,4",~100,"215,1",2015
Hylte,Labora Grundskola,Enskild,Laboraskolan AB,48694604,..,..,..,..,..,..,..,..,..,2015
Håbo,Futurum,Kommunal,Håbo,64305292,94,"76,6","94,7","221,8",..,..,"76,3","94,6","221,2",2015
Håbo,Gransäterskolan,Kommunal,Håbo,90826660,49,"67,3","87,8","206,0",49,"100,0","67,3","87,8","206,0",2015
Håbo,Västerängsskolan,Kommunal,Håbo,29299366,54,"53,7","88,9","218,3",..,..,"58,0",~100,"223,3",2015
Håbo,Läraskolan,Enskild,Läraskolan i Bålsta AB,28306495,21,"85,7",~100,"221,3",21,"100,0","85,7",~100,"221,3",2015
Håbo,Potentia Education,Enskild,Potentia education AB,15081255,27,"100,0","100,0","260,4",27,"100,0","100,0","100,0","260,4",2015
Hällefors,Klockarhagsskolan,Kommunal,Hällefors,38657898,71,"66,2","74,6","196,3",64,"90,1","73,4","81,3","207,7",2015
Härjedalen,Funäsdalens skola,Kommunal,Härjedalen,72295998,23,"87,0",~100,"248,3",..,..,"90,9",~100,"253,0",2015
Härjedalen,Sonfjällsskolan,Kommunal,Härjedalen,85325551,25,"76,0",~100,"208,3",..,..,"79,2",~100,"210,1",2015
Härjedalen,Södra Skolan,Kommunal,Härjedalen,79022806,52,"69,2","73,1","197,1",..,..,"77,8","82,2","219,8",2015
Härjedalen,Ytterhogdals Centralskola,Kommunal,Härjedalen,92387607,..,..,..,..,..,..,..,..,..,2015
Härnösand,Gerestaskolan åk 4-9,Kommunal,Härnösand,71734314,34,"73,5","82,4","193,5",..,..,"89,3",~100,"216,8",2015
Härnösand,Kiörningskolan,Kommunal,Härnösand,13510547,63,"69,8","79,4","202,4",..,..,"81,5","90,7","222,1",2015
Härnösand,Landgrenskolan,Kommunal,Härnösand,19405413,86,"76,7","81,4","209,2",..,..,"82,3","87,3","219,4",2015
Härnösand,Murbergsskolan,Kommunal,Härnösand,93068004,69,"76,8","91,3","231,1",..,..,"85,2",~100,"234,8",2015
Härnösand,Kastellskolan,Enskild,Kastellskolan,69454219,..,..,..,..,..,..,..,..,..,2015
Härryda,Pixbo Montessoriskola,Enskild,Aktiebolaget Pixbo Montessoriskola,54688919,..,..,..,..,..,..,..,..,..,2015
Härryda,"Fridaskolan, Härryda",Enskild,Fridaskolorna AB,27274628,69,"94,2",~100,"267,6",69,"100,0","94,2",~100,"267,6",2015
Härryda,Båtsmansskolan,Kommunal,Härryda,37772170,59,"94,9",~100,"238,9",..,..,"94,8",~100,"239,4",2015
Härryda,Djupedalskolan,Kommunal,Härryda,91978548,41,"80,5","85,4","232,9",..,..,"82,5","87,5","238,0",2015
Härryda,Ekdalaskolan,Kommunal,Härryda,17730768,65,"90,8","92,3","242,9",..,..,"95,2",~100,"249,6",2015
Härryda,Landvetterskolan 1,Kommunal,Härryda,98934110,80,"82,5","92,5","232,6",80,"100,0","82,5","92,5","232,6",2015
Härryda,Rävlandaskolan,Kommunal,Härryda,34127854,38,"68,4","76,3","202,2",..,..,"74,3","82,9","213,6",2015
Härryda,Önnerödsskolan,Kommunal,Härryda,28698437,87,"93,1",~100,"244,2",..,..,"94,2",~100,"246,7",2015
Hässleholm,Bjärnums skola 7-9,Kommunal,Hässleholm,83878055,69,"78,3","79,7","202,9",..,..,"84,1","85,7","214,2",2015
Hässleholm,Furutorpskolan 7-9,Kommunal,Hässleholm,78602001,76,"60,5","72,4","196,6",76,"100,0","60,5","72,4","196,6",2015
Hässleholm,Hästveda skola 4-9,Kommunal,Hässleholm,50909158,40,"85,0","87,5","240,8",..,..,"87,2",~100,"244,0",2015
Hässleholm,Linné 7-9,Kommunal,Hässleholm,84432632,38,"71,1",~100,"223,1",38,"100,0","71,1",~100,"223,1",2015
Hässleholm,Läredaskolan 7-9,Kommunal,Hässleholm,29689372,82,"81,7","84,1","231,4",..,..,"89,3","90,7","244,1",2015
Hässleholm,Silviaskolan 1-9,Kommunal,Hässleholm,65408331,..,..,..,..,..,..,..,..,..,2015
Hässleholm,T4-skolan F-9,Kommunal,Hässleholm,76278008,45,"60,0","68,9","188,4",..,..,"75,0","80,6","209,1",2015
Hässleholm,T4-skolan Montessori 1-9,Kommunal,Hässleholm,28804882,24,"91,7",~100,"254,5",24,"100,0","91,7",~100,"254,5",2015
Hässleholm,Tyringe skola 7-9,Kommunal,Hässleholm,98064311,76,"71,1","78,9","201,2",..,..,"77,1","84,3","207,9",2015
Hässleholm,Vannarödsskolan 6-9,Kommunal,Hässleholm,93845278,64,"70,3","82,8","201,5",..,..,"73,8","86,9","207,3",2015
Hässleholm,Västerskolan 7-9,Kommunal,Hässleholm,91571086,77,"68,8","76,6","198,3",..,..,"70,4","78,9","201,6",2015
Höganäs,Brunnbyskolan,Enskild,Brunnby Skola M-I Handelsbolag,95113658,..,..,..,..,..,..,..,..,..,2015
Höganäs,Bruksskolan,Kommunal,Höganäs,95635160,48,"93,8",~100,"222,6",48,"100,0","93,8",~100,"222,6",2015
Höganäs,Jonstorpsskolan,Kommunal,Höganäs,27665244,45,"88,9",~100,"232,3",45,"100,0","88,9",~100,"232,3",2015
Höganäs,Lerbergsskolan,Kommunal,Höganäs,26702041,43,"95,3",~100,"259,2",43,"100,0","95,3",~100,"259,2",2015
Höganäs,Nyhamnsskolan,Kommunal,Höganäs,28226699,42,"83,3",~100,"243,5",42,"100,0","83,3",~100,"243,5",2015
Höganäs,Tornlyckeskolan,Kommunal,Höganäs,75919914,44,"61,4","75,0","211,5",..,..,"61,9","76,2","212,3",2015
Höganäs,Vikenskolan,Kommunal,Höganäs,99439224,72,"91,7","93,1","250,1",72,"100,0","91,7","93,1","250,1",2015
Högsby,Fröviskolan,Kommunal,Högsby,26879428,64,"65,6","75,0","199,9",..,..,"76,9","86,5","222,5",2015
Hörby,Frostaskolan 7-9,Kommunal,Hörby,38299211,69,"75,4","85,5","223,4",69,"100,0","75,4","85,5","223,4",2015
Hörby,Georgshillsskolan 6-9,Kommunal,Hörby,90834434,57,"68,4","84,2","205,8",..,..,"76,0",~100,"219,9",2015
Hörby,Ludvigsborgs friskola,Enskild,"Ludvigsborgs Fristående Skola, Ek. Förening",52665905,16,"68,8",~100,"223,1",16,"100,0","68,8",~100,"223,1",2015
Hörby,Pilevallens skola,Enskild,Pilevallens Vård och Behandling AB,93569920,..,.,.,..,..,..,.,.,..,2015
Höör,Emiliaskolan Höörs waldorfsk.,Enskild,Föreningen Emiliaskolan,63846783,20,"85,0",~100,"240,1",20,"100,0","85,0",~100,"240,1",2015
Höör,Ringsjöskolan,Kommunal,Höör,82942801,99,"74,7","81,8","222,5",..,..,"85,1","93,1","232,6",2015
Höör,Sätoftaskolan,Kommunal,Höör,35670754,66,"86,4",~100,"225,8",66,"100,0","86,4",~100,"225,8",2015
Höör,Segrande Liv Grundskola,Enskild,Segrande Liv  Grundskola,95024923,..,..,..,..,..,..,..,..,..,2015
Jokkmokk,Östra skolan,Kommunal,Jokkmokk,86851817,37,"81,1","86,5","233,7",..,..,"87,9",~100,"238,8",2015
Jokkmokk,Vuollerims Friskola,Enskild,Vuollerims Friskola AB,33468088,11,..,..,"212,7",10,"90,9",..,..,"231,8",2015
Järfälla,Engelska Skolan i Järfälla,Enskild,Internationella Engelska Skolan i Sverige AB,79093755,120,"93,3",~100,"262,8",120,"100,0","93,3",~100,"262,8",2015
Järfälla,Björkebyskolan,Kommunal,Järfälla,40847752,114,"82,5","88,6","232,1",..,..,"82,3","88,5","232,3",2015
Järfälla,Fjällenskolan,Kommunal,Järfälla,15080815,107,"65,4","87,9","223,4",107,"100,0","65,4","87,9","223,4",2015
Järfälla,Källtorpskolan,Kommunal,Järfälla,17287315,107,"64,5","81,3","209,5",94,"87,9","70,2","87,2","217,2",2015
Järfälla,Tallbohovskolan,Kommunal,Järfälla,97777849,48,"33,3","45,8","157,5",..,..,"36,1","52,8","167,7",2015
Järfälla,Viksjöskolan,Kommunal,Järfälla,98925408,179,"79,3","93,3","238,0",176,"98,3","80,7","94,9","240,5",2015
Järfälla,Vittra Jakobsberg,Enskild,Vittraskolorna AB,66634449,51,"78,4",~100,"238,2",..,..,"80,0",~100,"238,7",2015
Jönköping,Grennaskolan GR,Enskild,Grennaskolan Riksinternat AB,66533280,24,"91,7",~100,"256,9",..,..,"95,7",~100,"258,6",2015
Jönköping,Engelska Skolan i Jönköping,Enskild,Internationella Engelska Skolan i Sverige AB,86499334,131,"92,4",~100,"272,6",..,..,"93,1",~100,"273,0",2015
Jönköping,Magnus Ladulås skola grund,Enskild,J-Son Pedagogikcentrum AB,17890412,13,.,..,"96,8",13,"100,0",.,..,"96,8",2015
Jönköping,Alfred Dalinskolan,Kommunal,Jönköping,85416841,138,"55,8","74,6","190,9",..,..,"59,7","79,8","200,1",2015
Jönköping,Attarpsskolan 6-9,Kommunal,Jönköping,40546319,92,"93,5",~100,"237,4",..,..,"94,5",~100,"239,3",2015
Jönköping,Flahultsskolan,Kommunal,Jönköping,28849109,137,"78,8","90,5","227,4",137,"100,0","78,8","90,5","227,4",2015
Jönköping,Junedalsskolan,Kommunal,Jönköping,20696736,238,"90,8","95,8","245,5",238,"100,0","90,8","95,8","245,5",2015
Jönköping,Ljungarumsskolan 7-9,Kommunal,Jönköping,84917564,114,"67,5","79,8","218,2",..,..,"69,1","81,8","217,7",2015
Jönköping,Ribbaskolan,Kommunal,Jönköping,83919671,72,"83,3","90,3","229,5",..,..,"83,1","90,1","229,7",2015
Jönköping,Rosenlundsskolan 7-9,Kommunal,Jönköping,96558008,111,"67,6","73,0","190,9",85,"76,6","83,5","90,6","214,9",2015
Jönköping,Sanda idrottshögstadium,Kommunal,Jönköping,98088982,72,"93,1",~100,"246,2",72,"100,0","93,1",~100,"246,2",2015
Jönköping,Stadsgårdsskolan,Kommunal,Jönköping,12759583,84,"58,3","82,1","204,9",..,..,"59,0","81,9","206,2",2015
Jönköping,Strandskolan,Enskild,Jönköpings Kristna Skolförening,23250615,19,"73,7",~100,"209,2",19,"100,0","73,7",~100,"209,2",2015
Jönköping,Kunskapsskolan Jönköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,86562542,37,"73,0","86,5","209,4",37,"100,0","73,0","86,5","209,4",2015
Jönköping,Magelungens grundskola Jönköping,Enskild,Magelungen Utveckling AB,79427132,..,.,.,..,..,..,.,.,..,2015
Jönköping,"Prolympia, Jönköping",Enskild,Prolympia AB,95673344,67,"92,5",~100,"232,9",67,"100,0","92,5",~100,"232,9",2015
Kalix,Manhemsskolan,Kommunal,Kalix,10617819,167,"79,6","88,0","214,9",..,..,"82,6","90,7","219,4",2015
Kalix,Norrskenets Friskola i Kalix,Enskild,Pysslingen Förskolor och Skolor AB,20525218,..,..,..,..,..,..,..,..,..,2015
Kalmar,Barkestorpsskolan,Kommunal,Kalmar,58215076,68,"72,1","77,9","214,4",56,"82,4","87,5",~100,"234,5",2015
Kalmar,Esplanadskolan,Kommunal,Kalmar,47360905,..,.,..,..,..,..,.,..,..,2015
Kalmar,Falkenbergsskolan,Kommunal,Kalmar,99856371,74,"89,2",~100,"235,7",74,"100,0","89,2",~100,"235,7",2015
Kalmar,Funkaboskolan,Kommunal,Kalmar,21736926,81,"85,2","91,4","236,6",79,"97,5","87,3","93,7","236,6",2015
Kalmar,Kalmarsundsskolan,Kommunal,Kalmar,24092221,74,"52,7","66,2","177,2",54,"73,0","70,4","83,3","206,8",2015
Kalmar,Lindsdalsskolorna,Kommunal,Kalmar,51848797,88,"88,6",~100,"217,2",..,..,"89,7","100,0","219,2",2015
Kalmar,Södermöreskolan,Kommunal,Kalmar,79012102,96,"88,5","90,6","214,5",..,..,"89,5","91,6","215,4",2015
Kalmar,Vasa skolområde,Kommunal,Kalmar,51627420,52,"82,7",~100,"242,5",52,"100,0","82,7",~100,"242,5",2015
Kalmar,"Karl-Oskarskolan, Kalmar",Enskild,Karl-Oskar Utbildning AB,30881651,..,..,..,..,..,..,..,..,..,2015
Kalmar,Solhagaskolan,Enskild,Solängsskolan i Hammenhög AB,87544967,..,..,..,..,..,..,..,..,..,2015
Kalmar,Kalmar waldorfskola,Enskild,Stiftelsen Kalmar Waldorfskola,16517618,14,..,~100,"209,3",..,..,..,~100,"206,3",2015
Kalmar,Södra skolan,Enskild,Södra skolan i Kalmar AB,13936858,91,"97,8",~100,"246,8",..,..,"97,8",~100,"247,4",2015
Karlsborg,Carl Johanskolan,Kommunal,Karlsborg,34231336,57,"94,7",~100,"223,0",57,"100,0","94,7",~100,"223,0",2015
Karlshamn,Waldorfskolan i Karlshamn,Enskild,Daggkåpan Ekonomisk Förening,22909101,..,..,..,..,..,..,..,..,..,2015
Karlshamn,Karl-Oskarskolan i Karlshamn,Enskild,Karl-Oskar Utbildning AB,16249641,21,"71,4",~100,"215,2",20,"95,2","75,0",~100,"216,0",2015
Karlshamn,Norrevångskolan,Kommunal,Karlshamn,89878714,66,"72,7","83,3","219,7",66,"100,0","72,7","83,3","219,7",2015
Karlshamn,Stenbackaskolan,Kommunal,Karlshamn,16767324,94,"67,0","90,4","215,5",..,..,"67,7","91,4","217,3",2015
Karlshamn,Österslättsskolan A,Kommunal,Karlshamn,72744832,42,"66,7","83,3","211,0",..,..,"68,4","86,8","218,0",2015
Karlshamn,Österslättsskolan B,Kommunal,Karlshamn,56399024,72,"72,2","75,0","212,5",..,..,"81,3","84,4","225,7",2015
Karlskoga,Bregårdsskolan åk 7-9,Kommunal,Karlskoga,71762216,111,"77,5","82,0","222,5",..,..,"81,9","86,7","233,1",2015
Karlskoga,Skranta skola,Kommunal,Karlskoga,65654358,114,"68,4","74,6","196,9",100,"87,7","77,0","83,0","211,7",2015
Karlskoga,Österledskolan,Kommunal,Karlskoga,34767418,90,"66,7","76,7","207,9",..,..,"68,2","78,4","207,9",2015
Karlskrona,Galären Dator o Teknik,Enskild,AcadeMedia fria grundskolor AB,64959079,24,"79,2",~100,"236,0",24,"100,0","79,2",~100,"236,0",2015
Karlskrona,"Galären, grundskola",Enskild,AcadeMedia fria grundskolor AB,10662754,24,"91,7",~100,"249,4",24,"100,0","91,7",~100,"249,4",2015
Karlskrona,Galären Hälsa och Idrott,Enskild,AcadeMedia fria grundskolor AB,66984600,42,"83,3",~100,"221,8",41,"97,6","82,9",~100,"221,8",2015
Karlskrona,Piggelinen,Enskild,Friskolan PANEA AB,99469094,28,"89,3",~100,"240,4",28,"100,0","89,3",~100,"240,4",2015
Karlskrona,Friskolan Svettpärlan,Enskild,Friskolan Svettpärlan AB,93964634,26,"100,0","100,0","246,8",26,"100,0","100,0","100,0","246,8",2015
Karlskrona,Jändelskolan 7-9,Kommunal,Karlskrona,20104552,65,"78,5","83,1","213,9",..,..,"81,0","85,7","217,7",2015
Karlskrona,LKC 7-9,Kommunal,Karlskrona,55709634,84,"78,6","84,5","204,6",83,"98,8","79,5","85,5","204,6",2015
Karlskrona,Nättrabyskolan 7-9,Kommunal,Karlskrona,26209081,67,"94,0",~100,"241,2",67,"100,0","94,0",~100,"241,2",2015
Karlskrona,Rosenholmskolan Sport College 7-9,Kommunal,Karlskrona,89523926,54,"100,0","100,0","235,9",54,"100,0","100,0","100,0","235,9",2015
Karlskrona,Rödebyskolan 7-9,Kommunal,Karlskrona,32421136,85,"72,9","81,2","199,6",85,"100,0","72,9","81,2","199,6",2015
Karlskrona,Sunnadalskolan 7-9,Kommunal,Karlskrona,68263602,41,"39,0","48,8","164,4",26,"63,4","53,8","69,2","194,6",2015
Karlskrona,Wämöskolan 7-9,Kommunal,Karlskrona,63323984,95,"64,2","75,8","195,3",..,..,"69,4","81,2","205,0",2015
Karlskrona,Karlskrona Montessorifriskola,Enskild,Karlskrona Montessorifriskola AB,67509465,22,"95,5","100,0","244,1",22,"100,0","95,5","100,0","244,1",2015
Karlskrona,Skolveckohemmet Riggen,Enskild,Skolveckohemmet Riggen AB,70122435,..,.,..,..,..,..,.,..,..,2015
Karlskrona,Musikugglan,Enskild,Tant Grön AB,93919365,27,"100,0","100,0","266,4",27,"100,0","100,0","100,0","266,4",2015
Karlstad,Engelska Skolan i Karlstad,Enskild,Internationella Engelska Skolan i Sverige AB,93730568,122,"94,3",~100,"259,5",..,..,"94,2",~100,"259,5",2015
Karlstad,Frödingskolan 7-9,Kommunal,Karlstad,29058107,52,"46,2","51,9","183,7",..,..,"52,2","58,7","200,2",2015
Karlstad,Hultsbergsskolan 6-9,Kommunal,Karlstad,99406709,53,"84,9",~100,"216,9",53,"100,0","84,9",~100,"216,9",2015
Karlstad,Ilandaskolan,Kommunal,Karlstad,27418903,124,"92,7",~100,"232,3",124,"100,0","92,7",~100,"232,3",2015
Karlstad,Mariebergsskolan,Kommunal,Karlstad,81424988,87,"82,8","92,0","222,2",..,..,"82,6","91,9","222,1",2015
Karlstad,Norrstrandsskolan Terra Ignis,Kommunal,Karlstad,83999935,74,"83,8","93,2","223,4",74,"100,0","83,8","93,2","223,4",2015
Karlstad,Norrstrandsskolan Ventus Aqua,Kommunal,Karlstad,57635312,95,"86,3",~100,"234,1",95,"100,0","86,3",~100,"234,1",2015
Karlstad,Nyeds skola 7-9,Kommunal,Karlstad,15196482,23,"78,3",~100,"207,2",..,..,"81,0",~100,"215,6",2015
Karlstad,Rudsskolan 7-9,Kommunal,Karlstad,23345056,120,"88,3","91,7","219,8",..,..,"92,1","95,6","227,0",2015
Karlstad,Vålbergsskolan 4-9,Kommunal,Karlstad,80659104,39,"74,4","87,2","204,4",..,..,"76,3",~100,"209,5",2015
Karlstad,Thoren Framtid Karlstad,Enskild,Thorengruppen AB,85092070,..,..,..,..,..,..,..,..,..,2015
Katrineholm,Floda friskola,Enskild,Flodabygdens Friskoleförening,42354333,30,"83,3",~100,"210,0",30,"100,0","83,3",~100,"210,0",2015
Katrineholm,Nyhemsskolan 7-9,Kommunal,Katrineholm,19216121,58,"58,6","63,8","209,5",..,..,"65,4","71,2","209,5",2015
Katrineholm,Södra skolan,Kommunal,Katrineholm,43723580,100,"65,0","79,0","200,7",..,..,"67,4","82,1","200,9",2015
Katrineholm,Tallåsskolan,Kommunal,Katrineholm,14164796,148,"64,9","78,4","204,5",130,"87,8","70,8","83,8","209,3",2015
Katrineholm,Kunskapsskolan Katrineholm,Enskild,Kunskapsskolan i Sverige Aktiebolag,16603772,58,"91,4",~100,"234,6",58,"100,0","91,4",~100,"234,6",2015
Katrineholm,Erlaskolan i Katrineholm,Enskild,Lärande i Sverige AB,79048710,20,"55,0",~100,"186,4",20,"100,0","55,0",~100,"186,4",2015
Kil,Sannerudsskolan 7-9,Kommunal,Kil,17665080,126,"66,7","84,1","207,8",..,..,"71,3","88,7","214,2",2015
Kinda,Värgårdsskolan,Kommunal,Kinda,75296593,75,"76,0","86,7","210,0",..,..,"82,6","92,8","214,9",2015
Kiruna,Abisko skolan,Kommunal,Kiruna,76026322,..,..,..,..,..,..,..,..,..,2015
Kiruna,Högalidskolan 7-9,Kommunal,Kiruna,80693905,88,"76,1","84,1","216,2",..,..,"75,9","83,9","215,2",2015
Kiruna,Karesuando skola,Kommunal,Kiruna,79467784,18,"94,4",~100,"232,5",17,"94,4","100,0","100,0","241,2",2015
Kiruna,Triangelskolan,Kommunal,Kiruna,14938538,26,"88,5",~100,"247,7",26,"100,0","88,5",~100,"247,7",2015
Kiruna,Vittangi skola,Kommunal,Kiruna,76314428,11,..,..,"199,8",11,"100,0",..,..,"199,8",2015
Kiruna,Friluftsskolan Vargen,Enskild,Vargen i Kiruna AB,73281949,22,"100,0","100,0","275,1",22,"100,0","100,0","100,0","275,1",2015
Klippan,Ljungbyhedsskolan,Kommunal,Klippan,75091646,54,"70,4","79,6","197,3",..,..,"71,7","81,1","200,2",2015
Klippan,Snyggatorpsskolan 2,Kommunal,Klippan,71644999,102,"68,6","80,4","197,4",..,..,"69,0","81,0","199,1",2015
Klippan,"PeterSvenskolan, Klippan",Enskild,Pysslingen Förskolor och Skolor AB,39391255,20,"90,0",~100,"252,2",20,"100,0","90,0",~100,"252,2",2015
Knivsta,Alsike skola,Kommunal,Knivsta,49742321,41,"90,2",~100,"231,4",41,"100,0","90,2",~100,"231,4",2015
Knivsta,Thunmanskolan,Kommunal,Knivsta,92364234,104,"84,6","92,3","235,8",..,..,"85,3","93,1","236,2",2015
Knivsta,Margarethaskolan,Enskild,Knivsta Friskola Ekonomisk Förening,51867275,16,"75,0",~100,"214,5",16,"100,0","75,0",~100,"214,5",2015
Kramfors,Gudmundråskolan,Kommunal,Kramfors,11159060,91,"65,9","75,8","200,3",..,..,"79,5","87,7","216,4",2015
Kramfors,Högakustenskolan,Kommunal,Kramfors,75515918,53,"83,0","86,8","233,6",50,"94,3","88,0",~100,"246,8",2015
Kramfors,Ytterlännässkolan,Kommunal,Kramfors,30403490,58,"79,3","84,5","213,4",..,..,"81,5","85,2","219,4",2015
Kristianstad,Antonskolan Blekedamm,Enskild,Anton Utbildning AB,14555807,17,"94,1",~100,"247,1",17,"100,0","94,1",~100,"247,1",2015
Kristianstad,Antonskolan Österäng,Enskild,Antonskolan Österäng AB,57538739,19,"57,9",~100,"211,7",19,"100,0","57,9",~100,"211,7",2015
Kristianstad,Axonaskolan i Tollarp,Enskild,Axona Dendron AB,81452013,22,"86,4","100,0","240,3",22,"100,0","86,4","100,0","240,3",2015
Kristianstad,Degebergaskolan,Kommunal,Kristianstad,54930405,40,"77,5","85,0","208,0",40,"100,0","77,5","85,0","208,0",2015
Kristianstad,Fjälkinge skola MH,Kommunal,Kristianstad,13867770,41,"70,7","87,8","216,9",41,"100,0","70,7","87,8","216,9",2015
Kristianstad,Fröknegårdskolan H1,Kommunal,Kristianstad,80871896,65,"66,2","73,8","205,7",..,..,"75,5","84,9","225,9",2015
Kristianstad,Fröknegårdskolan H2,Kommunal,Kristianstad,97438636,48,"52,1","72,9","192,7",..,..,"56,8","77,3","200,3",2015
Kristianstad,Norretullskolan,Kommunal,Kristianstad,59782586,66,"59,1","60,6","185,7",52,"78,8","75,0","76,9","219,2",2015
Kristianstad,Nosabyskolan,Kommunal,Kristianstad,69725960,104,"76,0","85,6","230,1",..,..,"77,5","87,3","233,6",2015
Kristianstad,Rönnowskolan H,Kommunal,Kristianstad,13756290,56,"94,6",~100,"253,7",56,"100,0","94,6",~100,"253,7",2015
Kristianstad,Slättängsskolan H,Kommunal,Kristianstad,63356940,74,"48,6","63,5","173,4",62,"83,8","58,1","74,2","191,9",2015
Kristianstad,Spängerskolan,Kommunal,Kristianstad,64694970,21,"85,7",~100,"239,2",21,"100,0","85,7",~100,"239,2",2015
Kristianstad,Sånnaskolan H,Kommunal,Kristianstad,85853304,49,"85,7",~100,"223,6",49,"100,0","85,7",~100,"223,6",2015
Kristianstad,Tollarps skola MH,Kommunal,Kristianstad,45430802,40,"47,5","67,5","169,3",..,..,"48,6","70,3","174,7",2015
Kristianstad,Väskolan MH,Kommunal,Kristianstad,75922665,44,"86,4",~100,"238,8",44,"100,0","86,4",~100,"238,8",2015
Kristianstad,Öllsjöskolan MH,Kommunal,Kristianstad,46211392,48,"79,2","83,3","219,7",48,"100,0","79,2","83,3","219,7",2015
Kristianstad,Önnestads skola MH,Kommunal,Kristianstad,18636287,55,"81,8","87,3","234,9",55,"100,0","81,8","87,3","234,9",2015
Kristianstad,Lejonskolan,Enskild,Lejonskolan AB,26843745,17,..,"64,7","155,0",17,"100,0",..,"64,7","155,0",2015
Kristianstad,Kristianstads Montessoriskola,Enskild,Pysslingen Förskolor och Skolor AB,72491525,32,"87,5",~100,"239,9",32,"100,0","87,5",~100,"239,9",2015
Kristinehamn,Djurgårdsskolan 7-9,Kommunal,Kristinehamn,41433169,84,"73,8","82,1","211,2",..,..,"79,5","87,2","217,3",2015
Kristinehamn,Stenstalidskolan 7-9,Kommunal,Kristinehamn,14885908,68,"60,3","66,2","197,2",..,..,"65,1","71,4","206,8",2015
Kristinehamn,Södermalmsskolan 7-9,Kommunal,Kristinehamn,16272625,88,"76,1","84,1","222,0",..,..,"81,5","87,7","229,9",2015
Krokom,Cederbergskolan,Kommunal,Krokom,64778601,18,..,"66,7","169,1",..,..,..,~100,"187,3",2015
Krokom,Nyhedens skola,Kommunal,Krokom,40025257,76,"82,9","82,9","224,0",..,..,"90,0","90,0","234,0",2015
Krokom,Ås skola 4-9,Kommunal,Krokom,54952732,36,"97,2",~100,"244,4",36,"100,0","97,2",~100,"244,4",2015
Krokom,Änge skola,Kommunal,Krokom,25036714,35,"74,3","85,7","197,7",..,..,"80,6",~100,"209,8",2015
Kumla,Kumlaby skola 6-9,Kommunal,Kumla,75692870,84,"67,9","81,0","205,5",..,..,"74,0","87,0","211,9",2015
Kumla,Skogstorpsskolan 6-9,Kommunal,Kumla,44243725,104,"83,7","87,5","217,0",..,..,"87,9","91,9","223,2",2015
Kumla,Vialundskolan,Kommunal,Kumla,99992013,61,"57,4","73,8","214,4",..,..,"57,6","72,9","213,5",2015
Kungsbacka,Kullaviks Montessoriskola,Enskild,Kullaviks Montesoriskola Ekonomisk Förening,10902849,25,"100,0","100,0","272,8",25,"100,0","100,0","100,0","272,8",2015
Kungsbacka,Frillesåsskolan 4-9,Kommunal,Kungsbacka,10927868,43,"81,4",~100,"240,3",41,"95,3","85,4",~100,"249,1",2015
Kungsbacka,Fullriggaren Malevik 4-9,Kommunal,Kungsbacka,33170625,45,"100,0","100,0","269,7",45,"100,0","100,0","100,0","269,7",2015
Kungsbacka,Hedeskolan 4-9,Kommunal,Kungsbacka,11231816,42,"90,5",~100,"246,1",42,"100,0","90,5",~100,"246,1",2015
Kungsbacka,Hålabäcksskolan 6-9,Kommunal,Kungsbacka,99688470,62,"80,6","80,6","216,2",..,..,"92,5",~100,"231,0",2015
Kungsbacka,Kapareskolan A-D,Kommunal,Kungsbacka,28803215,65,"78,5","87,7","218,5",..,..,"79,4","88,9","219,4",2015
Kungsbacka,Kapareskolan E-H,Kommunal,Kungsbacka,84111198,74,"94,6",~100,"241,5",74,"100,0","94,6",~100,"241,5",2015
Kungsbacka,Kullaviksskolan 7-9,Kommunal,Kungsbacka,75835202,59,"89,8",~100,"265,2",..,..,"91,4",~100,"266,3",2015
Kungsbacka,Kullenskolan,Kommunal,Kungsbacka,77574230,..,.,..,..,..,..,.,..,..,2015
Kungsbacka,Smedingeskolan B,Kommunal,Kungsbacka,29293076,89,"78,7","87,6","229,3",..,..,"80,0","88,2","231,5",2015
Kungsbacka,Särö skola 4-9,Kommunal,Kungsbacka,72090315,45,"97,8","100,0","264,8",45,"100,0","97,8","100,0","264,8",2015
Kungsbacka,Toråsskolan 4-9,Kommunal,Kungsbacka,14101582,49,"91,8",~100,"244,3",49,"100,0","91,8",~100,"244,3",2015
Kungsbacka,Varlaskolan norra,Kommunal,Kungsbacka,37101902,98,"82,7","90,8","222,9",..,..,"84,9","92,5","226,8",2015
Kungsbacka,Varlaskolan södra,Kommunal,Kungsbacka,70143574,70,"87,1",~100,"237,5",70,"100,0","87,1",~100,"237,5",2015
