skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_foraldr_utb_tcv95,skolverket_and_utl_bakgr_tcv95,skolverket_andel_pojkar_tcv95,skolverket_ver_and_uppn_malen_tcv95,skolverket_ber_and_uppn_malen_tcv95,skolverket_sal_and_uppn_malen_tcv95,skolverket_ver_meritvarde_tcv95,skolverket_ber_meritvarde_tcv95,skolverket_sal_meritvarde_tcv95,year
Göteborg,Lövgärdesskolan 4-9,Kommunal,Göteborg,31928894,"1,83",19,44,34,47,-13,157,172,-15,2013
Göteborg,Montessoriskolan Casa,Enskild,,76938537,"2,74",0,52,100,97,3,264,249,15,2013
Göteborg,Montessoriskolan Centrum,Enskild,,73995321,"2,3",0,37,81,83,-2,220,225,-4,2013
Göteborg,Montessoriskolan Skäret,Enskild,,25894254,"2,8",0,52,100,99,1,236,253,-17,2013
Göteborg,Nordhemsskolan,Kommunal,Göteborg,19560147,"2,56",3,51,80,88,-8,216,235,-18,2013
Göteborg,Nordlyckeskolan,Kommunal,Göteborg,93002896,"2,54",0,56,88,90,-2,231,235,-4,2013
Göteborg,Nya Lundenskolan,Kommunal,Göteborg,77193656,"2,3",3,41,73,80,-7,217,220,-3,2013
Göteborg,Nya Påvelundsskolan 1,Kommunal,Göteborg,33511119,"2,57",0,46,96,92,4,239,240,-2,2013
Göteborg,Nya Påvelundsskolan 2,Kommunal,Göteborg,43441529,"2,66",1,57,88,93,-5,237,241,-4,2013
Göteborg,Nygårdsskolan 4-9,Kommunal,Göteborg,65651613,"2,59",0,59,96,92,4,243,237,6,2013
Göteborg,Nytorpsskolan 4-9,Kommunal,Göteborg,16396010,"1,56",14,42,41,42,-1,168,159,8,2013
Göteborg,Park-Kålltorpsskolan 7-9,Kommunal,Göteborg,89792955,"2,59",1,51,88,91,-3,238,238,0,2013
Göteborg,Rambergsskolan,Kommunal,Göteborg,42348410,"1,95",14,44,67,56,11,196,185,11,2013
Göteborg,Rudolf Steinerskolan Göteborg,Enskild,,42817980,"2,7",0,35,78,96,-18,257,251,6,2013
Göteborg,Römosseskolan,Enskild,,72408586,"2,08",4,44,74,71,3,246,204,42,2013
Göteborg,Sandeklevsskolan 7-9,Kommunal,Göteborg,91683255,"1,86",16,49,32,51,-19,168,175,-7,2013
Göteborg,Sannaskolan,Kommunal,Göteborg,71588377,"2,31",6,54,56,76,-20,178,214,-37,2013
Göteborg,Sjumilaskolan F-9,Kommunal,Göteborg,25261308,"1,6",21,46,21,37,-16,160,155,5,2013
Göteborg,Skälltorpssk. Sv. Balettskolan,Kommunal,Göteborg,24937512,"2,5",0,24,67,90,-23,220,241,-21,2013
Göteborg,Skälltorpsskolan,Kommunal,Göteborg,21231498,"2,11",1,49,74,75,-1,212,208,4,2013
Göteborg,Styrsöskolan,Kommunal,Göteborg,81179515,"2,38",0,42,84,85,-1,229,228,0,2013
Göteborg,The English School Gothenburg,Enskild,,66890810,"2,57",0,37,90,92,-2,247,242,5,2013
Göteborg,Toleredsskolan,Kommunal,Göteborg,98511483,"2,15",6,53,58,71,-13,184,204,-20,2013
Göteborg,Torpaskolan 7-9,Kommunal,Göteborg,50118397,"2,35",0,45,80,84,-4,224,225,-1,2013
Göteborg,Torslandaskolan 6-9,Kommunal,Göteborg,54282652,"2,32",0,55,77,83,-6,217,221,-4,2013
Göteborg,Trulsegårdsskolan,Kommunal,Göteborg,84103533,"2,31",2,54,76,81,-5,199,219,-19,2013
Göteborg,Tynneredsskolan,Kommunal,Göteborg,12026626,"2,1",11,60,55,64,-9,199,193,6,2013
Göteborg,Utmarksskolan,Kommunal,Göteborg,39000072,"1,78",17,50,46,47,-1,182,169,13,2013
Göteborg,Vasaskolan,Enskild,,56168083,"2,67",0,53,88,95,-7,236,244,-8,2013
Göteborg,Victoriaskolan,Enskild,,80678068,"2,14",0,52,76,77,-1,218,210,8,2013
Göteborg,Vittra Kronhusparken,Enskild,,67543412,"2,22",0,50,67,80,-13,208,216,-7,2013
Göteborg,Vättleskolan 4-9,Kommunal,Göteborg,27760036,"1,88",12,58,35,56,-21,173,179,-6,2013
Göteborg,Waldorfskolan Grenkvist,Enskild,,36158006,"1,8",0,47,40,66,-26,123,189,-67,2013
Göteborg,Önneredsskolan 2,Kommunal,Göteborg,26855170,"2,11",0,52,70,76,-6,218,208,11,2013
Götene,Fornängsskolan,Kommunal,Götene,34900938,"2,07",3,58,80,71,9,202,200,2,2013
Götene,Västerbyskolan,Kommunal,Götene,78301783,"2,1",0,51,77,76,1,216,207,9,2013
Habo,Hagabodaskolan 6-9,Kommunal,Habo,38553494,"2,14",2,58,82,75,7,207,206,1,2013
Hagfors,Kyrkhedens skola 4-9,Kommunal,Hagfors,64460662,"2,1",6,56,61,70,-9,183,200,-17,2013
Hagfors,Älvstrandens Bildn.Centrum 7-9,Kommunal,Hagfors,18315553,"2,14",3,51,84,74,10,213,207,5,2013
Hallsberg,Folkasboskolan,Kommunal,Hallsberg,99707554,"2,07",0,60,67,74,-7,212,203,9,2013
Hallsberg,Transtenskolan,Kommunal,Hallsberg,63503591,"2,09",7,51,62,68,-6,190,199,-9,2013
Hallstahammar,Lindboskolan,Kommunal,Hallstahammar,88403889,"2,08",12,48,70,63,7,210,195,16,2013
Hallstahammar,Tunboskolan,Kommunal,Hallstahammar,32758035,"2,1",0,45,84,76,8,204,209,-5,2013
Halmstad,Brunnsåkersskolan 1,Kommunal,Halmstad,71629462,"2,39",1,47,76,85,-9,211,227,-16,2013
Halmstad,Eketånga Montessoriskola,Enskild,,28459364,"2,46",0,52,96,88,8,233,231,2,2013
Halmstad,Furulundsskolan 1,Kommunal,Halmstad,84189577,"2,14",0,50,71,77,-6,202,210,-8,2013
Halmstad,Fyllingeskolan 1,Kommunal,Halmstad,65388353,"2,11",3,54,100,73,27,226,204,21,2013
Halmstad,Getingeskolan 1,Kommunal,Halmstad,99829869,"2,34",0,45,91,84,7,227,225,2,2013
Halmstad,Gullbrandstorpsskolan 1,Kommunal,Halmstad,74772092,"2,35",0,60,100,84,16,228,221,6,2013
Halmstad,Hallägraskolan 1,Kommunal,Halmstad,18751410,"2,34",0,40,85,84,1,222,226,-5,2013
Halmstad,Hallägraskolan 2,Kommunal,Halmstad,67995611,"2,49",0,50,96,89,7,233,233,0,2013
Halmstad,Stenstorpsskolan,Kommunal,Halmstad,52347444,"2,4",0,48,84,86,-2,234,228,6,2013
Halmstad,Trönningeskolan 1,Kommunal,Halmstad,86573921,"2,21",2,59,87,78,9,220,211,9,2013
Halmstad,Vallåsskolan 1,Kommunal,Halmstad,19274764,"2,04",0,56,81,74,7,204,202,2,2013
Halmstad,Vittra Halmstad,Enskild,,61582926,"2,25",0,59,68,80,-12,185,215,-30,2013
Halmstad,Wallbergsskolan,Enskild,,42422737,"2,54",0,43,96,91,5,227,239,-12,2013
Halmstad,Östergårdsskolan 1,Kommunal,Halmstad,74243509,"2,1",3,43,68,73,-5,202,207,-6,2013
Halmstad,Östergårdsskolan 2,Kommunal,Halmstad,24668709,"2,06",0,58,89,74,15,209,203,7,2013
Halmstad,Östergårdsskolan 3,Kommunal,Halmstad,63902508,"2,11",0,32,95,77,18,240,214,26,2013
Halmstad,Österledskolan 1,Kommunal,Halmstad,92337813,"2,09",0,57,75,75,0,198,205,-7,2013
Hammarö,Hammarlundens skola 7-9,Kommunal,Hammarö,95243847,"2,56",0,52,97,91,6,237,237,0,2013
Hammarö,Mörmoskolan 7-9,Kommunal,Hammarö,47480841,"2,22",0,42,82,80,2,211,218,-7,2013
Haninge,Brandbergsskolan,Kommunal,Haninge,73184968,"2,02",18,45,62,55,7,204,185,19,2013
Haninge,Dalarö skola,Kommunal,Haninge,74610376,"2,32",0,46,89,83,6,219,223,-4,2013
Haninge,Haga Lyckebyskolan,Kommunal,Haninge,81680693,"2,13",0,52,95,77,18,218,209,8,2013
Haninge,Ribbyskolan,Kommunal,Haninge,59497255,"2,07",8,56,68,66,2,206,196,10,2013
Haninge,Rudanskolan,Enskild,,17957898,"2,04",0,54,76,74,2,215,203,12,2013
Haninge,Söderbymalmsskolan,Kommunal,Haninge,10035236,"1,92",3,59,66,67,-1,200,191,9,2013
Haninge,Tungelsta skola,Kommunal,Haninge,38975788,"2,07",0,49,79,75,4,201,206,-5,2013
Haninge,Vendelsömalmsskolan,Kommunal,Haninge,72266104,"2,04",4,65,62,69,-7,179,196,-16,2013
Haparanda,Gränsskolan,Kommunal,Haparanda,29991096,"2,06",7,50,71,67,4,200,198,2,2013
Haparanda,Marielundsskolan,Kommunal,Haparanda,13768276,"2,15",6,67,78,71,7,213,200,12,2013
Heby,Heby skola 7-9,Kommunal,Heby,36374693,"2,12",0,52,75,76,-1,207,209,-2,2013
Heby,Östervåla skola 7-9,Kommunal,Heby,88091927,"1,91",2,56,70,68,2,196,192,4,2013
Hedemora,Jonsboskolan 7-9,Kommunal,Hedemora,74123583,"2,17",0,39,94,78,16,218,215,3,2013
Hedemora,Vasaskolan,Kommunal,Hedemora,42687238,"2,03",6,55,74,67,7,196,196,0,2013
Helsingborg,Dalhemsskolan,Kommunal,Helsingborg,86764194,"1,91",3,38,52,66,-14,190,195,-6,2013
Helsingborg,Elinebergsskolan,Kommunal,Helsingborg,41811292,"2,22",4,65,78,75,3,211,207,3,2013
Helsingborg,Gantofta skola,Kommunal,Helsingborg,28424574,"2,21",0,33,77,80,-3,209,220,-10,2013
Helsingborg,Gläntanskolan,Kommunal,Helsingborg,67721487,"1,88",0,62,62,68,-6,176,190,-14,2013
Helsingborg,Holstagårdsskolan,Kommunal,Helsingborg,28754789,"2,46",0,64,100,87,13,265,227,38,2013
Helsingborg,Högastensskolan,Kommunal,Helsingborg,13175575,"1,89",3,42,72,66,6,206,193,13,2013
Helsingborg,International school of Hbg/Gr,Kommunal,Helsingborg,47717980,"2,74",13,58,76,83,-7,261,233,28,2013
Helsingborg,Kubikskolan,Enskild,,82943624,"2,46",6,61,67,82,-15,221,222,-1,2013
Helsingborg,Kunskapsskolan Helsingborg,Enskild,,48798589,"2,29",0,39,90,83,7,235,224,11,2013
Helsingborg,Laröds skola,Kommunal,Helsingborg,87251726,"2,53",0,50,80,90,-10,235,236,-1,2013
Helsingborg,Magnus Stenbocksskolan,Kommunal,Helsingborg,23608621,"2,35",0,40,81,84,-3,236,227,9,2013
Helsingborg,Maria Parkskolan,Kommunal,Helsingborg,42164778,"2,52",5,41,82,85,-3,216,233,-17,2013
Helsingborg,Musikgrundskolan Synkopen,Kommunal,Helsingborg,55200547,"2,35",0,60,95,84,11,244,221,23,2013
Helsingborg,"PeterSvenskolan, Helsingborg 1",Enskild,,16688128,"2,39",0,37,96,86,10,229,230,-1,2013
Helsingborg,PeterSvenskolan Helsingborg 2,Enskild,,49050798,"2,37",0,47,86,85,1,216,226,-11,2013
Helsingborg,Påarps skola,Kommunal,Helsingborg,66351593,"1,94",0,73,65,69,-4,200,191,9,2013
Helsingborg,Rydebäcks skola,Kommunal,Helsingborg,40385157,"2,39",0,68,89,85,4,237,222,15,2013
Helsingborg,Sally Bauerskolans Högstadium,Enskild,,53515359,"2,36",3,56,90,82,8,219,220,-1,2013
Helsingborg,Slottsvångsskolan,Kommunal,Helsingborg,63957271,"1,83",2,70,45,64,-19,150,182,-32,2013
Helsingborg,Svensgårdsskolan,Kommunal,Helsingborg,89693828,"2,26",0,40,77,81,-4,221,221,0,2013
Helsingborg,Vittra Adolfsberg,Enskild,,71069736,"1,76",0,35,78,65,13,205,190,15,2013
Helsingborg,Vittra Landborgen,Enskild,,90080902,"2,22",0,50,83,80,3,216,216,0,2013
Helsingborg,Västra Alléskolan,Enskild,,57590681,"2,34",0,67,81,83,-2,223,219,4,2013
Helsingborg,Västra Berga skola,Kommunal,Helsingborg,28060171,"2,03",0,52,70,73,-3,211,203,8,2013
Helsingborg,Västra Ramlösa skola,Kommunal,Helsingborg,49010566,"2,52",3,45,84,86,-2,230,233,-3,2013
Helsingborg,Wieselgrensskolan,Kommunal,Helsingborg,51014228,"2,09",1,37,82,75,7,210,210,0,2013
Herrljunga,Altorpskolan,Kommunal,Herrljunga,24142437,"2,12",3,54,79,73,6,210,205,5,2013
Hjo,Guldkroksskolan 7-9,Kommunal,Hjo,81342093,"2,2",1,44,85,78,7,206,215,-9,2013
Hofors,Petreskolan,Kommunal,Hofors,25716177,"2,04",2,55,79,72,7,204,201,3,2013
Huddinge,Annerstaskolan,Kommunal,Huddinge,79012683,"2,1",17,63,65,58,7,194,187,7,2013
Huddinge,Balingsnässkolan,Kommunal,Huddinge,13654969,"2,31",0,34,82,83,-1,226,226,0,2013
Huddinge,Edboskolan,Kommunal,Huddinge,98477278,"2,34",3,58,89,80,9,217,218,-1,2013
Huddinge,Kungsklippeskolan,Kommunal,Huddinge,89510449,"2,42",2,58,92,84,8,230,225,5,2013
Huddinge,Kvarnbergsskolan,Kommunal,Huddinge,54516737,"2,3",1,64,91,82,9,223,217,7,2013
Huddinge,Källbrinksskolan,Kommunal,Huddinge,41213404,"2,35",0,45,98,84,14,227,225,1,2013
Huddinge,Segeltorpsskolan,Kommunal,Huddinge,15483394,"2,31",1,51,86,82,4,220,220,0,2013
Huddinge,Skogåsskolan,Kommunal,Huddinge,93760143,"2,06",10,56,72,64,8,214,193,20,2013
Huddinge,Södertörns friskola,Enskild,,22019000,"2,5",2,44,84,88,-4,222,234,-12,2013
Huddinge,Tomtbergaskolan,Kommunal,Huddinge,28313791,"2,22",0,46,84,80,4,226,217,9,2013
Huddinge,Trångsundsskolan,Kommunal,Huddinge,42601396,"2,31",0,43,85,83,2,229,223,5,2013
Huddinge,Vistaskolan,Kommunal,Huddinge,50783450,"2,22",0,58,89,79,10,233,213,20,2013
Huddinge,Vårbyskolan,Kommunal,Huddinge,64949601,"1,68",25,42,22,36,-14,147,157,-9,2013
Hudiksvall,Ede skola,Kommunal,Hudiksvall,83627088,"2,12",3,55,92,73,19,226,204,22,2013
Hudiksvall,Glada Hudikskolan,Enskild,,63507156,"2,18",0,47,91,78,13,227,214,13,2013
Hudiksvall,Iggesunds skola,Kommunal,Hudiksvall,80631297,"2,08",2,50,93,73,20,232,204,28,2013
Hudiksvall,Läroverket,Kommunal,Hudiksvall,23786565,"2,18",12,53,63,66,-3,200,200,0,2013
Hudiksvall,Östra skolan,Kommunal,Hudiksvall,50190330,"2,26",1,55,69,80,-11,198,216,-18,2013
Hultsfred,Albäcksskolan 2,Kommunal,Hultsfred,62351132,"2,09",6,49,71,69,2,196,201,-5,2013
Hultsfred,Prolympia Virserum,Enskild,,12289594,"2,14",5,68,64,72,-8,203,200,3,2013
Hylte,Örnaskolan 2,Kommunal,Hylte,74001260,"2,12",1,57,72,75,-3,218,206,12,2013
Hylte,Örnaskolan 3,Kommunal,Hylte,80477825,"1,88",5,48,55,63,-8,182,189,-7,2013
Håbo,Futurum,Kommunal,Håbo,64305292,"2,13",0,60,69,77,-8,197,207,-11,2013
Håbo,Gransäterskolan,Kommunal,Håbo,90826660,"2,03",0,63,56,73,-17,174,200,-25,2013
Håbo,Läraskolan,Enskild,,28306495,"2,03",0,50,85,73,12,227,203,24,2013
Håbo,Potentia Education,Enskild,,15081255,"2,47",0,20,100,89,11,276,240,35,2013
Håbo,Västerängsskolan,Kommunal,Håbo,29299366,"2,16",2,61,76,75,1,223,207,16,2013
Hällefors,Klockarhagsskolan,Kommunal,Hällefors,38657898,"2,01",3,58,77,69,8,190,196,-6,2013
Härjedalen,Funäsdalens skola,Kommunal,Härjedalen,72295998,"2,17",0,53,100,78,22,218,211,7,2013
Härjedalen,Sonfjällsskolan,Kommunal,Härjedalen,85325551,"2,11",0,41,82,76,6,208,211,-4,2013
Härjedalen,Södra Skolan,Kommunal,Härjedalen,79022806,"2,03",9,47,75,64,11,213,194,19,2013
Härnösand,Gerestaskolan,Kommunal,Härnösand,87856368,"2,52",0,54,79,90,-11,208,234,-26,2013
Härnösand,Kiörningskolan,Kommunal,Härnösand,13510547,"2,16",12,57,77,65,12,209,197,12,2013
Härnösand,Landgrenskolan,Kommunal,Härnösand,19405413,"2,12",1,57,58,75,-17,195,206,-11,2013
Härnösand,Murbergsskolan,Kommunal,Härnösand,93068004,"2,31",9,58,77,73,4,211,209,2,2013
Härryda,Båtsmansskolan,Kommunal,Härryda,37772170,"2,64",0,47,93,94,-1,246,244,2,2013
Härryda,Djupedalskolan,Kommunal,Härryda,91978548,"2,3",0,60,86,82,4,210,218,-8,2013
Härryda,Ekdalaskolan,Kommunal,Härryda,17730768,"2,53",1,52,93,89,4,225,234,-10,2013
Härryda,Landvetterskolan,Kommunal,Härryda,98934110,"2,2",0,54,86,79,7,220,213,7,2013
Härryda,Rävlandaskolan,Kommunal,Härryda,34127854,"2,25",0,47,76,81,-5,216,219,-3,2013
Härryda,Önnerödsskolan,Kommunal,Härryda,28698437,"2,26",0,39,87,81,6,211,221,-10,2013
Hässleholm,Bjärnums skola 4-9,Kommunal,Hässleholm,83878055,"2,04",2,50,69,72,-3,194,202,-8,2013
Hässleholm,Furutorpskolan 7-9,Kommunal,Hässleholm,78602001,"2,15",2,47,79,76,3,192,210,-18,2013
Hässleholm,Hästveda skola 4-9,Kommunal,Hässleholm,50909158,"2,09",5,44,85,70,15,217,204,13,2013
Hässleholm,Linné 7-9,Kommunal,Hässleholm,84432632,"2,16",0,40,77,78,-1,209,215,-6,2013
Hässleholm,Läredaskolan 7-9,Kommunal,Hässleholm,29689372,"2,24",5,48,75,75,0,210,212,-3,2013
Hässleholm,Silviaskolan,Kommunal,Hässleholm,65408331,"2,17",6,44,44,72,-28,183,207,-24,2013
Hässleholm,T4-skolan F-9,Kommunal,Hässleholm,76278008,"2,08",13,48,73,62,11,195,194,1,2013
Hässleholm,T4-skolan Montessori,Kommunal,Hässleholm,28804882,"2,54",0,63,93,90,3,226,233,-7,2013
Hässleholm,Tyringe skola 6-9,Kommunal,Hässleholm,98064311,"2,12",0,59,82,76,6,218,207,12,2013
Hässleholm,Vannarödsskolan,Kommunal,Hässleholm,93845278,"2,23",0,62,64,80,-16,193,213,-20,2013
Hässleholm,Västerskolan 7-9,Kommunal,Hässleholm,91571086,"2,21",6,47,55,73,-18,189,210,-21,2013
Höganäs,Bruksskolan,Kommunal,Höganäs,95635160,"2,17",0,54,77,78,-1,233,211,22,2013
Höganäs,Jonstorpsskolan,Kommunal,Höganäs,27665244,"2,45",0,50,89,88,1,216,231,-15,2013
Höganäs,Lerbergsskolan,Kommunal,Höganäs,26702041,"2,47",0,49,88,88,0,228,232,-5,2013
Höganäs,Nyhamnsskolan,Kommunal,Höganäs,28226699,"2,39",0,57,78,85,-7,198,225,-27,2013
Höganäs,"PeterSvenskolan, Höganäs",Enskild,,40689020,"2,21",0,38,72,80,-8,236,219,18,2013
Höganäs,Tornlyckeskolan,Kommunal,Höganäs,75919914,"2,06",10,48,58,64,-6,196,196,0,2013
Höganäs,Vikenskolan,Kommunal,Höganäs,99439224,"2,5",0,65,92,89,3,228,230,-2,2013
Högsby,Fröviskolan 7-9,Kommunal,Högsby,78308250,"2,11",5,59,72,70,2,184,200,-16,2013
Hörby,Frostaskolan 7-9,Kommunal,Hörby,38299211,"2,07",1,59,86,73,13,218,202,16,2013
Hörby,Georgshillsskolan 4-9,Kommunal,Hörby,90834434,"2,07",8,50,65,67,-2,201,198,3,2013
Höör,Emiliaskolan Höörs waldorfsk.,Enskild,,63846783,"2,53",0,67,83,90,-7,229,231,-2,2013
Höör,Ringsjöskolan,Kommunal,Höör,82942801,"2,21",5,45,72,74,-2,200,211,-11,2013
Höör,Sätoftaskolan,Kommunal,Höör,35670754,"2,23",0,49,77,80,-3,219,217,2,2013
Jokkmokk,Östra skolan,Kommunal,Jokkmokk,86851817,"2,2",0,52,82,79,3,206,214,-8,2013
Järfälla,Björkebyskolan,Kommunal,Järfälla,40847752,"2,22",0,57,76,80,-4,209,214,-4,2013
Järfälla,Engelska Skolan i Järfälla,Enskild,,79093755,"2,32",0,54,96,83,13,244,221,23,2013
Järfälla,Fjällenskolan,Kommunal,Järfälla,15080815,"2,37",0,58,87,84,3,225,223,2,2013
Järfälla,Källtorpskolan,Kommunal,Järfälla,17287315,"2,1",4,57,72,71,1,217,202,15,2013
Järfälla,Tallbohovskolan,Kommunal,Järfälla,97777849,"1,93",27,53,42,41,1,176,167,9,2013
Järfälla,Viksjöskolan,Kommunal,Järfälla,98925408,"2,34",2,52,78,82,-4,220,221,-1,2013
Järfälla,Vittra Jakobsberg,Enskild,,66634449,"2,33",5,34,95,79,16,251,222,29,2013
Jönköping,Alfred Dalinskolan,Kommunal,Jönköping,85416841,"2,05",0,53,66,74,-8,190,204,-14,2013
Jönköping,Attarpsskolan 6-9,Kommunal,Jönköping,40546319,"2,45",0,51,97,87,10,221,230,-9,2013
Jönköping,Engelska Skolan i Jönköping,Enskild,,86499334,"2,32",0,46,85,83,2,244,223,20,2013
Jönköping,Flahultsskolan,Kommunal,Jönköping,28849109,"2,24",2,46,86,79,7,212,216,-5,2013
Jönköping,Grennaskolan,Enskild,,66533280,"2,57",0,27,87,92,-5,241,245,-4,2013
Jönköping,Junedalsskolan,Kommunal,Jönköping,20696736,"2,5",0,59,90,89,1,221,231,-10,2013
Jönköping,Ljungarumsskolan,Kommunal,Jönköping,40224836,"2,19",0,52,73,79,-6,211,213,-2,2013
Jönköping,"Prolympia, Jönköping",Enskild,,95673344,"2,27",0,69,84,81,3,209,214,-4,2013
Jönköping,Ribbaskolan,Kommunal,Jönköping,83919671,"2,21",0,49,81,80,1,223,216,7,2013
Jönköping,Rosenlundsskolan 7-9,Kommunal,Jönköping,96558008,"2,04",6,50,69,67,2,197,197,0,2013
Jönköping,Stadsgårdsskolan,Kommunal,Jönköping,12759583,"1,95",0,63,76,70,6,217,194,23,2013
Jönköping,Strandskolan,Enskild,,23250615,"2,26",0,38,52,82,-30,193,222,-28,2013
Kalix,Manhemsskolan,Kommunal,Kalix,10617819,"2,22",3,47,81,76,5,201,213,-12,2013
Kalix,Norrskenets Friskola i Kalix,Enskild,,20525218,"2,09",0,73,86,75,11,194,201,-6,2013
Kalmar,Barkestorpsskolan,Kommunal,Kalmar,58215076,"2,01",8,42,73,64,9,189,195,-6,2013
Kalmar,Falkenbergsskolan,Kommunal,Kalmar,99856371,"2,39",0,43,92,86,6,216,229,-12,2013
Kalmar,Kalmar waldorfskola,Enskild,,16517618,"2,41",0,36,64,87,-23,213,232,-19,2013
Kalmar,Kalmarsundsskolan,Kommunal,Kalmar,24092221,"1,98",19,51,69,51,18,178,179,-1,2013
Kalmar,Lindsdalsskolan,Kommunal,Kalmar,51848797,"2,33",0,41,86,84,2,206,225,-19,2013
Kalmar,Södermöreskolan,Kommunal,Kalmar,79012102,"2,17",0,50,87,78,9,203,212,-9,2013
Kalmar,Södra skolan,Enskild,,13936858,"2,62",0,47,96,93,3,234,242,-8,2013
Kalmar,Vasa skolområde,Kommunal,Kalmar,51627420,"2,26",2,44,89,80,9,220,219,1,2013
Kalmar,Östra Funkaboskolan,Kommunal,Kalmar,12852899,"2,19",0,59,79,79,0,210,212,-1,2013
Karlsborg,Carl Johanskolan,Kommunal,Karlsborg,34231336,"2,25",0,57,92,81,11,212,216,-4,2013
Karlshamn,Norrevångskolan,Kommunal,Karlshamn,89878714,"2,09",0,47,63,76,-13,202,208,-7,2013
Karlshamn,Stenbackaskolan,Kommunal,Karlshamn,16767324,"2,3",0,52,71,82,-11,215,221,-6,2013
Karlshamn,Österslättsskolan A,Kommunal,Karlshamn,72744832,"2,37",2,32,70,83,-13,208,228,-20,2013
Karlshamn,Österslättsskolan B,Kommunal,Karlshamn,56399024,"2,32",14,81,67,68,-1,186,199,-12,2013
Karlskoga,Karlbergsskolan åk 7-9,Kommunal,Karlskoga,71762216,"2,27",5,41,74,77,-3,206,217,-11,2013
Karlskoga,Skranta skola,Kommunal,Karlskoga,65654358,"2,09",7,50,81,68,13,211,200,11,2013
Karlskoga,Österledskolan,Kommunal,Karlskoga,34767418,"2,15",1,55,67,76,-9,202,209,-7,2013
Karlskrona,Friskolan Svettpärlan,Enskild,,93964634,"2,63",0,50,96,94,2,214,243,-28,2013
Karlskrona,JB Galären Dator o Teknik,Enskild,,64959079,"2,43",0,95,60,85,-25,196,216,-20,2013
Karlskrona,"JB Galären, grundskola",Enskild,,10662754,"2,51",0,35,92,90,2,233,239,-7,2013
Karlskrona,Jändelskolan 6-9,Kommunal,Karlskrona,20104552,"2,3",1,57,78,81,-3,201,217,-16,2013
Karlskrona,Karlskrona Montessorifriskola,Enskild,,67509465,"2,17",0,47,53,78,-25,154,213,-60,2013
Karlskrona,Musikugglan,Enskild,,93919365,"2,58",0,42,96,92,4,250,242,8,2013
Karlskrona,Nättrabyskolan 6-9,Kommunal,Karlskrona,26209081,"2,33",0,50,81,84,-3,207,223,-16,2013
Karlskrona,Piggelinen,Enskild,,99469094,"2,23",0,25,81,81,0,208,224,-15,2013
Karlskrona,Rosenholmskolan Sport College,Kommunal,Karlskrona,89523926,"2,47",0,59,100,88,12,232,229,3,2013
Karlskrona,Rödebyskolan 6-9,Kommunal,Karlskrona,32421136,"2,12",0,59,60,76,-16,183,206,-23,2013
Karlskrona,Sunnadalskolan 7-9,Kommunal,Karlskrona,68263602,"1,74",16,53,61,47,14,180,167,13,2013
Karlskrona,Vedebyskolan,Kommunal,Karlskrona,55709634,"2,3",1,72,67,81,-14,199,214,-15,2013
Karlskrona,"Wämöskolan, Wämö",Kommunal,Karlskrona,63323984,"2,37",6,56,68,79,-11,201,218,-18,2013
Karlstad,Engelska Skolan i Karlstad,Enskild,,93730568,"2,51",0,42,94,90,4,248,237,11,2013
Karlstad,Frödingskolan 7-9,Kommunal,Karlstad,29058107,"2,05",9,51,69,64,5,201,195,6,2013
Karlstad,Hultsbergsskolan 6-9,Kommunal,Karlstad,99406709,"2,34",0,45,82,84,-2,203,225,-22,2013
Karlstad,Ilandaskolan,Kommunal,Karlstad,27418903,"2,48",1,58,95,87,8,226,229,-3,2013
Karlstad,Mariebergsskolan,Kommunal,Karlstad,81424988,"2,27",1,45,70,81,-11,203,220,-16,2013
Karlstad,Norrstrandsskolan Alfa,Kommunal,Karlstad,83999935,"2,64",0,59,92,94,-2,214,241,-27,2013
Karlstad,Norrstrandsskolan Beta/Ga,Kommunal,Karlstad,57635312,"2,47",0,45,80,88,-8,213,234,-20,2013
Karlstad,Nyeds skola 4-9,Kommunal,Karlstad,32255602,"2,26",5,56,80,76,4,221,211,10,2013
Karlstad,Rudsskolan Atl/Dan,Kommunal,Karlstad,85833115,"2,39",1,49,81,84,-3,213,226,-13,2013
Karlstad,Rudsskolan Bal/Oce,Kommunal,Karlstad,91487596,"2,28",2,48,81,80,1,214,218,-4,2013
Karlstad,Vålbergsskolan 4-9,Kommunal,Karlstad,80659104,"2,09",0,41,75,76,-1,206,210,-4,2013
Katrineholm,Floda friskola,Enskild,,42354333,"2,39",0,44,72,86,-14,210,228,-18,2013
Katrineholm,Nyhemsskolan 7-9,Kommunal,Katrineholm,19216121,"1,95",5,51,48,65,-17,168,192,-25,2013
Katrineholm,Södra skolan,Kommunal,Katrineholm,43723580,"2,15",2,45,66,76,-10,197,211,-14,2013
Katrineholm,Tallåsskolan,Kommunal,Katrineholm,14164796,"2,23",9,58,68,71,-3,198,205,-7,2013
Kil,Sannerudsskolan 7-9,Kommunal,Kil,17665080,"2,23",0,45,74,80,-6,208,218,-10,2013
Kinda,Värgårdsskolan,Kommunal,Kinda,75296593,"2,2",0,45,86,79,7,210,216,-6,2013
Kiruna,Friluftsskolan Vargen,Enskild,,73281949,"2,41",0,68,91,86,5,234,223,11,2013
Kiruna,Högalidskolan 7-9,Kommunal,Kiruna,80693905,"2,26",1,48,68,80,-12,216,218,-1,2013
