skolverket_kommunnamn,skolverket_skolnamn,huvudman,skolverket_huvudman_namn,school_unit,skolverket_antal_fli_tcv140,skolverket_andel_fli_tcv140,skolverket_and_uppn_alla_amnen_fli_tcv140,skolverket_and_behorig_fli_tcv140,skolverket_gmv_fli_tcv140,skolverket_antal_poj_tcv140,skolverket_andel_poj_tcv140,skolverket_and_uppn_alla_amnen_poj_tcv140,skolverket_and_behorig_poj_tcv140,skolverket_gmv_poj_tcv140,year
Hudiksvall,Iggesunds skola,Kommunal,Hudiksvall,80631297,22,"56,4","54,5","68,2","199,4",17,"43,6","82,4",~100,"204,3",2015
Hudiksvall,Läroverket,Kommunal,Hudiksvall,23786565,59,"48,4","88,1",~100,"233,2",63,"51,6","63,5","74,6","188,8",2015
Hudiksvall,Östra skolan,Kommunal,Hudiksvall,50190330,51,"56,7","82,4","86,3","240,6",39,"43,3","48,7","66,7","165,6",2015
Hudiksvall,Delsbo waldorfskola,Enskild,Skolföreningen Delsbo Waldorfskola,22518275,..,..,..,..,..,..,..,..,..,..,2015
Hultsfred,Albäcksskolan 2,Kommunal,Hultsfred,84230115,48,"48,0","70,8","77,1","232,7",52,"52,0","76,9","80,8","214,8",2015
Hultsfred,Prolympia Virserum,Enskild,Nya Centralskolan i Virserum AB,12289594,..,..,..,..,"210,0",..,..,..,..,..,2015
Hylte,Örnaskolan 2,Kommunal,Hylte,74001260,22,"42,3","81,8",~100,"226,2",30,"57,7","53,3","73,3","189,2",2015
Hylte,Örnaskolan 3,Kommunal,Hylte,80477825,33,"71,7","51,5","81,8","203,2",13,"28,3",..,~100,"170,4",2015
Hylte,Labora Grundskola,Enskild,Laboraskolan AB,48694604,..,..,..,..,..,..,..,..,..,..,2015
Håbo,Futurum,Kommunal,Håbo,64305292,40,"42,6","77,5",~100,"235,1",54,"57,4","75,9",~100,"212,0",2015
Håbo,Gransäterskolan,Kommunal,Håbo,90826660,25,"51,0","76,0",~100,"232,7",24,"49,0","58,3",~100,"178,2",2015
Håbo,Västerängsskolan,Kommunal,Håbo,29299366,25,"46,3","64,0",~100,"233,5",29,"53,7","44,8",~100,"205,3",2015
Håbo,Läraskolan,Enskild,Läraskolan i Bålsta AB,28306495,..,..,"91,7",~100,"247,3",..,..,..,..,..,2015
Håbo,Potentia Education,Enskild,Potentia education AB,15081255,14,"51,9","100,0","100,0","256,3",13,"48,1","100,0","100,0","264,8",2015
Hällefors,Klockarhagsskolan,Kommunal,Hällefors,38657898,34,"47,9","61,8","73,5","207,6",37,"52,1","70,3","75,7","185,6",2015
Härjedalen,Funäsdalens skola,Kommunal,Härjedalen,72295998,11,"47,8","100,0","100,0","273,0",12,"52,2",..,~100,"225,6",2015
Härjedalen,Sonfjällsskolan,Kommunal,Härjedalen,85325551,10,"40,0",..,..,"220,5",15,"60,0","73,3",~100,"200,2",2015
Härjedalen,Södra Skolan,Kommunal,Härjedalen,79022806,21,"40,4","71,4","76,2","225,0",31,"59,6","67,7","71,0","177,6",2015
Härjedalen,Ytterhogdals Centralskola,Kommunal,Härjedalen,92387607,..,..,..,..,..,..,..,..,..,..,2015
Härnösand,Gerestaskolan åk 4-9,Kommunal,Härnösand,71734314,16,"47,1","100,0","100,0","229,5",18,"52,9",..,"66,7","161,4",2015
Härnösand,Kiörningskolan,Kommunal,Härnösand,13510547,29,"46,0","82,8",~100,"236,3",34,"54,0","58,8","70,6","172,7",2015
Härnösand,Landgrenskolan,Kommunal,Härnösand,19405413,40,"46,5","77,5","80,0","216,4",46,"53,5","76,1","82,6","202,6",2015
Härnösand,Murbergsskolan,Kommunal,Härnösand,93068004,43,"62,3","76,7",~100,"241,7",26,"37,7","76,9",~100,"212,7",2015
Härnösand,Kastellskolan,Enskild,Kastellskolan,69454219,..,..,..,..,..,..,..,..,..,..,2015
Härryda,Pixbo Montessoriskola,Enskild,Aktiebolaget Pixbo Montessoriskola,54688919,..,..,..,..,..,..,..,..,..,..,2015
Härryda,"Fridaskolan, Härryda",Enskild,Fridaskolorna AB,27274628,39,"56,5","92,3",~100,"265,6",30,"43,5","96,7","100,0","270,1",2015
Härryda,Båtsmansskolan,Kommunal,Härryda,37772170,24,"40,7","100,0","100,0","261,1",35,"59,3","91,4",~100,"223,6",2015
Härryda,Djupedalskolan,Kommunal,Härryda,91978548,22,"53,7","77,3",~100,"231,5",19,"46,3","84,2",~100,"234,3",2015
Härryda,Ekdalaskolan,Kommunal,Härryda,17730768,35,"53,8","88,6",~100,"245,9",30,"46,2","93,3",~100,"239,5",2015
Härryda,Landvetterskolan 1,Kommunal,Härryda,98934110,32,"40,0","87,5",~100,"257,8",48,"60,0","79,2","89,6","215,7",2015
Härryda,Rävlandaskolan,Kommunal,Härryda,34127854,20,"52,6","65,0",~100,"214,5",18,"47,4","72,2","72,2","189,3",2015
Härryda,Önnerödsskolan,Kommunal,Härryda,28698437,46,"52,9","95,7",~100,"255,1",41,"47,1","90,2",~100,"232,1",2015
Hässleholm,Bjärnums skola 7-9,Kommunal,Hässleholm,83878055,35,"50,7","94,3",~100,"231,1",34,"49,3","61,8","61,8","172,9",2015
Hässleholm,Furutorpskolan 7-9,Kommunal,Hässleholm,78602001,35,"46,1","65,7","77,1","208,9",41,"53,9","56,1","68,3","186,3",2015
Hässleholm,Hästveda skola 4-9,Kommunal,Hässleholm,50909158,28,"70,0","89,3",~100,"252,8",12,"30,0",..,..,"212,9",2015
Hässleholm,Linné 7-9,Kommunal,Hässleholm,84432632,24,"63,2","75,0",~100,"223,8",14,"36,8",..,~100,"221,9",2015
Hässleholm,Läredaskolan 7-9,Kommunal,Hässleholm,29689372,41,"50,0","87,8","87,8","246,6",41,"50,0","75,6","80,5","215,8",2015
Hässleholm,Silviaskolan 1-9,Kommunal,Hässleholm,65408331,..,..,..,..,..,..,..,..,..,..,2015
Hässleholm,T4-skolan F-9,Kommunal,Hässleholm,76278008,17,"37,8","88,2",~100,"235,3",28,"62,2","42,9","53,6","158,8",2015
Hässleholm,T4-skolan Montessori 1-9,Kommunal,Hässleholm,28804882,..,..,"88,2",~100,"262,8",..,..,..,..,..,2015
Hässleholm,Tyringe skola 7-9,Kommunal,Hässleholm,98064311,31,"40,8","77,4","80,6","218,4",45,"59,2","66,7","77,8","189,1",2015
Hässleholm,Vannarödsskolan 6-9,Kommunal,Hässleholm,93845278,36,"56,3","75,0","80,6","203,1",28,"43,8","64,3",~100,"199,3",2015
Hässleholm,Västerskolan 7-9,Kommunal,Hässleholm,91571086,35,"45,5","80,0","85,7","230,3",42,"54,5","59,5","69,0","171,7",2015
Höganäs,Brunnbyskolan,Enskild,Brunnby Skola M-I Handelsbolag,95113658,..,..,..,..,..,..,..,..,..,..,2015
Höganäs,Bruksskolan,Kommunal,Höganäs,95635160,25,"52,1","92,0",~100,"239,9",23,"47,9","95,7","100,0","203,8",2015
Höganäs,Jonstorpsskolan,Kommunal,Höganäs,27665244,17,"37,8","82,4",~100,"218,4",28,"62,2","92,9",~100,"240,8",2015
Höganäs,Lerbergsskolan,Kommunal,Höganäs,26702041,20,"46,5","95,0",~100,"263,0",23,"53,5","95,7",~100,"256,0",2015
Höganäs,Nyhamnsskolan,Kommunal,Höganäs,28226699,15,"35,7","80,0",~100,"263,8",27,"64,3","85,2",~100,"232,1",2015
Höganäs,Tornlyckeskolan,Kommunal,Höganäs,75919914,20,"45,5","60,0","70,0","213,8",24,"54,5","62,5","79,2","209,5",2015
Höganäs,Vikenskolan,Kommunal,Höganäs,99439224,36,"50,0","94,4",~100,"262,0",36,"50,0","88,9",~100,"238,2",2015
Högsby,Fröviskolan,Kommunal,Högsby,26879428,29,"45,3","65,5","79,3","207,8",35,"54,7","65,7","71,4","193,0",2015
Hörby,Frostaskolan 7-9,Kommunal,Hörby,38299211,39,"56,5","79,5","87,2","228,7",30,"43,5","70,0","83,3","216,6",2015
Hörby,Georgshillsskolan 6-9,Kommunal,Hörby,90834434,27,"47,4","77,8",~100,"229,9",30,"52,6","60,0","73,3","183,4",2015
Hörby,Ludvigsborgs friskola,Enskild,"Ludvigsborgs Fristående Skola, Ek. Förening",52665905,..,..,..,..,..,..,..,..,..,..,2015
Hörby,Pilevallens skola,Enskild,Pilevallens Vård och Behandling AB,93569920,..,..,.,.,..,..,..,.,.,.,2015
Höör,Emiliaskolan Höörs waldorfsk.,Enskild,Föreningen Emiliaskolan,63846783,10,"50,0",..,..,"250,5",10,"50,0",..,"100,0","229,8",2015
Höör,Ringsjöskolan,Kommunal,Höör,82942801,41,"41,4","82,9","87,8","235,7",58,"58,6","69,0","77,6","212,8",2015
Höör,Sätoftaskolan,Kommunal,Höör,35670754,31,"47,0","87,1",~100,"243,5",35,"53,0","85,7",~100,"210,1",2015
Höör,Segrande Liv Grundskola,Enskild,Segrande Liv  Grundskola,95024923,..,..,.,.,.,..,..,..,..,..,2015
Jokkmokk,Östra skolan,Kommunal,Jokkmokk,86851817,16,"43,2","81,3",~100,"246,7",21,"56,8","81,0",~100,"223,8",2015
Jokkmokk,Vuollerims Friskola,Enskild,Vuollerims Friskola AB,33468088,..,..,..,..,..,..,..,..,..,..,2015
Järfälla,Engelska Skolan i Järfälla,Enskild,Internationella Engelska Skolan i Sverige AB,79093755,50,"41,7","90,0",~100,"266,6",70,"58,3","95,7",~100,"260,1",2015
Järfälla,Björkebyskolan,Kommunal,Järfälla,40847752,46,"40,4","78,3","87,0","244,1",68,"59,6","85,3","89,7","224,0",2015
Järfälla,Fjällenskolan,Kommunal,Järfälla,15080815,51,"47,7","64,7","82,4","231,3",56,"52,3","66,1",~100,"216,3",2015
Järfälla,Källtorpskolan,Kommunal,Järfälla,17287315,56,"52,3","60,7","83,9","209,2",51,"47,7","68,6","78,4","210,0",2015
Järfälla,Tallbohovskolan,Kommunal,Järfälla,97777849,28,"58,3","39,3","53,6","162,3",20,"41,7",..,..,"149,6",2015
Järfälla,Viksjöskolan,Kommunal,Järfälla,98925408,83,"46,4","86,7",~100,"264,4",96,"53,6","72,9","90,6","215,4",2015
Järfälla,Vittra Jakobsberg,Enskild,Vittraskolorna AB,66634449,33,"64,7","78,8",~100,"232,1",18,"35,3","77,8",~100,"249,4",2015
Jönköping,Grennaskolan GR,Enskild,Grennaskolan Riksinternat AB,66533280,..,..,"88,2",~100,"263,8",..,..,..,..,..,2015
Jönköping,Engelska Skolan i Jönköping,Enskild,Internationella Engelska Skolan i Sverige AB,86499334,69,"52,7","92,8",~100,"283,2",62,"47,3","91,9",~100,"260,9",2015
Jönköping,Magnus Ladulås skola grund,Enskild,J-Son Pedagogikcentrum AB,17890412,..,..,.,.,..,..,..,.,..,..,2015
Jönköping,Alfred Dalinskolan,Kommunal,Jönköping,85416841,72,"52,2","58,3","69,4","195,7",66,"47,8","53,0","80,3","185,7",2015
Jönköping,Attarpsskolan 6-9,Kommunal,Jönköping,40546319,49,"53,3","93,9",~100,"245,0",43,"46,7","93,0",~100,"228,7",2015
Jönköping,Flahultsskolan,Kommunal,Jönköping,28849109,66,"48,2","84,8","89,4","243,2",71,"51,8","73,2","91,5","212,7",2015
Jönköping,Junedalsskolan,Kommunal,Jönköping,20696736,130,"54,6","92,3",~100,"251,9",108,"45,4","88,9","93,5","237,8",2015
Jönköping,Ljungarumsskolan 7-9,Kommunal,Jönköping,84917564,50,"43,9","66,0","78,0","213,4",64,"56,1","68,8","81,3","221,6",2015
Jönköping,Ribbaskolan,Kommunal,Jönköping,83919671,28,"38,9","89,3",~100,"252,4",44,"61,1","79,5","88,6","215,0",2015
Jönköping,Rosenlundsskolan 7-9,Kommunal,Jönköping,96558008,51,"45,9","72,5","76,5","210,8",60,"54,1","63,3","70,0","173,2",2015
Jönköping,Sanda idrottshögstadium,Kommunal,Jönköping,98088982,25,"34,7","96,0","100,0","266,1",47,"65,3","91,5",~100,"235,6",2015
Jönköping,Stadsgårdsskolan,Kommunal,Jönköping,12759583,34,"40,5","67,6",~100,"218,9",50,"59,5","52,0","78,0","195,4",2015
Jönköping,Strandskolan,Enskild,Jönköpings Kristna Skolförening,23250615,..,..,"83,3",~100,"230,0",..,..,..,..,..,2015
Jönköping,Kunskapsskolan Jönköping,Enskild,Kunskapsskolan i Sverige Aktiebolag,86562542,23,"62,2","65,2",~100,"223,0",14,"37,8","85,7",~100,"187,0",2015
Jönköping,Magelungens grundskola Jönköping,Enskild,Magelungen Utveckling AB,79427132,..,..,.,.,..,..,..,.,.,..,2015
Jönköping,"Prolympia, Jönköping",Enskild,Prolympia AB,95673344,16,"23,9","100,0","100,0","262,0",51,"76,1","90,2",~100,"223,7",2015
Kalix,Manhemsskolan,Kommunal,Kalix,10617819,74,"44,3","86,5","93,2","237,8",93,"55,7","74,2","83,9","196,7",2015
Kalix,Norrskenets Friskola i Kalix,Enskild,Pysslingen Förskolor och Skolor AB,20525218,..,..,..,..,..,..,..,..,..,..,2015
Kalmar,Barkestorpsskolan,Kommunal,Kalmar,58215076,39,"57,4","66,7","74,4","200,6",29,"42,6","79,3","82,8","233,1",2015
Kalmar,Esplanadskolan,Kommunal,Kalmar,47360905,..,..,.,.,..,..,..,.,..,..,2015
Kalmar,Falkenbergsskolan,Kommunal,Kalmar,99856371,24,"32,4","100,0","100,0","262,5",50,"67,6","84,0",~100,"222,9",2015
Kalmar,Funkaboskolan,Kommunal,Kalmar,21736926,43,"53,1","90,7",~100,"251,5",38,"46,9","78,9","84,2","219,2",2015
Kalmar,Kalmarsundsskolan,Kommunal,Kalmar,24092221,33,"44,6","51,5","69,7","189,3",41,"55,4","53,7","63,4","166,7",2015
Kalmar,Lindsdalsskolorna,Kommunal,Kalmar,51848797,40,"45,5","90,0","100,0","229,7",48,"54,5","87,5",~100,"206,7",2015
Kalmar,Södermöreskolan,Kommunal,Kalmar,79012102,45,"46,9","86,7","86,7","230,7",51,"53,1","90,2",~100,"200,1",2015
Kalmar,Vasa skolområde,Kommunal,Kalmar,51627420,34,"65,4","85,3","100,0","267,6",18,"34,6","77,8",~100,"195,3",2015
Kalmar,"Karl-Oskarskolan, Kalmar",Enskild,Karl-Oskar Utbildning AB,30881651,..,..,..,..,..,..,..,..,..,..,2015
Kalmar,Solhagaskolan,Enskild,Solängsskolan i Hammenhög AB,87544967,..,..,.,.,..,..,..,..,..,..,2015
Kalmar,Kalmar waldorfskola,Enskild,Stiftelsen Kalmar Waldorfskola,16517618,..,..,..,..,..,..,..,..,"100,0","217,0",2015
Kalmar,Södra skolan,Enskild,Södra skolan i Kalmar AB,13936858,50,"54,9","100,0","100,0","267,6",41,"45,1","95,1",~100,"221,5",2015
Karlsborg,Carl Johanskolan,Kommunal,Karlsborg,34231336,30,"52,6","93,3",~100,"239,1",27,"47,4","96,3",~100,"205,8",2015
Karlshamn,Waldorfskolan i Karlshamn,Enskild,Daggkåpan Ekonomisk Förening,22909101,..,..,..,..,..,..,..,..,..,..,2015
Karlshamn,Karl-Oskarskolan i Karlshamn,Enskild,Karl-Oskar Utbildning AB,16249641,..,..,..,..,..,..,..,"71,4",~100,"210,7",2015
Karlshamn,Norrevångskolan,Kommunal,Karlshamn,89878714,34,"51,5","79,4",~100,"241,9",32,"48,5","65,6","75,0","196,0",2015
Karlshamn,Stenbackaskolan,Kommunal,Karlshamn,16767324,45,"47,9","68,9",~100,"233,7",49,"52,1","65,3","87,8","198,8",2015
Karlshamn,Österslättsskolan A,Kommunal,Karlshamn,72744832,21,"50,0","71,4",~100,"222,3",21,"50,0","61,9","76,2","199,6",2015
Karlshamn,Österslättsskolan B,Kommunal,Karlshamn,56399024,35,"48,6","80,0","80,0","234,3",37,"51,4","64,9","70,3","191,3",2015
Karlskoga,Bregårdsskolan åk 7-9,Kommunal,Karlskoga,71762216,69,"62,2","72,5","76,8","226,7",42,"37,8","85,7",~100,"215,7",2015
Karlskoga,Skranta skola,Kommunal,Karlskoga,65654358,59,"51,8","71,2","81,4","211,9",55,"48,2","65,5","67,3","180,5",2015
Karlskoga,Österledskolan,Kommunal,Karlskoga,34767418,43,"47,8","74,4","79,1","229,4",47,"52,2","59,6","74,5","187,8",2015
Karlskrona,Galären Dator o Teknik,Enskild,AcadeMedia fria grundskolor AB,64959079,..,..,..,..,..,..,..,"78,9",~100,"237,2",2015
Karlskrona,"Galären, grundskola",Enskild,AcadeMedia fria grundskolor AB,10662754,..,..,"89,5",~100,"252,2",..,..,..,..,..,2015
Karlskrona,Galären Hälsa och Idrott,Enskild,AcadeMedia fria grundskolor AB,66984600,18,"42,9","94,4","100,0","231,9",24,"57,1","75,0",~100,"214,2",2015
Karlskrona,Piggelinen,Enskild,Friskolan PANEA AB,99469094,14,"50,0","92,9","100,0","240,2",14,"50,0","85,7",~100,"240,7",2015
Karlskrona,Friskolan Svettpärlan,Enskild,Friskolan Svettpärlan AB,93964634,11,"42,3","100,0","100,0","266,1",15,"57,7","100,0","100,0","232,7",2015
Karlskrona,Jändelskolan 7-9,Kommunal,Karlskrona,20104552,31,"47,7","87,1",~100,"233,5",34,"52,3","70,6","76,5","196,1",2015
Karlskrona,LKC 7-9,Kommunal,Karlskrona,55709634,45,"53,6","86,7","88,9","223,4",39,"46,4","69,2","79,5","182,3",2015
Karlskrona,Nättrabyskolan 7-9,Kommunal,Karlskrona,26209081,37,"55,2","94,6",~100,"252,0",30,"44,8","93,3",~100,"227,8",2015
Karlskrona,Rosenholmskolan Sport College 7-9,Kommunal,Karlskrona,89523926,14,"25,9","100,0","100,0","262,3",40,"74,1","100,0","100,0","226,7",2015
Karlskrona,Rödebyskolan 7-9,Kommunal,Karlskrona,32421136,35,"41,2","80,0",~100,"223,1",50,"58,8","68,0","76,0","182,8",2015
Karlskrona,Sunnadalskolan 7-9,Kommunal,Karlskrona,68263602,24,"58,5","45,8","58,3","176,5",17,"41,5",..,..,"146,4",2015
Karlskrona,Wämöskolan 7-9,Kommunal,Karlskrona,63323984,43,"45,3","58,1","72,1","195,1",52,"54,7","69,2","78,8","195,4",2015
Karlskrona,Karlskrona Montessorifriskola,Enskild,Karlskrona Montessorifriskola AB,67509465,..,..,..,..,..,..,..,"93,8","100,0","227,7",2015
Karlskrona,Skolveckohemmet Riggen,Enskild,Skolveckohemmet Riggen AB,70122435,..,..,.,..,..,..,..,.,.,.,2015
Karlskrona,Musikugglan,Enskild,Tant Grön AB,93919365,..,..,"100,0","100,0","284,4",..,..,..,..,..,2015
Karlstad,Engelska Skolan i Karlstad,Enskild,Internationella Engelska Skolan i Sverige AB,93730568,59,"48,4","96,6","100,0","268,2",63,"51,6","92,1",~100,"251,3",2015
Karlstad,Frödingskolan 7-9,Kommunal,Karlstad,29058107,25,"48,1","56,0","64,0","216,1",27,"51,9","37,0","40,7","154,8",2015
Karlstad,Hultsbergsskolan 6-9,Kommunal,Karlstad,99406709,26,"49,1","84,6",~100,"222,5",27,"50,9","85,2",~100,"211,6",2015
Karlstad,Ilandaskolan,Kommunal,Karlstad,27418903,52,"41,9","94,2",~100,"254,6",72,"58,1","91,7",~100,"216,5",2015
Karlstad,Mariebergsskolan,Kommunal,Karlstad,81424988,48,"55,2","77,1",~100,"223,2",39,"44,8","89,7",~100,"221,1",2015
Karlstad,Norrstrandsskolan Terra Ignis,Kommunal,Karlstad,83999935,38,"51,4","89,5",~100,"238,8",36,"48,6","77,8",~100,"207,1",2015
Karlstad,Norrstrandsskolan Ventus Aqua,Kommunal,Karlstad,57635312,59,"62,1","89,8",~100,"250,2",36,"37,9","80,6",~100,"207,6",2015
Karlstad,Nyeds skola 7-9,Kommunal,Karlstad,15196482,..,..,..,..,..,..,..,"81,3",~100,"211,2",2015
Karlstad,Rudsskolan 7-9,Kommunal,Karlstad,23345056,39,"32,5","87,2",~100,"224,1",81,"67,5","88,9","91,4","217,7",2015
Karlstad,Vålbergsskolan 4-9,Kommunal,Karlstad,80659104,18,"46,2","88,9",~100,"228,3",21,"53,8","61,9",~100,"183,8",2015
Karlstad,Thoren Framtid Karlstad,Enskild,Thorengruppen AB,85092070,..,..,..,..,..,..,..,.,.,..,2015
Katrineholm,Floda friskola,Enskild,Flodabygdens Friskoleförening,42354333,13,"43,3","84,6",~100,"217,5",17,"56,7","82,4",~100,"204,3",2015
Katrineholm,Nyhemsskolan 7-9,Kommunal,Katrineholm,19216121,26,"44,8","53,8","57,7","225,5",32,"55,2","62,5","68,8","199,1",2015
Katrineholm,Södra skolan,Kommunal,Katrineholm,43723580,39,"39,0","69,2","79,5","217,8",61,"61,0","62,3","78,7","190,2",2015
Katrineholm,Tallåsskolan,Kommunal,Katrineholm,14164796,77,"52,0","63,6","77,9","217,4",71,"48,0","66,2","78,9","191,3",2015
Katrineholm,Kunskapsskolan Katrineholm,Enskild,Kunskapsskolan i Sverige Aktiebolag,16603772,38,"65,5","92,1",~100,"248,9",20,"34,5","90,0",~100,"207,5",2015
Katrineholm,Erlaskolan i Katrineholm,Enskild,Lärande i Sverige AB,79048710,..,..,..,..,..,..,..,..,~100,"201,2",2015
Kil,Sannerudsskolan 7-9,Kommunal,Kil,17665080,50,"39,7","74,0","86,0","228,0",76,"60,3","61,8","82,9","193,8",2015
Kinda,Värgårdsskolan,Kommunal,Kinda,75296593,44,"58,7","75,0","86,4","214,9",31,"41,3","77,4",~100,"203,2",2015
Kiruna,Abisko skolan,Kommunal,Kiruna,76026322,..,..,..,..,..,..,..,.,.,.,2015
Kiruna,Högalidskolan 7-9,Kommunal,Kiruna,80693905,36,"40,9","88,9",~100,"242,4",52,"59,1","67,3","78,8","197,8",2015
Kiruna,Karesuando skola,Kommunal,Kiruna,79467784,..,..,..,..,..,..,..,"92,9",~100,"223,0",2015
Kiruna,Triangelskolan,Kommunal,Kiruna,14938538,15,"57,7","86,7",~100,"241,8",11,"42,3","90,9",~100,"255,7",2015
Kiruna,Vittangi skola,Kommunal,Kiruna,76314428,..,..,..,..,..,..,..,..,..,..,2015
Kiruna,Friluftsskolan Vargen,Enskild,Vargen i Kiruna AB,73281949,..,..,..,..,..,..,..,"100,0","100,0","261,6",2015
Klippan,Ljungbyhedsskolan,Kommunal,Klippan,75091646,19,"35,2","73,7",~100,"191,3",35,"64,8","68,6","77,1","200,7",2015
Klippan,Snyggatorpsskolan 2,Kommunal,Klippan,71644999,48,"47,1","70,8","79,2","201,2",54,"52,9","66,7","81,5","194,0",2015
Klippan,"PeterSvenskolan, Klippan",Enskild,Pysslingen Förskolor och Skolor AB,39391255,..,..,"92,9",~100,"253,1",..,..,..,..,..,2015
Knivsta,Alsike skola,Kommunal,Knivsta,49742321,22,"53,7","81,8",~100,"235,6",19,"46,3","100,0","100,0","226,6",2015
Knivsta,Thunmanskolan,Kommunal,Knivsta,92364234,53,"51,0","90,6",~100,"249,4",51,"49,0","78,4","90,2","221,5",2015
Knivsta,Margarethaskolan,Enskild,Knivsta Friskola Ekonomisk Förening,51867275,..,..,..,..,..,..,..,..,..,..,2015
Kramfors,Gudmundråskolan,Kommunal,Kramfors,11159060,35,"38,5","74,3","77,1","221,4",56,"61,5","60,7","75,0","187,5",2015
Kramfors,Högakustenskolan,Kommunal,Kramfors,75515918,29,"54,7","86,2",~100,"254,4",24,"45,3","79,2",~100,"208,5",2015
Kramfors,Ytterlännässkolan,Kommunal,Kramfors,30403490,28,"48,3","78,6",~100,"231,1",30,"51,7","80,0","83,3","197,0",2015
Kristianstad,Antonskolan Blekedamm,Enskild,Anton Utbildning AB,14555807,..,..,"91,7",~100,"258,3",..,..,..,..,..,2015
Kristianstad,Antonskolan Österäng,Enskild,Antonskolan Österäng AB,57538739,..,..,..,~100,"225,2",..,..,..,..,..,2015
Kristianstad,Axonaskolan i Tollarp,Enskild,Axona Dendron AB,81452013,..,..,..,..,..,..,..,"78,6","100,0","232,1",2015
Kristianstad,Degebergaskolan,Kommunal,Kristianstad,54930405,15,"37,5","66,7",~100,"207,5",25,"62,5","84,0",~100,"208,3",2015
Kristianstad,Fjälkinge skola MH,Kommunal,Kristianstad,13867770,22,"53,7","86,4","100,0","237,4",19,"46,3","52,6","73,7","191,9",2015
Kristianstad,Fröknegårdskolan H1,Kommunal,Kristianstad,80871896,35,"53,8","62,9","71,4","212,4",30,"46,2","70,0","76,7","197,7",2015
Kristianstad,Fröknegårdskolan H2,Kommunal,Kristianstad,97438636,25,"52,1","52,0","64,0","192,5",23,"47,9","52,2",~100,"192,9",2015
Kristianstad,Norretullskolan,Kommunal,Kristianstad,59782586,24,"36,4","58,3","62,5","206,5",42,"63,6","59,5","59,5","173,6",2015
Kristianstad,Nosabyskolan,Kommunal,Kristianstad,69725960,53,"51,0","83,0","90,6","241,7",51,"49,0","68,6","80,4","218,1",2015
Kristianstad,Rönnowskolan H,Kommunal,Kristianstad,13756290,27,"48,2","96,3",~100,"264,8",29,"51,8","93,1",~100,"243,3",2015
Kristianstad,Slättängsskolan H,Kommunal,Kristianstad,63356940,29,"39,2","79,3","79,3","210,8",45,"60,8","28,9","53,3","148,7",2015
Kristianstad,Spängerskolan,Kommunal,Kristianstad,64694970,..,..,"92,9",~100,"265,0",..,..,..,..,..,2015
Kristianstad,Sånnaskolan H,Kommunal,Kristianstad,85853304,22,"44,9","81,8",~100,"241,9",27,"55,1","88,9",~100,"208,2",2015
Kristianstad,Tollarps skola MH,Kommunal,Kristianstad,45430802,19,"47,5","57,9","73,7","195,1",21,"52,5",..,"61,9","145,8",2015
Kristianstad,Väskolan MH,Kommunal,Kristianstad,75922665,25,"56,8","88,0","100,0","247,4",19,"43,2","84,2",~100,"227,4",2015
Kristianstad,Öllsjöskolan MH,Kommunal,Kristianstad,46211392,16,"33,3","93,8",~100,"258,0",32,"66,7","71,9","78,1","200,6",2015
Kristianstad,Önnestads skola MH,Kommunal,Kristianstad,18636287,23,"41,8","87,0",~100,"267,3",32,"58,2","78,1",~100,"212,6",2015
Kristianstad,Lejonskolan,Enskild,Lejonskolan AB,26843745,..,..,..,..,"149,3",..,..,..,..,..,2015
Kristianstad,Kristianstads Montessoriskola,Enskild,Pysslingen Förskolor och Skolor AB,72491525,17,"53,1","88,2",~100,"247,2",15,"46,9","86,7",~100,"231,7",2015
Kristinehamn,Djurgårdsskolan 7-9,Kommunal,Kristinehamn,41433169,51,"60,7","78,4","84,3","223,6",33,"39,3","66,7","78,8","192,0",2015
Kristinehamn,Stenstalidskolan 7-9,Kommunal,Kristinehamn,14885908,35,"51,5","80,0","85,7","235,6",33,"48,5","39,4","45,5","150,9",2015
Kristinehamn,Södermalmsskolan 7-9,Kommunal,Kristinehamn,16272625,46,"52,3","78,3","80,4","230,7",42,"47,7","73,8","88,1","213,0",2015
Krokom,Cederbergskolan,Kommunal,Krokom,64778601,..,..,..,..,..,..,..,..,..,"154,2",2015
Krokom,Nyhedens skola,Kommunal,Krokom,40025257,48,"63,2","83,3","83,3","240,7",28,"36,8","82,1","82,1","195,9",2015
Krokom,Ås skola 4-9,Kommunal,Krokom,54952732,13,"36,1","100,0","100,0","275,2",23,"63,9","95,7",~100,"227,0",2015
Krokom,Änge skola,Kommunal,Krokom,25036714,15,"42,9","73,3",~100,"201,8",20,"57,1","75,0",~100,"194,9",2015
Kumla,Kumlaby skola 6-9,Kommunal,Kumla,75692870,37,"44,0","70,3","83,8","223,7",47,"56,0","66,0","78,7","191,4",2015
Kumla,Skogstorpsskolan 6-9,Kommunal,Kumla,44243725,45,"43,3","88,9",~100,"235,3",59,"56,7","79,7","84,7","203,0",2015
Kumla,Vialundskolan,Kommunal,Kumla,99992013,32,"52,5","53,1","71,9","218,7",29,"47,5","62,1","75,9","209,7",2015
Kungsbacka,Kullaviks Montessoriskola,Enskild,Kullaviks Montesoriskola Ekonomisk Förening,10902849,13,"52,0","100,0","100,0","280,8",12,"48,0","100,0","100,0","264,2",2015
